date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,1,0,0
2020-02-25,0,1,0,0
2020-02-26,0,1,0,0
2020-02-27,0,1,0,0
2020-02-28,0,1,0,0
2020-02-29,0,1,0,0
2020-03-01,0,1,0,0
2020-03-02,0,1,0,0
2020-03-03,0,1,0,0
2020-03-04,0,1,0,0
2020-03-05,0,1,0,0
2020-03-06,0,1,0,0
2020-03-07,0,1,0,0
2020-03-08,0,4,0,0
2020-03-09,0,4,0,0
2020-03-10,0,5,0,0
2020-03-11,0,7,0,0
2020-03-12,0,7,0,0
2020-03-13,0,7,0,0
2020-03-14,0,11,0,0
2020-03-15,0,16,0,0
2020-03-16,0,21,1,0
2020-03-17,0,22,1,0
2020-03-18,0,22,1,0
2020-03-19,0,22,1,0
2020-03-20,0,24,1,0
2020-03-21,0,24,1,0
2020-03-22,0,40,1,1
2020-03-23,0,40,1,1
2020-03-24,0,74,1,1
2020-03-25,0,84,2,2
2020-03-26,0,94,2,4
2020-03-27,0,110,2,4
2020-03-28,0,110,2,4
2020-03-29,0,120,2,4
2020-03-30,0,170,2,4
2020-03-31,0,174,5,4
2020-04-01,0,237,5,4
2020-04-02,0,273,10,6
2020-04-03,0,281,10,6
2020-04-04,0,299,10,7
2020-04-05,0,349,15,7
2020-04-06,0,367,18,11
2020-04-07,0,423,18,14
2020-04-08,0,444,29,14
2020-04-09,0,484,32,15
2020-04-10,0,521,32,15
2020-04-11,0,555,32,18
2020-04-12,0,607,32,18
2020-04-13,0,665,32,21
2020-04-14,0,714,40,23
2020-04-15,0,784,43,25
2020-04-16,0,840,54,30
2020-04-17,0,906,99,30
2020-04-18,0,933,112,30
2020-04-19,0,996,131,33
2020-04-20,0,1026,135,36
2020-04-21,0,1092,150,36
2020-04-22,0,1176,166,40
2020-04-23,0,1279,179,42
2020-04-24,0,1351,188,43
2020-04-25,0,1463,188,47
2020-04-26,0,1531,207,50
2020-04-27,0,1703,220,57
2020-04-28,0,1828,228,58
2020-04-29,0,1939,252,60
2020-04-30,0,2171,260,64
2020-05-01,0,2335,310,68
2020-05-02,0,2469,331,72
2020-05-03,0,2704,345,85
2020-05-04,0,2894,397,90
2020-05-05,0,3224,421,95
2020-05-06,0,3392,458,104
2020-05-07,0,3563,468,106
2020-05-08,0,3778,472,109
2020-05-09,0,4033,502,115
2020-05-10,0,4402,558,120
2020-05-11,0,4687,558,122
2020-05-12,0,4963,610,127
2020-05-13,0,5226,648,132
2020-05-14,0,5639,691,136
2020-05-15,0,6053,745,153
2020-05-16,0,6402,745,168
2020-05-17,0,6664,778,169
2020-05-18,0,7072,801,173
2020-05-19,0,7653,850,178
2020-05-20,0,8145,930,187
2020-05-21,0,8676,938,193
2020-05-22,0,9216,996,205
2020-05-23,0,9998,1040,216
2020-05-24,0,10582,1075,218
2020-05-25,0,11173,1097,219
2020-05-26,0,11831,1128,220
2020-05-27,0,12456,1138,227
2020-05-28,0,13036,1209,235
2020-05-29,0,13659,1259,246
2020-05-30,0,14525,1303,249
2020-05-31,0,15205,1328,257
2020-06-01,0,15750,1428,265
2020-06-02,0,16509,1450,270
2020-06-03,0,17267,1522,294
2020-06-04,0,18054,1585,300
2020-06-05,0,18969,1762,309
2020-06-06,0,19551,1830,327
2020-06-07,0,20342,1875,357
2020-06-08,0,20917,2171,369
2020-06-09,0,21459,2651,384
2020-06-10,0,22142,3013,405
2020-06-11,0,22890,3326,426
2020-06-12,0,23546,3928,446
2020-06-13,0,24102,4201,451
2020-06-14,0,24766,4725,471
2020-06-15,0,25527,5164,478
2020-06-16,0,26310,5508,491
2020-06-17,0,26874,6158,504
2020-06-18,0,27532,7660,546
2020-06-19,0,27878,7962,548
2020-06-20,0,28424,8292,569
2020-06-21,0,28833,8764,581
2020-06-22,0,29157,8841,598
2020-06-23,0,29481,9260,618
2020-06-24,0,29640,9869,639
2020-06-25,0,30175,10174,675
2020-06-26,0,30451,10306,683
2020-06-27,0,30616,10674,703
2020-06-28,0,30967,12604,721
2020-06-29,0,31238,13934,733
2020-06-30,0,31517,14131,746
2020-07-01,0,31836,15651,774
2020-07-02,0,32022,16041,807
2020-07-03,0,32324,17331,819
2020-07-04,0,32672,19164,826
2020-07-05,0,32951,19366,864
2020-07-06,0,33190,20103,898
2020-07-07,0,33384,20179,920
2020-07-08,0,33594,20700,936
2020-07-09,0,33908,20847,957
2020-07-10,0,34194,20882,971
2020-07-11,0,34366,21135,994
2020-07-12,0,34451,21216,1010
2020-07-13,0,34455,21254,1012
2020-07-14,0,34740,21454,1048
2020-07-15,0,34994,22456,1094
2020-07-16,0,35070,22824,1113
2020-07-17,0,35229,23151,1147
2020-07-18,0,35301,23273,1164
2020-07-19,0,35475,23634,1181
2020-07-20,0,35526,23741,1185
2020-07-21,0,35615,23741,1186
2020-07-22,0,35727,23924,1190
2020-07-23,0,35928,24550,1211
2020-07-24,0,35981,24602,1225
2020-07-25,0,36036,24793,1248
2020-07-26,0,36157,25180,1259
2020-07-27,0,36263,25198,1269
2020-07-28,0,36368,25358,1270
2020-07-29,0,36471,25389,1271
2020-07-30,0,36542,25471,1271
2020-07-31,0,36675,25509,1272
2020-08-01,0,36710,25509,1283
2020-08-02,0,36710,25510,1284
2020-08-03,0,36747,25669,1288
2020-08-04,0,36782,25669,1288
2020-08-05,0,36829,25742,1294
2020-08-06,0,36896,25840,1298
2020-08-07,0,37015,25903,1307
2020-08-08,0,37054,25960,1312
2020-08-09,0,37054,25960,1312
2020-08-10,0,37162,26228,1328
2020-08-11,0,37269,26415,1344
2020-08-12,0,37345,26694,1354
2020-08-13,0,37424,26714,1363
2020-08-14,0,37431,26714,1363
2020-08-15,0,37551,27166,1370
2020-08-16,0,37596,27166,1375
2020-08-17,0,37599,27166,1375
2020-08-18,0,37599,27166,1375
2020-08-19,0,37599,27166,1375
2020-08-20,0,37856,27681,1385
2020-08-21,0,37894,28016,1385
2020-08-22,0,37953,28016,1385
2020-08-23,0,37999,28180,1387
2020-08-24,0,38054,28360,1389
2020-08-25,0,38070,28440,1397
2020-08-26,0,38113,29042,1401
2020-08-27,0,38129,29046,1401
2020-08-28,0,38140,29059,1402
2020-08-29,0,38143,29063,1402
2020-08-30,0,38162,29089,1402
2020-08-31,0,38165,29089,1402
2020-09-01,0,38196,29231,1406
2020-09-02,0,38243,29315,1409
2020-09-03,0,38288,29390,1409
2020-09-04,0,38304,29713,1409
2020-09-05,0,38324,30082,1409
2020-09-06,0,38398,30537,1412
2020-09-07,0,38494,30557,1415
2020-09-08,0,38520,30715,1418
2020-09-09,0,38544,31048,1420
2020-09-10,0,38572,31129,1420
2020-09-11,0,38606,31154,1420
2020-09-12,0,38641,31234,1420
2020-09-13,0,38716,31638,1420
2020-09-14,0,38772,32073,1425
2020-09-15,0,38815,32098,1426
2020-09-16,0,38855,32503,1436
2020-09-17,0,38872,32505,1436
2020-09-18,0,38883,32576,1437
2020-09-19,0,38919,32576,1437
2020-09-20,0,39044,32576,1441
2020-09-21,0,39074,32576,1444
2020-09-22,0,39096,32576,1445
2020-09-23,0,39145,32610,1446
2020-09-24,0,39170,32619,1451
2020-09-25,0,39186,32619,1451
2020-09-26,0,39192,32635,1453
2020-09-27,0,39227,32642,1453
2020-09-28,0,39233,32642,1455
2020-09-29,0,39254,32746,1458
2020-09-30,0,39268,32789,1458
2020-10-01,0,39285,32842,1458
2020-10-02,0,39290,32842,1458
2020-10-03,0,39297,32842,1462
2020-10-04,0,39341,32852,1462
2020-10-05,0,39422,32879,1466
2020-10-06,0,39486,32977,1467
2020-10-07,0,39548,33045,1469
2020-10-08,0,39548,33045,1469
