date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,2,0,0
2020-03-10,0,10,0,0
2020-03-11,0,12,0,1
2020-03-12,0,23,0,1
2020-03-13,0,33,0,1
2020-03-14,0,38,0,1
2020-03-15,0,42,0,1
2020-03-16,0,51,0,1
2020-03-17,0,55,0,1
2020-03-18,0,59,0,2
2020-03-19,0,64,0,2
2020-03-20,0,70,0,2
2020-03-21,0,76,2,2
2020-03-22,0,89,2,2
2020-03-23,0,104,2,4
2020-03-24,0,123,10,5
2020-03-25,0,146,17,5
2020-03-26,0,174,17,6
2020-03-27,0,186,31,8
2020-03-28,0,197,31,10
2020-03-29,0,212,33,10
2020-03-30,0,223,44,11
2020-03-31,0,243,52,15
2020-04-01,0,259,67,15
2020-04-02,0,277,76,16
2020-04-03,0,304,89,17
2020-04-04,0,333,99,20
2020-04-05,0,361,104,20
2020-04-06,0,377,116,21
2020-04-07,0,383,131,22
2020-04-08,0,400,154,22
2020-04-09,0,409,165,23
2020-04-10,0,416,182,23
2020-04-11,0,433,197,23
2020-04-12,0,446,217,23
2020-04-13,0,467,232,23
2020-04-14,0,475,248,24
2020-04-15,0,494,251,25
2020-04-16,0,518,277,26
2020-04-17,0,539,283,26
2020-04-18,0,548,302,26
2020-04-19,0,562,314,26
2020-04-20,0,584,327,26
2020-04-21,0,609,345,26
2020-04-22,0,634,356,27
2020-04-23,0,663,385,27
2020-04-24,0,678,394,27
2020-04-25,0,712,403,27
2020-04-26,0,726,410,28
2020-04-27,0,736,422,28
2020-04-28,0,750,431,30
2020-04-29,0,766,455,30
2020-04-30,0,773,470,31
2020-05-01,0,782,488,31
2020-05-02,0,789,519,31
2020-05-03,0,795,531,31
2020-05-04,0,803,543,31
2020-05-05,0,820,570,31
2020-05-06,0,832,595,31
2020-05-07,0,842,605,31
2020-05-08,0,850,620,31
2020-05-09,0,856,627,31
2020-05-10,0,868,650,31
2020-05-11,0,872,654,31
2020-05-12,0,876,682,31
2020-05-13,0,880,688,31
2020-05-14,0,898,694,31
2020-05-15,0,916,705,31
2020-05-16,0,933,714,31
2020-05-17,0,946,715,31
2020-05-18,0,948,727,31
2020-05-19,0,949,742,31
2020-05-20,0,964,758,31
2020-05-21,0,969,771,31
2020-05-22,0,981,777,31
2020-05-23,0,989,783,31
2020-05-24,0,998,789,32
2020-05-25,0,1004,795,32
2020-05-26,0,1029,803,33
2020-05-27,0,1050,812,33
2020-05-28,0,1076,823,33
2020-05-29,0,1099,851,33
2020-05-30,0,1122,857,33
2020-05-31,0,1137,872,33
2020-06-01,0,1143,877,33
2020-06-02,0,1164,891,33
2020-06-03,0,1184,898,33
2020-06-04,0,1197,898,33
2020-06-05,0,1212,910,33
2020-06-06,0,1232,925,34
2020-06-07,0,1246,938,34
2020-06-08,0,1263,945,34
2020-06-09,0,1299,960,34
2020-06-10,0,1341,980,34
2020-06-11,0,1385,1001,35
2020-06-12,0,1416,1034,36
2020-06-13,0,1464,1039,36
2020-06-14,0,1521,1044,36
2020-06-15,0,1590,1055,36
2020-06-16,0,1672,1064,37
2020-06-17,0,1722,1077,38
2020-06-18,0,1788,1086,39
2020-06-19,0,1838,1114,42
2020-06-20,0,1891,1126,43
2020-06-21,0,1962,1134,44
2020-06-22,0,1995,1159,44
2020-06-23,0,2047,1195,45
2020-06-24,0,2114,1217,47
2020-06-25,0,2192,1250,49
2020-06-26,0,2269,1298,51
2020-06-27,0,2330,1346,53
2020-06-28,0,2402,1384,55
2020-06-29,0,2466,1438,58
2020-06-30,0,2535,1459,62
2020-07-01,0,2580,1516,65
2020-07-02,0,2662,1559,69
2020-07-03,0,2752,1592,72
2020-07-04,0,2819,1637,74
2020-07-05,0,2893,1657,76
2020-07-06,0,2964,1702,79
2020-07-07,0,3038,1744,81
2020-07-08,0,3106,1791,83
2020-07-09,0,3188,1832,83
2020-07-10,0,3278,1875,85
2020-07-11,0,3371,1881,89
2020-07-12,0,3454,1946,93
2020-07-13,0,3571,2014,95
2020-07-14,0,3667,2062,97
2020-07-15,0,3752,2091,101
2020-07-16,0,3851,2137,104
2020-07-17,0,3906,2214,107
2020-07-18,0,4008,2264,111
2020-07-19,0,4090,2311,112
2020-07-20,0,4171,2352,113
2020-07-21,0,4290,2397,117
2020-07-22,0,4358,2463,120
2020-07-23,0,4466,2523,123
2020-07-24,0,4570,2608,128
2020-07-25,0,4637,2637,134
2020-07-26,0,4763,2682,138
2020-07-27,0,4880,2745,144
2020-07-28,0,4997,2789,148
2020-07-29,0,5105,2830,150
2020-07-30,0,5197,2883,154
2020-07-31,0,5276,2952,157
2020-08-01,0,5396,2961,161
2020-08-02,0,5519,3018,166
2020-08-03,0,5620,3031,172
2020-08-04,0,5750,3031,176
2020-08-05,0,5889,3123,182
2020-08-06,0,6016,3155,188
2020-08-07,0,6151,3227,189
2020-08-08,0,6275,3268,193
2020-08-09,0,6411,3342,199
2020-08-10,0,6536,3379,200
2020-08-11,0,6676,3480,205
2020-08-12,0,6817,3552,208
2020-08-13,0,6971,3616,213
2020-08-14,0,7117,3695,219
2020-08-15,0,7260,3746,225
2020-08-16,0,7380,3794,228
2020-08-17,0,7499,3816,230
2020-08-18,0,7654,3871,232
2020-08-19,0,7812,3928,234
2020-08-20,0,7967,3986,238
2020-08-21,0,8119,4096,240
2020-08-22,0,8275,4184,245
2020-08-23,0,8427,4332,250
2020-08-24,0,8605,4413,254
2020-08-25,0,8759,4530,259
2020-08-26,0,8927,4633,263
2020-08-27,0,9083,4791,266
2020-08-28,0,9195,4923,271
2020-08-29,0,9279,5020,275
2020-08-30,0,9380,5139,280
2020-08-31,0,9513,5214,284
2020-09-01,0,9606,5441,290
2020-09-02,0,9728,5582,296
2020-09-03,0,9844,5732,301
2020-09-04,0,9967,5882,306
2020-09-05,0,10102,5976,312
2020-09-06,0,10255,6106,316
2020-09-07,0,10406,6186,319
2020-09-08,0,10553,6239,321
2020-09-09,0,10704,6284,322
2020-09-10,0,10860,6346,324
2020-09-11,0,11021,6443,327
2020-09-12,0,11185,6494,330
2020-09-13,0,11353,6569,334
2020-09-14,0,11520,6615,338
2020-09-15,0,11672,6668,340
2020-09-16,0,11816,6733,343
2020-09-17,0,11948,6788,347
2020-09-18,0,12073,6831,353
2020-09-19,0,12226,6888,358
2020-09-20,0,12385,6940,362
2020-09-21,0,12535,6995,364
2020-09-22,0,12666,7042,367
2020-09-23,0,12787,7139,370
2020-09-24,0,12921,7239,370
2020-09-25,0,13045,7309,373
2020-09-26,0,13153,7397,375
2020-09-27,0,13259,7397,377
2020-09-28,0,13391,7629,380
2020-09-29,0,13518,7732,384
2020-09-30,0,13649,7847,387
2020-10-01,0,13806,8077,388
2020-10-02,0,13965,8342,389
2020-10-03,0,14117,8536,392
2020-10-04,0,14266,8675,396
2020-10-05,0,14410,8825,400
2020-10-06,0,14568,8965,403
2020-10-07,0,14568,8965,403
