date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,1,0,0
2020-03-21,0,2,0,0
2020-03-22,0,2,0,0
2020-03-23,0,3,0,0
2020-03-24,0,3,0,0
2020-03-25,0,3,0,0
2020-03-26,0,4,0,0
2020-03-27,0,4,0,0
2020-03-28,0,5,0,0
2020-03-29,0,7,0,2
2020-03-30,0,7,0,2
2020-03-31,0,7,1,2
2020-04-01,0,8,1,2
2020-04-02,0,8,1,2
2020-04-03,0,8,1,2
2020-04-04,0,10,2,2
2020-04-05,0,14,2,2
2020-04-06,0,16,2,2
2020-04-07,0,17,2,2
2020-04-08,0,19,2,2
2020-04-09,0,19,2,2
2020-04-10,0,19,2,2
2020-04-11,0,19,4,2
2020-04-12,0,19,4,2
2020-04-13,0,19,4,2
2020-04-14,0,19,5,2
2020-04-15,0,19,5,2
2020-04-16,0,19,5,2
2020-04-17,0,19,5,2
2020-04-18,0,24,6,2
2020-04-19,0,24,6,2
2020-04-20,0,24,6,2
2020-04-21,0,24,6,2
2020-04-22,0,25,6,2
2020-04-23,0,25,6,2
2020-04-24,0,25,6,2
2020-04-25,0,25,6,2
2020-04-26,0,26,6,2
2020-04-27,0,27,6,2
2020-04-28,0,27,6,2
2020-04-29,0,27,7,2
2020-04-30,0,27,7,2
2020-05-01,0,30,11,2
2020-05-02,0,35,11,2
2020-05-03,0,35,11,2
2020-05-04,0,35,11,2
2020-05-05,0,36,11,2
2020-05-06,0,36,11,2
2020-05-07,0,36,11,2
2020-05-08,0,43,11,2
2020-05-09,0,43,13,2
2020-05-10,0,45,13,2
2020-05-11,0,45,13,2
2020-05-12,0,45,13,2
2020-05-13,0,45,14,2
2020-05-14,0,48,14,2
2020-05-15,0,48,17,2
2020-05-16,0,48,17,2
2020-05-17,0,48,17,2
2020-05-18,0,50,17,3
2020-05-19,0,52,17,3
2020-05-20,0,52,17,3
2020-05-21,0,58,17,3
2020-05-22,0,60,17,3
2020-05-23,0,61,18,4
2020-05-24,0,69,18,4
2020-05-25,0,70,18,4
2020-05-26,0,70,18,4
2020-05-27,0,71,18,4
2020-05-28,0,74,18,4
2020-05-29,0,81,18,4
2020-05-30,0,84,18,4
2020-05-31,0,86,18,4
2020-06-01,0,86,18,4
2020-06-02,0,86,18,4
2020-06-03,0,86,18,4
2020-06-04,0,86,18,4
2020-06-05,0,86,21,4
2020-06-06,0,88,24,4
2020-06-07,0,91,24,4
2020-06-08,0,92,38,4
2020-06-09,0,96,38,4
2020-06-10,0,113,40,4
2020-06-11,0,118,41,5
2020-06-12,0,130,42,5
2020-06-13,0,138,61,6
2020-06-14,0,140,61,6
2020-06-15,0,142,64,6
2020-06-16,0,148,64,6
2020-06-17,0,155,64,7
2020-06-18,0,166,64,8
2020-06-19,0,172,66,8
2020-06-20,0,176,66,9
2020-06-21,0,183,77,9
2020-06-22,0,186,77,10
2020-06-23,0,189,77,10
2020-06-24,0,197,77,10
2020-06-25,0,212,81,10
2020-06-26,0,212,81,10
2020-06-27,0,259,81,10
2020-06-28,0,267,81,11
2020-06-29,0,276,93,11
2020-06-30,0,284,93,13
2020-07-01,0,291,97,15
2020-07-02,0,315,97,17
2020-07-03,0,328,107,18
2020-07-04,0,346,108,19
2020-07-05,0,346,108,19
2020-07-06,0,346,108,19
2020-07-07,0,386,117,21
2020-07-08,0,386,117,21
2020-07-09,0,396,117,22
2020-07-10,0,458,117,23
2020-07-11,0,462,118,23
2020-07-12,0,506,118,26
2020-07-13,0,525,118,26
2020-07-14,0,541,118,26
2020-07-15,0,576,124,27
2020-07-16,0,607,124,28
2020-07-17,0,638,199,29
2020-07-18,0,687,210,29
2020-07-19,0,705,221,29
2020-07-20,0,749,221,29
2020-07-21,0,779,221,30
2020-07-22,0,812,221,33
2020-07-23,0,851,236,33
2020-07-24,0,880,241,35
2020-07-25,0,916,242,39
2020-07-26,0,932,242,40
2020-07-27,0,950,242,41
2020-07-28,0,1000,266,47
2020-07-29,0,1078,301,48
2020-07-30,0,1109,395,51
2020-07-31,0,1148,437,52
2020-08-01,0,1164,460,54
2020-08-02,0,1199,461,55
2020-08-03,0,1280,476,58
2020-08-04,0,1344,503,59
2020-08-05,0,1395,506,62
2020-08-06,0,1483,520,64
2020-08-07,0,1538,544,67
2020-08-08,0,1572,564,70
2020-08-09,0,1672,567,75
2020-08-10,0,1679,569,78
2020-08-11,0,1735,575,80
2020-08-12,0,1762,577,80
2020-08-13,0,1815,577,80
2020-08-14,0,1852,584,86
2020-08-15,0,1879,628,86
2020-08-16,0,1906,628,88
2020-08-17,0,1935,632,88
2020-08-18,0,1966,667,90
2020-08-19,0,2015,698,92
2020-08-20,0,2044,742,93
2020-08-21,0,2068,804,94
2020-08-22,0,2134,814,94
2020-08-23,0,2171,818,96
2020-08-24,0,2222,877,100
2020-08-25,0,2283,977,102
2020-08-26,0,2332,977,103
2020-08-27,0,2415,1335,105
2020-08-28,0,2471,1028,106
2020-08-29,0,2551,1041,107
2020-08-30,0,2624,1063,107
2020-08-31,0,2654,1071,108
2020-09-01,0,2729,1084,109
2020-09-02,0,2777,1115,112
2020-09-03,0,2805,1144,113
2020-09-04,0,2876,1167,115
2020-09-05,0,2935,1192,117
2020-09-06,0,2965,1198,117
2020-09-07,0,2981,1215,120
2020-09-08,0,3033,1215,124
2020-09-09,0,3092,1245,126
2020-09-10,0,3217,1277,130
2020-09-11,0,3279,1288,131
2020-09-12,0,3335,1289,132
2020-09-13,0,3388,1301,134
2020-09-14,0,3439,1324,136
2020-09-15,0,3569,1332,139
2020-09-16,0,3675,1401,143
2020-09-17,0,3789,1405,144
2020-09-18,0,3848,1443,147
2020-09-19,0,3901,1445,147
2020-09-20,0,3991,1445,152
2020-09-21,0,4117,1449,154
2020-09-22,0,4236,1462,155
2020-09-23,0,4363,1473,159
2020-09-24,0,4475,1503,162
2020-09-25,0,4590,1554,167
2020-09-26,0,4672,1639,171
2020-09-27,0,4718,1707,174
2020-09-28,0,4797,1813,176
2020-09-29,0,4905,1833,179
2020-09-30,0,4972,1941,183
2020-10-01,0,5114,2082,185
2020-10-02,0,5211,2215,189
2020-10-03,0,5370,2436,193
2020-10-04,0,5402,2577,195
2020-10-05,0,5530,2591,199
2020-10-06,0,5725,2598,211
2020-10-07,0,5725,2598,211
