date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,4,0,0
2020-01-26,0,4,0,0
2020-01-27,0,5,0,0
2020-01-28,0,5,0,0
2020-01-29,0,9,0,0
2020-01-30,0,9,0,0
2020-01-31,0,9,0,0
2020-02-01,0,10,0,0
2020-02-02,0,12,0,0
2020-02-03,0,12,0,0
2020-02-04,0,13,0,0
2020-02-05,0,14,0,0
2020-02-06,0,15,0,0
2020-02-07,0,15,0,0
2020-02-08,0,15,0,0
2020-02-09,0,15,0,0
2020-02-10,0,15,0,0
2020-02-11,0,15,0,0
2020-02-12,0,15,0,0
2020-02-13,0,15,0,0
2020-02-14,0,15,0,0
2020-02-15,0,15,0,0
2020-02-16,0,15,0,0
2020-02-17,0,15,0,0
2020-02-18,0,15,0,0
2020-02-19,0,15,0,0
2020-02-20,0,15,0,0
2020-02-21,0,19,0,0
2020-02-22,0,20,0,0
2020-02-23,0,20,0,0
2020-02-24,0,20,0,0
2020-02-25,0,20,0,0
2020-02-26,0,20,0,0
2020-02-27,0,23,0,0
2020-02-28,0,25,0,0
2020-02-29,0,25,0,0
2020-03-01,0,28,0,1
2020-03-02,0,32,0,1
2020-03-03,0,40,0,1
2020-03-04,0,51,0,2
2020-03-05,0,59,0,2
2020-03-06,0,63,0,2
2020-03-07,7214,73,0,2
2020-03-08,8008,80,0,3
2020-03-09,8371,92,0,3
2020-03-10,10165,112,0,3
2020-03-11,10221,127,0,3
2020-03-12,14856,157,0,3
2020-03-13,16685,198,0,4
2020-03-14,20496,249,0,4
2020-03-15,22567,297,0,6
2020-03-16,38664,376,0,6
2020-03-17,44444,454,0,6
2020-03-18,51000,567,0,7
2020-03-19,83333,709,28,7
2020-03-20,91399,847,39,8
2020-03-21,100284,1072,51,8
2020-03-22,109286,1352,70,8
2020-03-23,115643,1680,97,8
2020-03-24,123200,2050,113,9
2020-03-25,156086,2430,129,10
2020-03-26,176505,2809,151,14
2020-03-27,192784,3180,204,14
2020-03-28,208035,3640,223,15
2020-03-29,223514,3984,225,17
2020-03-30,231168,4250,291,19
2020-03-31,242924,4561,345,20
2020-04-01,256953,4864,418,21
2020-04-02,266897,5137,572,25
2020-04-03,275372,5362,635,29
2020-04-04,284891,5552,686,31
2020-04-05,297144,5693,788,36
2020-04-06,302663,5799,849,41
2020-04-07,310700,5918,2549,49
2020-04-08,319368,6023,2815,51
2020-04-09,330134,6108,2989,52
2020-04-10,338346,6214,3142,55
2020-04-11,347847,6302,3266,57
2020-04-12,353941,6324,3338,60
2020-04-13,362136,6365,3494,62
2020-04-14,366493,6414,3598,63
2020-04-15,371377,6637,3688,64
2020-04-16,380003,6667,3747,64
2020-04-17,391530,6714,3819,66
2020-04-18,406510,6756,4163,69
2020-04-19,420996,6800,4230,71
2020-04-20,431734,6813,4258,72
2020-04-21,439842,6835,4695,72
2020-04-22,452441,6842,4935,75
2020-04-23,466659,6850,5045,76
2020-04-24,482370,6867,5136,79
2020-04-25,494257,6885,5373,81
2020-04-26,506449,6904,5541,84
2020-04-27,517063,6911,5588,84
2020-04-28,530679,6923,5630,85
2020-04-29,544410,6936,5670,90
2020-04-30,563641,6944,5717,92
2020-05-01,588868,6957,5747,94
2020-05-02,611583,6972,5796,94
2020-05-03,633107,6990,5817,96
2020-05-04,650214,7014,5863,96
2020-05-05,664756,7040,5890,98
2020-05-06,688656,7064,5979,98
2020-05-07,722549,7086,6038,98
2020-05-08,757250,7104,6084,98
2020-05-09,795456,7118,6137,98
2020-05-10,827872,7130,6166,98
2020-05-11,855119,7137,6182,98
2020-05-12,877927,7157,6233,98
2020-05-13,909025,7168,6274,99
2020-05-14,943299,7183,6299,99
2020-05-15,983816,7214,6336,99
2020-05-16,1015652,7231,6366,99
2020-05-17,1042126,7239,6369,99
2020-05-18,1062034,7248,6396,100
2020-05-19,1085870,7256,6415,100
2020-05-20,1111567,7267,6445,101
2020-05-21,1137684,7269,6472,101
2020-05-22,1170682,7283,6480,102
2020-05-23,1192262,7296,6492,103
2020-05-24,1224795,7299,6507,103
2020-05-25,1244203,7303,6530,103
2020-05-26,1288223,7318,6551,103
2020-05-27,1338321,7324,6558,103
2020-05-28,1367444,7342,6580,103
2020-05-29,1397622,7358,6580,103
2020-05-30,1428538,7369,6613,103
2020-05-31,1454568,7379,6611,103
2020-06-01,1472220,7387,6615,103
2020-06-02,1490387,7404,6620,103
2020-06-03,1512700,7412,6635,103
2020-06-04,1546329,7423,6660,103
2020-06-05,1579192,7434,6676,103
2020-06-06,1590588,7436,6684,103
2020-06-07,1617462,7440,6693,103
2020-06-08,1633515,7446,6700,103
2020-06-09,1650684,7448,6714,103
2020-06-10,1679954,7455,6736,103
2020-06-11,1711223,7464,6751,103
2020-06-12,1745550,7468,6773,103
2020-06-13,1782651,7481,6802,103
2020-06-14,1812353,7499,6828,103
2020-06-15,1828149,7514,6841,103
2020-06-16,1848347,7526,6846,103
2020-06-17,1881519,7549,6860,103
2020-06-18,1927497,7570,6860,103
2020-06-19,1970205,7588,6870,103
2020-06-20,2005378,7614,6877,103
2020-06-21,2041324,7639,6885,103
2020-06-22,2107849,7652,6892,103
2020-06-23,2132821,7670,6904,103
2020-06-24,2180424,7699,6913,104
2020-06-25,2232341,7735,6930,104
2020-06-26,2281839,7772,6946,104
2020-06-27,2336061,7818,6967,104
2020-06-28,2379175,7863,6981,104
2020-06-29,2415695,7944,6996,104
2020-06-30,2455982,8011,7023,104
2020-07-01,2505923,8097,7051,104
2020-07-02,2563782,8178,7078,104
2020-07-03,2617860,8243,7116,104
2020-07-04,2668036,8349,7153,104
2020-07-05,2713435,8436,7197,104
2020-07-06,2759165,8573,7218,106
2020-07-07,2801107,8742,7253,106
2020-07-08,2856406,8872,7284,106
2020-07-09,2910831,9045,7372,106
2020-07-10,2970268,9345,7432,106
2020-07-11,3021493,9537,7519,107
2020-07-12,3075488,9781,7523,108
2020-07-13,3117788,9964,7564,108
2020-07-14,3162237,10235,7630,110
2020-07-15,3222141,10479,7723,111
2020-07-16,3287716,10794,7831,113
2020-07-17,3350464,11219,7912,116
2020-07-18,3413831,11423,7955,119
2020-07-19,3476463,11784,8066,122
2020-07-20,3534425,12052,8188,123
2020-07-21,3590735,12410,8336,126
2020-07-22,3650529,12878,8445,128
2020-07-23,3719837,13285,8564,133
2020-07-24,3795421,13574,8718,140
2020-07-25,3859505,13927,8804,145
2020-07-26,3935124,14380,8957,155
2020-07-27,3987090,14912,9098,161
2020-07-28,4032061,15281,9218,167
2020-07-29,4098249,15560,9407,176
2020-07-30,4163102,16277,9541,189
2020-07-31,4238305,16880,9765,197
2020-08-01,4307224,17254,9982,201
2020-08-02,4364382,17895,10206,208
2020-08-03,4429911,18290,10403,221
2020-08-04,4481617,18702,10577,232
2020-08-05,4552081,19416,10721,247
2020-08-06,4632089,19863,10926,255
2020-08-07,4724026,20273,11128,266
2020-08-08,4764223,20698,11367,278
2020-08-09,4857414,21084,11680,294
2020-08-10,4918546,21397,11949,312
2020-08-11,4980172,21714,12200,331
2020-08-12,5041344,22127,12587,352
2020-08-13,5109785,22358,12809,361
2020-08-14,5180414,22742,13158,375
2020-08-15,5243784,23035,13442,379
2020-08-16,5297558,23288,13893,396
2020-08-17,5336097,23559,14346,421
2020-08-18,5380613,23773,14736,438
2020-08-19,5440495,23993,15054,450
2020-08-20,5508831,24236,17661,463
2020-08-21,5579980,24407,18268,472
2020-08-22,5647677,24602,18567,485
2020-08-23,5706587,24812,19041,502
2020-08-24,5758034,24916,19411,517
2020-08-25,5814709,25053,19622,525
2020-08-26,5886412,25205,19908,549
2020-08-27,5972680,25322,20174,571
2020-08-28,6052236,25448,20441,582
2020-08-29,6119791,25547,20664,600
2020-08-30,6168229,25670,20924,611
2020-08-31,6214453,25746,21158,652
2020-09-01,6255832,25819,21311,657
2020-09-02,6319795,25923,21498,663
2020-09-03,6455989,26049,21720,678
2020-09-04,6526950,26136,21978,737
2020-09-05,6590788,26207,22138,748
2020-09-06,6657348,26279,22275,753
2020-09-07,6693434,26322,22411,762
2020-09-08,6730397,26374,22532,770
2020-09-09,6789333,26465,22671,781
2020-09-10,6849431,26513,22844,788
2020-09-11,6928153,26565,23025,797
2020-09-12,6976155,26606,23137,803
2020-09-13,7016090,26650,23270,809
2020-09-14,7047036,26691,23386,816
2020-09-15,7076652,26737,23460,816
2020-09-16,7124384,26779,23534,824
2020-09-17,7178741,26813,23600,832
2020-09-18,7224163,26861,23663,837
2020-09-19,7263213,26885,23770,843
2020-09-20,7296252,26898,23870,849
2020-09-21,7319688,26912,23965,851
2020-09-22,7351283,26942,24026,854
2020-09-23,7393693,26974,24111,859
2020-09-24,7441327,26983,24137,861
2020-09-25,7479815,27000,24209,869
2020-09-26,7517520,27016,24257,870
2020-09-27,7546223,27040,24317,872
2020-09-28,7563322,27044,24360,875
2020-09-29,7589332,27063,24396,882
2020-09-30,7637403,27078,24427,886
