date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,218,2,0,0
2020-02-26,321,2,0,0
2020-02-27,447,5,0,0
2020-02-28,763,9,0,0
2020-02-29,1649,11,0,0
2020-03-01,1649,12,0,0
2020-03-02,1649,19,0,0
2020-03-03,2683,26,0,0
2020-03-04,3138,37,0,0
2020-03-05,3711,53,2,0
2020-03-06,4000,72,2,0
2020-03-07,4308,90,2,0
2020-03-08,4509,117,3,0
2020-03-09,4734,150,3,0
2020-03-10,5026,208,5,0
2020-03-11,5362,318,6,0
2020-03-12,5869,417,6,1
2020-03-13,6582,625,6,1
2020-03-14,7467,811,7,2
2020-03-15,8167,1010,10,3
2020-03-16,8490,1232,22,5
2020-03-17,10278,1592,23,7
2020-03-18,11977,1950,27,11
2020-03-19,13724,2336,31,14
2020-03-20,15613,2868,43,19
2020-03-21,18545,3341,52,23
2020-03-22,21368,3968,59,31
2020-03-23,23429,4719,96,43
2020-03-24,28391,5405,156,53
2020-03-25,32407,6136,226,62
2020-03-26,35995,7201,329,78
2020-03-27,39552,8031,481,96
2020-03-28,42750,8710,612,114
2020-03-29,46441,9240,783,128
2020-03-30,49455,9861,1005,148
2020-03-31,52344,10434,1238,165
2020-04-01,55863,10946,1453,176
2020-04-02,92190,11409,1749,196
2020-04-03,98343,11826,2022,213
2020-04-04,104134,12121,2507,234
2020-04-05,108416,12294,2998,256
2020-04-06,111296,12569,3463,284
2020-04-07,115235,12876,4046,312
2020-04-08,120755,13145,4512,329
2020-04-09,126287,13438,5240,350
2020-04-10,134743,13810,6064,372
2020-04-11,140975,14021,6604,387
2020-04-12,144877,14131,6984,399
2020-04-13,148412,14220,7343,420
2020-04-14,151796,14367,7633,432
2020-04-15,156801,14485,8098,447
2020-04-16,162816,14612,8986,469
2020-04-17,169272,14709,9704,482
2020-04-18,175932,14771,10214,497
2020-04-19,179243,14819,10501,512
2020-04-20,182949,14879,10631,519
2020-04-21,189018,14943,10971,536
2020-04-22,201794,15024,11328,547
2020-04-23,205835,15087,11694,551
2020-04-24,212686,15170,11872,557
2020-04-25,221089,15228,12103,571
2020-04-26,227631,15270,12282,580
2020-04-27,232537,15335,12362,584
2020-04-28,239578,15387,12580,596
2020-04-29,247754,15442,12779,602
2020-04-30,256399,15507,12907,608
2020-05-01,264079,15537,13092,611
2020-05-02,269619,15569,13180,613
2020-05-03,274355,15585,13238,618
2020-05-04,279071,15611,13316,621
2020-05-05,285883,15656,13462,624
2020-05-06,292254,15709,13639,628
2020-05-07,297894,15742,13698,630
2020-05-08,304069,15789,13836,635
2020-05-09,311690,15827,13928,638
2020-05-10,316508,15838,13991,640
2020-05-11,319484,15911,14061,642
2020-05-12,329314,15949,14148,643
2020-05-13,336252,16010,14304,644
2020-05-14,344606,16053,14405,647
2020-05-15,351351,16135,14471,647
2020-05-16,357393,16152,14524,648
2020-05-17,362509,16178,14563,649
2020-05-18,365873,16224,14614,651
2020-05-19,372435,16275,14678,652
2020-05-20,379592,16320,14882,655
2020-05-21,379592,16347,14951,657
2020-05-22,390488,16378,15005,659
2020-05-23,396363,16405,15037,660
2020-05-24,401857,16437,15063,660
2020-05-25,405341,16463,15138,661
2020-05-26,411185,16490,15182,663
2020-05-27,418706,16523,15228,663
2020-05-28,427372,16551,15286,663
2020-05-29,434302,16579,15347,664
2020-05-30,442143,16625,15520,664
2020-05-31,448534,16630,15593,664
2020-06-01,451820,16649,15596,665
2020-06-02,456378,16665,15629,665
2020-06-03,462958,16701,15672,667
2020-06-04,471466,16735,15717,669
2020-06-05,479449,16795,15742,670
2020-06-06,485912,16814,15789,670
2020-06-07,489597,16857,15793,670
2020-06-08,494761,16885,15839,670
2020-06-09,500921,16901,15875,672
2020-06-10,506344,16936,15910,674
2020-06-11,512501,16957,15949,674
2020-06-12,512501,16989,15985,674
2020-06-13,520976,17007,16012,675
2020-06-14,524840,17029,16059,678
2020-06-15,527670,17086,16066,683
2020-06-16,532700,17096,16089,685
2020-06-17,540615,17120,16099,686
2020-06-18,545927,17167,16101,686
2020-06-19,552130,17221,16141,687
2020-06-20,558208,17241,16175,689
2020-06-21,560584,17276,16197,690
2020-06-22,565800,17308,16241,691
2020-06-23,572473,17351,16261,693
2020-06-24,578584,17381,16282,695
2020-06-25,584243,17431,16320,696
2020-06-26,590442,17496,16348,696
2020-06-27,597495,17557,16371,698
2020-06-28,602520,17623,16401,699
2020-06-29,606375,17666,16420,700
2020-06-30,612756,17772,16478,700
2020-07-01,620866,17856,16491,700
2020-07-02,628700,17954,16514,700
2020-07-03,635505,18078,16558,701
2020-07-04,642679,18195,16607,701
2020-07-05,647804,18271,16615,701
2020-07-06,654105,18339,16647,701
2020-07-07,660149,18429,16686,701
2020-07-08,668220,18528,16721,701
2020-07-09,675727,18617,16758,701
2020-07-10,683484,18708,16808,701
2020-07-11,691709,18815,16864,703
2020-07-12,696740,18869,16952,704
2020-07-13,700616,18965,17000,705
2020-07-14,700616,19087,17073,705
2020-07-15,716293,19203,17175,706
2020-07-16,726345,19367,17244,706
2020-07-17,734413,19498,17335,706
2020-07-18,743090,19575,17501,706
2020-07-19,748669,19660,17599,706
2020-07-20,798436,19750,17659,707
2020-07-21,805600,19886,17704,707
2020-07-22,814681,20048,17849,707
2020-07-23,826031,20170,17943,708
2020-07-24,833841,20317,18042,708
2020-07-25,840890,20433,18124,709
2020-07-26,847898,20526,18209,709
2020-07-27,861206,20634,18246,712
2020-07-28,870602,20785,18379,712
2020-07-29,880036,20884,18528,713
2020-07-30,890461,21075,18628,713
2020-07-31,897819,21197,18758,713
2020-08-01,905314,21257,18911,713
2020-08-02,910437,21336,18984,714
2020-08-03,916778,21418,19063,714
2020-08-04,923902,21512,19336,714
2020-08-05,923902,21667,19464,715
2020-08-06,937275,21792,19596,716
2020-08-07,947305,21890,19690,716
2020-08-08,955239,21991,19812,717
2020-08-09,961868,22066,19923,717
2020-08-10,965758,22224,20010,717
2020-08-11,974508,22408,20123,719
2020-08-12,983018,22602,20268,720
2020-08-13,991508,22845,20346,722
2020-08-14,1003432,23180,20499,723
2020-08-15,1009354,23355,20627,723
2020-08-16,1018490,23508,20681,723
2020-08-17,1024067,23767,20765,723
2020-08-18,1037888,24021,20870,723
2020-08-19,1048216,24385,20960,724
2020-08-20,1061437,24711,21093,724
2020-08-21,1075409,24999,21260,725
2020-08-22,1087155,25252,21406,725
2020-08-23,1094987,25448,21558,725
2020-08-24,1101206,25650,21657,726
2020-08-25,1110089,25978,21888,726
2020-08-26,1119199,26302,22145,726
2020-08-27,1133243,26538,22317,726
2020-08-28,1147944,26910,22594,726
2020-08-29,1160743,27118,22866,726
2020-08-30,1172092,27389,23070,726
2020-08-31,1180711,27602,23226,727
2020-09-01,1193127,27896,23565,727
2020-09-02,1210568,28321,23820,727
2020-09-03,1225257,28679,24171,727
2020-09-04,1236489,29058,24513,729
2020-09-05,1247807,29268,24828,729
2020-09-06,1255825,29558,25043,729
2020-09-07,1266223,30045,25300,729
2020-09-08,1276477,30611,25629,730
2020-09-09,1288059,31318,25764,730
2020-09-10,1303030,31926,26043,734
2020-09-11,1316819,32814,26257,738
2020-09-12,1331493,33242,26579,740
2020-09-13,1342066,33688,26760,740
2020-09-14,1351408,34503,27010,740
2020-09-15,1364508,35266,27354,740
2020-09-16,1379839,36072,27655,744
2020-09-17,1379839,36907,28044,747
2020-09-18,1413965,37786,28451,750
2020-09-19,1432099,38420,28961,750
2020-09-20,1444683,38917,29229,753
2020-09-21,1458095,39618,29516,756
2020-09-22,1472647,40328,30312,759
2020-09-23,1489264,41091,30949,763
2020-09-24,1507782,41744,31661,766
2020-09-25,1507782,42488,32301,768
2020-09-26,1545634,43053,33154,771
2020-09-27,1555499,43622,33589,775
2020-09-28,1569992,44353,34052,776
2020-09-29,1586578,45049,34916,780
2020-09-30,1617987,45935,35644,781
2020-10-01,1636573,46760,36476,786
2020-10-02,1658412,47746,37186,791
2020-10-03,1658412,48449,38045,794
2020-10-04,1686373,49162,38629,801
