date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,1,0,0
2020-03-17,0,1,0,0
2020-03-18,0,1,0,0
2020-03-19,0,3,0,0
2020-03-20,0,3,0,0
2020-03-21,0,4,0,0
2020-03-22,0,4,0,0
2020-03-23,0,4,0,0
2020-03-24,0,5,1,0
2020-03-25,0,5,1,0
2020-03-26,0,9,1,0
2020-03-27,0,10,1,0
2020-03-28,0,10,1,0
2020-03-29,0,11,1,0
2020-03-30,0,14,1,0
2020-03-31,0,14,1,0
2020-04-01,0,21,1,1
2020-04-02,0,24,1,1
2020-04-03,0,24,1,1
2020-04-04,0,28,1,4
2020-04-05,0,28,1,4
2020-04-06,0,29,4,5
2020-04-07,0,33,5,6
2020-04-08,0,40,5,7
2020-04-09,0,41,5,8
2020-04-10,0,42,5,8
2020-04-11,0,46,5,8
2020-04-12,0,46,5,8
2020-04-13,0,47,6,8
2020-04-14,0,49,6,8
2020-04-15,0,49,6,8
2020-04-16,0,53,6,8
2020-04-17,0,54,6,9
2020-04-18,0,55,10,9
2020-04-19,0,55,10,9
2020-04-20,0,60,11,9
2020-04-21,0,65,12,9
2020-04-22,0,65,12,9
2020-04-23,0,72,14,11
2020-04-24,0,73,15,11
2020-04-25,0,78,15,11
2020-04-26,0,80,22,11
2020-04-27,0,80,22,11
2020-04-28,0,80,23,11
2020-04-29,0,80,23,11
2020-04-30,0,81,25,11
2020-05-01,0,81,24,11
2020-05-02,0,83,24,11
2020-05-03,0,83,24,11
2020-05-04,0,83,25,11
2020-05-05,0,89,26,11
2020-05-06,0,92,26,11
2020-05-07,0,92,26,11
2020-05-08,0,92,31,11
2020-05-09,0,92,37,11
2020-05-10,0,92,37,11
2020-05-11,0,93,39,11
2020-05-12,0,93,39,11
2020-05-13,0,94,41,11
2020-05-14,0,96,41,11
2020-05-15,0,96,41,11
2020-05-16,0,96,42,11
2020-05-17,0,96,42,11
2020-05-18,0,96,43,11
2020-05-19,0,96,43,11
2020-05-20,0,97,43,11
2020-05-21,0,97,44,11
2020-05-22,0,97,44,11
2020-05-23,0,100,45,11
2020-05-24,0,100,45,11
2020-05-25,0,100,46,11
2020-05-26,0,100,46,11
2020-05-27,0,100,46,11
2020-05-28,0,101,47,11
2020-05-29,0,102,48,11
2020-05-30,0,102,48,11
2020-05-31,0,102,48,11
2020-06-01,0,102,49,11
2020-06-02,0,102,49,11
2020-06-03,0,102,55,11
2020-06-04,0,102,55,11
2020-06-05,0,102,55,11
2020-06-06,0,103,62,11
2020-06-07,0,103,62,11
2020-06-08,0,103,64,11
2020-06-09,0,103,64,11
2020-06-10,0,103,67,11
2020-06-11,0,103,68,11
2020-06-12,0,103,68,11
2020-06-13,0,103,68,11
2020-06-14,0,103,68,11
2020-06-15,0,103,68,11
2020-06-16,0,104,72,11
2020-06-17,0,104,72,11
2020-06-18,0,104,74,11
2020-06-19,0,104,74,11
2020-06-20,0,104,74,11
2020-06-21,0,104,77,11
2020-06-22,0,104,77,11
2020-06-23,0,104,83,11
2020-06-24,0,104,83,11
2020-06-25,0,104,84,11
2020-06-26,0,104,84,11
2020-06-27,0,104,87,11
2020-06-28,0,104,87,11
2020-06-29,0,104,87,11
2020-06-30,0,104,87,11
2020-07-01,0,104,89,11
2020-07-02,0,104,89,11
2020-07-03,0,104,89,11
2020-07-04,0,104,89,11
2020-07-05,0,104,89,11
2020-07-06,0,104,89,11
2020-07-07,0,104,89,11
2020-07-08,0,106,89,11
2020-07-09,0,107,89,11
2020-07-10,0,108,89,11
2020-07-11,0,111,89,11
2020-07-12,0,111,89,11
2020-07-13,0,113,91,11
2020-07-14,0,116,91,11
2020-07-15,0,119,91,11
2020-07-16,0,124,91,11
2020-07-17,0,129,91,11
2020-07-18,0,138,91,11
2020-07-19,0,153,91,11
2020-07-20,0,174,91,11
2020-07-21,0,194,91,11
2020-07-22,0,219,91,11
2020-07-23,0,274,91,11
2020-07-24,0,316,91,11
2020-07-25,0,326,91,11
2020-07-26,0,342,91,11
2020-07-27,0,382,91,11
2020-07-28,0,447,91,11
2020-07-29,0,484,91,11
2020-07-30,0,508,91,14
2020-07-31,0,574,91,14
2020-08-01,0,599,91,14
2020-08-02,0,648,91,14
2020-08-03,0,679,91,14
2020-08-04,0,715,91,14
2020-08-05,0,751,91,14
2020-08-06,0,761,91,14
2020-08-07,0,830,95,14
2020-08-08,0,878,99,14
2020-08-09,0,898,104,15
2020-08-10,0,945,113,15
2020-08-11,0,989,116,15
2020-08-12,0,1036,122,15
2020-08-13,0,1089,138,15
2020-08-14,0,1119,138,17
2020-08-15,0,1252,160,17
2020-08-16,0,1315,189,18
2020-08-17,0,1329,191,19
2020-08-18,0,1424,203,20
2020-08-19,0,1531,209,22
2020-08-20,0,1610,211,23
2020-08-21,0,1703,221,27
2020-08-22,0,1765,227,27
2020-08-23,0,1784,634,29
2020-08-24,0,1798,634,44
2020-08-25,0,1813,634,46
2020-08-26,0,1923,733,48
2020-08-27,0,2020,742,48
2020-08-28,0,2057,755,50
2020-08-29,0,2135,782,50
2020-08-30,0,2167,782,50
2020-08-31,0,2217,801,50
2020-09-01,0,2276,801,50
2020-09-02,0,2337,849,50
2020-09-03,0,2386,893,50
2020-09-04,0,2386,893,50
2020-09-05,0,2476,948,55
2020-09-06,0,2506,948,56
2020-09-07,0,2546,976,58
2020-09-08,0,2585,976,59
2020-09-09,0,2721,1183,63
2020-09-10,0,2721,1183,63
2020-09-11,0,2814,1220,65
2020-09-12,0,2928,1319,67
2020-09-13,0,2928,1319,67
2020-09-14,0,3008,1391,68
2020-09-15,0,3032,1482,69
2020-09-16,0,3087,1533,69
2020-09-17,0,3177,1626,69
2020-09-18,0,3177,1626,69
2020-09-19,0,3214,1679,73
2020-09-20,0,3315,1689,74
2020-09-21,0,3418,1771,75
2020-09-22,0,3467,1871,77
2020-09-23,0,3618,1915,80
2020-09-24,0,3699,1962,86
2020-09-25,0,3790,1999,89
2020-09-26,0,3790,1999,89
2020-09-27,0,3838,2005,89
2020-09-28,0,3838,2005,89
2020-09-29,0,3903,2072,91
2020-09-30,0,4123,2206,96
2020-10-01,0,4123,2206,96
2020-10-02,0,4220,2290,96
2020-10-03,0,4332,2375,96
2020-10-04,0,4409,2375,96
2020-10-05,0,4452,2375,96
2020-10-06,0,4559,2475,100
2020-10-07,0,4713,2607,102
2020-10-08,0,4713,2607,102
