date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,1,0,0
2020-02-25,0,23,0,0
2020-02-26,0,33,0,0
2020-02-27,0,33,0,0
2020-02-28,0,36,0,0
2020-02-29,0,41,0,0
2020-03-01,0,47,0,0
2020-03-02,0,49,0,0
2020-03-03,0,49,0,0
2020-03-04,0,52,0,0
2020-03-05,5334,55,0,0
2020-03-06,5334,60,4,0
2020-03-07,6420,85,4,0
2020-03-08,6420,85,4,0
2020-03-09,7830,95,14,0
2020-03-10,8354,110,22,0
2020-03-11,8810,195,35,0
2020-03-12,9042,195,35,0
2020-03-13,9042,195,44,0
2020-03-14,9042,210,44,0
2020-03-15,9042,214,60,0
2020-03-16,12131,214,77,1
2020-03-17,13553,228,81,1
2020-03-18,13553,256,88,1
2020-03-19,13553,278,100,1
2020-03-20,19098,285,100,1
2020-03-21,19098,305,125,1
2020-03-22,19098,334,149,2
2020-03-23,25169,377,149,2
2020-03-24,25169,392,177,3
2020-03-25,25169,419,177,4
2020-03-26,29533,458,204,4
2020-03-27,29533,466,227,4
2020-03-28,29533,476,265,4
2020-03-29,31895,499,272,4
2020-03-30,32596,515,279,4
2020-03-31,32596,567,295,4
2020-04-01,32596,569,337,4
2020-04-02,32596,643,381,4
2020-04-03,37996,672,382,4
2020-04-04,39256,688,423,4
2020-04-05,44386,700,431,4
2020-04-06,47684,756,458,4
2020-04-07,50127,811,458,5
2020-04-08,52804,823,477,5
2020-04-09,55096,887,519,5
2020-04-10,57681,925,539,6
2020-04-11,60706,1040,555,6
2020-04-12,63973,1136,558,6
2020-04-13,67327,1361,591,6
2020-04-14,70813,1528,645,7
2020-04-15,73272,1671,663,7
2020-04-16,76944,1700,703,7
2020-04-17,79612,1740,725,7
2020-04-18,82568,1773,755,7
2020-04-19,86732,1881,759,7
2020-04-20,90307,1907,769,7
2020-04-21,94380,1973,784,7
2020-04-22,97796,2027,1026,7
2020-04-23,100031,2217,1082,8
2020-04-24,105365,2518,1113,8
2020-04-25,110407,2588,1160,8
2020-04-26,114110,2647,1189,8
2020-04-27,117797,2723,1218,8
2020-04-28,121706,2811,1310,8
2020-04-29,126905,2921,1455,8
2020-04-30,129694,3040,1500,8
2020-05-01,134082,3170,1555,8
2020-05-02,138278,3284,1568,8
2020-05-03,144155,3383,1718,8
2020-05-04,149586,3533,1744,8
2020-05-05,155501,3720,1762,8
2020-05-06,160341,3934,1860,8
2020-05-07,166378,4199,2000,8
2020-05-08,172158,4444,2028,8
2020-05-09,178353,4774,2055,8
2020-05-10,184029,4941,2070,8
2020-05-11,190780,5236,2152,8
2020-05-12,197898,5531,2192,9
2020-05-13,205570,5816,2205,10
2020-05-14,211127,6198,2353,10
2020-05-15,222542,6583,2640,12
2020-05-16,230188,6747,2762,12
2020-05-17,236828,6956,2910,12
2020-05-18,243031,7184,2931,12
2020-05-19,248205,7532,2952,12
2020-05-20,255633,7888,3568,12
2020-05-21,255633,8174,3873,12
2020-05-22,269179,8414,4096,12
2020-05-23,276552,8802,4465,13
2020-05-24,281204,9138,4587,14
2020-05-25,283884,9171,4753,14
2020-05-26,286223,9366,4938,14
2020-05-27,291127,9692,5152,15
2020-05-28,297873,10052,5419,15
2020-05-29,304179,10449,5700,15
2020-05-30,309573,10793,5826,17
2020-05-31,316807,11398,6673,19
2020-06-01,323162,11871,7070,19
2020-06-02,330733,12311,7407,19
2020-06-03,337773,12815,7410,20
2020-06-04,345337,13296,7728,21
2020-06-05,354122,13835,8585,22
2020-06-06,361376,14383,9056,24
2020-06-07,367056,14763,9468,26
2020-06-08,374362,15417,10326,27
2020-06-09,378235,15731,10606,29
2020-06-10,386134,16200,11109,31
2020-06-11,393910,16667,11487,34
2020-06-12,403036,17269,11903,36
2020-06-13,410842,17713,12191,37
2020-06-14,418413,18227,12818,42
2020-06-15,425192,19013,13267,46
2020-06-16,438080,19553,13866,47
2020-06-17,438080,19961,14185,49
2020-06-18,454368,20430,14696,55
2020-06-19,454368,20916,15287,57
2020-06-20,470409,21331,15790,60
2020-06-21,470409,21764,16419,63
2020-06-22,485715,22407,16862,65
2020-06-23,485715,23062,17450,67
2020-06-24,494028,23570,17977,69
2020-06-25,502763,24081,18501,71
2020-06-26,511458,24805,19137,73
2020-06-27,521101,25267,19781,78
2020-06-28,529242,25705,20517,83
2020-06-29,536516,26239,20928,84
2020-06-30,545125,26758,21331,87
2020-07-01,554239,27414,21948,92
2020-07-02,564365,27837,22583,94
2020-07-03,574105,28410,23318,95
2020-07-04,584070,28857,23959,96
2020-07-05,602151,29367,24649,97
2020-07-06,612096,29821,25178,98
2020-07-07,612096,30321,25570,98
2020-07-08,630753,30931,26073,98
2020-07-09,630753,31528,26520,103
2020-07-10,640219,32039,27213,104
2020-07-11,649020,32470,27828,104
2020-07-12,656659,32941,28425,108
2020-07-13,666248,33476,29099,109
2020-07-14,675451,34078,29753,111
2020-07-15,685318,34560,30320,117
2020-07-16,693539,35084,30809,121
2020-07-17,703002,35473,31188,124
2020-07-18,710686,36004,31765,124
2020-07-19,717723,36422,32372,126
2020-07-20,726140,36936,32965,128
2020-07-21,744694,37316,33455,129
2020-07-22,744694,37637,33894,130
2020-07-23,760733,37996,34412,134
2020-07-24,760733,38458,34826,136
2020-07-25,780081,38747,35205,137
2020-07-26,780081,39131,35689,140
2020-07-27,798799,39482,36110,141
2020-07-28,808276,39921,36531,141
2020-07-29,817608,40311,36920,144
2020-07-30,826672,40755,37357,146
2020-07-31,830998,40982,37840,147
2020-08-01,835567,41190,38211,147
2020-08-02,842992,41536,38666,147
2020-08-03,850648,41835,39007,150
2020-08-04,858249,42132,39335,151
2020-08-05,858249,42514,39576,154
2020-08-06,867534,42889,39945,156
2020-08-07,876700,43307,40276,159
2020-08-08,886095,43629,40549,161
2020-08-09,892926,44011,40967,162
2020-08-10,902059,44397,41209,163
2020-08-11,912111,44804,41504,165
2020-08-12,933762,45264,41836,166
2020-08-13,933762,45726,42180,167
2020-08-14,944798,46052,42469,168
2020-08-15,954192,46430,42806,170
2020-08-16,962334,46835,43128,170
2020-08-17,972003,47185,43529,173
2020-08-18,981208,47581,43921,175
2020-08-19,1000787,47950,44278,178
2020-08-20,1000787,48303,44628,179
2020-08-21,1011805,48661,45166,181
2020-08-22,1020803,49038,45589,183
2020-08-23,1029969,49330,45981,184
2020-08-24,1039571,49719,46311,185
2020-08-25,1048935,50076,46673,186
2020-08-26,1067907,50393,47049,186
2020-08-27,1067907,50756,47370,188
2020-08-28,1078767,51113,47760,189
2020-08-29,1088418,51391,48275,189
2020-08-30,1100729,51574,48654,189
2020-08-31,1100729,51972,49047,190
2020-09-01,1108088,52440,49395,190
2020-09-02,1118837,52807,49645,190
2020-09-03,1128829,53433,50013,190
2020-09-04,1140563,54095,50323,195
2020-09-05,1152274,54771,50645,196
2020-09-06,1172808,55415,50946,199
2020-09-07,1172808,56076,51240,200
2020-09-08,1194923,56778,51574,202
2020-09-09,1207260,57450,51819,203
2020-09-10,1207260,58207,52284,207
2020-09-11,1230227,58839,52776,208
2020-09-12,1240204,59586,53192,211
2020-09-13,1240204,60307,53681,212
2020-09-14,1252898,60965,54204,213
2020-09-15,1276075,61643,54831,213
2020-09-16,1288374,62484,55444,216
2020-09-17,1288374,63189,56087,217
2020-09-18,1301170,63879,56700,220
2020-09-19,1324002,64499,57299,221
2020-09-20,1324002,65039,57950,221
2020-09-21,1333275,65752,58626,224
2020-09-22,1344713,66402,59367,227
2020-09-23,1355399,67014,60117,231
2020-09-24,1378104,67701,60853,231
2020-09-25,1378104,68190,61475,236
2020-09-26,1388323,68775,62252,239
2020-09-27,1398454,69361,62887,242
2020-09-28,1407572,69848,63549,245
2020-09-29,1418129,70422,64267,246
2020-09-30,1429432,70864,64838,251
2020-10-01,1439332,71374,65550,254
2020-10-02,1450153,71803,66184,255
2020-10-03,1458920,72310,66813,258
2020-10-04,1468655,72662,67475,260
2020-10-05,1478163,73116,67933,261
2020-10-06,1488703,73476,68606,262
2020-10-07,1488703,73476,68606,262
