date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,108,0,0,0
2020-03-04,111,0,0,0
2020-03-05,111,0,0,0
2020-03-06,120,0,0,0
2020-03-07,127,0,0,0
2020-03-08,137,3,0,0
2020-03-09,147,3,0,0
2020-03-10,163,3,0,0
2020-03-11,187,3,0,0
2020-03-12,211,3,0,0
2020-03-13,241,3,0,0
2020-03-14,268,3,0,0
2020-03-15,293,5,0,0
2020-03-16,342,8,2,0
2020-03-17,381,10,3,0
2020-03-18,427,14,3,1
2020-03-19,463,17,3,1
2020-03-20,499,20,3,1
2020-03-21,564,25,3,2
2020-03-22,620,27,3,2
2020-03-23,712,33,3,3
2020-03-24,794,39,5,4
2020-03-25,920,39,7,5
2020-03-26,1026,44,11,5
2020-03-27,1076,48,11,5
2020-03-28,1185,48,15,5
2020-03-29,1338,48,15,5
2020-03-30,1602,49,19,5
2020-03-31,1759,51,25,5
2020-04-01,1906,54,25,6
2020-04-02,2113,56,25,6
2020-04-03,2547,61,26,6
2020-04-04,2914,70,30,8
2020-04-05,3610,88,33,9
2020-04-06,4402,123,33,12
2020-04-07,5383,164,33,17
2020-04-08,6480,218,33,20
2020-04-09,7664,330,33,21
2020-04-10,8313,424,33,27
2020-04-11,9653,482,36,30
2020-04-12,11223,621,39,34
2020-04-13,13128,803,42,39
2020-04-14,14868,1012,42,46
2020-04-15,17003,1231,49,50
2020-04-16,19193,1572,49,60
2020-04-17,21307,1838,58,75
2020-04-18,23941,2144,66,84
2020-04-19,26604,2456,75,91
2020-04-20,29578,2948,85,101
2020-04-21,32674,3382,87,110
2020-04-22,36090,3772,92,120
2020-04-23,39776,4186,108,127
2020-04-24,43113,4689,112,131
2020-04-25,46589,4998,113,140
2020-04-26,50401,5416,122,145
2020-04-27,54733,5913,131,152
2020-04-28,59701,6462,139,155
2020-04-29,64666,7103,150,163
2020-04-30,70239,7667,160,168
2020-05-01,76066,8238,174,170
2020-05-02,81434,8790,177,175
2020-05-03,87694,9455,1063,177
2020-05-04,93405,10143,1209,182
2020-05-05,93405,10929,1403,183
2020-05-06,99646,11719,1403,186
2020-05-07,105513,12425,1910,199
2020-05-08,111454,13134,2101,206
2020-05-09,116919,13770,2414,214
2020-05-10,122657,14657,2650,228
2020-05-11,129865,15691,2902,239
2020-05-12,136638,16660,3147,250
2020-05-13,144538,17822,3361,269
2020-05-14,151930,18863,3361,283
2020-05-15,160512,20065,3882,298
2020-05-16,167294,20995,4117,314
2020-05-17,175408,22268,4373,328
2020-05-18,185196,23870,4585,349
2020-05-19,193645,25121,4993,370
2020-05-20,203905,26738,5207,386
2020-05-21,214167,28511,5602,408
2020-05-22,223894,30205,6190,432
2020-05-23,234728,32078,6486,452
2020-05-24,243636,33610,6901,480
2020-05-25,253087,35585,7334,501
2020-05-26,258494,36751,7579,522
2020-05-27,266509,38292,7925,544
2020-05-28,275819,40321,8425,559
2020-05-29,287120,42844,9015,582
2020-05-30,297117,44608,9375,610
2020-05-31,308993,47153,9781,650
2020-06-01,320332,49534,10597,672
2020-06-02,333036,52445,11120,709
2020-06-03,345546,55140,11590,746
2020-06-04,358240,57563,12161,781
2020-06-05,372328,60391,12804,811
2020-06-06,384814,63026,13325,846
2020-06-07,397950,65769,13903,888
2020-06-08,410894,68504,14560,930
2020-06-09,425558,71675,15337,975
2020-06-10,441523,74865,15900,1012
2020-06-11,457295,78052,16747,1049
2020-06-12,473285,81523,17249,1095
2020-06-13,489923,84379,17828,1139
2020-06-14,504428,87520,18730,1171
2020-06-15,519466,90619,18731,1209
2020-06-16,536680,94481,36264,1262
2020-06-17,554207,98489,38189,1305
2020-06-18,570466,102292,40164,1343
2020-06-19,585511,105535,42945,1388
2020-06-20,599542,108775,43993,1425
2020-06-21,615127,112306,45077,1464
2020-06-22,630682,115786,46755,1502
2020-06-23,646974,119198,47635,1545
2020-06-24,663407,122660,49666,1582
2020-06-25,681406,126606,51495,1621
2020-06-26,699904,130474,53133,1661
2020-06-27,715061,133978,54318,1695
2020-06-28,733160,137787,55727,1738
2020-06-29,750997,141801,57780,1783
2020-06-30,769423,145483,59624,1847
2020-07-01,787298,149258,62108,1888
2020-07-02,805660,153277,66442,1926
2020-07-03,820310,156391,68048,1968
2020-07-04,835037,159679,70721,1997
2020-07-05,849025,162417,72625,2052
2020-07-06,863270,165618,76149,2096
2020-07-07,876443,168645,78102,2151
2020-07-08,892115,172134,80838,2197
2020-07-09,907747,175494,84544,2238
2020-07-10,921235,178443,86406,2275
2020-07-11,932428,181129,88034,2305
2020-07-12,943487,183795,93614,2352
2020-07-13,955910,186894,98317,2391
2020-07-14,969363,190057,103227,2424
2020-07-15,983365,193590,105523,2457
2020-07-16,996254,196323,106963,2496
2020-07-17,1009714,199357,108725,2547
2020-07-18,1020637,202066,110098,2581
2020-07-19,1031262,204525,111642,2618
2020-07-20,1044624,207453,113556,2668
2020-07-21,1057522,210510,115397,2709
2020-07-22,1069572,213254,117202,2751
2020-07-23,1081970,216110,119208,2801
2020-07-24,1093997,218658,120976,2836
2020-07-25,1104443,221178,122090,2874
2020-07-26,1114521,223453,123882,2928
2020-07-27,1127380,226225,125683,2965
2020-07-28,1140094,229185,127414,3000
2020-07-29,1154221,232194,130292,3035
2020-07-30,1167158,234889,132960,3083
2020-07-31,1179772,237661,135136,3111
2020-08-01,1188574,239860,136253,3132
2020-08-02,1192258,240746,136839,3154
2020-08-03,1196507,242102,137905,3184
2020-08-04,1204219,244020,139860,3234
2020-08-05,1215379,246674,141750,3267
2020-08-06,1228087,249651,143824,3306
2020-08-07,1240786,252502,145584,3333
2020-08-08,1252523,255113,146604,3365
2020-08-09,1263282,257600,148370,3399
2020-08-10,1276131,260507,150437,3438
2020-08-11,1290951,263503,151972,3471
2020-08-12,1305702,266498,153089,3513
2020-08-13,1318864,269115,154871,3557
2020-08-14,1331720,271881,156623,3591
2020-08-15,1344611,274525,157635,3625
2020-08-16,1354629,276549,158950,3657
2020-08-17,1367152,279144,160591,3694
2020-08-18,1381782,282344,162825,3740
2020-08-19,1396460,285091,165738,3781
2020-08-20,1410519,287959,168991,3822
2020-08-21,1423462,290360,172615,3861
2020-08-22,1434818,292625,175567,3907
2020-08-23,1445619,294598,179091,3941
2020-08-24,1459001,297083,182875,3983
2020-08-25,1473154,299628,186756,4028
2020-08-26,1488224,302147,190183,4082
2020-08-27,1503348,304583,193458,4127
2020-08-28,1517089,306794,196836,4174
2020-08-29,1528778,308925,198863,4206
2020-08-30,1540712,310822,201907,4248
2020-08-31,1553166,312996,204887,4281
2020-09-01,1565375,314946,208177,4316
2020-09-02,1580579,317528,211016,4351
2020-09-03,1595001,319686,213980,4383
2020-09-04,1608074,321615,216191,4412
2020-09-05,1620921,323565,217852,4447
2020-09-06,1632275,325157,221275,4479
2020-09-07,1647687,327359,224573,4516
2020-09-08,1662660,329251,227809,4552
2020-09-09,1677415,331078,230804,4593
2020-09-10,1692974,332970,233550,4634
2020-09-11,1707721,334762,236024,4668
2020-09-12,1718444,336044,238271,4702
2020-09-13,1731443,337520,240643,4733
2020-09-14,1745659,339332,243155,4759
2020-09-15,1759709,341056,245594,4802
2020-09-16,1773069,342671,247969,4823
2020-09-17,1786742,344264,250412,4859
2020-09-18,1799472,345805,252335,4881
2020-09-19,1812642,347372,254386,4913
2020-09-20,1824233,348918,256565,4939
2020-09-21,1837286,350621,258717,4979
2020-09-22,1851450,352178,260790,5007
2020-09-23,1865600,353844,262953,5044
2020-09-24,1878500,355384,265092,5072
2020-09-25,1890973,356767,267024,5093
2020-09-26,1901738,357873,268777,5129
2020-09-27,1912423,359148,270491,5161
2020-09-28,1924345,360555,272073,5193
2020-09-29,1937214,362043,273698,5219
2020-09-30,1950618,363479,275487,5251
2020-10-01,1962038,364987,277078,5272
