date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,1,0,0
2020-02-29,0,1,0,0
2020-03-01,0,1,0,0
2020-03-02,0,1,0,0
2020-03-03,5000,1,0,0
2020-03-04,5000,6,0,0
2020-03-05,5000,6,0,0
2020-03-06,5000,6,0,0
2020-03-07,5000,6,0,0
2020-03-08,5000,6,0,0
2020-03-09,5000,6,1,0
2020-03-10,5000,9,3,0
2020-03-11,5000,9,3,0
2020-03-12,10500,12,3,0
2020-03-13,10500,27,3,0
2020-03-14,10500,27,3,0
2020-03-15,10500,27,3,0
2020-03-16,16000,36,3,0
2020-03-17,16000,36,3,0
2020-03-18,16000,51,5,0
2020-03-19,16000,51,5,0
2020-03-20,19000,69,5,0
2020-03-21,19000,76,15,0
2020-03-22,19000,76,15,0
2020-03-23,19000,81,15,0
2020-03-24,19000,81,22,0
2020-03-25,19000,86,29,0
2020-03-26,19000,86,29,0
2020-03-27,19000,94,32,0
2020-03-28,19000,94,32,0
2020-03-29,19000,94,32,0
2020-03-30,30000,152,32,0
2020-03-31,31000,152,47,1
2020-04-01,32000,163,53,2
2020-04-02,32000,304,53,4
2020-04-03,32000,351,53,4
2020-04-04,32000,440,53,5
2020-04-05,32000,562,52,8
2020-04-06,40000,700,53,13
2020-04-07,40000,861,54,13
2020-04-08,46000,1066,77,13
2020-04-09,49000,1486,139,16
2020-04-10,49000,1981,169,19
2020-04-11,49000,2226,172,23
2020-04-12,64000,2578,203,26
2020-04-13,68000,2919,203,29
2020-04-14,71875,3281,203,33
2020-04-15,76198,3728,203,36
2020-04-16,76198,4204,203,40
2020-04-17,86813,4779,342,42
2020-04-18,92709,5297,342,45
2020-04-19,98231,5807,494,47
2020-04-20,102566,6264,514,51
2020-04-21,108545,6723,577,55
2020-04-22,114955,7281,769,58
2020-04-23,122543,8022,938,60
2020-04-24,130824,8773,1120,63
2020-04-25,139295,9590,1573,67
2020-04-26,147525,10463,1695,72
2020-04-27,153800,11289,1740,75
2020-04-28,161028,12208,1993,79
2020-04-29,168986,13181,2072,84
2020-04-30,176625,14027,2386,89
2020-05-01,186262,14917,2918,93
2020-05-02,195430,15828,3117,97
2020-05-03,204239,16705,3196,99
2020-05-04,211369,17489,3259,103
2020-05-05,211369,18350,3771,107
2020-05-06,211369,19255,4388,112
2020-05-07,229466,20168,5067,116
2020-05-08,240146,21101,5484,121
2020-05-09,251771,22052,6050,126
2020-05-10,263543,22973,6406,131
2020-05-11,274060,23906,6531,135
2020-05-12,284445,24873,6974,142
2020-05-13,296380,25825,7711,146
2020-05-14,308156,26772,8168,151
2020-05-15,308156,27730,8807,156
2020-05-16,308156,28681,9498,160
2020-05-17,350515,29650,9932,165
2020-05-18,350515,30572,10130,171
2020-05-19,350515,31508,10620,175
2020-05-20,387673,32426,11415,179
2020-05-21,387673,33371,12057,185
2020-05-22,419004,34303,12833,190
2020-05-23,434618,35244,13528,194
2020-05-24,434618,36198,14155,199
2020-05-25,463004,37144,14449,204
2020-05-26,472906,38059,15086,208
2020-05-27,472906,38956,15923,214
2020-05-28,472906,39858,16660,219
2020-05-29,472906,40764,17390,224
2020-05-30,526559,41658,17964,229
2020-05-31,541093,42556,18514,235
2020-06-01,553377,43403,18776,240
2020-06-02,562945,44255,19195,243
2020-06-03,562945,45116,20171,248
2020-06-04,562945,45981,21162,253
2020-06-05,562945,46868,22066,259
2020-06-06,562945,47751,23015,263
2020-06-07,622313,48630,23647,269
2020-06-08,632993,49453,23880,276
2020-06-09,632993,50265,24506,282
2020-06-10,632993,51066,25667,288
2020-06-11,632993,51816,26643,293
2020-06-12,632993,52520,27760,298
2020-06-13,714324,53241,29111,303
2020-06-14,714324,53973,30103,308
2020-06-15,749917,54680,30420,312
2020-06-16,760549,55369,31273,318
2020-06-17,760549,56032,32735,324
2020-06-18,800435,56657,34023,331
2020-06-19,821887,57333,35275,337
2020-06-20,842173,57936,36749,343
2020-06-21,842173,58505,37666,346
2020-06-22,876639,59023,37923,351
2020-06-23,876639,59487,38688,357
2020-06-24,901904,59945,40136,362
2020-06-25,919139,60382,41448,367
2020-06-26,939524,60713,42689,373
2020-06-27,939524,61095,44126,377
2020-06-28,939524,61475,45027,383
2020-06-29,992007,61790,45213,387
2020-06-30,992007,62118,46054,392
2020-07-01,992007,62424,47553,398
2020-07-02,992007,62698,48738,405
2020-07-03,1043876,62997,49909,412
2020-07-04,1043876,63270,50669,418
2020-07-05,1043876,63554,50871,423
2020-07-06,1074240,63804,51120,429
2020-07-07,1074240,64003,51902,436
2020-07-08,1074240,64224,52854,443
2020-07-09,1074240,64411,53609,449
2020-07-10,1074240,64604,54254,454
2020-07-11,1074240,64767,54919,459
2020-07-12,1134653,64932,55380,464
2020-07-13,1134653,65114,55492,468
2020-07-14,1134653,65269,55799,474
2020-07-15,1144696,65443,56379,480
2020-07-16,1144696,65623,56915,485
2020-07-17,1172880,65782,57370,491
2020-07-18,1172880,65953,57856,495
2020-07-19,1172880,66095,58204,499
2020-07-20,1172880,66213,58290,503
2020-07-21,1172880,66348,58592,507
2020-07-22,1209400,66521,59061,513
2020-07-23,1219705,66688,59439,519
2020-07-24,1230684,66846,59755,524
2020-07-25,1241624,67002,60092,530
2020-07-26,1251359,67132,60425,534
2020-07-27,1257399,67251,60492,538
2020-07-28,1257399,67366,60669,543
2020-07-29,1278583,67518,61442,548
2020-07-30,1288586,67665,61765,553
2020-07-31,1299428,67808,62444,559
2020-08-01,1299428,67946,62686,563
2020-08-02,1319976,68067,62896,567
2020-08-03,1319976,68166,62943,571
2020-08-04,1325776,68250,63163,574
2020-08-05,1325776,68376,63425,577
2020-08-06,1344303,68503,63756,580
2020-08-07,1344303,68614,64200,583
2020-08-08,1363011,68738,64744,585
2020-08-09,1363011,68850,64935,587
2020-08-10,1363011,68947,64991,589
2020-08-11,1377540,69005,65219,592
2020-08-12,1384026,69102,65893,595
2020-08-13,1384026,69203,66178,599
2020-08-14,1384026,69308,66452,603
2020-08-15,1384026,69308,66452,603
2020-08-16,1384026,69516,67072,610
2020-08-17,1384026,69589,67149,613
2020-08-18,1384026,69673,67339,617
2020-08-19,1384026,69801,67647,622
2020-08-20,1384026,69950,67929,627
2020-08-21,1384026,70111,68256,632
2020-08-22,1465555,70285,68577,637
2020-08-23,1474075,70468,68839,642
2020-08-24,1474075,70645,68925,646
2020-08-25,1480047,70727,69097,652
2020-08-26,1480047,70974,69378,657
2020-08-27,1497421,71165,69650,662
2020-08-28,1497421,71346,69887,667
2020-08-29,1497421,71523,70207,671
2020-08-30,1497421,71687,70452,676
2020-08-31,1497421,71843,70468,681
2020-09-01,1534792,71962,70606,686
2020-09-02,1534792,72141,70900,691
2020-09-03,1554129,72302,71205,696
2020-09-04,1554129,72485,71510,701
2020-09-05,1554129,72663,71843,705
2020-09-06,1554129,72859,71864,711
2020-09-07,1591247,73031,71883,716
2020-09-08,1591247,73208,71916,721
2020-09-09,1605547,73402,71999,726
2020-09-10,1605547,73591,72203,732
2020-09-11,1605547,73784,72369,738
2020-09-12,1605547,73975,72547,744
2020-09-13,1654618,74173,72584,750
2020-09-14,1661933,74360,72609,756
2020-09-15,1661933,74552,72661,761
2020-09-16,1672256,74763,72810,767
2020-09-17,1672256,74987,72967,771
2020-09-18,1700790,75230,73098,773
2020-09-19,1700790,75461,73212,776
2020-09-20,1700790,75674,73265,780
2020-09-21,1700790,75898,73301,785
2020-09-22,1744682,76104,73386,791
2020-09-23,1744682,76357,73564,796
2020-09-24,1744682,76651,73733,802
2020-09-25,1792426,76957,73925,807
2020-09-26,1792426,77289,74046,813
2020-09-27,1792426,77609,74120,818
2020-09-28,1792426,77946,74167,822
2020-09-29,1841704,78260,74320,828
2020-09-30,1841704,78631,74525,833
2020-10-01,1841704,79019,74777,839
2020-10-02,1841704,79421,74982,844
2020-10-03,1841704,79852,75148,851
2020-10-04,1841704,79852,75148,851
