date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,1,0
2020-02-18,0,0,1,0
2020-02-19,0,0,1,0
2020-02-20,0,0,1,0
2020-02-21,0,0,1,0
2020-02-22,0,0,1,0
2020-02-23,0,0,1,0
2020-02-24,0,0,1,0
2020-02-25,0,0,1,0
2020-02-26,0,0,1,0
2020-02-27,0,0,1,0
2020-02-28,0,0,1,0
2020-02-29,0,0,1,0
2020-03-01,0,19,1,0
2020-03-02,0,38,1,0
2020-03-03,0,72,1,0
2020-03-04,0,125,1,0
2020-03-05,0,206,1,0
2020-03-06,0,316,1,0
2020-03-07,0,343,1,0
2020-03-08,0,407,1,0
2020-03-09,0,501,1,0
2020-03-10,0,600,1,1
2020-03-11,0,774,1,4
2020-03-12,0,1024,1,5
2020-03-13,0,1362,1,8
2020-03-14,0,1541,1,13
2020-03-15,0,1755,1,19
2020-03-16,0,2142,1,30
2020-03-17,0,2564,1,40
2020-03-18,0,3098,31,62
2020-03-19,0,3811,31,95
2020-03-20,0,4473,1,130
2020-03-21,0,4943,263,170
2020-03-22,0,5429,263,217
2020-03-23,0,6757,263,295
2020-03-24,0,7952,461,371
2020-03-25,0,9151,547,478
2020-03-26,0,10514,675,580
2020-03-27,0,12032,858,708
2020-03-28,0,12876,1063,849
2020-03-29,0,13559,1359,998
2020-03-30,0,15297,1527,1168
2020-03-31,0,16978,1696,1376
2020-04-01,0,18494,2132,1608
2020-04-02,0,19973,2495,1827
2020-04-03,0,21667,2872,2063
2020-04-04,0,22589,3247,2333
2020-04-05,0,23254,3751,2579
2020-04-06,0,25188,3986,2836
2020-04-07,0,26703,4157,3113
2020-04-08,0,28301,4681,3434
2020-04-09,0,30540,5164,3705
2020-04-10,0,32876,5568,4007
2020-04-11,0,33905,5986,4292
2020-04-12,0,34429,6463,4557
2020-04-13,0,34966,6707,4834
2020-04-14,0,36526,6868,5095
2020-04-15,0,38159,7107,5375
2020-04-16,0,39833,7562,5621
2020-04-17,0,41227,7961,5826
2020-04-18,0,41949,8348,6034
2020-04-19,0,42392,8757,6224
2020-04-20,0,43668,8895,6430
2020-04-21,0,44938,9002,6633
2020-04-22,0,45715,9433,6814
2020-04-23,0,46691,9800,6970
2020-04-24,0,47502,10122,7125
2020-04-25,0,47890,10417,7267
2020-04-26,0,48095,10785,7421
2020-04-27,0,48850,10878,7556
2020-04-28,0,49419,10943,7666
2020-04-29,0,49941,11283,7773
2020-04-30,0,50527,11576,7860
2020-05-01,0,50764,11892,7953
2020-05-02,0,51050,12211,8028
2020-05-03,0,51190,12309,8122
2020-05-04,0,51860,12378,8217
2020-05-05,0,52406,12441,8298
2020-05-06,0,52958,12731,8374
2020-05-07,0,53400,12980,8445
2020-05-08,0,53883,13201,8519
2020-05-09,0,54123,13411,8590
2020-05-10,0,54241,13642,8662
2020-05-11,0,54717,13697,8727
2020-05-12,0,55112,13732,8772
2020-05-13,0,55433,13937,8828
2020-05-14,0,55738,14111,8871
2020-05-15,0,56084,14301,8916
2020-05-16,0,56231,14460,8946
2020-05-17,0,56312,14630,8977
2020-05-18,0,56629,14657,9014
2020-05-19,0,56921,14687,9047
2020-05-20,0,57306,14847,9077
2020-05-21,0,57376,14988,9111
2020-05-22,0,57624,15123,9152
2020-05-23,0,57747,15155,9177
2020-05-24,0,57822,15272,9210
2020-05-25,0,58136,15297,9236
2020-05-26,0,58338,15320,9260
2020-05-27,0,58520,15465,9284
2020-05-28,0,58691,15572,9310
2020-05-29,0,58856,15682,9326
2020-05-30,0,58917,15769,9349
2020-05-31,0,58966,15887,9371
2020-06-01,0,59025,15919,9392
2020-06-02,0,59206,15934,9415
2020-06-03,0,59365,15959,9435
2020-06-04,0,59537,16048,9449
2020-06-05,0,59691,16112,9461
2020-06-06,0,59760,16190,9472
2020-06-07,0,59813,16291,9484
2020-06-08,0,59965,16315,9493
2020-06-09,0,60110,16324,9505
2020-06-10,0,60229,16392,9517
2020-06-11,0,60324,16453,9524
2020-06-12,0,60413,16498,9534
2020-06-13,0,60462,16547,9539
2020-06-14,0,60484,16589,9542
2020-06-15,0,60631,16610,9550
2020-06-16,0,60730,16625,9557
2020-06-17,0,60853,16684,9564
2020-06-18,0,60961,16724,9569
2020-06-19,0,61082,16751,9573
2020-06-20,0,61132,16771,9576
2020-06-21,0,61152,16771,9585
2020-06-22,0,61295,16771,9597
2020-06-23,0,61405,16771,9601
2020-06-24,0,61505,16771,9604
2020-06-25,0,61581,16890,9609
2020-06-26,0,61694,16918,9611
2020-06-27,0,61735,16941,9619
2020-06-28,0,61759,16941,9624
2020-06-29,0,61886,16941,9627
2020-06-30,0,61986,16984,9635
2020-07-01,0,62121,17021,9637
2020-07-02,0,62214,17044,9642
2020-07-03,0,62308,17073,9644
2020-07-04,0,62372,17091,9647
2020-07-05,0,62396,17091,9649
2020-07-06,0,62508,17091,9650
2020-07-07,0,62607,17122,9653
2020-07-08,0,62744,17138,9654
2020-07-09,0,62868,17159,9656
2020-07-10,0,62995,17179,9656
2020-07-11,0,63057,17196,9658
2020-07-12,0,63100,17196,9662
2020-07-13,0,63324,17196,9662
2020-07-14,0,63531,17223,9665
2020-07-15,0,63791,17242,9670
2020-07-16,0,64017,17253,9675
2020-07-17,0,64291,17289,9677
2020-07-18,0,64421,17289,9680
2020-07-19,0,64485,17289,9681
2020-07-20,0,64928,17321,9683
2020-07-21,0,65073,17330,9684
2020-07-22,0,65626,17347,9686
2020-07-23,0,66065,17369,9688
2020-07-24,0,66561,17394,9693
2020-07-25,0,66790,17425,9694
2020-07-26,0,66974,17438,9696
2020-07-27,0,67569,17452,9700
2020-07-28,0,68254,17476,9701
2020-07-29,0,68957,17491,9704
2020-07-30,0,69592,17513,9706
2020-07-31,0,70276,17546,9709
2020-08-01,0,70585,17573,9711
2020-08-02,0,70733,17590,9716
2020-08-03,0,71527,17598,9719
2020-08-04,0,72340,17639,9724
2020-08-05,0,73107,17661,9729
2020-08-06,0,73876,17700,9733
2020-08-07,0,74647,17728,9739
2020-08-08,0,74951,17766,9741
2020-08-09,0,75073,17780,9746
2020-08-10,0,75946,17792,9757
2020-08-11,0,76664,17841,9770
2020-08-12,0,77273,17883,9781
2020-08-13,0,77942,17913,9793
2020-08-14,0,78529,17941,9805
2020-08-15,0,78692,17981,9814
2020-08-16,0,78824,17994,9821
2020-08-17,0,79531,18003,9828
2020-08-18,0,80256,18048,9839
2020-08-19,0,80868,18078,9849
2020-08-20,0,81449,18131,9853
2020-08-21,0,81959,18165,9856
2020-08-22,0,82162,18204,9861
2020-08-23,0,82277,18225,9864
2020-08-24,0,82885,18242,9869
2020-08-25,0,83412,18291,9874
2020-08-26,0,83938,18331,9878
2020-08-27,0,84473,18360,9881
2020-08-28,0,85087,18360,9885
2020-08-29,0,85282,18403,9891
2020-08-30,0,85399,18415,9892
2020-08-31,0,86033,18422,9895
2020-09-01,0,86598,18457,9898
2020-09-02,0,87173,18490,9900
2020-09-03,0,87850,18513,9904
2020-09-04,0,88578,18534,9906
2020-09-05,0,88900,18555,9907
2020-09-06,0,89055,18565,9909
2020-09-07,0,89973,18576,9913
2020-09-08,0,90844,18602,9916
2020-09-09,0,91868,18635,9918
2020-09-10,0,93011,18659,9921
2020-09-11,0,94295,18689,9926
2020-09-12,0,94912,18709,9927
2020-09-13,0,95214,18723,9928
2020-09-14,0,96938,18737,9932
2020-09-15,0,98566,18789,9935
2020-09-16,0,100507,18810,9937
2020-09-17,0,102257,18854,9938
2020-09-18,0,103987,18908,9944
2020-09-19,0,104882,18945,9952
2020-09-20,0,105341,18965,9955
2020-09-21,0,107528,18977,9958
2020-09-22,0,109599,19039,9959
2020-09-23,0,111688,19079,9967
2020-09-24,0,113451,19123,9971
2020-09-25,0,114931,19184,9976
2020-09-26,0,115873,19246,9982
2020-09-27,0,116411,19275,9994
2020-09-28,0,119188,19301,10007
2020-09-29,0,122163,19386,10016
2020-09-30,0,125389,19454,10022
2020-10-01,0,128661,19521,10037
2020-10-02,0,131883,19521,10048
2020-10-03,0,133135,19645,10062
2020-10-04,0,133883,19679,10076
2020-10-05,0,134197,19712,10089
2020-10-06,0,134197,19812,10092
2020-10-07,0,134197,19812,10092
