date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,0,0,0
2020-03-21,0,0,0,0
2020-03-22,0,0,0,0
2020-03-23,0,1,0,0
2020-03-24,0,1,0,0
2020-03-25,0,2,0,0
2020-03-26,0,2,0,0
2020-03-27,0,2,0,0
2020-03-28,0,2,0,0
2020-03-29,0,2,0,0
2020-03-30,0,3,0,0
2020-03-31,0,3,0,0
2020-04-01,0,3,0,0
2020-04-02,0,3,0,0
2020-04-03,0,4,0,0
2020-04-04,0,4,0,0
2020-04-05,0,5,0,0
2020-04-06,0,7,0,1
2020-04-07,0,7,0,1
2020-04-08,0,8,0,1
2020-04-09,0,9,0,1
2020-04-10,0,10,0,2
2020-04-11,0,13,0,2
2020-04-12,0,14,0,2
2020-04-13,0,18,0,2
2020-04-14,0,18,0,2
2020-04-15,0,18,0,2
2020-04-16,0,18,0,2
2020-04-17,0,18,0,2
2020-04-18,0,18,0,2
2020-04-19,0,18,2,2
2020-04-20,0,18,2,2
2020-04-21,0,18,2,2
2020-04-22,0,18,2,2
2020-04-23,0,18,5,2
2020-04-24,0,18,5,2
2020-04-25,0,18,5,2
2020-04-26,0,18,5,2
2020-04-27,0,18,6,2
2020-04-28,0,18,9,2
2020-04-29,0,18,9,2
2020-04-30,0,18,9,2
2020-05-01,0,18,13,2
2020-05-02,0,18,13,2
2020-05-03,0,18,13,2
2020-05-04,0,18,14,2
2020-05-05,0,18,16,2
2020-05-06,0,18,16,2
2020-05-07,0,18,16,2
2020-05-08,0,18,16,2
2020-05-09,0,18,16,2
2020-05-10,0,18,16,2
2020-05-11,0,18,16,2
2020-05-12,0,18,16,2
2020-05-13,0,18,16,2
2020-05-14,0,18,16,2
2020-05-15,0,18,16,2
2020-05-16,0,18,16,2
2020-05-17,0,18,16,2
2020-05-18,0,18,16,2
2020-05-19,0,18,16,2
2020-05-20,0,18,16,2
2020-05-21,0,18,16,2
2020-05-22,0,18,16,2
2020-05-23,0,18,16,2
2020-05-24,0,18,16,2
2020-05-25,0,18,16,2
2020-05-26,0,18,16,2
2020-05-27,0,18,16,2
2020-05-28,0,18,16,2
2020-05-29,0,18,16,2
2020-05-30,0,18,16,2
2020-05-31,0,18,16,2
2020-06-01,0,18,16,2
2020-06-02,0,18,16,2
2020-06-03,0,18,16,2
2020-06-04,0,18,16,2
2020-06-05,0,19,16,2
2020-06-06,0,19,16,2
2020-06-07,0,19,16,2
2020-06-08,0,19,16,2
2020-06-09,0,20,16,2
2020-06-10,0,20,16,2
2020-06-11,0,20,16,2
2020-06-12,0,20,16,2
2020-06-13,0,20,16,2
2020-06-14,0,20,16,2
2020-06-15,0,21,16,2
2020-06-16,0,22,16,2
2020-06-17,0,22,16,2
2020-06-18,0,22,16,2
2020-06-19,0,22,17,2
2020-06-20,0,22,17,2
2020-06-21,0,22,17,2
2020-06-22,0,23,17,2
2020-06-23,0,23,17,2
2020-06-24,0,23,17,2
2020-06-25,0,23,17,2
2020-06-26,0,24,18,2
2020-06-27,0,24,18,2
2020-06-28,0,24,18,2
2020-06-29,0,24,18,2
2020-06-30,0,24,18,2
2020-07-01,0,28,18,2
2020-07-02,0,28,18,2
2020-07-03,0,30,19,2
2020-07-04,0,30,19,2
2020-07-05,0,30,19,2
2020-07-06,0,30,19,2
2020-07-07,0,30,19,2
2020-07-08,0,30,19,2
2020-07-09,0,30,19,2
2020-07-10,0,37,20,2
2020-07-11,0,37,20,2
2020-07-12,0,37,20,2
2020-07-13,0,37,20,2
2020-07-14,0,39,21,2
2020-07-15,0,39,21,2
2020-07-16,0,40,22,2
2020-07-17,0,40,22,2
2020-07-18,0,40,22,2
2020-07-19,0,40,22,2
2020-07-20,0,40,22,2
2020-07-21,0,42,22,2
2020-07-22,0,43,23,2
2020-07-23,0,47,25,2
2020-07-24,0,48,26,2
2020-07-25,0,48,26,2
2020-07-26,0,48,26,2
2020-07-27,0,48,26,2
2020-07-28,0,48,27,2
2020-07-29,0,48,27,2
2020-07-30,0,48,27,2
2020-07-31,0,48,30,2
2020-08-01,0,56,30,2
2020-08-02,0,57,30,2
2020-08-03,0,57,30,2
2020-08-04,0,57,30,2
2020-08-05,0,86,31,2
2020-08-06,0,114,32,2
2020-08-07,0,114,32,2
2020-08-08,0,146,32,2
2020-08-09,0,153,32,2
2020-08-10,0,177,32,2
2020-08-11,0,177,32,2
2020-08-12,0,210,32,2
2020-08-13,0,296,32,2
2020-08-14,0,356,32,3
2020-08-15,0,388,35,3
2020-08-16,0,452,35,3
2020-08-17,0,475,38,4
2020-08-18,0,475,38,4
2020-08-19,0,553,38,4
2020-08-20,0,605,38,5
2020-08-21,0,648,43,5
2020-08-22,0,668,44,6
2020-08-23,0,686,44,6
2020-08-24,0,713,45,10
2020-08-25,0,730,48,10
2020-08-26,0,760,54,11
2020-08-27,0,818,54,12
2020-08-28,0,870,93,12
2020-08-29,0,964,115,13
2020-08-30,0,993,117,13
2020-08-31,0,1007,173,13
2020-09-01,0,1050,213,13
2020-09-02,0,1101,240,13
2020-09-03,0,1101,240,13
2020-09-04,0,1152,271,15
2020-09-05,0,1194,287,15
2020-09-06,0,1194,287,15
2020-09-07,0,1307,314,16
2020-09-08,0,1361,321,16
2020-09-09,0,1365,326,18
2020-09-10,0,1365,326,18
2020-09-11,0,1435,404,19
2020-09-12,0,1458,458,19
2020-09-13,0,1480,492,19
2020-09-14,0,1501,540,19
2020-09-15,0,1528,663,19
2020-09-16,0,1536,696,19
2020-09-17,0,1567,742,19
2020-09-18,0,1590,812,20
2020-09-19,0,1606,876,20
2020-09-20,0,1627,918,21
2020-09-21,0,1635,967,21
2020-09-22,0,1635,967,21
2020-09-23,0,1706,1019,22
2020-09-24,0,1706,1019,22
2020-09-25,0,1808,1134,23
2020-09-26,0,1825,1165,24
2020-09-27,0,1825,1165,24
2020-09-28,0,1891,1208,24
2020-09-29,0,1891,1208,24
2020-09-30,0,1992,1246,27
2020-10-01,0,1992,1246,27
2020-10-02,0,2080,1290,28
2020-10-03,0,2080,1290,28
2020-10-04,0,2131,1346,29
2020-10-05,0,2196,1378,30
2020-10-06,0,2243,1392,34
2020-10-07,0,2310,1427,34
2020-10-08,0,2310,1427,34
