date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,2,0,0
2020-03-20,0,2,0,0
2020-03-21,0,2,0,0
2020-03-22,0,6,0,0
2020-03-23,0,6,0,0
2020-03-24,0,6,0,0
2020-03-25,0,7,0,0
2020-03-26,0,15,2,0
2020-03-27,0,17,2,0
2020-03-28,0,17,2,0
2020-03-29,0,22,2,0
2020-03-30,0,27,2,0
2020-03-31,0,32,10,0
2020-04-01,0,32,10,0
2020-04-02,0,35,11,0
2020-04-03,0,35,14,0
2020-04-04,0,35,14,0
2020-04-05,0,37,14,0
2020-04-06,0,39,17,2
2020-04-07,0,39,17,2
2020-04-08,0,39,23,3
2020-04-09,0,48,25,4
2020-04-10,0,48,25,4
2020-04-11,0,48,25,4
2020-04-12,0,57,29,4
2020-04-13,0,57,30,5
2020-04-14,0,57,30,5
2020-04-15,0,81,33,5
2020-04-16,0,81,33,5
2020-04-17,0,83,35,5
2020-04-18,0,83,35,5
2020-04-19,0,86,35,5
2020-04-20,0,86,37,5
2020-04-21,0,86,37,5
2020-04-22,0,99,39,5
2020-04-23,0,99,39,5
2020-04-24,0,99,39,5
2020-04-25,0,109,39,5
2020-04-26,0,109,39,5
2020-04-27,0,110,44,6
2020-04-28,0,110,44,6
2020-04-29,0,111,48,6
2020-04-30,0,114,48,6
2020-05-01,0,114,48,6
2020-05-02,0,114,51,7
2020-05-03,0,115,51,7
2020-05-04,0,115,54,7
2020-05-05,0,115,54,7
2020-05-06,0,118,59,7
2020-05-07,0,118,61,7
2020-05-08,0,118,61,7
2020-05-09,0,118,64,7
2020-05-10,0,118,64,7
2020-05-11,0,119,66,8
2020-05-12,0,121,66,8
2020-05-13,0,121,66,8
2020-05-14,0,122,66,9
2020-05-15,0,122,66,9
2020-05-16,0,123,73,9
2020-05-17,0,123,73,9
2020-05-18,0,125,77,9
2020-05-19,0,125,78,9
2020-05-20,0,125,80,9
2020-05-21,0,125,80,9
2020-05-22,0,128,81,9
2020-05-23,0,128,81,9
2020-05-24,0,133,81,9
2020-05-25,0,133,89,9
2020-05-26,0,139,91,9
2020-05-27,0,139,91,9
2020-05-28,0,140,92,9
2020-05-29,0,140,92,9
2020-05-30,0,140,92,9
2020-05-31,0,140,92,9
2020-06-01,0,141,112,9
2020-06-02,0,141,113,9
2020-06-03,0,141,113,9
2020-06-04,0,141,113,9
2020-06-05,0,141,114,9
2020-06-06,0,141,114,9
2020-06-07,0,141,114,9
2020-06-08,0,141,120,9
2020-06-09,0,141,120,9
2020-06-10,0,141,125,9
2020-06-11,0,141,127,9
2020-06-12,0,141,127,9
2020-06-13,0,142,127,9
2020-06-14,0,142,127,9
2020-06-15,0,144,127,9
2020-06-16,0,144,128,9
2020-06-17,0,144,128,9
2020-06-18,0,144,128,9
2020-06-19,0,146,132,9
2020-06-20,0,146,132,9
2020-06-21,0,146,132,9
2020-06-22,0,146,132,9
2020-06-23,0,146,132,9
2020-06-24,0,146,132,9
2020-06-25,0,146,133,9
2020-06-26,0,146,133,9
2020-06-27,0,146,134,9
2020-06-28,0,146,134,9
2020-06-29,0,146,135,9
2020-06-30,0,146,135,9
2020-07-01,0,146,135,9
2020-07-02,0,146,135,9
2020-07-03,0,146,137,9
2020-07-04,0,146,137,9
2020-07-05,0,146,137,9
2020-07-06,0,146,137,9
2020-07-07,0,148,137,9
2020-07-08,0,149,137,9
2020-07-09,0,149,137,9
2020-07-10,0,150,137,9
2020-07-11,0,150,137,9
2020-07-12,0,150,137,9
2020-07-13,0,150,137,9
2020-07-14,0,150,137,9
2020-07-15,0,150,137,9
2020-07-16,0,152,137,9
2020-07-17,0,152,137,9
2020-07-18,0,153,137,9
2020-07-19,0,153,137,9
2020-07-20,0,153,137,9
2020-07-21,0,153,137,9
2020-07-22,0,153,139,9
2020-07-23,0,153,139,9
2020-07-24,0,153,139,9
2020-07-25,0,153,139,9
2020-07-26,0,153,139,9
2020-07-27,0,154,141,9
2020-07-28,0,156,141,9
2020-07-29,0,156,141,9
2020-07-30,0,156,141,9
2020-07-31,0,156,141,9
2020-08-01,0,156,141,9
2020-08-02,0,157,143,9
2020-08-03,0,157,144,9
2020-08-04,0,157,144,9
2020-08-05,0,157,144,9
2020-08-06,0,157,144,9
2020-08-07,0,157,144,9
2020-08-08,0,157,144,9
2020-08-09,0,158,144,9
2020-08-10,0,158,144,9
2020-08-11,0,159,144,9
2020-08-12,0,159,145,9
2020-08-13,0,159,145,9
2020-08-14,0,159,145,9
2020-08-15,0,162,147,9
2020-08-16,0,162,147,9
2020-08-17,0,166,147,9
2020-08-18,0,166,147,9
2020-08-19,0,166,147,9
2020-08-20,0,166,147,9
2020-08-21,0,167,147,9
2020-08-22,0,167,149,9
2020-08-23,0,167,149,9
2020-08-24,0,168,150,9
2020-08-25,0,168,151,9
2020-08-26,0,168,151,9
2020-08-27,0,168,151,9
2020-08-28,0,168,151,9
2020-08-29,0,169,153,9
2020-08-30,0,169,153,9
2020-08-31,0,172,155,9
2020-09-01,0,172,157,9
2020-09-02,0,172,157,9
2020-09-03,0,174,157,9
2020-09-04,0,175,158,9
2020-09-05,0,175,158,9
2020-09-06,0,175,158,9
2020-09-07,0,175,158,9
2020-09-08,0,175,158,9
2020-09-09,0,177,159,9
2020-09-10,0,177,160,9
2020-09-11,0,177,161,9
2020-09-12,0,177,161,9
2020-09-13,0,177,161,9
2020-09-14,0,177,161,9
2020-09-15,0,177,164,9
2020-09-16,0,178,164,9
2020-09-17,0,178,164,9
2020-09-18,0,178,164,9
2020-09-19,0,180,166,9
2020-09-20,0,180,166,9
2020-09-21,0,180,166,9
2020-09-22,0,180,166,9
2020-09-23,0,181,167,9
2020-09-24,0,181,167,9
2020-09-25,0,181,167,9
2020-09-26,0,181,167,9
2020-09-27,0,181,167,9
2020-09-28,0,181,167,9
2020-09-29,0,181,167,9
2020-09-30,0,181,167,9
2020-10-01,0,181,168,9
2020-10-02,0,181,169,9
2020-10-03,0,181,169,9
2020-10-04,0,181,169,9
2020-10-05,0,181,170,9
2020-10-06,0,181,170,9
2020-10-07,0,181,170,9
2020-10-08,0,181,170,9
