date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,1,0,0
2020-03-07,0,1,0,0
2020-03-08,0,1,0,0
2020-03-09,0,1,0,0
2020-03-10,0,1,0,0
2020-03-11,0,1,0,0
2020-03-12,0,1,0,0
2020-03-13,0,1,0,0
2020-03-14,0,1,0,0
2020-03-15,0,1,0,0
2020-03-16,0,1,0,0
2020-03-17,0,1,0,0
2020-03-18,0,1,0,0
2020-03-19,0,1,0,0
2020-03-20,0,2,0,0
2020-03-21,0,2,0,0
2020-03-22,0,2,0,0
2020-03-23,0,2,0,0
2020-03-24,0,2,0,0
2020-03-25,0,2,0,0
2020-03-26,0,2,0,0
2020-03-27,0,3,0,0
2020-03-28,0,3,0,0
2020-03-29,0,4,0,0
2020-03-30,0,4,0,0
2020-03-31,0,4,0,0
2020-04-01,0,4,0,0
2020-04-02,0,5,1,0
2020-04-03,0,5,2,0
2020-04-04,0,5,2,0
2020-04-05,0,5,2,0
2020-04-06,0,5,2,0
2020-04-07,0,5,2,0
2020-04-08,0,5,2,0
2020-04-09,0,5,2,0
2020-04-10,0,5,2,0
2020-04-11,0,5,2,0
2020-04-12,0,5,2,0
2020-04-13,0,5,2,0
2020-04-14,0,5,2,0
2020-04-15,0,5,2,0
2020-04-16,0,5,2,0
2020-04-17,0,5,2,0
2020-04-18,0,5,2,0
2020-04-19,0,5,2,0
2020-04-20,0,5,2,0
2020-04-21,0,6,2,0
2020-04-22,0,6,2,0
2020-04-23,0,7,3,0
2020-04-24,0,7,3,0
2020-04-25,0,7,3,0
2020-04-26,0,7,4,0
2020-04-27,0,7,4,0
2020-04-28,0,7,5,0
2020-04-29,0,7,5,0
2020-04-30,0,7,5,0
2020-05-01,0,7,5,0
2020-05-02,0,7,5,0
2020-05-03,0,7,5,0
2020-05-04,0,7,5,0
2020-05-05,0,7,5,0
2020-05-06,0,7,5,0
2020-05-07,0,7,5,0
2020-05-08,0,7,5,0
2020-05-09,0,7,5,0
2020-05-10,0,7,5,0
2020-05-11,0,9,5,0
2020-05-12,0,11,5,0
2020-05-13,0,15,5,0
2020-05-14,0,20,5,0
2020-05-15,0,21,5,0
2020-05-16,0,21,5,0
2020-05-17,0,21,5,0
2020-05-18,0,21,5,0
2020-05-19,0,21,5,0
2020-05-20,0,21,5,0
2020-05-21,0,21,6,0
2020-05-22,0,21,6,0
2020-05-23,0,24,6,0
2020-05-24,0,24,6,0
2020-05-25,0,27,6,0
2020-05-26,0,27,6,0
2020-05-27,0,28,6,0
2020-05-28,0,31,6,0
2020-05-29,0,31,6,0
2020-05-30,0,33,6,0
2020-05-31,0,43,6,0
2020-06-01,0,43,6,0
2020-06-02,0,47,9,0
2020-06-03,0,47,9,0
2020-06-04,0,47,9,0
2020-06-05,0,48,11,0
2020-06-06,0,48,11,0
2020-06-07,0,59,11,0
2020-06-08,0,59,14,0
2020-06-09,0,59,17,0
2020-06-10,0,59,18,0
2020-06-11,0,62,19,0
2020-06-12,0,62,19,0
2020-06-13,0,66,21,0
2020-06-14,0,66,21,0
2020-06-15,0,67,22,0
2020-06-16,0,67,24,0
2020-06-17,0,67,24,0
2020-06-18,0,67,25,0
2020-06-19,0,68,28,0
2020-06-20,0,68,30,0
2020-06-21,0,68,30,0
2020-06-22,0,68,32,0
2020-06-23,0,70,34,0
2020-06-24,0,70,34,0
2020-06-25,0,70,34,0
2020-06-26,0,70,38,0
2020-06-27,0,75,38,0
2020-06-28,0,76,38,0
2020-06-29,0,77,44,0
2020-06-30,0,77,48,0
2020-07-01,0,77,50,0
2020-07-02,0,77,50,0
2020-07-03,0,77,50,0
2020-07-04,0,78,51,0
2020-07-05,0,80,53,0
2020-07-06,0,80,53,0
2020-07-07,0,80,55,0
2020-07-08,0,80,55,0
2020-07-09,0,80,55,0
2020-07-10,0,80,55,0
2020-07-11,0,82,57,0
2020-07-12,0,84,76,0
2020-07-13,0,84,76,0
2020-07-14,0,84,78,0
2020-07-15,0,84,78,0
2020-07-16,0,86,78,0
2020-07-17,0,87,78,0
2020-07-18,0,87,78,0
2020-07-19,0,89,82,0
2020-07-20,0,90,83,0
2020-07-21,0,92,83,0
2020-07-22,0,92,83,0
2020-07-23,0,92,83,0
2020-07-24,0,92,85,0
2020-07-25,0,92,85,0
2020-07-26,0,95,85,0
2020-07-27,0,99,86,0
2020-07-28,0,99,86,0
2020-07-29,0,99,86,0
2020-07-30,0,101,88,0
2020-07-31,0,101,89,0
2020-08-01,0,102,89,0
2020-08-02,0,102,89,0
2020-08-03,0,103,90,0
2020-08-04,0,105,93,0
2020-08-05,0,105,93,0
2020-08-06,0,108,96,0
2020-08-07,0,108,96,0
2020-08-08,0,108,96,0
2020-08-09,0,110,96,0
2020-08-10,0,110,96,0
2020-08-11,0,113,97,0
2020-08-12,0,113,97,0
2020-08-13,0,128,100,0
2020-08-14,0,133,102,0
2020-08-15,0,133,102,0
2020-08-16,0,138,102,0
2020-08-17,0,141,103,0
2020-08-18,0,147,103,0
2020-08-19,0,147,103,0
2020-08-20,0,153,108,0
2020-08-21,0,154,110,0
2020-08-22,0,155,112,0
2020-08-23,0,155,112,0
2020-08-24,0,156,117,0
2020-08-25,0,173,118,0
2020-08-26,0,173,118,0
2020-08-27,0,184,119,0
2020-08-28,0,195,120,0
2020-08-29,0,195,135,0
2020-08-30,0,224,140,0
2020-08-31,0,225,142,0
2020-09-01,0,227,142,0
2020-09-02,0,227,144,0
2020-09-03,0,227,150,0
2020-09-04,0,228,150,0
2020-09-05,0,228,150,0
2020-09-06,0,228,150,0
2020-09-07,0,233,151,0
2020-09-08,0,234,153,0
2020-09-09,0,234,155,0
2020-09-10,0,238,155,0
2020-09-11,0,241,158,0
2020-09-12,0,244,159,0
2020-09-13,0,245,161,0
2020-09-14,0,245,161,0
2020-09-15,0,246,175,0
2020-09-16,0,246,175,0
2020-09-17,0,246,175,0
2020-09-18,0,252,182,0
2020-09-19,0,259,190,0
2020-09-20,0,261,192,0
2020-09-21,0,261,194,0
2020-09-22,0,261,195,0
2020-09-23,0,261,196,0
2020-09-24,0,263,198,0
2020-09-25,0,263,199,0
2020-09-26,0,271,205,0
2020-09-27,0,273,210,0
2020-09-28,0,280,210,0
2020-09-29,0,281,219,0
2020-09-30,0,282,222,0
2020-10-01,0,282,225,0
2020-10-02,0,283,229,0
2020-10-03,0,283,230,0
2020-10-04,0,298,237,0
2020-10-05,0,299,248,0
2020-10-06,0,300,250,0
2020-10-07,0,304,252,0
2020-10-08,0,304,252,0
