date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,2,0,0
2020-03-12,0,2,0,0
2020-03-13,0,3,0,0
2020-03-14,26,10,0,0
2020-03-15,33,10,0,0
2020-03-16,45,11,0,0
2020-03-17,50,11,0,0
2020-03-18,51,12,0,0
2020-03-19,84,12,0,0
2020-03-20,111,15,0,0
2020-03-21,139,19,0,0
2020-03-22,228,24,0,0
2020-03-23,273,27,0,0
2020-03-24,277,29,0,0
2020-03-25,334,32,0,0
2020-03-26,442,43,0,0
2020-03-27,516,61,0,0
2020-03-28,559,74,0,0
2020-03-29,574,81,0,1
2020-03-30,697,97,0,4
2020-03-31,779,107,0,6
2020-04-01,836,115,1,7
2020-04-02,985,123,1,8
2020-04-03,1118,132,1,9
2020-04-04,1136,139,1,10
2020-04-05,1136,157,2,10
2020-04-06,1549,183,2,11
2020-04-07,1681,194,2,14
2020-04-08,1875,210,2,15
2020-04-09,1997,264,2,18
2020-04-10,2185,268,2,19
2020-04-11,2356,275,2,20
2020-04-12,2528,300,2,24
2020-04-13,2693,330,2,27
2020-04-14,2919,354,6,28
2020-04-15,3230,397,7,28
2020-04-16,3419,441,14,29
2020-04-17,3573,465,26,31
2020-04-18,3923,493,31,31
2020-04-19,4135,520,31,32
2020-04-20,4298,564,31,33
2020-04-21,4420,598,37,34
2020-04-22,4855,609,44,37
2020-04-23,4995,703,44,43
2020-04-24,5297,807,54,44
2020-04-25,5572,866,54,46
2020-04-26,5791,950,80,50
2020-04-27,5988,1014,98,53
2020-04-28,6121,1053,110,55
2020-04-29,6409,1110,117,59
2020-04-30,6551,1167,132,62
2020-05-01,6975,1229,134,66
2020-05-02,7651,1470,159,71
2020-05-03,8080,1594,166,76
2020-05-04,8611,1681,174,82
2020-05-05,8995,1802,187,86
2020-05-06,9156,1886,198,91
2020-05-07,10099,2081,219,102
2020-05-08,10651,2266,237,106
2020-05-09,10651,2437,258,114
2020-05-10,11671,2556,273,118
2020-05-11,12553,2831,299,122
2020-05-12,13080,2964,313,128
2020-05-13,13605,3148,339,142
2020-05-14,14159,3372,356,152
2020-05-15,14803,3577,434,164
2020-05-16,15656,3826,473,165
2020-05-17,16404,4088,493,169
2020-05-18,16781,4263,503,174
2020-05-19,17560,4481,533,189
2020-05-20,18566,4919,553,199
2020-05-21,19289,5187,561,215
2020-05-22,20096,5579,575,230
2020-05-23,21205,5915,609,240
2020-05-24,21994,6263,629,250
2020-05-25,22773,6660,647,261
2020-05-26,23639,7136,677,274
2020-05-27,25065,7768,689,280
2020-05-28,26190,8387,738,293
2020-05-29,26965,8731,749,300
2020-05-30,28239,9592,889,310
2020-05-31,28957,9982,968,313
2020-06-01,30040,10531,1137,343
2020-06-02,31186,10991,1298,376
2020-06-03,32486,11638,1507,400
2020-06-04,33946,12245,1658,415
2020-06-05,35250,12728,1739,427
2020-06-06,36530,13358,1902,454
2020-06-07,37276,13643,2086,465
2020-06-08,38092,13949,2159,475
2020-06-09,39610,14644,2190,487
2020-06-10,41035,15281,2261,512
2020-06-11,42741,16165,2372,533
2020-06-12,44515,16929,2431,559
2020-06-13,46069,17842,2768,585
2020-06-14,47372,18459,3113,611
2020-06-15,48756,19073,3430,632
2020-06-16,50114,19883,3752,659
2020-06-17,51336,20685,4002,679
2020-06-18,52756,21499,4002,697
2020-06-19,55114,22476,4670,715
2020-06-20,56964,23512,5086,740
2020-06-21,58789,24388,5454,773
2020-06-22,61455,25493,5857,820
2020-06-23,63211,26389,6300,846
2020-06-24,64946,27487,6795,876
2020-06-25,66597,28503,7338,913
2020-06-26,68630,29423,7736,934
2020-06-27,70872,30676,8158,970
2020-06-28,72236,31524,8517,1014
2020-06-29,73272,32125,8928,1071
2020-06-30,75466,33219,9340,1123
2020-07-01,77413,34227,9764,1201
2020-07-02,79567,35528,10358,1271
2020-07-03,81786,36818,10766,1320
2020-07-04,83958,38071,11272,1378
2020-07-05,86878,39297,11667,1434
2020-07-06,88818,40509,11929,1476
2020-07-07,90651,41545,12398,1530
2020-07-08,92828,42984,12883,1577
2020-07-09,94859,44113,13354,1638
2020-07-10,97055,45565,13918,1702
2020-07-11,99754,47200,14333,1754
2020-07-12,101623,48187,14843,1807
2020-07-13,103328,49250,15294,1866
2020-07-14,105777,50867,15819,1898
2020-07-15,108237,52218,16357,1942
2020-07-16,111112,54156,16979,1984
2020-07-17,114182,56102,17882,2049
2020-07-18,117164,58138,18200,2106
2020-07-19,119764,59582,18553,2151
2020-07-20,121787,60991,18875,2218
2020-07-21,124335,62357,19290,2273
2020-07-22,127167,64135,19721,2328
2020-07-23,129407,65252,20030,2407
2020-07-24,131342,66456,20614,2473
2020-07-25,134769,68281,20951,2535
2020-07-26,136925,69429,21169,2583
2020-07-27,139866,71181,21478,2647
2020-07-28,142118,72327,21971,2720
2020-07-29,144153,73534,22506,2808
2020-07-30,147458,75234,23305,2894
2020-07-31,150470,76789,23582,2977
2020-08-01,153954,78793,23968,3064
2020-08-02,156924,80153,24156,3153
2020-08-03,159827,81846,24510,3228
2020-08-04,162661,83361,25390,3320
2020-08-05,166104,85141,26437,3385
2020-08-06,168563,86423,27373,3465
2020-08-07,171703,87891,28139,3524
2020-08-08,174141,89055,28904,3587
2020-08-09,176308,89999,29808,3640
2020-08-10,179553,91635,30823,3712
2020-08-11,183312,93328,31753,3761
2020-08-12,186964,95071,32830,3827
2020-08-13,189434,96459,33720,3884
2020-08-14,192425,97950,34723,3939
2020-08-15,195977,99146,35638,4003
2020-08-16,198698,100344,36491,4058
2020-08-17,200211,101223,37471,4123
2020-08-18,204818,103019,38623,4172
2020-08-19,208638,105050,39965,4233
2020-08-20,211318,106065,41111,4305
2020-08-21,213913,107435,42141,4366
2020-08-22,216479,108427,43887,4442
2020-08-23,218864,109149,45396,4509
2020-08-24,221086,110148,47050,4578
2020-08-25,223200,110999,48875,4664
2020-08-26,225474,112094,50397,4726
2020-08-27,229343,113129,52521,4791
2020-08-28,232975,114409,54914,4846
2020-08-29,235590,115354,56749,4938
2020-08-30,235590,115968,58497,4966
2020-08-31,238965,116598,60408,5027
2020-09-01,240658,117267,62124,5101
2020-09-02,242824,117928,64074,5203
2020-09-03,245250,118781,65884,5288
2020-09-04,247536,119580,67844,5343
2020-09-05,250306,120241,69566,5398
2020-09-06,251931,120769,71489,5398
2020-09-07,254488,121604,73150,7054
2020-09-08,257225,122308,75098,7097
2020-09-09,259916,123345,77216,7146
2020-09-10,263901,124205,79483,7193
2020-09-11,266538,125172,81240,7250
2020-09-12,269628,125982,82796,7297
2020-09-13,271523,126791,84286,7344
2020-09-14,273036,127619,85198,7394
2020-09-15,275961,128286,86216,7447
2020-09-16,277645,128872,87031,7478
2020-09-17,279841,129419,87716,7511
2020-09-18,282141,130051,88457,7550
2020-09-19,283792,130470,89032,7586
2020-09-20,284558,130676,89617,7617
2020-09-21,285655,130986,90240,7654
2020-09-22,287260,131453,90853,7693
2020-09-23,289130,131990,91556,7731
2020-09-24,291001,132618,92101,7765
2020-09-25,292572,133222,92868,7800
2020-09-26,294033,133592,93406,7828
2020-09-27,294883,133901,93791,7858
2020-09-28,295923,134223,94324,7900
2020-09-29,297101,134641,94895,7931
2020-09-30,298997,135311,95529,7965
2020-10-01,300409,135716,96165,8001
2020-10-02,302507,136219,96654,8045
2020-10-03,303973,136569,97105,8073
2020-10-04,304738,136868,97547,8101
2020-10-05,305727,137107,98007,8129
2020-10-06,306945,137468,98542,8156
2020-10-07,308370,137706,99268,8192
2020-10-08,308370,137706,99268,8192
