date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,1,0,0
2020-02-27,0,1,0,0
2020-02-28,0,1,0,0
2020-02-29,0,2,0,0
2020-03-01,0,2,0,0
2020-03-02,0,2,0,0
2020-03-03,0,2,0,0
2020-03-04,0,4,0,0
2020-03-05,0,4,0,0
2020-03-06,0,13,0,0
2020-03-07,0,13,0,0
2020-03-08,0,20,0,0
2020-03-09,0,25,0,0
2020-03-10,0,31,0,0
2020-03-11,0,38,0,0
2020-03-12,0,52,0,0
2020-03-13,0,151,0,0
2020-03-14,0,151,0,0
2020-03-15,0,162,0,0
2020-03-16,0,200,1,0
2020-03-17,0,321,2,1
2020-03-18,0,372,2,3
2020-03-19,0,621,2,6
2020-03-20,0,793,2,11
2020-03-21,0,1021,2,15
2020-03-22,0,1546,2,25
2020-03-23,0,1924,2,34
2020-03-24,0,2247,2,46
2020-03-25,0,2554,2,59
2020-03-26,0,2985,6,77
2020-03-27,0,3417,6,92
2020-03-28,0,3904,6,111
2020-03-29,0,4256,6,136
2020-03-30,0,4579,120,159
2020-03-31,0,5717,127,201
2020-04-01,0,6836,127,240
2020-04-02,0,8044,127,324
2020-04-03,0,9056,127,359
2020-04-04,0,10360,127,445
2020-04-05,0,11130,127,486
2020-04-06,0,12161,127,564
2020-04-07,62985,14034,127,686
2020-04-08,62985,16170,127,819
2020-04-09,62985,18092,173,950
2020-04-10,62985,19638,173,1057
2020-04-11,62985,20727,173,1124
2020-04-12,62985,22192,173,1223
2020-04-13,62985,23430,173,1328
2020-04-14,62985,25262,3046,1532
2020-04-15,62985,28320,14026,1736
2020-04-16,62985,30425,14026,1924
2020-04-17,62985,33682,14026,2141
2020-04-18,62985,36658,14026,2354
2020-04-19,62985,38654,22130,2462
2020-04-20,132467,40743,22130,2587
2020-04-21,132467,43079,22991,2741
2020-04-22,132467,45757,25318,2906
2020-04-23,132467,50036,26573,3331
2020-04-24,132467,54043,27655,3704
2020-04-25,132467,59324,29160,4057
2020-04-26,132467,63100,30152,4286
2020-04-27,132467,67446,31142,4603
2020-04-28,132467,73235,32544,5083
2020-04-29,132467,79685,34132,5513
2020-04-30,132467,87187,35935,6006
2020-05-01,132467,92202,38039,6412
2020-05-02,132467,97100,40937,6761
2020-05-03,132467,101826,42991,7051
2020-05-04,132467,108620,45815,7367
2020-05-05,132467,115455,48221,7938
2020-05-06,132467,126611,51370,8588
2020-05-07,132467,135773,55350,9190
2020-05-08,132467,146894,59297,10017
2020-05-09,132467,156061,61685,10656
2020-05-10,132467,162699,64957,11123
2020-05-11,132467,169594,67384,11653
2020-05-12,132467,178214,72597,12461
2020-05-13,132467,190137,78424,13240
2020-05-14,132467,203165,79479,13999
2020-05-15,132467,220291,84970,14962
2020-05-16,132467,233511,89672,15662
2020-05-17,132467,241080,94122,16118
2020-05-18,132467,255368,100459,16853
2020-05-19,132467,271885,106794,17983
2020-05-20,132467,291579,116683,18859
2020-05-21,132467,310087,125960,20047
2020-05-22,132467,330890,135430,21048
2020-05-23,132467,347398,142587,22013
2020-05-24,132467,363211,149911,22666
2020-05-25,132467,374898,153833,23473
2020-05-26,132467,391222,158593,24512
2020-05-27,132467,411821,166647,25598
2020-05-28,132467,438238,177604,26754
2020-05-29,485000,465166,189476,27878
2020-05-30,485000,498440,200892,28834
2020-05-31,485000,514849,206555,29314
2020-06-01,485000,526447,211080,29937
2020-06-02,485000,555383,223638,31199
2020-06-03,485000,584016,238617,32548
2020-06-04,485000,614941,254963,34021
2020-06-05,485000,645771,266940,35026
2020-06-06,485000,672846,277149,35930
2020-06-07,485000,691758,283952,36455
2020-06-08,485000,707412,378257,37134
2020-06-09,485000,739503,396737,38406
2020-06-10,485000,772416,413916,39680
2020-06-11,485000,802828,429965,40919
2020-06-12,485000,828810,445123,41828
2020-06-13,485000,850514,459436,42720
2020-06-14,485000,867624,469141,43332
2020-06-15,485000,888271,477709,43959
2020-06-16,485000,923189,490005,45241
2020-06-17,485000,955377,521046,46510
2020-06-18,485000,978142,534580,47748
2020-06-19,485000,1032913,551631,48954
2020-06-20,485000,1067579,576779,49976
2020-06-21,485000,1083341,588118,50591
2020-06-22,485000,1106470,601736,51271
2020-06-23,485000,1145906,627963,52645
2020-06-24,485000,1188631,660469,53830
2020-06-25,485000,1228114,679524,54971
2020-06-26,485000,1274974,702399,55961
2020-06-27,485000,1313667,727715,57070
2020-06-28,485000,1344143,746018,57622
2020-06-29,485000,1368195,757811,58314
2020-06-30,1478671,1402041,788318,59594
2020-07-01,1478671,1448753,817642,60632
2020-07-02,1478671,1496858,957692,61884
2020-07-03,1478671,1539081,984615,63174
2020-07-04,2124223,1577004,990731,64265
2020-07-05,2124223,1603055,1029045,64867
2020-07-06,2124223,1623284,1062542,65487
2020-07-07,2124223,1668589,1107012,66741
2020-07-08,2124223,1713160,1139844,67964
2020-07-09,2124223,1755779,1171447,69184
2020-07-10,2124223,1800827,1217361,70398
2020-07-11,2223803,1839850,1244088,71469
2020-07-12,2223803,1864681,1264843,72100
2020-07-13,2223803,1884967,1291251,72833
2020-07-14,2223803,1926824,1323425,74133
2020-07-15,2223803,1966748,1350098,75366
2020-07-16,2223803,2012151,1397531,76688
2020-07-17,2223803,2046328,1428520,77851
2020-07-18,2223803,2074860,1447408,78772
2020-07-19,2223803,2098389,1459072,79488
2020-07-20,2223803,2118646,1514300,80120
2020-07-21,2536552,2159654,1555339,81487
2020-07-22,2536552,2227514,1591975,82771
2020-07-23,2536552,2287475,1620313,84082
2020-07-24,2536552,2343366,1693214,85238
2020-07-25,2678927,2394513,1785359,86449
2020-07-26,2678927,2419091,1812913,87004
2020-07-27,2678927,2442375,1846641,87618
2020-07-28,2678927,2483191,1868749,88539
2020-07-29,2678927,2552265,1922802,90134
2020-07-30,2678927,2610102,1956807,91263
2020-07-31,2678927,2662485,2008854,92475
2020-08-01,2678927,2707877,2037982,93563
2020-08-02,3316167,2733677,2062876,94104
2020-08-03,3316167,2750318,2098976,94665
2020-08-04,3316167,2801921,2157484,95819
2020-08-05,3316167,2859073,2190361,97256
2020-08-06,3316167,2912212,2230542,98493
2020-08-07,3316167,2962442,2272299,99572
2020-08-08,3810322,3012412,2321537,100477
2020-08-09,3810322,3035422,2356983,101049
2020-08-10,3810322,3057470,2390830,101752
2020-08-11,3810322,3109630,2449338,103026
2020-08-12,3810322,3164785,2506228,104201
2020-08-13,3810322,3224876,2521100,105463
2020-08-14,3810322,3275520,2616981,106523
2020-08-15,4152652,3317096,2622878,107232
2020-08-16,4152652,3340197,2655017,107852
2020-08-17,4152652,3359570,2699080,108536
2020-08-18,4152652,3407354,2751246,109888
2020-08-19,4152652,3456652,2801931,111100
2020-08-20,4152652,3501975,2844318,112304
2020-08-21,4152652,3532330,2855558,113358
2020-08-22,4797948,3582362,2913966,114250
2020-08-23,4797948,3605783,2947784,114744
2020-08-24,4797948,3622861,2976256,115309
2020-08-25,4797948,3669995,3032551,116580
2020-08-26,4797948,3717156,3082447,117665
2020-08-27,4797948,3761391,3122846,118649
2020-08-28,4797948,3804803,3158783,119504
2020-08-29,4797948,3846153,3202185,120262
2020-08-30,4797948,3862311,3237615,120828
2020-08-31,5183751,3908272,3268591,121381
2020-09-01,5183751,3950931,3345240,122596
2020-09-02,5183751,3997865,3387309,123780
2020-09-03,5183751,4041638,3429435,124614
2020-09-04,5183751,4091801,3464278,125502
2020-09-05,5600000,4123000,3498999,126203
2020-09-06,5600000,4137521,3522155,126650
2020-09-07,5600000,4147794,3549201,126960
2020-09-08,5600000,4162073,3572421,127464
2020-09-09,5600000,4197889,3611632,128539
2020-09-10,5600000,4238446,3657701,129522
2020-09-11,5600000,4282164,3695158,130396
2020-09-12,5900000,4315687,3723206,131210
2020-09-13,5900000,4330455,3723206,131625
2020-09-14,5900000,4345610,3770138,132006
2020-09-15,5900000,4382263,3811505,133119
2020-09-16,5900000,4419083,3845464,134106
2020-09-17,5900000,4455386,3873934,134935
