date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,4,0,0
2020-03-09,0,4,0,0
2020-03-10,0,4,0,0
2020-03-11,0,7,0,1
2020-03-12,0,7,0,1
2020-03-13,0,23,0,1
2020-03-14,0,41,0,2
2020-03-15,0,51,0,2
2020-03-16,0,52,0,2
2020-03-17,0,67,0,2
2020-03-18,0,92,0,2
2020-03-19,0,94,0,3
2020-03-20,0,127,0,3
2020-03-21,0,163,3,3
2020-03-22,0,187,3,3
2020-03-23,0,201,3,3
2020-03-24,0,218,3,3
2020-03-25,0,242,4,3
2020-03-26,0,264,8,3
2020-03-27,0,293,9,3
2020-03-28,0,331,11,7
2020-03-29,0,346,14,8
2020-03-30,0,359,17,8
2020-03-31,0,399,17,8
2020-04-01,0,422,20,10
2020-04-02,0,457,25,10
2020-04-03,0,485,30,14
2020-04-04,0,503,34,17
2020-04-05,0,531,37,20
2020-04-06,0,549,39,22
2020-04-07,0,577,42,23
2020-04-08,0,593,42,24
2020-04-09,0,618,48,24
2020-04-10,0,635,54,25
2020-04-11,18502,661,62,28
2020-04-12,18502,675,68,29
2020-04-13,18502,685,71,32
2020-04-14,18502,713,81,35
2020-04-15,18502,747,105,36
2020-04-16,18502,800,122,38
2020-04-17,18502,846,141,41
2020-04-18,18502,878,153,41
2020-04-19,26417,894,161,42
2020-04-20,26417,929,167,43
2020-04-21,26417,975,170,45
2020-04-22,27000,1024,174,49
2020-04-23,27000,1097,190,52
2020-04-24,27000,1234,197,54
2020-04-25,27000,1247,197,55
2020-04-26,27000,1300,205,56
2020-04-27,27000,1363,206,58
2020-04-28,27000,1399,222,58
2020-04-29,45208,1447,243,64
2020-04-30,45208,1506,266,66
2020-05-01,46510,1555,276,68
2020-05-02,47636,1594,287,72
2020-05-03,48618,1618,308,73
2020-05-04,49145,1652,321,78
2020-05-05,50303,1704,342,80
2020-05-06,51768,1778,360,84
2020-05-07,52931,1829,384,84
2020-05-08,54328,1872,401,86
2020-05-09,56105,1921,422,90
2020-05-10,57231,1965,444,91
2020-05-11,57634,1990,461,93
2020-05-12,58713,2023,476,95
2020-05-13,60100,2069,499,96
2020-05-14,61711,2100,531,99
2020-05-15,63319,2138,545,102
2020-05-16,64480,2175,573,105
2020-05-17,65574,2211,598,108
2020-05-18,65936,2235,612,110
2020-05-19,66810,2259,646,112
2020-05-20,68243,2292,684,116
2020-05-21,68243,2331,727,120
2020-05-22,71605,2372,769,125
2020-05-23,73210,2408,808,126
2020-05-24,74096,2427,840,130
2020-05-25,74539,2433,862,130
2020-05-26,74834,2443,880,130
2020-05-27,76391,2460,912,133
2020-05-28,77664,2477,965,134
2020-05-29,79389,2485,1016,136
2020-05-30,80742,2499,1064,139
2020-05-31,81348,2513,1074,140
2020-06-01,81694,2519,1090,140
2020-06-02,82914,2538,1123,144
2020-06-03,84261,2560,1206,146
2020-06-04,85830,2585,1322,147
2020-06-05,87890,2627,1390,159
2020-06-06,89086,2711,1545,160
2020-06-07,89902,2727,1548,160
2020-06-08,90329,2810,1587,164
2020-06-09,91735,2889,1623,167
2020-06-10,93512,2993,1664,167
2020-06-11,95820,3086,1688,168
2020-06-12,98460,3191,1716,172
2020-06-13,101102,3266,1723,172
2020-06-14,103077,3290,1730,174
2020-06-15,104486,3341,1784,176
2020-06-16,108325,3453,1817,181
2020-06-17,108325,3542,1880,184
2020-06-18,112483,3674,1941,190
2020-06-19,112483,3755,2008,193
2020-06-20,116214,3872,2027,199
2020-06-21,116214,3905,2074,199
2020-06-22,116780,3984,2171,207
2020-06-23,119556,4114,2217,208
2020-06-24,122502,4242,2263,209
2020-06-25,125518,4408,2370,211
2020-06-26,128293,4513,2457,215
2020-06-27,131043,4625,2475,216
2020-06-28,132571,4691,2508,219
2020-06-29,133605,4831,2582,223
2020-06-30,138130,4989,2676,230
2020-07-01,141473,5154,2722,232
2020-07-02,144369,5315,2802,232
2020-07-03,147524,5497,2892,239
2020-07-04,150062,5677,2898,241
2020-07-05,153576,5740,2915,246
2020-07-06,156351,5914,3000,250
2020-07-07,156351,6102,3037,254
2020-07-08,159818,6342,3166,259
2020-07-09,164104,6672,3229,262
2020-07-10,167790,6964,3308,267
2020-07-11,172330,7175,3311,267
2020-07-12,175136,7252,3319,268
2020-07-13,176334,7411,3517,276
2020-07-14,179675,7645,3663,283
2020-07-15,184560,7877,3841,289
2020-07-16,189953,8144,3927,293
2020-07-17,196479,8442,4033,297
2020-07-18,201363,8638,4081,299
2020-07-19,203366,8733,4106,300
2020-07-20,206521,8929,4205,308
2020-07-21,215572,9254,4521,313
2020-07-22,215572,9584,4643,321
2020-07-23,221755,9853,5031,329
2020-07-24,227668,10123,5252,337
2020-07-25,235792,10312,5306,338
2020-07-26,235792,10427,5355,340
2020-07-27,243126,10621,5585,347
2020-07-28,248429,10871,5766,355
2020-07-29,254824,11155,5971,368
2020-07-30,261463,11420,6173,374
2020-07-31,267045,11690,6319,383
2020-08-01,271000,11836,6396,385
2020-08-02,272491,11955,6420,388
2020-08-03,276628,12159,6684,404
2020-08-04,281953,12414,6964,415
2020-08-05,281953,12717,7154,424
2020-08-06,287654,13014,7374,435
2020-08-07,294087,13209,7622,442
2020-08-08,299924,13343,7718,445
2020-08-09,303536,13396,7772,447
2020-08-10,304811,13512,7980,459
2020-08-11,308478,13722,8154,471
2020-08-12,313866,13893,8479,482
2020-08-13,318974,13893,8479,482
2020-08-14,324851,14243,9114,492
2020-08-15,330785,14333,9161,495
2020-08-16,333530,14365,9186,498
2020-08-17,334311,14500,9442,512
2020-08-18,339563,14669,9699,519
2020-08-19,343230,14820,9931,527
2020-08-20,351879,14962,10087,532
2020-08-21,358723,15131,10282,539
2020-08-22,365096,15131,10282,539
2020-08-23,368498,15287,10338,545
2020-08-24,370786,15386,10497,563
2020-08-25,374374,15589,10601,572
2020-08-26,384450,15751,10750,586
2020-08-27,384450,15908,11044,594
2020-08-28,392089,16065,11231,603
2020-08-29,398426,16164,11253,605
2020-08-30,404683,16190,11313,613
2020-08-31,404683,16266,11483,629
2020-09-01,409013,16454,11615,642
2020-09-02,415797,16617,11760,648
2020-09-03,421240,16775,11935,658
2020-09-04,428266,16954,12046,665
2020-09-05,436395,17050,12132,671
2020-09-06,441160,17089,12157,676
2020-09-07,441160,17146,12189,677
2020-09-08,446303,17313,12297,692
2020-09-09,451448,17435,12474,702
2020-09-10,451448,17598,12619,706
2020-09-11,461403,17799,12750,713
2020-09-12,463733,17891,12758,717
2020-09-13,463733,17918,12767,720
2020-09-14,464657,18061,12930,729
2020-09-15,472132,18216,13057,736
2020-09-16,476967,18390,13241,739
2020-09-17,476967,18544,13391,749
2020-09-18,482823,18733,13510,753
2020-09-19,491780,18819,13558,755
2020-09-20,491780,18863,13580,761
2020-09-21,493029,19014,13727,765
2020-09-22,496017,19123,13748,767
2020-09-23,499066,19283,13867,779
2020-09-24,507451,19573,14013,785
2020-09-25,507451,19828,14132,789
2020-09-26,512498,19997,14160,789
2020-09-27,515208,20055,14176,796
2020-09-28,516311,20271,14339,807
2020-09-29,519613,20547,14489,813
2020-09-30,524349,20833,14634,825
2020-10-01,529292,20833,14634,825
2020-10-02,534135,21336,14939,838
2020-10-03,538955,21518,14984,841
2020-10-04,541798,21587,15014,844
2020-10-05,543076,21870,15179,854
2020-10-06,546789,22306,15310,862
2020-10-07,546789,22306,15310,862
