date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,4,0,0
2020-02-01,0,4,0,0
2020-02-02,0,4,0,0
2020-02-03,0,4,0,0
2020-02-04,0,4,0,0
2020-02-05,0,4,0,0
2020-02-06,0,4,0,0
2020-02-07,0,4,0,0
2020-02-08,0,7,0,0
2020-02-09,0,7,0,0
2020-02-10,0,7,0,0
2020-02-11,0,7,0,0
2020-02-12,0,7,0,0
2020-02-13,0,7,0,0
2020-02-14,0,7,0,0
2020-02-15,0,7,0,0
2020-02-16,0,8,0,0
2020-02-17,0,8,0,0
2020-02-18,0,8,0,0
2020-02-19,0,8,0,0
2020-02-20,0,8,0,0
2020-02-21,0,9,0,0
2020-02-22,0,9,0,0
2020-02-23,0,9,0,0
2020-02-24,0,10,0,0
2020-02-25,0,11,0,0
2020-02-26,0,12,0,0
2020-02-27,0,13,0,0
2020-02-28,0,13,0,0
2020-02-29,0,15,0,0
2020-03-01,0,24,0,0
2020-03-02,0,24,0,0
2020-03-03,0,33,0,0
2020-03-04,0,33,0,0
2020-03-05,0,45,0,0
2020-03-06,0,51,0,0
2020-03-07,0,57,0,0
2020-03-08,0,62,0,1
2020-03-09,0,77,0,1
2020-03-10,0,77,0,1
2020-03-11,11023,103,0,2
2020-03-12,15185,138,0,2
2020-03-13,15185,176,0,2
2020-03-14,22409,193,0,2
2020-03-15,24977,249,0,2
2020-03-16,37730,324,0,5
2020-03-17,44176,424,0,8
2020-03-18,53546,569,0,9
2020-03-19,65851,846,0,12
2020-03-20,76814,971,0,13
2020-03-21,88883,1302,0,18
2020-03-22,98824,1430,0,20
2020-03-23,107147,1646,0,24
2020-03-24,125062,1959,0,27
2020-03-25,147789,3385,0,35
2020-03-26,161603,4018,230,39
2020-03-27,170644,4675,256,53
2020-03-28,187448,5386,502,59
2020-03-29,210435,6255,522,61
2020-03-30,225705,7424,1068,89
2020-03-31,241138,8536,1254,96
2020-04-01,256933,9595,1553,109
2020-04-02,273666,11268,1983,138
2020-04-03,295065,12519,1983,187
2020-04-04,311971,13882,1983,231
2020-04-05,324791,15496,2335,280
2020-04-06,336806,16653,3616,323
2020-04-07,348105,17883,3616,380
2020-04-08,361969,19274,3616,435
2020-04-09,375302,20748,3616,509
2020-04-10,391375,22133,3616,569
2020-04-11,404651,23301,3616,653
2020-04-12,422200,24365,3616,717
2020-04-13,437475,25663,3616,780
2020-04-14,454983,27046,3616,903
2020-04-15,467736,28364,3616,1010
2020-04-16,487625,30081,3616,1193
2020-04-17,507701,31872,3616,1309
2020-04-18,528057,33341,11178,1467
2020-04-19,549349,34777,11786,1580
2020-04-20,559578,36823,12585,1690
2020-04-21,569878,38413,13188,1834
2020-04-22,612192,40179,13986,1974
2020-04-23,634917,42099,14761,2146
2020-04-24,660108,43877,15541,2302
2020-04-25,684271,45341,16425,2465
2020-04-26,707508,46884,17321,2560
2020-04-27,733705,48489,18268,2707
2020-04-28,754800,50015,19231,2859
2020-04-29,779613,51587,20327,2996
2020-04-30,806449,53225,21424,3184
2020-05-01,836921,55050,22751,3391
2020-05-02,866235,56703,23801,3566
2020-05-03,897444,59463,24908,3682
2020-05-04,919368,60761,26017,3854
2020-05-05,942602,62035,26993,4043
2020-05-06,973634,63485,28171,4232
2020-05-07,1005294,64911,29247,4408
2020-05-08,1034905,66423,30226,4569
2020-05-09,1071455,67691,31249,4693
2020-05-10,1097520,68837,32096,4871
2020-05-11,1121629,69970,32994,4993
2020-05-12,1145568,71146,34042,5169
2020-05-13,1172872,72267,35164,5304
2020-05-14,1203588,73477,36091,5472
2020-05-15,1236746,74602,36895,5562
2020-05-16,1270254,75853,37819,5679
2020-05-17,1300729,76991,38550,5782
2020-05-18,1323447,78061,39238,5842
2020-05-19,1339971,79101,40050,5912
2020-05-20,1375126,80112,40693,6030
2020-05-21,1379731,81313,41728,6152
2020-05-22,1405284,82469,42607,6250
2020-05-23,1431987,83610,43318,6355
2020-05-24,1459288,84688,43998,6424
2020-05-25,1482468,85700,44651,6545
2020-05-26,1502990,86636,45352,6639
2020-05-27,1530931,87508,46177,6765
2020-05-28,1585235,88501,46853,6877
2020-05-29,1596449,89407,47533,6979
2020-05-30,1634277,90179,48116,7073
2020-05-31,1665831,90936,48892,7295
2020-06-01,1695918,91694,49739,7326
2020-06-02,1724250,92399,50357,7395
2020-06-03,1755926,93074,51048,7498
2020-06-04,1791106,93715,51739,7637
2020-06-05,1830498,94324,52568,7703
2020-06-06,1868277,95046,53614,7773
2020-06-07,1896822,95688,54233,7800
2020-06-08,1930141,96233,54833,7835
2020-06-09,1955719,96642,55572,7897
2020-06-10,1989255,97114,56639,7960
2020-06-11,2028496,97519,57658,7994
2020-06-12,2072096,97932,58523,8049
2020-06-13,2113924,98399,59354,8107
2020-06-14,2152776,98776,60272,8146
2020-06-15,2183476,99136,61042,8175
2020-06-16,2216730,99456,61443,8213
2020-06-17,2254481,99842,62017,8254
2020-06-18,2295440,100209,62496,8300
2020-06-19,2339563,100618,63003,8346
2020-06-20,2382781,101008,63488,8410
2020-06-21,2415441,101326,63886,8430
2020-06-22,2444118,101626,64334,8436
2020-06-23,2482869,101952,64704,8454
2020-06-24,2518650,102231,65091,8484
2020-06-25,2558363,102611,65425,8504
2020-06-26,2598243,102783,65726,8508
2020-06-27,2640315,103021,65973,8516
2020-06-28,2676705,103239,66191,8522
2020-06-29,2721685,103907,67178,8566
2020-06-30,2770153,104193,67594,8591
2020-07-01,2770153,104193,67594,8591
2020-07-02,2848244,104760,68345,8642
2020-07-03,2885746,105079,68693,8663
2020-07-04,2914954,105305,68990,8674
2020-07-05,2940925,105524,69239,8684
2020-07-06,2975711,105923,69570,8693
2020-07-07,3020172,106155,69883,8711
2020-07-08,3055341,106422,70247,8737
2020-07-09,3098193,106793,70574,8749
2020-07-10,3142702,107114,70901,8759
2020-07-11,3183516,107335,71266,8773
2020-07-12,3212879,107579,71467,8783
2020-07-13,3257608,108144,71841,8790
2020-07-14,3302483,108475,72170,8798
2020-07-15,3341893,108816,72485,8810
2020-07-16,3387755,109253,72836,8827
2020-07-17,3438041,109658,96689,8839
2020-07-18,3481804,109988,96914,8848
2020-07-19,3520542,110327,97051,8852
2020-07-20,3573630,111113,97474,8858
2020-07-21,3616728,111684,97757,8862
2020-07-22,3659778,112227,98142,8870
2020-07-23,3697322,112659,98519,8874
2020-07-24,3717483,113193,98873,8881
2020-07-25,3761927,113543,99115,8885
2020-07-26,3801950,113898,99355,8890
2020-07-27,3863830,114584,99860,8901
2020-07-28,3899192,114980,100134,8912
2020-07-29,3946565,115392,100465,8919
2020-07-30,3996625,115785,100862,8929
2020-07-31,4050358,116298,101227,8935
2020-08-01,4098752,116585,101436,8941
2020-08-02,4143459,116870,101574,8945
2020-08-03,4178195,117017,101597,8947
2020-08-04,4236521,117777,102450,8958
2020-08-05,4272606,118172,102788,8962
2020-08-06,4319172,118546,103106,8966
2020-08-07,4367208,118970,103435,8970
2020-08-08,4404038,119206,103566,8976
2020-08-09,4447810,119436,103728,8981
2020-08-10,4505218,120117,106355,8987
2020-08-11,4541747,120406,106746,8991
2020-08-12,4581083,120829,107148,9006
2020-08-13,4635105,121234,107553,9015
2020-08-14,4685663,121652,107942,9020
2020-08-15,4741146,121889,108217,9024
2020-08-16,4778360,122087,108484,9026
2020-08-17,4840043,122872,109059,9032
2020-08-18,4880172,123154,109357,9044
2020-08-19,4925446,123490,109822,9049
2020-08-20,4974215,123873,110288,9054
2020-08-21,5034059,124372,110648,9064
2020-08-22,5076734,124629,110878,9071
2020-08-23,5115490,124896,111112,9073
2020-08-24,5169166,125647,111694,9083
2020-08-25,5205086,125969,112050,9090
2020-08-26,5245891,126417,112455,9094
2020-08-27,5294012,126848,112825,9102
2020-08-28,5355340,127310,113234,9113
2020-08-29,5402249,127673,113501,9113
2020-08-30,5440447,127940,113664,9117
2020-08-31,5504392,128948,114218,9126
2020-09-01,5545549,129425,114607,9132
2020-09-02,5590068,129923,115050,9135
2020-09-03,5638703,130493,115444,9141
2020-09-04,5690609,131124,115926,9141
2020-09-05,5735811,131495,116136,9143
2020-09-06,5781027,131895,116357,9145
2020-09-07,5841880,132142,116459,9146
2020-09-08,5891121,133748,117565,9153
2020-09-09,5929848,134294,118271,9155
2020-09-10,5979566,134924,118990,9163
2020-09-11,6046330,135626,119674,9163
2020-09-12,6069252,136141,120075,9170
2020-09-13,6154468,136659,120431,9171
2020-09-14,6235465,138010,121224,9179
2020-09-15,6292160,138803,121840,9188
2020-09-16,6354657,139747,122449,9193
2020-09-17,6422063,140867,123109,9200
2020-09-18,6489802,141911,123723,9205
2020-09-19,6554147,142774,124187,9211
2020-09-20,6618481,143649,124691,9217
2020-09-21,6698544,145415,125534,9228
