date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,1,0,0
2020-03-21,0,3,0,0
2020-03-22,0,3,0,0
2020-03-23,0,3,0,0
2020-03-24,0,3,0,1
2020-03-25,0,4,0,1
2020-03-26,0,4,0,1
2020-03-27,0,5,0,1
2020-03-28,0,5,0,1
2020-03-29,0,6,0,1
2020-03-30,0,6,0,1
2020-03-31,0,6,0,1
2020-04-01,0,6,0,1
2020-04-02,0,6,0,1
2020-04-03,0,6,0,1
2020-04-04,0,7,0,1
2020-04-05,0,7,0,1
2020-04-06,0,7,1,1
2020-04-07,0,7,1,1
2020-04-08,0,7,1,1
2020-04-09,0,7,1,1
2020-04-10,0,7,1,1
2020-04-11,0,8,1,1
2020-04-12,0,8,1,1
2020-04-13,0,10,1,1
2020-04-14,0,11,1,1
2020-04-15,0,56,1,1
2020-04-16,0,56,1,1
2020-04-17,0,56,1,1
2020-04-18,0,58,1,1
2020-04-19,0,61,1,1
2020-04-20,0,67,1,1
2020-04-21,0,68,1,1
2020-04-22,0,73,1,1
2020-04-23,0,82,1,1
2020-04-24,0,88,1,1
2020-04-25,0,90,1,1
2020-04-26,0,106,1,1
2020-04-27,0,109,1,1
2020-04-28,0,114,2,1
2020-04-29,0,114,2,1
2020-04-30,0,121,4,1
2020-05-01,0,122,18,1
2020-05-02,0,152,18,2
2020-05-03,0,165,33,2
2020-05-04,0,175,37,2
2020-05-05,0,186,37,2
2020-05-06,0,191,38,2
2020-05-07,0,218,38,2
2020-05-08,0,230,44,2
2020-05-09,0,236,56,2
2020-05-10,0,246,56,2
2020-05-11,0,260,58,2
2020-05-12,0,267,58,2
2020-05-13,0,289,61,2
2020-05-14,0,315,67,2
2020-05-15,0,326,67,2
2020-05-16,0,328,84,3
2020-05-17,0,328,84,3
2020-05-18,0,328,85,3
2020-05-19,0,335,85,3
2020-05-20,0,349,85,3
2020-05-21,0,356,95,3
2020-05-22,0,362,95,3
2020-05-23,0,371,142,3
2020-05-24,0,380,155,3
2020-05-25,0,390,155,3
2020-05-26,0,390,155,4
2020-05-27,0,390,155,4
2020-05-28,0,390,155,4
2020-05-29,0,405,155,4
2020-05-30,0,421,167,4
2020-05-31,0,435,193,4
2020-06-01,0,458,193,4
2020-06-02,0,466,237,5
2020-06-03,0,477,238,5
2020-06-04,0,502,239,5
2020-06-05,0,536,239,5
2020-06-06,0,542,240,5
2020-06-07,0,554,240,5
2020-06-08,0,567,266,5
2020-06-09,0,585,270,5
2020-06-10,0,615,294,5
2020-06-11,0,657,294,6
2020-06-12,0,697,294,6
2020-06-13,0,726,294,6
2020-06-14,0,750,301,6
2020-06-15,0,760,340,7
2020-06-16,0,781,354,7
2020-06-17,0,792,377,7
2020-06-18,0,823,377,7
2020-06-19,0,848,377,8
2020-06-20,0,863,377,8
2020-06-21,0,890,413,8
2020-06-22,0,944,419,8
2020-06-23,0,982,426,8
2020-06-24,0,999,479,8
2020-06-25,0,1003,562,8
2020-06-26,0,1027,568,10
2020-06-27,0,1091,568,12
2020-06-28,0,1155,570,12
2020-06-29,0,1165,608,12
2020-06-30,0,1227,629,15
2020-07-01,0,1267,629,15
2020-07-02,0,1301,629,15
2020-07-03,0,1382,629,15
2020-07-04,0,1421,654,16
2020-07-05,0,1451,655,17
2020-07-06,0,1463,722,17
2020-07-07,0,1499,724,18
2020-07-08,0,1542,730,18
2020-07-09,0,1552,730,18
2020-07-10,0,1591,730,19
2020-07-11,0,1623,748,19
2020-07-12,0,1623,748,19
2020-07-13,0,1698,748,19
2020-07-14,0,1722,772,19
2020-07-15,0,1780,850,19
2020-07-16,0,1894,902,19
2020-07-17,0,1939,902,19
2020-07-18,0,2014,913,21
2020-07-19,0,2045,973,21
2020-07-20,0,2071,1063,21
2020-07-21,0,2107,1100,21
2020-07-22,0,2154,1132,21
2020-07-23,0,2190,1150,21
2020-07-24,0,2220,1216,22
2020-07-25,0,2258,1363,22
2020-07-26,0,2307,1447,22
2020-07-27,0,2328,1550,22
2020-07-28,0,2354,1616,22
2020-07-29,0,2373,1694,23
2020-07-30,0,2418,1694,23
2020-07-31,0,2451,1824,23
2020-08-01,0,2480,1837,24
2020-08-02,0,2547,1860,24
2020-08-03,0,2583,1911,25
2020-08-04,0,2631,1930,26
2020-08-05,0,2689,1955,27
2020-08-06,0,2734,2010,27
2020-08-07,0,2780,2042,29
2020-08-08,0,2835,2073,32
2020-08-09,0,2858,2086,32
2020-08-10,0,2883,2128,32
2020-08-11,0,2920,2148,33
2020-08-12,0,3000,2172,33
2020-08-13,0,3073,2232,33
2020-08-14,0,3136,2254,33
2020-08-15,0,3163,2302,34
2020-08-16,0,3179,2317,35
2020-08-17,0,3203,2336,36
2020-08-18,0,3253,2390,36
2020-08-19,0,3321,2442,36
2020-08-20,0,3368,2462,37
2020-08-21,0,3412,2498,37
2020-08-22,0,3455,2538,37
2020-08-23,0,3509,2540,37
2020-08-24,0,3532,2599,37
2020-08-25,0,3568,2673,37
2020-08-26,0,3630,2713,38
2020-08-27,0,3699,2749,38
2020-08-28,0,3745,2807,38
2020-08-29,0,3778,2855,39
2020-08-30,0,3852,2867,40
2020-08-31,0,3884,2916,40
2020-09-01,0,3970,3423,40
2020-09-02,0,4048,3460,41
2020-09-03,0,4125,3502,41
2020-09-04,0,4200,3562,41
2020-09-05,0,4275,3611,42
2020-09-06,0,4330,3628,42
2020-09-07,0,4358,3790,42
2020-09-08,0,4400,3851,42
2020-09-09,0,4473,3915,43
2020-09-10,0,4557,3993,43
2020-09-11,0,4651,4076,44
2020-09-12,0,4711,4104,44
2020-09-13,0,4813,4119,44
2020-09-14,0,4839,4240,45
2020-09-15,0,4904,4294,46
2020-09-16,0,4978,4430,47
2020-09-17,0,5063,4465,49
2020-09-18,0,5141,4548,50
2020-09-19,0,5186,4581,50
2020-09-20,0,5257,4599,51
2020-09-21,0,5281,4674,52
2020-09-22,0,5337,4742,52
2020-09-23,0,5412,4837,54
2020-09-24,0,5479,4917,55
2020-09-25,0,5628,4982,55
2020-09-26,0,5701,5018,56
2020-09-27,0,5771,5031,57
2020-09-28,0,5817,5134,59
2020-09-29,0,5900,5228,59
2020-09-30,0,6024,5277,60
2020-10-01,0,6126,5338,61
2020-10-02,0,6205,5399,62
2020-10-03,0,6296,5409,62
2020-10-04,0,6360,5416,65
2020-10-05,0,6433,5524,68
2020-10-06,0,6518,5632,69
2020-10-07,0,6624,5684,71
2020-10-08,0,6624,5684,71
