date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,1,0,0
2020-03-16,0,1,0,0
2020-03-17,0,1,0,0
2020-03-18,0,1,0,0
2020-03-19,0,1,0,0
2020-03-20,0,3,0,0
2020-03-21,0,3,0,0
2020-03-22,0,3,0,0
2020-03-23,0,3,0,0
2020-03-24,0,3,0,0
2020-03-25,0,3,0,0
2020-03-26,0,3,0,0
2020-03-27,0,3,0,0
2020-03-28,0,3,0,0
2020-03-29,0,3,0,0
2020-03-30,0,3,0,0
2020-03-31,0,3,0,0
2020-04-01,0,3,0,0
2020-04-02,0,3,0,0
2020-04-03,0,8,0,0
2020-04-04,0,8,0,0
2020-04-05,0,8,0,0
2020-04-06,0,8,0,0
2020-04-07,0,8,0,0
2020-04-08,0,8,0,0
2020-04-09,0,8,0,0
2020-04-10,0,8,0,0
2020-04-11,0,8,0,0
2020-04-12,0,8,0,0
2020-04-13,0,11,3,0
2020-04-14,0,11,4,0
2020-04-15,0,12,4,0
2020-04-16,0,12,4,0
2020-04-17,0,12,4,0
2020-04-18,0,12,4,0
2020-04-19,0,12,4,0
2020-04-20,0,12,4,0
2020-04-21,0,14,10,0
2020-04-22,0,14,10,0
2020-04-23,0,16,10,0
2020-04-24,0,16,10,0
2020-04-25,0,16,10,0
2020-04-26,0,19,10,0
2020-04-27,0,19,10,0
2020-04-28,0,50,10,0
2020-04-29,0,50,10,0
2020-04-30,0,50,10,0
2020-05-01,0,72,10,0
2020-05-02,0,72,10,0
2020-05-03,0,72,10,0
2020-05-04,0,85,10,0
2020-05-05,0,85,10,0
2020-05-06,0,94,10,0
2020-05-07,0,94,10,0
2020-05-08,0,143,10,0
2020-05-09,0,143,10,0
2020-05-10,0,143,10,0
2020-05-11,0,143,10,0
2020-05-12,0,143,10,0
2020-05-13,0,143,10,0
2020-05-14,0,143,10,0
2020-05-15,0,301,13,0
2020-05-16,0,327,13,0
2020-05-17,0,327,13,0
2020-05-18,0,327,13,0
2020-05-19,0,366,18,0
2020-05-20,0,418,18,0
2020-05-21,0,436,18,0
2020-05-22,0,479,18,0
2020-05-23,0,552,18,1
2020-05-24,0,604,22,1
2020-05-25,0,652,22,1
2020-05-26,0,671,22,1
2020-05-27,0,702,23,1
2020-05-28,0,755,23,1
2020-05-29,0,874,23,1
2020-05-30,0,962,23,1
2020-05-31,0,1011,23,2
2020-06-01,0,1069,23,4
2020-06-02,0,1069,23,4
2020-06-03,0,1173,23,4
2020-06-04,0,1288,23,4
2020-06-05,0,1451,29,4
2020-06-06,0,1570,37,5
2020-06-07,0,1634,38,5
2020-06-08,0,1850,38,5
2020-06-09,0,1850,38,5
2020-06-10,0,1888,38,5
2020-06-11,0,1952,38,5
2020-06-12,0,2044,360,7
2020-06-13,0,2057,363,7
2020-06-14,0,2057,363,7
2020-06-15,0,2222,369,7
2020-06-16,0,2410,396,14
2020-06-17,0,2564,402,18
2020-06-18,0,2605,417,19
2020-06-19,0,2605,417,19
2020-06-20,0,2686,420,19
2020-06-21,0,2808,472,23
2020-06-22,0,2963,495,30
2020-06-23,0,3051,522,37
2020-06-24,0,3099,572,38
2020-06-25,0,3244,607,40
2020-06-26,0,3340,661,40
2020-06-27,0,3429,699,45
2020-06-28,0,3429,699,45
2020-06-29,0,3613,773,47
2020-06-30,0,3745,787,47
2020-07-01,0,3745,787,47
2020-07-02,0,3788,810,47
2020-07-03,0,3918,859,48
2020-07-04,0,3969,914,48
2020-07-05,0,3969,914,48
2020-07-06,0,4033,970,52
2020-07-07,0,4071,976,52
2020-07-08,0,4109,1050,52
2020-07-09,0,4200,1142,52
2020-07-10,0,4259,1142,53
2020-07-11,0,4288,1145,53
2020-07-12,0,4288,1145,53
2020-07-13,0,4321,1208,53
2020-07-14,0,4356,1229,53
2020-07-15,0,4362,1261,53
2020-07-16,0,4373,1265,53
2020-07-17,0,4389,1288,53
2020-07-18,0,4485,1348,55
2020-07-19,0,4485,1348,55
2020-07-20,0,4548,1400,55
2020-07-21,0,4561,1411,55
2020-07-22,0,4574,1437,57
2020-07-23,0,4590,1452,58
2020-07-24,0,4593,1483,59
2020-07-25,0,4598,1506,59
2020-07-26,0,4599,1546,59
2020-07-27,0,4599,1546,59
2020-07-28,0,4599,1546,59
2020-07-29,0,4605,1574,59
2020-07-30,0,4605,1574,59
2020-07-31,0,4608,1606,59
2020-08-01,0,4614,1635,59
2020-08-02,0,4614,1635,59
2020-08-03,0,4614,1635,59
2020-08-04,0,4618,1640,59
2020-08-05,0,4618,1640,59
2020-08-06,0,4620,1641,59
2020-08-07,0,4641,1716,59
2020-08-08,0,4641,1716,59
2020-08-09,0,4641,1721,60
2020-08-10,0,4641,1721,60
2020-08-11,0,4645,1723,61
2020-08-12,0,4652,1728,61
2020-08-13,0,4652,1728,61
2020-08-14,0,4652,1728,61
2020-08-15,0,4652,1728,61
2020-08-16,0,4652,1728,61
2020-08-17,0,4667,1748,61
2020-08-18,0,4679,1755,61
2020-08-19,0,4679,1755,61
2020-08-20,0,4679,1755,61
2020-08-21,0,4679,1755,61
2020-08-22,0,4679,1755,61
2020-08-23,0,4679,1755,61
2020-08-24,0,4679,1755,61
2020-08-25,0,4691,1773,61
2020-08-26,0,4698,1778,61
2020-08-27,0,4698,1782,61
2020-08-28,0,4700,1784,61
2020-08-29,0,4700,1784,61
2020-08-30,0,4700,1784,61
2020-08-31,0,4711,1790,62
2020-09-01,0,4711,1790,62
2020-09-02,0,4712,1803,62
2020-09-03,0,4729,1807,62
2020-09-04,0,4729,1818,62
2020-09-05,0,4729,1818,62
2020-09-06,0,4729,1818,62
2020-09-07,0,4729,1818,62
2020-09-08,0,4735,1825,62
2020-09-09,0,4736,1825,62
2020-09-10,0,4747,1825,62
2020-09-11,0,4749,1825,62
2020-09-12,0,4749,1825,62
2020-09-13,0,4749,1825,62
2020-09-14,0,4772,1828,62
2020-09-15,0,4772,1828,62
2020-09-16,0,4782,1830,62
2020-09-17,0,4782,1830,62
2020-09-18,0,4786,1830,62
2020-09-19,0,4786,1830,62
2020-09-20,0,4786,1830,62
2020-09-21,0,4786,1830,62
2020-09-22,0,4802,1830,62
2020-09-23,0,4802,1830,62
2020-09-24,0,4804,1837,62
2020-09-25,0,4806,1840,62
2020-09-26,0,4806,1840,62
2020-09-27,0,4806,1840,62
2020-09-28,0,4806,1840,62
2020-09-29,0,4806,1840,62
2020-09-30,0,4829,1914,62
2020-10-01,0,4829,1914,62
2020-10-02,0,4829,1914,62
2020-10-03,0,4845,1914,62
2020-10-04,0,4845,1914,62
2020-10-05,0,4845,1914,62
2020-10-06,0,4852,1914,62
2020-10-07,0,4852,1914,62
2020-10-08,0,4852,1914,62
