date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,1,0,0
2020-03-20,0,1,0,0
2020-03-21,0,1,0,0
2020-03-22,0,1,0,0
2020-03-23,0,1,0,0
2020-03-24,0,3,0,0
2020-03-25,0,3,0,0
2020-03-26,0,3,0,0
2020-03-27,0,3,0,0
2020-03-28,0,3,0,0
2020-03-29,0,3,0,0
2020-03-30,0,5,0,0
2020-03-31,0,7,0,0
2020-04-01,0,7,0,0
2020-04-02,0,8,0,0
2020-04-03,0,8,0,0
2020-04-04,0,9,0,0
2020-04-05,0,9,0,0
2020-04-06,0,9,0,0
2020-04-07,0,10,2,0
2020-04-08,0,10,2,0
2020-04-09,0,11,2,0
2020-04-10,0,11,2,0
2020-04-11,0,11,2,0
2020-04-12,0,18,2,0
2020-04-13,0,23,2,0
2020-04-14,0,23,2,0
2020-04-15,0,23,2,0
2020-04-16,0,27,5,0
2020-04-17,0,27,5,0
2020-04-18,0,33,8,0
2020-04-19,0,33,8,0
2020-04-20,0,33,8,0
2020-04-21,0,33,8,0
2020-04-22,0,33,8,0
2020-04-23,0,33,8,0
2020-04-24,0,40,8,0
2020-04-25,0,46,15,0
2020-04-26,0,46,15,0
2020-04-27,0,46,15,0
2020-04-28,0,52,19,2
2020-04-29,0,52,19,2
2020-04-30,0,73,33,5
2020-05-01,0,73,33,5
2020-05-02,0,117,39,10
2020-05-03,0,117,39,10
2020-05-04,0,117,39,10
2020-05-05,0,170,43,17
2020-05-06,0,170,43,17
2020-05-07,0,253,50,27
2020-05-08,0,260,50,28
2020-05-09,0,322,53,31
2020-05-10,0,322,53,31
2020-05-11,0,322,53,31
2020-05-12,0,357,76,40
2020-05-13,0,372,78,42
2020-05-14,0,399,83,46
2020-05-15,0,428,88,48
2020-05-16,0,474,111,50
2020-05-17,0,503,117,53
2020-05-18,0,519,117,53
2020-05-19,0,545,139,56
2020-05-20,0,565,177,57
2020-05-21,0,588,186,58
2020-05-22,0,611,196,58
2020-05-23,0,648,204,60
2020-05-24,0,675,215,60
2020-05-25,0,687,244,61
2020-05-26,0,700,303,62
2020-05-27,0,715,359,64
2020-05-28,0,726,413,65
2020-05-29,0,759,444,65
2020-05-30,0,759,470,65
2020-05-31,0,778,491,65
2020-06-01,0,790,539,66
2020-06-02,0,803,562,66
2020-06-03,0,820,590,66
2020-06-04,0,828,633,66
2020-06-05,0,836,657,68
2020-06-06,0,836,672,69
2020-06-07,0,837,672,69
2020-06-08,0,839,685,70
2020-06-09,0,844,706,71
2020-06-10,0,846,706,72
2020-06-11,0,848,706,72
2020-06-12,0,848,711,72
2020-06-13,0,848,718,72
2020-06-14,0,850,720,73
2020-06-15,0,850,720,73
2020-06-16,0,853,720,74
2020-06-17,0,854,721,74
2020-06-18,0,854,733,74
2020-06-19,0,858,742,74
2020-06-20,0,858,746,74
2020-06-21,0,858,752,74
2020-06-22,0,858,755,74
2020-06-23,0,860,757,74
2020-06-24,0,860,770,74
2020-06-25,0,863,774,74
2020-06-26,0,865,778,74
2020-06-27,0,865,778,74
2020-06-28,0,866,780,74
2020-06-29,0,866,781,74
2020-06-30,0,866,781,74
2020-07-01,0,866,785,74
2020-07-02,0,868,785,74
2020-07-03,0,871,786,74
2020-07-04,0,871,787,74
2020-07-05,0,872,787,74
2020-07-06,0,872,787,74
2020-07-07,0,873,788,74
2020-07-08,0,873,788,74
2020-07-09,0,873,788,74
2020-07-10,0,874,789,74
2020-07-11,0,874,790,74
2020-07-12,0,880,790,75
2020-07-13,0,880,792,75
2020-07-14,0,884,798,75
2020-07-15,0,885,799,75
2020-07-16,0,886,799,75
2020-07-17,0,887,800,75
2020-07-18,0,889,800,75
2020-07-19,0,889,801,75
2020-07-20,0,889,801,75
2020-07-21,0,889,803,75
2020-07-22,0,889,805,75
2020-07-23,0,915,805,75
2020-07-24,0,915,805,75
2020-07-25,0,915,810,75
2020-07-26,0,915,810,75
2020-07-27,0,922,810,75
2020-07-28,0,926,810,75
2020-07-29,0,926,813,75
2020-07-30,0,935,813,75
2020-07-31,0,936,813,75
2020-08-01,0,936,813,75
2020-08-02,0,936,813,75
2020-08-03,0,936,814,75
2020-08-04,0,938,814,75
2020-08-05,0,939,835,75
2020-08-06,0,942,838,76
2020-08-07,0,942,838,76
2020-08-08,0,942,839,76
2020-08-09,0,944,839,76
2020-08-10,0,945,843,76
2020-08-11,0,946,859,76
2020-08-12,0,949,859,76
2020-08-13,0,949,860,76
2020-08-14,0,951,862,76
2020-08-15,0,952,864,76
2020-08-16,0,956,865,76
2020-08-17,0,959,865,76
2020-08-18,0,970,865,76
2020-08-19,0,971,868,76
2020-08-20,0,972,869,76
2020-08-21,0,981,869,76
2020-08-22,0,982,869,76
2020-08-23,0,986,870,76
2020-08-24,0,987,870,76
2020-08-25,0,995,871,77
2020-08-26,0,998,873,77
2020-08-27,0,1004,875,77
2020-08-28,0,1008,878,77
2020-08-29,0,1008,878,77
2020-08-30,0,1012,878,77
2020-08-31,0,1013,880,77
2020-09-01,0,1017,884,77
2020-09-02,0,1017,904,77
2020-09-03,0,1018,908,77
2020-09-04,0,1023,914,77
2020-09-05,0,1034,914,77
2020-09-06,0,1039,918,79
2020-09-07,0,1040,919,79
2020-09-08,0,1045,927,79
2020-09-09,0,1048,931,79
2020-09-10,0,1051,932,79
2020-09-11,0,1081,934,79
2020-09-12,0,1083,938,80
2020-09-13,0,1084,938,80
2020-09-14,0,1085,940,81
2020-09-15,0,1087,944,81
2020-09-16,0,1090,960,81
2020-09-17,0,1115,962,81
2020-09-18,0,1147,966,81
2020-09-19,0,1149,966,81
2020-09-20,0,1151,967,81
2020-09-21,0,1153,967,81
2020-09-22,0,1155,967,81
2020-09-23,0,1164,997,82
2020-09-24,0,1171,1003,82
2020-09-25,0,1175,1004,83
2020-09-26,0,1177,1005,83
2020-09-27,0,1178,1005,84
2020-09-28,0,1185,1006,85
2020-09-29,0,1193,1007,85
2020-09-30,0,1200,1007,85
2020-10-01,0,1203,1067,85
2020-10-02,0,1211,1070,85
2020-10-03,0,1214,1075,85
2020-10-04,0,1217,1075,86
2020-10-05,0,1223,1075,86
2020-10-06,0,1238,1077,88
2020-10-07,0,1251,1090,89
2020-10-08,0,1251,1090,89
