date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,1,0,0
2020-01-05,0,1,0,0
2020-01-06,0,4,0,0
2020-01-07,0,4,0,0
2020-01-08,0,4,0,0
2020-01-09,0,4,0,0
2020-01-10,0,4,0,0
2020-01-11,0,45,0,1
2020-01-12,0,45,0,1
2020-01-13,0,45,0,1
2020-01-14,0,45,0,1
2020-01-15,0,45,0,1
2020-01-16,0,45,0,1
2020-01-17,0,49,0,2
2020-01-18,0,66,0,2
2020-01-19,0,125,0,3
2020-01-20,0,202,0,4
2020-01-21,0,295,0,6
2020-01-22,0,447,0,9
2020-01-23,0,578,0,17
2020-01-24,0,839,0,25
2020-01-25,0,1301,0,41
2020-01-26,0,1989,0,56
2020-01-27,0,2765,0,80
2020-01-28,0,4537,0,106
2020-01-29,0,5999,0,132
2020-01-30,0,7740,0,170
2020-01-31,0,9724,0,213
2020-02-01,0,11825,0,259
2020-02-02,0,14415,0,304
2020-02-03,0,17242,0,361
2020-02-04,0,20475,0,425
2020-02-05,0,24367,0,491
2020-02-06,0,28064,0,564
2020-02-07,0,31215,0,637
2020-02-08,0,34602,0,723
2020-02-09,0,37255,0,812
2020-02-10,0,40240,0,909
2020-02-11,0,42712,0,1017
2020-02-12,0,44734,0,1114
2020-02-13,0,59886,0,1368
2020-02-14,0,63936,0,1381
2020-02-15,0,66580,0,1524
2020-02-16,0,68588,0,1666
2020-02-17,0,70639,0,1772
2020-02-18,0,72532,0,1870
2020-02-19,0,74283,0,2006
2020-02-20,0,74679,0,2121
2020-02-21,0,75571,0,2239
2020-02-22,0,76396,0,2348
2020-02-23,0,77045,0,2445
2020-02-24,0,77266,0,2595
2020-02-25,0,77783,0,2666
2020-02-26,0,78194,0,2718
2020-02-27,0,78634,0,2747
2020-02-28,0,78963,0,2791
2020-02-29,0,79393,0,2838
2020-03-01,0,79972,0,2873
2020-03-02,0,80178,0,2915
2020-03-03,0,80306,0,2946
2020-03-04,0,80426,0,2984
2020-03-05,0,80569,0,3015
2020-03-06,0,80715,0,3045
2020-03-07,0,80817,0,3073
2020-03-08,0,80863,0,3100
2020-03-09,0,80908,0,3123
2020-03-10,0,80928,0,3140
2020-03-11,0,80959,0,3162
2020-03-12,0,80985,0,3173
2020-03-13,0,80995,0,3180
2020-03-14,0,81025,0,3194
2020-03-15,0,81052,0,3204
2020-03-16,0,81081,0,3218
2020-03-17,0,81120,0,3231
2020-03-18,0,81178,0,3242
2020-03-19,0,81277,0,3250
2020-03-20,0,81416,0,3261
2020-03-21,0,81498,0,3267
2020-03-22,0,81499,0,3267
2020-03-23,0,81603,0,3276
2020-03-24,0,81767,0,3283
2020-03-25,0,81869,0,3287
2020-03-26,0,81961,0,3293
2020-03-27,0,82093,0,3298
2020-03-28,0,82213,0,3301
2020-03-29,0,82341,0,3306
2020-03-30,0,82455,0,3310
2020-03-31,0,82545,0,3314
2020-04-01,0,82638,0,3321
2020-04-02,0,82724,0,3327
2020-04-03,0,82802,0,3331
2020-04-04,0,82875,0,3335
2020-04-05,0,82930,0,3338
2020-04-06,0,83005,0,3340
2020-04-07,0,83071,0,3340
2020-04-08,0,83161,0,3342
2020-04-09,0,83249,0,3344
2020-04-10,0,83305,0,3345
2020-04-11,0,83383,0,3349
2020-04-12,0,83485,0,3349
2020-04-13,0,83597,0,3351
2020-04-14,0,83696,0,3351
2020-04-15,0,83747,0,3352
2020-04-16,0,83797,0,3352
2020-04-17,0,84149,0,4642
2020-04-18,0,84180,0,4642
2020-04-19,0,84223,0,4642
2020-04-20,0,84239,0,4642
2020-04-21,0,84253,0,4642
2020-04-22,0,84288,0,4642
2020-04-23,0,84303,0,4642
2020-04-24,0,84312,0,4642
2020-04-25,0,84324,0,4642
2020-04-26,0,84338,0,4642
2020-04-27,0,84341,0,4643
2020-04-28,0,84347,0,4643
2020-04-29,0,84369,0,4643
2020-04-30,0,84373,0,4643
2020-05-01,0,84385,0,4643
2020-05-02,0,84391,0,4643
2020-05-03,0,84393,0,4643
2020-05-04,0,84401,0,4643
2020-05-05,0,84404,0,4643
2020-05-06,0,84406,0,4643
2020-05-07,0,84409,0,4643
2020-05-08,0,84415,0,4643
2020-05-09,0,84416,0,4643
2020-05-10,0,84430,0,4643
2020-05-11,0,84450,0,4643
2020-05-12,0,84451,0,4644
2020-05-13,0,84458,0,4644
2020-05-14,0,84464,0,4644
2020-05-15,0,84469,0,4644
2020-05-16,0,84478,0,4644
2020-05-17,0,84484,0,4645
2020-05-18,0,84494,0,4645
2020-05-19,0,84500,0,4645
2020-05-20,0,84505,0,4645
2020-05-21,0,84507,0,4645
2020-05-22,0,84520,0,4645
2020-05-23,0,84522,0,4645
2020-05-24,0,84525,0,4645
2020-05-25,0,84536,0,4645
2020-05-26,0,84543,0,4645
2020-05-27,0,84544,0,4645
2020-05-28,0,84547,0,4645
2020-05-29,0,84547,0,4645
2020-05-30,0,84565,0,4645
2020-05-31,0,84570,0,4645
2020-06-01,0,84588,0,4645
2020-06-02,0,84597,0,4645
2020-06-03,0,84602,0,4645
2020-06-04,0,84603,0,4645
2020-06-05,0,84614,0,4645
2020-06-06,0,84620,0,4645
2020-06-07,0,84629,0,4645
2020-06-08,0,84634,0,4645
2020-06-09,0,84638,0,4645
2020-06-10,0,84641,0,4645
2020-06-11,0,84652,0,4645
2020-06-12,0,84659,0,4645
2020-06-13,0,84671,0,4645
2020-06-14,0,84729,0,4645
2020-06-15,0,84778,0,4645
2020-06-16,0,84823,0,4645
2020-06-17,0,84867,0,4645
2020-06-18,0,84903,0,4645
2020-06-19,0,84940,0,4645
2020-06-20,0,84970,0,4645
2020-06-21,0,84997,0,4646
2020-06-22,0,85018,0,4646
2020-06-23,0,85070,0,4646
2020-06-24,0,85098,0,4647
2020-06-25,0,85119,0,4647
2020-06-26,0,85148,0,4648
2020-06-27,0,85172,0,4648
2020-06-28,0,85190,0,4648
2020-06-29,0,85204,0,4648
2020-06-30,0,85227,0,4648
2020-07-01,0,85232,0,4648
2020-07-02,0,85263,0,4648
2020-07-03,0,85278,0,4648
2020-07-04,0,85287,0,4648
2020-07-05,0,85306,0,4648
2020-07-06,0,85320,0,4648
2020-07-07,0,85345,0,4648
2020-07-08,0,85366,0,4648
2020-07-09,0,85399,0,4648
2020-07-10,0,85445,0,4648
2020-07-11,0,85487,0,4648
2020-07-12,0,85522,0,4648
2020-07-13,0,85568,0,4648
2020-07-14,0,85623,0,4649
2020-07-15,0,85677,0,4649
2020-07-16,0,85697,0,4651
2020-07-17,0,85775,0,4651
2020-07-18,0,85857,0,4652
2020-07-19,0,85937,0,4653
2020-07-20,0,86068,0,4653
2020-07-21,0,86152,0,4653
2020-07-22,0,86226,0,4655
2020-07-23,0,86361,0,4655
2020-07-24,0,86500,0,4656
2020-07-25,0,86660,0,4657
2020-07-26,0,86839,0,4659
2020-07-27,0,87028,0,4659
2020-07-28,0,87245,0,4663
2020-07-29,0,87457,0,4664
2020-07-30,0,87680,0,4665
2020-07-31,0,87956,0,4666
2020-08-01,0,88122,0,4668
2020-08-02,0,88302,0,4674
2020-08-03,0,88459,0,4676
2020-08-04,0,88573,0,4679
2020-08-05,0,88682,0,4683
2020-08-06,0,88804,0,4684
2020-08-07,0,88937,0,4687
2020-08-08,0,89057,0,4688
2020-08-09,0,89149,0,4688
2020-08-10,0,89270,0,4693
2020-08-11,0,89383,0,4696
2020-08-12,0,89444,0,4699
2020-08-13,0,89526,0,4704
2020-08-14,0,89625,0,4707
2020-08-15,0,89695,0,4708
2020-08-16,0,89761,0,4710
2020-08-17,0,89859,0,4710
2020-08-18,0,89926,0,4710
2020-08-19,0,89980,0,4712
2020-08-20,0,90013,0,4713
2020-08-21,0,90053,0,4716
2020-08-22,0,90103,0,4716
2020-08-23,0,90141,0,4717
2020-08-24,0,90182,0,4718
2020-08-25,0,90205,0,4718
2020-08-26,0,90239,0,4719
2020-08-27,0,90271,0,4720
2020-08-28,0,90301,0,4722
2020-08-29,0,90323,0,4725
2020-08-30,0,90351,0,4728
2020-08-31,0,90383,0,4729
2020-09-01,0,90402,0,4730
2020-09-02,0,90422,0,4731
2020-09-03,0,90442,0,4734
2020-09-04,0,90475,0,4735
2020-09-05,0,90498,0,4735
2020-09-06,0,90517,0,4735
2020-09-07,0,90551,0,4737
2020-09-08,0,90573,0,4739
2020-09-09,0,90582,0,4740
2020-09-10,0,90595,0,4740
2020-09-11,0,90623,0,4740
2020-09-12,0,90643,0,4740
2020-09-13,0,90666,0,4741
2020-09-14,0,90695,0,4741
2020-09-15,0,90718,0,4742
2020-09-16,0,90734,0,4743
2020-09-17,0,90753,0,4743
2020-09-18,0,90797,0,4743
2020-09-19,0,90814,0,4744
2020-09-20,0,90840,0,4744
2020-09-21,0,90876,0,4744
2020-09-22,0,90890,0,4744
2020-09-23,0,90908,0,4744
2020-09-24,0,90918,0,4745
2020-09-25,0,90933,0,4745
2020-09-26,0,90951,0,4746
2020-09-27,0,90966,0,4746
2020-09-28,0,90993,0,4746
2020-09-29,0,91018,0,4746
2020-09-30,0,91041,0,4746
2020-10-01,0,91061,0,4746
2020-10-02,0,91082,0,4746
2020-10-03,0,91101,0,4746
2020-10-04,0,91121,0,4746
2020-10-05,0,91146,0,4746
2020-10-06,0,91170,0,4746
2020-10-07,0,91188,0,4746
2020-10-08,0,91212,0,4746
