date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,636,0,0,0
2020-03-06,739,1,0,0
2020-03-07,810,1,0,0
2020-03-08,813,1,0,0
2020-03-09,851,3,0,0
2020-03-10,927,3,0,0
2020-03-11,1133,9,0,0
2020-03-12,1393,14,0,0
2020-03-13,1754,19,1,0
2020-03-14,2343,37,2,0
2020-03-15,3176,53,3,0
2020-03-16,3607,67,3,1
2020-03-17,3931,92,4,1
2020-03-18,4690,104,4,1
2020-03-19,5363,130,5,1
2020-03-20,5766,178,6,1
2020-03-21,6064,212,9,1
2020-03-22,6910,241,12,2
2020-03-23,7285,315,20,3
2020-03-24,8051,420,31,4
2020-03-25,8797,481,43,8
2020-03-26,9228,491,59,10
2020-03-27,9486,540,77,13
2020-03-28,10851,609,110,18
2020-03-29,12325,703,139,19
2020-03-30,13816,799,174,24
2020-03-31,17863,906,201,29
2020-04-01,20253,1067,234,33
2020-04-02,21412,1164,267,40
2020-04-03,22752,1270,303,54
2020-04-04,23856,1409,342,69
2020-04-05,25547,1488,361,77
2020-04-06,27968,1586,385,89
2020-04-07,30728,1718,412,98
2020-04-08,33858,2065,454,103
2020-04-09,35193,2238,497,116
2020-04-10,37876,2488,545,121
2020-04-11,40618,2723,600,130
2020-04-12,41780,2791,695,142
2020-04-13,43036,2866,791,149
2020-04-14,45351,2989,870,160
2020-04-15,48556,3115,967,172
2020-04-16,52013,3242,1044,188
2020-04-17,55501,3446,1095,193
2020-04-18,58930,3630,1151,206
2020-04-19,62674,3805,1224,215
2020-04-20,65097,3987,1306,225
2020-04-21,68356,4161,1390,235
2020-04-22,71407,4355,1478,244
2020-04-23,74864,4551,1582,254
2020-04-24,77985,4856,1668,269
2020-04-25,81053,5118,1771,280
2020-04-26,87106,5356,1865,298
2020-04-27,90899,5573,1954,309
2020-04-28,95085,5927,2064,322
2020-04-29,100153,6187,2193,343
2020-04-30,104657,6496,2254,369
2020-05-01,108950,6978,2367,382
2020-05-02,114602,7259,2500,403
2020-05-03,118801,7680,2599,422
2020-05-04,123029,7987,2748,443
2020-05-05,127105,8628,3043,463
2020-05-06,131110,8977,3265,487
2020-05-07,135352,9477,3423,514
2020-05-08,139739,10072,3581,535
2020-05-09,144912,10517,3784,554
2020-05-10,151396,11091,3946,573
2020-05-11,158933,11644,4194,605
2020-05-12,165738,12310,4332,618
2020-05-13,171799,12962,4563,632
2020-05-14,177050,13642,4701,653
2020-05-15,183112,14245,4910,678
2020-05-16,190114,14971,5128,698
2020-05-17,196417,15614,5282,723
2020-05-18,201808,16334,5485,751
2020-05-19,208046,16980,5685,782
2020-05-20,214536,17758,5948,813
2020-05-21,222210,18407,6234,841
2020-05-22,235948,19227,6508,883
2020-05-23,243119,20250,6729,925
2020-05-24,252742,21260,7038,966
2020-05-25,260812,22065,7317,994
2020-05-26,271118,23095,7679,1042
2020-05-27,283484,24202,8027,1077
2020-05-28,295614,25456,8397,1118
2020-05-29,306411,26794,8762,1167
2020-05-30,319779,28355,9004,1219
2020-05-31,331817,29501,10747,1266
2020-06-01,341142,30646,11132,1318
2020-06-02,350213,31937,12487,1376
2020-06-03,362432,33456,13513,1457
2020-06-04,374592,35180,14179,1520
2020-06-05,386938,36652,15059,1597
2020-06-06,399505,38024,15555,1663
2020-06-07,410719,39248,16496,1738
2020-06-08,421723,40720,17507,1812
2020-06-09,432870,42095,18049,1896
2020-06-10,444933,43710,19110,1972
2020-06-11,458324,45657,19756,2052
2020-06-12,470351,46927,20623,2135
2020-06-13,482832,49150,21326,2218
2020-06-14,495024,51429,21782,2334
2020-06-15,507588,53118,22128,2435
2020-06-16,519990,55403,22640,2550
2020-06-17,535220,56947,23631,2659
2020-06-18,550611,60014,24734,2787
2020-06-19,568324,63092,26003,2902
2020-06-20,585822,65603,27387,3017
2020-06-21,604273,68459,28961,3160
2020-06-22,620288,71527,30287,3301
2020-06-23,634611,74705,31695,3433
2020-06-24,651592,77506,33283,3579
2020-06-25,670093,81099,35244,3720
2020-06-26,688959,85694,37230,3860
2020-06-27,707688,89960,38685,4007
2020-06-28,725828,93812,40495,4143
2020-06-29,743437,96013,42253,4294
2020-06-30,760719,98106,44446,4450
2020-07-01,778773,102645,46112,4603
2020-07-02,798108,106950,47519,4776
2020-07-03,818703,110902,48905,4961
2020-07-04,839731,115391,50377,5115
2020-07-05,860731,119284,51711,5292
2020-07-06,881190,122943,54383,5493
2020-07-07,902305,128049,56382,5712
2020-07-08,923714,132813,58365,5916
2020-07-09,945240,139230,61005,6137
2020-07-10,968465,146825,63824,6349
2020-07-11,1006093,153500,66196,6576
2020-07-12,1031230,159082,68131,6796
2020-07-13,1056814,166458,70714,7062
2020-07-14,1082415,174322,73475,7298
2020-07-15,1108148,181356,76527,7552
2020-07-16,1133507,188922,80251,7804
2020-07-17,1159562,192438,84168,8102
2020-07-18,1185984,198212,88802,8374
2020-07-19,1210063,206111,93403,8635
2020-07-20,1236536,212480,96651,8905
2020-07-21,1263700,221602,99383,9240
2020-07-22,1292501,232901,101723,9548
2020-07-23,1320935,240356,106881,9862
2020-07-24,1349502,249695,111776,10175
2020-07-25,1379043,256921,117605,10468
2020-07-26,1409124,262140,122163,10774
2020-07-27,1439436,272188,129407,11089
2020-07-28,1470613,286594,135875,11415
2020-07-29,1502809,296612,142237,11754
2020-07-30,1537689,305402,148418,12123
2020-07-31,1573679,312152,154551,12466
2020-08-01,1609729,322603,161565,12772
2020-08-02,1647395,333216,167939,13076
2020-08-03,1685530,341879,174410,13426
2020-08-04,1723508,353342,180944,13728
2020-08-05,1761772,363531,186780,14037
2020-08-06,1801835,373158,192599,14356
2020-08-07,1842292,383397,198512,14678
2020-08-08,1877368,393953,204349,15032
2020-08-09,1909111,400400,212203,15339
2020-08-10,1942730,408523,220240,15633
2020-08-11,1982831,425393,229011,15947
2020-08-12,2023256,434328,238316,16215
2020-08-13,2063332,447425,248817,16503
2020-08-14,2104766,454245,259180,16747
2020-08-15,2143097,465050,272244,16987
2020-08-16,2177989,478015,284711,17214
2020-08-17,2210712,486000,298673,17432
2020-08-18,2246595,490418,309232,17649
2020-08-19,2277515,495983,322782,17865
2020-08-20,2309447,496001,335732,18041
2020-08-21,2340101,496003,344998,18223
2020-08-22,2374068,496003,354959,18376
2020-08-23,2396892,496004,367226,18508
2020-08-24,2427941,496005,377715,18635
2020-08-25,2458866,496011,389394,18781
2020-08-26,2489430,496013,399001,18899
2020-08-27,2519509,496021,405742,19019
2020-08-28,2547858,496022,414667,19113
2020-08-29,2572824,496022,424914,19215
2020-08-30,2599703,496024,430362,19292
2020-08-31,2625052,496026,434004,19360
2020-09-01,2647702,496032,444062,19433
2020-09-02,2676154,496033,448973,19492
2020-09-03,2699889,496034,450504,19543
2020-09-04,2728423,496038,450657,19598
2020-09-05,2753032,496038,459548,19652
2020-09-06,2776144,496038,461159,19691
2020-09-07,2798000,496038,461623,19729
2020-09-08,2819479,496038,461871,19762
2020-09-09,2843509,496042,465935,19794
2020-09-10,2868291,496043,465992,19824
2020-09-11,2896974,496043,472049,19858
2020-09-12,2921344,496044,472683,19884
2020-09-13,2947874,496044,472752,19906
2020-09-14,2970260,496045,472769,19932
2020-09-15,2994209,496045,472774,19951
2020-09-16,3018946,496045,472810,19968
2020-09-17,3043717,496045,472836,19994
2020-09-18,3065390,496045,472844,20015
2020-09-19,3087776,496045,473083,20035
2020-09-20,3112467,496045,473286,20052
2020-09-21,3136243,496045,473542,20072
2020-09-22,3160591,496045,473797,20094
2020-09-23,3185614,496045,474087,20120
2020-09-24,3207772,496045,474267,20145
2020-09-25,3232499,496045,474588,20162
2020-09-26,3254789,496045,474790,20173
2020-09-27,3277609,496047,474821,20186
2020-09-28,3302476,496050,474913,20202
