date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,1,0,0
2020-03-12,0,1,0,0
2020-03-13,0,2,0,0
2020-03-14,0,2,0,0
2020-03-15,0,2,0,0
2020-03-16,0,2,0,0
2020-03-17,0,3,0,0
2020-03-18,0,4,0,0
2020-03-19,0,14,0,0
2020-03-20,0,18,0,0
2020-03-21,0,23,0,1
2020-03-22,0,30,0,1
2020-03-23,0,36,0,1
2020-03-24,0,45,0,2
2020-03-25,0,48,0,2
2020-03-26,0,51,0,3
2020-03-27,0,51,2,3
2020-03-28,0,65,2,6
2020-03-29,0,65,2,6
2020-03-30,0,81,2,8
2020-03-31,0,98,2,8
2020-04-01,0,109,3,9
2020-04-02,0,134,3,13
2020-04-03,0,134,3,13
2020-04-04,0,154,3,18
2020-04-05,0,154,3,18
2020-04-06,0,161,5,18
2020-04-07,0,180,9,18
2020-04-08,0,180,9,18
2020-04-09,0,180,9,18
2020-04-10,0,215,13,20
2020-04-11,0,223,16,20
2020-04-12,0,234,16,20
2020-04-13,0,235,17,20
2020-04-14,0,241,20,20
2020-04-15,0,254,21,21
2020-04-16,0,267,23,22
2020-04-17,0,287,25,23
2020-04-18,0,307,26,25
2020-04-19,0,327,26,25
2020-04-20,0,332,27,25
2020-04-21,0,350,35,25
2020-04-22,0,359,45,25
2020-04-23,0,377,47,25
2020-04-24,0,394,48,25
2020-04-25,0,416,49,28
2020-04-26,0,442,50,28
2020-04-27,0,459,50,28
2020-04-28,0,471,56,30
2020-04-29,0,491,59,30
2020-04-30,0,572,73,31
2020-05-01,0,604,75,32
2020-05-02,0,674,75,33
2020-05-03,0,674,75,33
2020-05-04,0,682,80,34
2020-05-05,0,705,90,34
2020-05-06,0,797,92,35
2020-05-07,0,863,103,36
2020-05-08,0,937,130,39
2020-05-09,0,937,130,39
2020-05-10,0,991,136,41
2020-05-11,0,1024,141,41
2020-05-12,0,1102,146,44
2020-05-13,0,1169,148,50
2020-05-14,0,1242,157,50
2020-05-15,0,1298,212,50
2020-05-16,0,1455,270,61
2020-05-17,0,1455,270,61
2020-05-18,0,1538,272,61
2020-05-19,0,1629,290,61
2020-05-20,0,1731,302,61
2020-05-21,0,1835,303,61
2020-05-22,0,1945,312,63
2020-05-23,0,2025,312,63
2020-05-24,0,2141,317,63
2020-05-25,0,2297,337,67
2020-05-26,0,2403,340,68
2020-05-27,0,2546,365,68
2020-05-28,0,2660,381,69
2020-05-29,0,2833,400,69
2020-05-30,0,2966,428,69
2020-05-31,0,3070,448,72
2020-06-01,0,3195,454,72
2020-06-02,0,3326,482,72
2020-06-03,0,3495,492,75
2020-06-04,0,3644,495,78
2020-06-05,0,3764,512,81
2020-06-06,0,3878,537,82
2020-06-07,0,4016,537,85
2020-06-08,0,4106,537,88
2020-06-09,0,4259,539,90
2020-06-10,0,4390,565,96
2020-06-11,0,4515,567,98
2020-06-12,0,4637,580,101
2020-06-13,0,4724,595,106
2020-06-14,0,4778,600,107
2020-06-15,0,4837,613,112
2020-06-16,0,4974,628,112
2020-06-17,0,5100,640,115
2020-06-18,0,5283,685,117
2020-06-19,0,5477,719,122
2020-06-20,0,5672,807,125
2020-06-21,0,5826,841,130
2020-06-22,0,5924,856,135
2020-06-23,0,6027,861,135
2020-06-24,0,6213,870,142
2020-06-25,0,6411,885,142
2020-06-26,0,6552,900,149
2020-06-27,0,6690,937,153
2020-06-28,0,6827,985,157
2020-06-29,0,6939,1050,167
2020-06-30,0,7039,1426,170
2020-07-01,0,7122,1785,175
2020-07-02,0,7189,2317,176
2020-07-03,0,7311,2684,179
2020-07-04,0,7379,2961,182
2020-07-05,0,7411,3184,182
2020-07-06,0,7432,3226,182
2020-07-07,0,7432,3226,182
2020-07-08,0,7432,3226,182
2020-07-09,0,7846,3513,189
2020-07-10,0,7905,3513,189
2020-07-11,0,7971,3615,189
2020-07-12,0,8033,3615,189
2020-07-13,0,8075,3620,190
2020-07-14,0,8135,3948,190
2020-07-15,0,8163,3983,192
2020-07-16,0,8199,4248,193
2020-07-17,0,8249,4248,193
2020-07-18,0,8324,4313,193
2020-07-19,0,8403,4335,194
2020-07-20,0,8443,4335,194
2020-07-21,0,8534,4528,196
2020-07-22,0,8626,4790,197
2020-07-23,0,8720,5105,201
2020-07-24,0,8767,5109,201
2020-07-25,0,8801,5305,204
2020-07-26,0,8831,5510,204
2020-07-27,0,8844,5700,208
2020-07-28,0,8873,5930,208
2020-07-29,0,8931,6095,210
2020-07-30,0,9010,6437,215
2020-07-31,0,9070,6796,215
2020-08-01,0,9084,7030,215
2020-08-02,0,9115,7319,215
2020-08-03,0,9133,7424,215
2020-08-04,0,9178,7727,215
2020-08-05,0,9253,7821,215
2020-08-06,0,9309,8048,215
2020-08-07,0,9355,8174,218
2020-08-08,0,9436,8275,218
2020-08-09,0,9454,8324,224
2020-08-10,0,9489,8363,224
2020-08-11,0,9499,8375,225
2020-08-12,0,9538,8421,225
2020-08-13,0,9589,8480,234
2020-08-14,0,9605,8512,238
2020-08-15,0,9638,8597,239
2020-08-16,0,9676,8705,240
2020-08-17,0,9706,8705,243
2020-08-18,0,9721,8882,243
2020-08-19,0,9741,8895,246
2020-08-20,0,9757,8895,247
2020-08-21,0,9802,8920,248
2020-08-22,0,9811,8920,251
2020-08-23,0,9830,8934,251
2020-08-24,0,9842,8953,251
2020-08-25,0,9891,8972,251
2020-08-26,0,9912,8987,254
2020-08-27,0,9915,9020,255
2020-08-28,0,9994,9035,255
2020-08-29,0,10007,9068,258
2020-08-30,0,10045,9103,258
2020-08-31,0,10097,9133,258
2020-09-01,0,10104,9322,259
2020-09-02,0,10114,9347,259
2020-09-03,0,10125,9367,259
2020-09-04,0,10149,9367,259
2020-09-05,0,10178,9420,259
2020-09-06,0,10210,9439,260
2020-09-07,0,10233,9451,260
2020-09-08,0,10292,9501,260
2020-09-09,0,10324,9523,260
2020-09-10,0,10343,9533,262
2020-09-11,0,10361,9622,262
2020-09-12,0,10385,9719,262
2020-09-13,0,10390,9756,264
2020-09-14,0,10390,9807,264
2020-09-15,0,10401,9817,267
2020-09-16,0,10414,9827,267
2020-09-17,0,10442,9840,267
2020-09-18,0,10456,9863,268
2020-09-19,0,10488,9891,268
2020-09-20,0,10515,9930,271
2020-09-21,0,10519,9952,271
2020-09-22,0,10523,10011,271
2020-09-23,0,10537,10041,271
2020-09-24,0,10555,10051,271
2020-09-25,0,10578,10070,271
2020-09-26,0,10593,10093,271
2020-09-27,0,10612,10093,271
2020-09-28,0,10624,10093,271
2020-09-29,0,10631,10129,272
2020-09-30,0,10659,10139,272
2020-10-01,0,10685,10165,272
2020-10-02,0,10729,10183,272
2020-10-03,0,10752,10212,274
2020-10-04,0,10760,10239,274
2020-10-05,0,10778,10239,274
2020-10-06,0,10789,10239,274
2020-10-07,0,10804,10239,276
2020-10-08,0,10804,10239,276
