date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,0,0,0
2020-03-21,0,0,0,0
2020-03-22,0,0,0,0
2020-03-23,0,0,0,0
2020-03-24,0,0,0,0
2020-03-25,0,0,0,0
2020-03-26,0,0,0,0
2020-03-27,0,0,0,0
2020-03-28,0,0,0,0
2020-03-29,0,0,0,0
2020-03-30,0,0,0,0
2020-03-31,0,0,0,0
2020-04-01,0,0,0,0
2020-04-02,0,0,0,0
2020-04-03,0,0,0,0
2020-04-04,0,0,0,0
2020-04-05,0,0,0,0
2020-04-06,0,0,0,0
2020-04-07,0,0,0,0
2020-04-08,0,0,0,0
2020-04-09,0,0,0,0
2020-04-10,0,0,0,0
2020-04-11,0,0,0,0
2020-04-12,0,0,0,0
2020-04-13,0,0,0,0
2020-04-14,0,0,0,0
2020-04-15,0,0,0,0
2020-04-16,0,0,0,0
2020-04-17,0,0,0,0
2020-04-18,0,0,0,0
2020-04-19,0,0,0,0
2020-04-20,4,0,0,0
2020-04-21,4,1,0,0
2020-04-22,4,34,0,0
2020-04-23,61,48,0,0
2020-04-24,127,91,0,0
2020-04-25,335,148,0,0
2020-04-26,623,148,0,0
2020-04-27,623,148,0,0
2020-04-28,623,148,0,0
2020-04-29,623,148,0,0
2020-04-30,623,148,0,0
2020-05-01,623,148,0,0
2020-05-02,623,148,0,0
2020-05-03,623,148,0,0
2020-05-04,623,149,0,0
2020-05-05,623,149,0,0
2020-05-06,623,149,0,0
2020-05-07,623,149,0,0
2020-05-08,623,149,0,0
2020-05-09,623,149,0,0
2020-05-10,2403,149,0,0
2020-05-11,623,149,0,0
2020-05-12,623,149,0,0
2020-05-13,623,149,0,0
2020-05-14,623,149,0,0
2020-05-15,623,149,0,0
2020-05-16,623,149,0,0
2020-05-17,623,149,0,0
2020-05-18,623,149,0,0
2020-05-19,623,149,2,0
2020-05-20,623,149,2,0
2020-05-21,623,149,106,0
2020-05-22,623,149,108,0
2020-05-23,623,149,112,0
2020-05-24,623,149,112,0
2020-05-25,623,149,113,0
2020-05-26,623,149,113,0
2020-05-27,623,149,121,0
2020-05-28,623,149,144,0
2020-05-29,623,149,147,0
2020-05-30,623,149,147,0
2020-05-31,623,149,147,0
2020-06-01,623,149,147,0
2020-06-02,623,149,147,0
2020-06-03,623,149,147,0
2020-06-04,623,149,147,0
2020-06-05,623,149,148,0
2020-06-06,623,149,148,0
2020-06-07,623,149,148,0
2020-06-08,623,149,148,0
2020-06-09,623,149,148,0
2020-06-10,623,149,148,0
2020-06-11,623,149,148,0
2020-06-12,623,149,148,0
2020-06-13,623,149,148,0
2020-06-14,623,149,148,0
2020-06-15,623,149,148,0
2020-06-16,623,149,148,0
2020-06-17,623,149,148,0
2020-06-18,623,149,148,0
2020-06-19,623,149,148,0
2020-06-20,623,149,148,0
2020-06-21,623,149,148,0
2020-06-22,623,149,148,0
2020-06-23,623,149,148,0
2020-06-24,623,149,148,0
2020-06-25,623,149,148,0
2020-06-26,623,149,148,0
2020-06-27,623,149,148,0
2020-06-28,623,149,148,0
2020-06-29,623,149,148,0
2020-06-30,623,149,148,0
2020-07-01,623,149,148,0
2020-07-02,623,149,148,0
2020-07-03,623,149,148,0
2020-07-04,623,149,148,0
2020-07-05,623,149,148,0
2020-07-06,623,149,148,0
2020-07-07,623,149,148,0
2020-07-08,623,149,148,0
2020-07-09,623,149,148,0
2020-07-10,623,149,149,0
2020-07-11,623,149,149,0
2020-07-12,623,149,149,0
2020-07-13,623,149,149,0
2020-07-14,623,149,149,0
2020-07-15,623,149,149,0
2020-07-16,623,149,149,0
2020-07-17,623,149,149,0
2020-07-18,623,149,149,0
2020-07-19,623,149,149,0
2020-07-20,623,149,149,0
2020-07-21,623,149,149,0
2020-07-22,623,149,149,0
2020-07-23,623,149,149,0
2020-07-24,623,149,149,0
2020-07-25,623,149,149,0
2020-07-26,623,149,149,0
2020-07-27,623,149,149,0
2020-07-28,623,149,149,0
2020-07-29,623,149,149,0
2020-07-30,623,149,149,0
2020-07-31,623,149,149,0
2020-08-01,623,149,149,0
2020-08-02,623,149,149,0
2020-08-03,623,149,149,0
2020-08-04,623,149,149,0
2020-08-05,623,149,149,0
2020-08-06,623,149,149,0
2020-08-07,623,149,149,0
2020-08-08,623,149,149,0
2020-08-09,623,149,149,0
2020-08-10,623,149,149,0
2020-08-11,623,149,149,0
2020-08-12,623,149,149,0
2020-08-13,623,149,149,0
2020-08-14,623,149,149,0
2020-08-15,623,149,149,0
2020-08-16,623,149,149,0
2020-08-17,623,149,149,0
2020-08-18,623,149,149,0
2020-08-19,623,149,149,0
2020-08-20,623,149,149,0
2020-08-21,623,149,149,0
2020-08-22,623,149,149,0
2020-08-23,623,149,149,0
2020-08-24,623,149,149,0
2020-08-25,623,149,149,0
2020-08-26,623,149,149,0
2020-08-27,623,149,149,0
2020-08-28,623,149,149,0
2020-08-29,623,149,149,0
2020-08-30,623,149,149,0
2020-08-31,623,149,149,0
2020-09-01,623,149,149,0
2020-09-02,623,149,149,0
2020-09-03,623,149,149,0
2020-09-04,623,149,149,0
2020-09-05,623,149,149,0
2020-09-06,623,149,149,0
2020-09-07,623,149,149,0
2020-09-08,623,149,149,0
2020-09-09,623,149,149,0
2020-09-10,623,149,149,0
2020-09-11,623,149,149,0
2020-09-12,623,149,149,0
2020-09-13,623,149,149,0
2020-09-14,623,149,149,0
2020-09-15,623,149,149,0
2020-09-16,623,149,149,0
2020-09-17,623,149,149,0
2020-09-18,623,149,149,0
2020-09-19,623,149,149,0
2020-09-20,623,149,149,0
2020-09-21,623,149,149,0
2020-09-22,623,149,149,0
2020-09-23,623,149,149,0
2020-09-24,623,149,149,0
2020-09-25,623,149,149,0
2020-09-26,623,149,149,0
2020-09-27,623,149,149,0
2020-09-28,623,149,149,0
2020-09-29,623,149,149,0
2020-09-30,623,149,149,0
2020-10-01,623,149,149,0
2020-10-02,623,149,149,0
2020-10-03,623,149,149,0
2020-10-04,623,149,149,0
2020-10-05,623,149,149,0
2020-10-06,623,149,149,0
2020-10-07,623,149,149,0
2020-10-08,623,149,149,0
