date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,1,0,0
2020-03-07,0,1,0,0
2020-03-08,0,5,0,0
2020-03-09,0,9,0,0
2020-03-10,0,9,0,0
2020-03-11,68,13,0,0
2020-03-12,157,22,0,0
2020-03-13,243,23,0,0
2020-03-14,370,26,0,0
2020-03-15,485,27,0,0
2020-03-16,656,35,0,0
2020-03-17,770,41,0,0
2020-03-18,924,50,0,0
2020-03-19,1040,69,0,1
2020-03-20,1159,89,0,1
2020-03-21,1307,117,2,2
2020-03-22,1534,134,2,2
2020-03-23,1691,158,2,2
2020-03-24,1856,177,2,2
2020-03-25,1945,201,2,2
2020-03-26,2622,231,2,2
2020-03-27,3109,263,3,2
2020-03-28,3267,295,3,2
2020-03-29,3489,314,3,2
2020-03-30,3752,330,4,2
2020-03-31,3905,347,4,2
2020-04-01,4278,375,4,2
2020-04-02,4410,396,6,2
2020-04-03,4520,416,11,2
2020-04-04,4714,435,13,2
2020-04-05,5158,454,16,2
2020-04-06,5423,467,18,2
2020-04-07,5585,483,24,2
2020-04-08,6095,502,29,3
2020-04-09,6358,539,30,3
2020-04-10,6512,558,42,3
2020-04-11,6668,577,49,3
2020-04-12,6822,595,56,3
2020-04-13,6928,612,62,3
2020-04-14,7004,618,66,3
2020-04-15,7197,626,67,4
2020-04-16,7411,642,74,4
2020-04-17,7583,649,88,4
2020-04-18,7810,655,97,4
2020-04-19,7862,660,112,5
2020-04-20,7958,662,124,6
2020-04-21,8224,669,150,6
2020-04-22,8525,681,180,6
2020-04-23,8778,686,196,6
2020-04-24,8880,687,216,6
2020-04-25,8967,693,242,6
2020-04-26,9004,695,264,6
2020-04-27,9062,697,287,6
2020-04-28,9121,705,306,6
2020-04-29,9358,713,323,6
2020-04-30,9467,719,338,6
2020-05-01,9634,725,355,6
2020-05-02,9725,733,372,6
2020-05-03,9845,739,386,6
2020-05-04,9951,742,399,6
2020-05-05,10024,755,413,6
2020-05-06,10233,761,428,6
2020-05-07,10507,765,445,6
2020-05-08,10959,773,461,6
2020-05-09,11408,780,480,6
2020-05-10,12000,792,501,7
2020-05-11,12120,801,517,7
2020-05-12,12193,804,520,7
2020-05-13,12639,815,527,8
2020-05-14,12954,830,535,8
2020-05-15,13163,843,542,9
2020-05-16,13828,853,551,10
2020-05-17,14404,863,565,10
2020-05-18,14610,866,575,10
2020-05-19,14748,882,577,10
2020-05-20,15182,897,582,10
2020-05-21,15350,903,592,10
2020-05-22,15836,911,600,10
2020-05-23,16071,918,607,10
2020-05-24,16481,930,620,10
2020-05-25,16638,951,628,10
2020-05-26,16763,956,634,10
2020-05-27,17412,984,639,10
2020-05-28,17786,1000,646,10
2020-05-29,18326,1022,653,10
2020-05-30,18793,1047,658,10
2020-05-31,19308,1056,669,10
2020-06-01,19575,1084,676,10
2020-06-02,19839,1105,682,10
2020-06-03,20254,1157,685,10
2020-06-04,20630,1194,687,10
2020-06-05,21073,1228,695,10
2020-06-06,21407,1263,701,10
2020-06-07,21675,1318,704,10
2020-06-08,21836,1342,712,11
2020-06-09,22065,1375,717,11
2020-06-10,22492,1461,722,12
2020-06-11,22873,1538,722,12
2020-06-12,23356,1612,731,12
2020-06-13,23866,1662,743,12
2020-06-14,24174,1715,752,12
2020-06-15,24411,1744,771,12
2020-06-16,24689,1796,794,12
2020-06-17,25140,1871,899,12
2020-06-18,25587,1939,937,12
2020-06-19,26216,2058,982,12
2020-06-20,26673,2127,1014,12
2020-06-21,27064,2213,1032,12
2020-06-22,27308,2277,1043,12
2020-06-23,27751,2368,1129,12
2020-06-24,28372,2515,1210,12
2020-06-25,29075,2684,1227,12
2020-06-26,29762,2836,1280,12
2020-06-27,30652,2979,1325,14
2020-06-28,31395,3130,1366,15
2020-06-29,32086,3269,1394,15
2020-06-30,32680,3459,1436,16
2020-07-01,33533,3753,1516,17
2020-07-02,34792,4023,1589,18
2020-07-03,35725,4311,1657,18
2020-07-04,36723,4621,1721,18
2020-07-05,37920,4996,1745,19
2020-07-06,38920,5241,1776,23
2020-07-07,40142,5486,1810,23
2020-07-08,41270,5836,1929,25
2020-07-09,43020,6485,2023,25
2020-07-10,44387,6845,2110,26
2020-07-11,45982,7231,2220,28
2020-07-12,47636,7596,2239,30
2020-07-13,49625,8036,2304,34
2020-07-14,51060,8482,2441,37
2020-07-15,52453,8986,2551,40
2020-07-16,53956,9546,2673,42
2020-07-17,55524,9969,2818,47
2020-07-18,56640,10551,2902,54
2020-07-19,58164,11114,2966,62
2020-07-20,59281,11534,3019,66
2020-07-21,60385,11811,3194,68
2020-07-22,61613,12361,3322,71
2020-07-23,63442,13129,3448,80
2020-07-24,64952,13669,3505,87
2020-07-25,66794,14600,3640,98
2020-07-26,68358,15229,3736,104
2020-07-27,70059,15841,3824,115
2020-07-28,71560,16344,3920,125
2020-07-29,73216,16800,4050,133
2020-07-30,75056,17290,4280,140
2020-07-31,76800,17820,4404,150
2020-08-01,78463,18187,4531,154
2020-08-02,80478,18975,4585,162
2020-08-03,82028,19402,4689,171
2020-08-04,83612,19837,6590,181
2020-08-05,85411,20417,6851,191
2020-08-06,87296,21070,7038,200
2020-08-07,89076,22081,7266,218
2020-08-08,90763,22802,7589,228
2020-08-09,92168,23286,7730,235
2020-08-10,93625,23872,7823,244
2020-08-11,94876,24508,7971,255
2020-08-12,96540,25057,8189,263
2020-08-13,98537,26129,8412,272
2020-08-14,100709,26931,8785,281
2020-08-15,102906,27737,9010,291
2020-08-16,105150,28465,9062,294
2020-08-17,106685,29084,9233,304
2020-08-18,107744,29643,9462,314
2020-08-19,109279,30409,9660,321
2020-08-20,110474,31075,9939,333
2020-08-21,112312,32134,10159,340
2020-08-22,114443,33084,10372,348
2020-08-23,116536,33820,10518,355
2020-08-24,118069,34463,12758,362
2020-08-25,119373,35305,13073,376
2020-08-26,121421,36307,13317,386
2020-08-27,123280,37292,14471,397
2020-08-28,125491,38485,14664,407
2020-08-29,128124,39699,15737,418
2020-08-30,128928,39699,15737,418
2020-08-31,131695,41287,16056,436
2020-09-01,133183,42184,16270,443
2020-09-02,135302,43305,16512,453
2020-09-03,137793,44458,17855,460
2020-09-04,140543,45680,18053,469
2020-09-05,143422,46920,18211,478
2020-09-06,144379,46920,18211,478
2020-09-07,147120,48780,19083,510
2020-09-08,149098,49897,19285,531
2020-09-09,151615,51224,19544,543
2020-09-10,154230,52549,20322,567
2020-09-11,157384,53969,20710,583
2020-09-12,160380,55454,20928,590
2020-09-13,161291,55454,20928,590
2020-09-14,164831,57361,21206,621
2020-09-15,166539,58137,21536,633
2020-09-16,168759,59516,21752,649
2020-09-17,171067,60818,22662,666
2020-09-18,174305,62374,23160,686
2020-09-19,177415,63712,23552,706
2020-09-20,178533,63712,23552,706
2020-09-21,182070,65602,25127,745
2020-09-22,183972,66689,25706,760
2020-09-23,186949,68059,26136,781
2020-09-24,190138,69459,26554,795
2020-09-25,192796,70816,27023,812
2020-09-26,197416,72049,27760,828
2020-09-27,198275,72049,27760,828
2020-09-28,199997,73714,29420,861
2020-09-29,201652,74604,30703,880
2020-09-30,205039,75760,37841,904
2020-10-01,206891,76828,39843,917
2020-10-02,209443,77829,42621,930
2020-10-03,213583,79182,45007,950
2020-10-04,214752,79182,45007,950
2020-10-05,217051,81129,49703,987
2020-10-06,217051,82142,50020,1004
2020-10-07,217051,82142,50020,1004
