date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,1,0,0
2020-03-12,0,1,0,0
2020-03-13,0,1,0,0
2020-03-14,0,1,0,0
2020-03-15,0,1,0,0
2020-03-16,0,1,0,0
2020-03-17,0,5,1,0
2020-03-18,0,6,1,0
2020-03-19,0,9,1,0
2020-03-20,0,9,1,0
2020-03-21,0,14,1,0
2020-03-22,0,14,1,0
2020-03-23,0,25,1,0
2020-03-24,0,73,2,0
2020-03-25,0,80,3,0
2020-03-26,0,96,3,0
2020-03-27,0,101,3,0
2020-03-28,0,101,3,0
2020-03-29,0,165,4,1
2020-03-30,0,168,6,1
2020-03-31,0,179,7,1
2020-04-01,0,190,9,1
2020-04-02,0,194,15,1
2020-04-03,0,218,19,1
2020-04-04,0,245,25,1
2020-04-05,0,261,37,3
2020-04-06,0,323,41,3
2020-04-07,0,349,41,3
2020-04-08,0,384,48,3
2020-04-09,0,444,52,3
2020-04-10,0,444,52,3
2020-04-11,0,533,58,4
2020-04-12,0,574,85,5
2020-04-13,3658,626,89,6
2020-04-14,3787,638,114,6
2020-04-15,4025,638,114,6
2020-04-16,4323,654,146,6
2020-04-17,4619,688,193,6
2020-04-18,4980,801,239,8
2020-04-19,5379,847,260,9
2020-04-20,5730,847,260,9
2020-04-21,6000,916,303,13
2020-04-22,6342,952,310,14
2020-04-23,6846,1004,359,14
2020-04-24,7430,1077,419,14
2020-04-25,7732,1077,419,14
2020-04-26,8292,1150,468,14
2020-04-27,8581,1164,499,14
2020-04-28,8760,1183,525,14
2020-04-29,9272,1238,557,14
2020-04-30,9657,1275,574,14
2020-05-01,9657,1333,597,15
2020-05-02,10508,1362,622,15
2020-05-03,10796,1398,653,17
2020-05-04,11278,1432,693,17
2020-05-05,11448,1464,701,18
2020-05-06,11945,1516,721,18
2020-05-07,12312,1571,742,20
2020-05-08,12768,1602,754,20
2020-05-09,13341,1667,769,21
2020-05-10,13663,1700,794,21
2020-05-11,14162,1730,818,21
2020-05-12,14668,1857,820,21
2020-05-13,15260,1912,902,24
2020-05-14,15940,1971,930,24
2020-05-15,16668,2017,942,24
2020-05-16,17513,2061,987,25
2020-05-17,18303,2109,1004,27
2020-05-18,18608,2119,1040,28
2020-05-19,19174,2153,1050,28
2020-05-20,20014,2231,1083,29
2020-05-21,21069,2301,1100,29
2020-05-22,22233,2341,1146,29
2020-05-23,22960,2366,1188,30
2020-05-24,23444,2376,1219,30
2020-05-25,24317,2423,1257,30
2020-05-26,25099,2477,1286,30
2020-05-27,25524,2556,1302,31
2020-05-28,26021,2641,1326,32
2020-05-29,26548,2750,1370,32
2020-05-30,26905,2799,1385,33
2020-05-31,27039,2833,1435,33
2020-06-01,27650,2951,1467,33
2020-06-02,28120,3024,1501,33
2020-06-03,28522,3110,1530,35
2020-06-04,29228,3262,1584,35
2020-06-05,29856,3431,1604,36
2020-06-06,30612,3557,1750,36
2020-06-07,31549,3739,1818,36
2020-06-08,32349,3881,1869,38
2020-06-09,32864,3995,2045,38
2020-06-10,33476,4181,2174,41
2020-06-11,34272,4404,2212,41
2020-06-12,34272,4684,2263,45
2020-06-13,35935,4848,2397,45
2020-06-14,36783,5084,2505,45
2020-06-15,37653,5439,2590,46
2020-06-16,38637,5679,2637,46
2020-06-17,39851,6063,2749,48
2020-06-18,41443,6444,2863,49
2020-06-19,43075,6874,2942,49
2020-06-20,44230,7276,2992,52
2020-06-21,45152,7492,3068,54
2020-06-22,45996,7677,3493,56
2020-06-23,47299,7904,3182,58
2020-06-24,48340,8164,3419,58
2020-06-25,49352,8334,3487,60
2020-06-26,50914,8739,3587,64
2020-06-27,52261,8944,3722,66
2020-06-28,52885,9101,3808,66
2020-06-29,53938,9214,3996,66
2020-06-30,55950,9499,4273,68
2020-07-01,57774,9702,4381,68
2020-07-02,59382,9992,4660,68
2020-07-03,60652,10244,4726,70
2020-07-04,62205,10462,4807,72
2020-07-05,64424,10772,5067,74
2020-07-06,65888,10966,5384,75
2020-07-07,67168,11194,5487,76
2020-07-08,69009,11504,5571,78
2020-07-09,70414,11750,5752,79
2020-07-10,72599,12052,6080,81
2020-07-11,74880,12443,6357,82
2020-07-12,76250,12766,6654,84
2020-07-13,77384,12872,6810,84
2020-07-14,78066,13037,6908,87
2020-07-15,79895,13403,7146,87
2020-07-16,80633,13554,7363,87
2020-07-17,81379,13696,7607,87
2020-07-18,82616,13912,8000,91
2020-07-19,83753,14119,8366,92
2020-07-20,85409,14312,8659,92
2020-07-21,86552,14531,8857,93
2020-07-22,87683,14733,8995,93
2020-07-23,89920,15001,9282,93
2020-07-24,91655,15253,9499,94
2020-07-25,93659,15494,9880,94
2020-07-26,95105,15596,10178,96
2020-07-27,96097,15655,10361,96
2020-07-28,96768,15713,10537,98
2020-07-29,98014,15813,10793,99
2020-07-30,99734,15978,11160,100
2020-07-31,100685,16047,11428,102
2020-08-01,101583,16109,11750,102
2020-08-02,102685,16182,11801,102
2020-08-03,103112,16220,11887,102
2020-08-04,103624,16293,11955,103
2020-08-05,103624,16349,12191,103
2020-08-06,104584,16447,12484,103
2020-08-07,105508,16524,12802,104
2020-08-08,106753,16620,12893,104
2020-08-09,108862,16715,12926,105
2020-08-10,109677,16798,13052,105
2020-08-11,110359,16847,13321,105
2020-08-12,110611,16847,13321,105
2020-08-13,111132,16889,13522,107
2020-08-14,112061,16935,13721,108
2020-08-15,112931,16993,13759,108
2020-08-16,113388,17026,13947,110
2020-08-17,114420,17107,13990,110
2020-08-18,115338,17150,14183,110
2020-08-19,116785,17232,14422,111
2020-08-20,117115,17249,14611,112
2020-08-21,118065,17310,14820,112
2020-08-22,119166,17374,15106,113
2020-08-23,120299,17471,15301,113
2020-08-24,121286,17506,15633,114
2020-08-25,122079,17562,15908,114
2020-08-26,122975,17603,15941,114
2020-08-27,124057,17702,16139,115
2020-08-28,125085,17797,16315,115
2020-08-29,125972,17893,16440,115
2020-08-30,126552,17948,16553,115
2020-08-31,127804,18067,16699,117
2020-09-01,128187,18103,16814,117
2020-09-02,129125,18161,16933,117
2020-09-03,130046,18208,17045,119
2020-09-04,131150,18269,17162,119
2020-09-05,132863,18472,17323,119
2020-09-06,134026,18588,17472,119
2020-09-07,134785,18701,17599,119
2020-09-08,135277,18778,17688,119
2020-09-09,136441,18815,17770,119
2020-09-10,137921,18869,17884,119
2020-09-11,139706,18916,17960,119
2020-09-12,141462,18916,17960,119
2020-09-13,142248,19013,18112,120
2020-09-14,143661,19066,18174,120
2020-09-15,144759,19100,18228,120
2020-09-16,146312,19132,18289,120
2020-09-17,147565,19158,18330,120
2020-09-18,148957,19200,18392,120
2020-09-19,150646,19269,18392,120
2020-09-20,152527,19320,18460,120
2020-09-21,152682,19327,18630,120
2020-09-22,153228,19343,18682,120
2020-09-23,154970,19430,18875,120
2020-09-24,156390,19501,19003,120
2020-09-25,158022,19556,19065,120
2020-09-26,159285,19600,19122,120
2020-09-27,160192,19629,19163,120
2020-09-28,160428,19641,19202,120
2020-09-29,161121,19669,19241,120
2020-09-30,162781,19724,19291,120
2020-10-01,163715,19755,19320,120
2020-10-02,164839,19793,19357,120
2020-10-03,165735,19849,19421,120
2020-10-04,166529,19882,19449,120
2020-10-05,166529,19885,19490,120
2020-10-06,166529,19903,19539,120
2020-10-07,166529,19903,19539,120
