date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,1,0,0
2020-02-26,0,3,0,0
2020-02-27,0,3,0,0
2020-02-28,0,5,0,0
2020-02-29,0,6,0,0
2020-03-01,0,7,0,0
2020-03-02,0,7,0,0
2020-03-03,247,9,0,0
2020-03-04,255,10,0,0
2020-03-05,273,10,0,0
2020-03-06,302,11,0,0
2020-03-07,317,12,0,0
2020-03-08,327,12,0,0
2020-03-09,344,12,0,0
2020-03-10,365,14,0,0
2020-03-11,365,19,0,0
2020-03-12,483,19,0,0
2020-03-13,553,32,1,0
2020-03-14,649,38,1,0
2020-03-15,745,49,1,0
2020-03-16,880,57,2,0
2020-03-17,1109,65,4,0
2020-03-18,1181,81,4,0
2020-03-19,1264,105,5,1
2020-03-20,1264,128,5,1
2020-03-21,1264,206,5,1
2020-03-22,1264,254,5,1
2020-03-23,1264,315,5,1
2020-03-24,3159,382,5,1
2020-03-25,3618,442,22,1
2020-03-26,4208,495,22,3
2020-03-27,4778,586,37,3
2020-03-28,5215,657,45,5
2020-03-29,5900,713,52,6
2020-03-30,6404,790,67,6
2020-03-31,7015,867,67,6
2020-04-01,7680,963,73,6
2020-04-02,8352,1011,88,7
2020-04-03,9250,1079,92,8
2020-04-04,9833,1126,119,12
2020-04-05,10847,1182,125,15
2020-04-06,11464,1222,130,16
2020-04-07,12322,1282,167,18
2020-04-08,13125,1343,179,19
2020-04-09,13680,1407,219,20
2020-04-10,14612,1495,231,21
2020-04-11,15691,1534,323,21
2020-04-12,16381,1600,373,23
2020-04-13,17790,1650,400,25
2020-04-14,18359,1704,415,31
2020-04-15,19256,1741,473,33
2020-04-16,20158,1791,529,35
2020-04-17,20953,1814,600,36
2020-04-18,21647,1832,615,39
2020-04-19,24186,1871,709,47
2020-04-20,26610,1881,771,47
2020-04-21,26610,1908,801,48
2020-04-22,27614,1950,869,48
2020-04-23,28853,1981,883,50
2020-04-24,30213,2009,982,51
2020-04-25,30913,2016,1034,54
2020-04-26,31622,2030,1103,55
2020-04-27,32817,2039,1166,59
2020-04-28,33577,2047,1232,63
2020-04-29,34476,2062,1288,67
2020-04-30,36917,2076,1348,69
2020-05-01,36917,2085,1421,75
2020-05-02,37557,2088,1463,77
2020-05-03,38084,2096,1489,79
2020-05-04,39040,2101,1522,80
2020-05-05,39973,2112,1560,83
2020-05-06,41053,2119,1601,85
2020-05-07,41938,2125,1641,86
2020-05-08,43378,2161,1689,86
2020-05-09,44218,2176,1726,87
2020-05-10,44886,2187,1764,90
2020-05-11,46071,2196,1784,91
2020-05-12,47480,2207,1808,91
2020-05-13,48737,2213,1834,94
2020-05-14,50340,2221,1850,94
2020-05-15,51568,2222,1869,95
2020-05-16,52425,2224,1913,95
2020-05-17,53877,2226,1936,95
2020-05-18,54820,2228,1946,95
2020-05-19,55800,2232,1967,96
2020-05-20,57021,2234,1978,96
2020-05-21,57021,2237,1978,97
2020-05-22,59911,2243,2011,99
2020-05-23,60864,2243,2023,99
2020-05-24,61482,2244,2027,99
2020-05-25,62422,2244,2035,100
2020-05-26,63682,2244,2046,101
2020-05-27,64266,2244,2047,101
2020-05-28,65094,2245,2051,102
2020-05-29,65509,2245,2059,103
2020-05-30,66144,2246,2063,103
2020-05-31,66405,2246,2072,103
2020-06-01,66695,2246,2077,103
2020-06-02,67297,2246,2088,103
2020-06-03,67814,2246,2095,103
2020-06-04,67997,2247,2105,103
2020-06-05,68267,2247,2113,103
2020-06-06,68514,2247,2121,104
2020-06-07,68740,2247,2126,104
2020-06-08,68866,2247,2128,104
2020-06-09,69115,2247,2130,106
2020-06-10,69349,2249,2130,106
2020-06-11,69606,2249,2132,106
2020-06-12,69721,2249,2133,107
2020-06-13,69967,2251,2134,107
2020-06-14,70110,2252,2134,107
2020-06-15,70254,2254,2140,107
2020-06-16,70526,2255,2140,107
2020-06-17,70712,2258,2141,107
2020-06-18,70995,2269,2142,107
2020-06-19,71814,2280,2142,107
2020-06-20,72202,2299,2142,107
2020-06-21,72478,2317,2142,107
2020-06-22,72746,2336,2142,107
2020-06-23,73093,2366,2142,107
2020-06-24,73738,2388,2145,107
2020-06-25,74657,2483,2149,107
2020-06-26,74657,2539,2150,107
2020-06-27,76624,2624,2152,107
2020-06-28,77453,2691,2152,107
2020-06-29,78183,2725,2155,107
2020-06-30,79104,2777,2155,107
2020-07-01,80456,2831,2155,108
2020-07-02,81437,2912,2155,110
2020-07-03,82902,3008,2168,112
2020-07-04,84166,3094,2183,113
2020-07-05,85410,3151,2196,113
2020-07-06,85997,3220,2210,113
2020-07-07,86860,3272,2229,113
2020-07-08,88235,3325,2277,114
2020-07-09,89764,3416,2323,115
2020-07-10,91486,3532,2377,117
2020-07-11,92808,3672,2466,118
2020-07-12,93571,3722,2486,119
2020-07-13,94175,3775,2514,119
2020-07-14,95920,3827,2558,120
2020-07-15,97724,3953,2629,120
2020-07-16,99414,4039,2729,120
2020-07-17,100851,4137,2825,120
2020-07-18,102189,4253,2929,120
2020-07-19,103104,4345,3018,120
2020-07-20,104132,4370,3101,122
2020-07-21,105526,4422,3183,123
2020-07-22,106805,4530,3278,125
2020-07-23,108222,4634,3394,128
2020-07-24,109358,4715,3555,128
2020-07-25,110514,4792,3778,133
2020-07-26,112003,4857,3866,136
2020-07-27,112834,4881,3936,139
2020-07-28,114090,4923,4034,140
2020-07-29,115722,4993,4099,141
2020-07-30,117170,5071,4178,144
2020-07-31,118955,5139,4267,145
2020-08-01,120336,5224,4341,145
2020-08-02,121320,5260,4373,149
2020-08-03,122083,5294,4438,153
2020-08-04,123199,5318,4517,154
2020-08-05,124383,5376,4589,154
2020-08-06,125317,5404,4688,155
2020-08-07,126410,5466,4758,155
2020-08-08,127405,5543,4817,157
2020-08-09,128132,5604,4861,157
2020-08-10,129379,5649,4906,158
2020-08-11,130688,5740,4962,160
2020-08-12,132292,5870,5024,160
2020-08-13,133493,6050,5078,161
2020-08-14,134742,6258,5134,163
2020-08-15,136280,6420,5193,165
2020-08-16,137657,6571,5220,166
2020-08-17,138647,6656,5254,166
2020-08-18,140471,6855,5318,166
2020-08-19,142124,7074,5386,168
2020-08-20,144521,7329,5472,168
2020-08-21,146168,7594,5584,169
2020-08-22,148742,7900,5678,170
2020-08-23,150460,8175,5801,171
2020-08-24,152824,8311,5926,173
2020-08-25,154159,8530,6124,175
2020-08-26,157387,8888,6362,175
2020-08-27,160236,9192,6595,177
2020-08-28,162301,9549,6809,180
2020-08-29,165716,9861,7024,183
2020-08-30,166638,10123,7212,184
2020-08-31,168229,10269,7434,186
2020-09-01,171224,10414,7735,187
2020-09-02,175346,10725,7968,191
2020-09-03,179838,11094,8266,194
2020-09-04,183912,11428,8530,195
2020-09-05,187851,11739,8771,197
2020-09-06,191360,11964,9008,198
2020-09-07,193153,12081,9266,201
2020-09-08,196966,12285,9553,203
2020-09-09,201138,12626,9833,206
2020-09-10,205256,12917,10142,208
2020-09-11,210805,13107,10466,211
2020-09-12,216495,13368,10721,218
2020-09-13,221834,13533,10899,224
2020-09-14,225014,13598,11151,227
2020-09-15,230585,13749,11412,230
2020-09-16,236938,14029,11690,236
2020-09-17,242886,14279,11933,238
2020-09-18,249023,14513,12169,244
2020-09-19,254480,14725,12353,244
2020-09-20,258864,14922,12536,248
2020-09-21,262132,14992,12737,253
2020-09-22,267297,15136,12987,255
2020-09-23,273684,15340,13815,257
2020-09-24,279035,15572,14111,261
2020-09-25,284449,15795,14303,266
2020-09-26,289024,16007,14405,269
2020-09-27,292969,16197,14609,272
2020-09-28,295998,16245,14793,272
2020-09-29,300492,16380,14947,275
2020-09-30,307084,16593,15057,280
2020-10-01,312406,16827,15218,284
2020-10-02,317199,17160,15423,291
2020-10-03,317199,17401,15661,293
2020-10-04,326159,17659,15849,298
2020-10-05,328392,17797,16031,300
2020-10-06,333241,18084,16192,304
2020-10-07,338594,18447,16308,309
2020-10-08,338594,18447,16308,309
