date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,2,0,0
2020-03-10,0,3,0,0
2020-03-11,0,6,0,0
2020-03-12,0,6,0,0
2020-03-13,0,14,0,0
2020-03-14,0,26,0,0
2020-03-15,0,26,0,0
2020-03-16,0,33,0,0
2020-03-17,0,46,0,0
2020-03-18,0,49,0,0
2020-03-19,0,67,0,0
2020-03-20,0,67,0,0
2020-03-21,0,84,0,0
2020-03-22,0,95,3,1
2020-03-23,0,116,3,1
2020-03-24,0,124,3,3
2020-03-25,0,132,3,3
2020-03-26,0,146,4,3
2020-03-27,0,162,15,5
2020-03-28,0,179,15,5
2020-03-29,0,214,15,5
2020-03-30,0,230,22,7
2020-03-31,0,262,23,8
2020-04-01,0,320,28,9
2020-04-02,0,356,28,10
2020-04-03,0,396,28,11
2020-04-04,0,426,33,11
2020-04-05,0,446,37,9
2020-04-06,0,465,45,9
2020-04-07,0,494,47,9
2020-04-08,0,526,52,9
2020-04-09,0,564,53,10
2020-04-10,0,595,58,10
2020-04-11,0,616,61,10
2020-04-12,0,633,65,11
2020-04-13,0,662,65,12
2020-04-14,0,695,65,12
2020-04-15,0,715,65,12
2020-04-16,0,735,77,12
2020-04-17,0,750,77,12
2020-04-18,0,761,79,12
2020-04-19,0,767,81,12
2020-04-20,0,772,81,12
2020-04-21,0,784,98,12
2020-04-22,0,790,98,13
2020-04-23,0,795,98,13
2020-04-24,0,804,98,14
2020-04-25,0,810,148,14
2020-04-26,0,817,148,14
2020-04-27,0,822,148,15
2020-04-28,0,837,148,15
2020-04-29,0,843,148,15
2020-04-30,0,850,296,15
2020-05-01,0,857,296,15
2020-05-02,0,864,296,15
2020-05-03,0,872,296,15
2020-05-04,0,874,296,15
2020-05-05,0,878,296,15
2020-05-06,0,883,296,15
2020-05-07,0,889,400,15
2020-05-08,0,891,400,15
2020-05-09,0,892,401,15
2020-05-10,0,898,401,16
2020-05-11,0,901,401,16
2020-05-12,0,903,449,16
2020-05-13,0,905,449,17
2020-05-14,0,907,481,17
2020-05-15,0,910,481,17
2020-05-16,0,914,515,17
2020-05-17,0,916,515,17
2020-05-18,0,917,515,17
2020-05-19,0,918,515,17
2020-05-20,0,922,516,17
2020-05-21,0,923,561,17
2020-05-22,0,927,561,17
2020-05-23,0,927,594,17
2020-05-24,0,935,594,17
2020-05-25,0,937,594,17
2020-05-26,0,939,594,17
2020-05-27,0,939,594,17
2020-05-28,0,941,784,17
2020-05-29,0,942,784,17
2020-05-30,0,944,790,17
2020-05-31,0,944,790,17
2020-06-01,0,949,790,17
2020-06-02,0,952,790,17
2020-06-03,0,958,790,17
2020-06-04,0,958,790,17
2020-06-05,0,960,807,17
2020-06-06,0,960,807,18
2020-06-07,0,964,807,18
2020-06-08,0,970,807,18
2020-06-09,0,972,807,18
2020-06-10,0,974,807,18
2020-06-11,0,975,807,18
2020-06-12,0,980,807,18
2020-06-13,0,980,807,18
2020-06-14,0,983,807,18
2020-06-15,0,985,807,18
2020-06-16,0,985,816,18
2020-06-17,0,985,816,18
2020-06-18,0,985,818,19
2020-06-19,0,985,818,19
2020-06-20,0,985,824,19
2020-06-21,0,986,824,19
2020-06-22,0,988,824,19
2020-06-23,0,990,824,19
2020-06-24,0,991,824,19
2020-06-25,0,992,824,19
2020-06-26,0,992,824,19
2020-06-27,0,994,824,19
2020-06-28,0,994,833,19
2020-06-29,0,996,833,19
2020-06-30,0,998,833,19
2020-07-01,0,999,833,19
2020-07-02,0,999,833,19
2020-07-03,0,999,839,19
2020-07-04,0,1002,839,19
2020-07-05,0,1003,839,19
2020-07-06,0,1004,839,19
2020-07-07,0,1005,839,19
2020-07-08,0,1008,839,19
2020-07-09,0,1010,839,19
2020-07-10,0,1013,839,19
2020-07-11,0,1014,839,19
2020-07-12,0,1021,839,19
2020-07-13,0,1022,839,19
2020-07-14,0,1023,839,19
2020-07-15,0,1025,839,19
2020-07-16,0,1031,845,19
2020-07-17,0,1033,845,19
2020-07-18,0,1037,845,19
2020-07-19,0,1038,845,19
2020-07-20,0,1038,847,19
2020-07-21,0,1040,847,19
2020-07-22,0,1040,847,19
2020-07-23,0,1045,847,19
2020-07-24,0,1047,847,19
2020-07-25,0,1053,852,19
2020-07-26,0,1057,852,19
2020-07-27,0,1060,852,19
2020-07-28,0,1067,852,19
2020-07-29,0,1080,852,19
2020-07-30,0,1090,852,19
2020-07-31,0,1114,852,19
2020-08-01,0,1124,852,19
2020-08-02,0,1150,856,19
2020-08-03,0,1155,856,19
2020-08-04,0,1180,856,19
2020-08-05,0,1195,856,19
2020-08-06,0,1208,856,19
2020-08-07,0,1222,856,19
2020-08-08,0,1233,856,19
2020-08-09,0,1242,870,19
2020-08-10,0,1252,870,19
2020-08-11,0,1277,870,20
2020-08-12,0,1291,870,20
2020-08-13,0,1305,870,20
2020-08-14,0,1318,870,20
2020-08-15,0,1332,870,20
2020-08-16,0,1339,870,20
2020-08-17,0,1351,870,20
2020-08-18,0,1359,878,20
2020-08-19,0,1385,878,20
2020-08-20,0,1395,878,20
2020-08-21,0,1406,878,20
2020-08-22,0,1417,878,20
2020-08-23,0,1421,878,20
2020-08-24,0,1451,878,20
2020-08-25,0,1474,935,20
2020-08-26,0,1484,935,20
2020-08-27,0,1467,935,20
2020-08-28,0,1481,935,20
2020-08-29,0,1483,935,20
2020-08-30,0,1487,935,20
2020-08-31,0,1488,1139,20
2020-09-01,0,1490,1139,21
2020-09-02,0,1495,1139,21
2020-09-03,0,1498,1139,21
2020-09-04,0,1502,1139,21
2020-09-05,0,1507,1237,21
2020-09-06,0,1509,1237,21
2020-09-07,0,1510,1237,22
2020-09-08,0,1511,1237,22
2020-09-09,0,1514,1237,22
2020-09-10,0,1517,1237,22
2020-09-11,0,1520,1237,22
2020-09-12,0,1523,1281,22
2020-09-13,0,1526,1281,22
2020-09-14,0,1534,1282,22
2020-09-15,0,1540,1282,22
2020-09-16,0,1548,1282,22
2020-09-17,0,1558,1282,22
2020-09-18,0,1565,1282,22
2020-09-19,0,1590,1282,22
2020-09-20,0,1600,1282,22
2020-09-21,0,1603,1369,22
2020-09-22,0,1618,1369,22
2020-09-23,0,1654,1369,22
2020-09-24,0,1663,1369,22
2020-09-25,0,1671,1369,22
2020-09-26,0,1684,1369,22
2020-09-27,0,1696,1369,22
2020-09-28,0,1713,1369,22
2020-09-29,0,1743,1369,22
2020-09-30,0,1755,1369,22
2020-10-01,0,1772,1369,22
2020-10-02,0,1789,1369,22
2020-10-03,0,1811,1369,22
2020-10-04,0,1824,1369,22
2020-10-05,0,1847,1369,22
2020-10-06,0,1876,1369,23
2020-10-07,0,1876,1369,23
