date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,20,0,0,0
2020-01-28,28,0,0,0
2020-01-29,33,0,0,0
2020-01-30,34,0,0,0
2020-01-31,37,0,0,0
2020-02-01,38,0,0,0
2020-02-02,43,0,0,0
2020-02-03,48,0,0,0
2020-02-04,53,0,0,0
2020-02-05,53,0,0,0
2020-02-06,56,0,0,0
2020-02-07,62,0,0,0
2020-02-08,62,0,0,0
2020-02-09,64,0,0,0
2020-02-10,72,0,0,0
2020-02-11,74,0,0,0
2020-02-12,75,0,0,0
2020-02-13,76,0,0,0
2020-02-14,76,0,0,0
2020-02-15,77,0,0,0
2020-02-16,78,0,0,0
2020-02-17,80,0,0,0
2020-02-18,80,0,0,0
2020-02-19,82,0,0,0
2020-02-20,82,0,0,0
2020-02-21,82,0,0,0
2020-02-22,83,0,0,0
2020-02-23,86,0,0,0
2020-02-24,98,0,0,0
2020-02-25,112,0,0,0
2020-02-26,135,0,0,0
2020-02-27,170,0,0,0
2020-02-28,193,0,0,0
2020-02-29,200,0,0,0
2020-03-01,211,3,0,0
2020-03-02,262,3,0,0
2020-03-03,340,5,0,0
2020-03-04,407,6,0,0
2020-03-05,483,9,0,0
2020-03-06,594,20,0,0
2020-03-07,787,27,0,0
2020-03-08,928,33,0,0
2020-03-09,1193,39,0,0
2020-03-10,1358,64,0,0
2020-03-11,1816,95,0,0
2020-03-12,2353,117,0,0
2020-03-13,3198,142,0,0
2020-03-14,4184,190,0,0
2020-03-15,5212,299,0,0
2020-03-16,6531,384,3,0
2020-03-17,7825,451,3,0
2020-03-18,9581,561,3,0
2020-03-19,11840,767,3,0
2020-03-20,13961,891,4,0
2020-03-21,15843,1050,6,0
2020-03-22,17644,1165,6,1
2020-03-23,19935,1291,6,1
2020-03-24,22997,1476,10,3
2020-03-25,27104,1768,10,6
2020-03-26,31737,2027,10,9
2020-03-27,37096,2404,11,9
2020-03-28,41320,2667,11,11
2020-03-29,44168,2826,11,16
2020-03-30,49327,3010,25,23
2020-03-31,55988,3314,45,31
2020-04-01,62090,3597,61,39
2020-04-02,68763,3865,67,44
2020-04-03,76161,4198,72,53
2020-04-04,81998,4481,78,59
2020-04-05,86810,4598,96,67
2020-04-06,93245,4834,121,78
2020-04-07,101418,5030,172,88
2020-04-08,109887,5324,233,99
2020-04-09,118067,5581,301,112
2020-04-10,123769,5744,346,119
2020-04-11,128660,5914,411,129
2020-04-12,131910,6003,464,138
2020-04-13,135125,6071,519,143
2020-04-14,141298,6153,642,161
2020-04-15,149774,6313,819,166
2020-04-16,158155,6445,972,169
2020-04-17,166443,6561,1174,173
2020-04-18,172048,6666,1227,181
2020-04-19,176075,6758,1298,186
2020-04-20,182642,6912,1559,194
2020-04-21,190983,7045,1753,201
2020-04-22,199801,7144,1989,208
2020-04-23,207702,7199,2152,210
2020-04-24,214831,7285,2371,214
2020-04-25,219277,7364,2453,218
2020-04-26,222658,7416,2545,220
2020-04-27,230412,7457,2826,223
2020-04-28,239153,7517,2948,227
2020-04-29,246475,7592,3108,227
2020-04-30,253871,7695,3314,236
2020-05-01,258368,7750,3372,240
2020-05-02,262253,7768,3461,245
2020-05-03,266134,7794,3587,248
2020-05-04,273890,7832,3807,252
2020-05-05,283273,7909,4006,257
2020-05-06,291325,7987,4205,262
2020-05-07,298924,8044,4371,270
2020-05-08,303434,8090,4413,273
2020-05-09,307222,8108,4447,276
2020-05-10,311274,8136,4474,280
2020-05-11,319083,8189,4711,282
2020-05-12,327838,8234,4889,283
2020-05-13,335525,8283,5047,290
2020-05-14,342427,8365,5241,293
2020-05-15,349217,8420,5381,295
2020-05-16,353414,8470,5422,296
2020-05-17,356967,8490,5462,298
2020-05-18,364425,8601,5641,297
2020-05-19,372761,8663,5726,302
2020-05-20,380279,8737,5830,304
2020-05-21,387569,8770,5926,306
2020-05-22,395317,8829,6025,312
2020-05-23,400376,8906,6044,314
2020-05-24,404225,8971,6078,315
2020-05-25,411733,9018,6182,317
2020-05-26,418974,9066,6270,317
2020-05-27,425820,9103,6370,317
2020-05-28,431833,9157,6460,319
2020-05-29,437946,9213,6500,319
2020-05-30,441494,9247,6546,319
2020-05-31,443635,9285,6558,320
2020-06-01,449356,9319,6642,321
2020-06-02,455834,9381,6686,323
2020-06-03,461147,9455,6749,325
2020-06-04,466158,9511,6809,326
2020-06-05,470331,9546,6881,327
2020-06-06,472481,9584,6885,327
2020-06-07,474608,9645,6891,327
2020-06-08,479292,9714,6994,328
2020-06-09,483844,9768,7053,328
2020-06-10,487912,9841,7111,330
2020-06-11,491651,9903,7166,328
2020-06-12,495377,9955,7215,329
2020-06-13,497029,10008,7219,328
2020-06-14,498150,10041,7226,329
2020-06-15,501823,10081,7296,330
2020-06-16,505846,10128,7358,331
2020-06-17,509882,10179,7399,333
2020-06-18,514285,10297,7440,334
2020-06-19,517859,10423,7473,335
2020-06-20,519558,10465,7477,336
2020-06-21,520871,10515,7499,336
2020-06-22,524781,10579,7537,336
2020-06-23,529348,10668,7555,339
2020-06-24,533635,10795,7588,343
2020-06-25,537682,10888,7649,345
2020-06-26,542215,11056,7668,349
2020-06-27,544769,11316,7682,349
2020-06-28,547192,11621,7705,348
2020-06-29,551677,11822,7746,348
2020-06-30,556089,11971,7771,349
2020-07-01,560682,12062,7797,349
2020-07-02,565347,12194,7822,353
2020-07-03,570456,12333,7848,353
2020-07-04,572143,12454,7852,351
2020-07-05,573667,12529,7864,348
2020-07-06,575381,12580,7873,350
2020-07-07,579540,12698,7910,351
2020-07-08,584946,12827,8010,351
2020-07-09,589628,12932,8128,352
2020-07-10,594961,13073,8208,352
2020-07-11,597282,13126,8227,352
2020-07-12,599069,13185,8247,352
2020-07-13,603493,13249,8373,353
2020-07-14,608295,13352,8441,355
2020-07-15,612989,13486,8507,355
2020-07-16,617719,13623,8640,355
2020-07-17,622446,13751,8725,358
2020-07-18,624780,13863,8733,358
2020-07-19,626610,13954,8761,359
2020-07-20,632395,14123,8836,359
2020-07-21,638484,14330,8918,360
2020-07-22,645093,14575,9144,364
2020-07-23,650650,14806,9328,365
2020-07-24,656888,15084,9422,369
2020-07-25,660225,15216,9590,369
2020-07-26,662006,15330,11428,371
2020-07-27,668533,15524,11428,373
2020-07-28,676410,15801,11428,374
2020-07-29,683902,16075,11429,374
2020-07-30,691512,16328,11482,379
2020-07-31,699690,16559,11569,382
2020-08-01,704393,16682,11587,383
2020-08-02,707040,16783,11605,384
2020-08-03,714759,16991,11708,386
2020-08-04,723150,17278,11812,383
2020-08-05,730076,17518,11909,388
2020-08-06,737425,17733,12320,390
2020-08-07,746611,18056,12749,389
2020-08-08,752099,18229,12764,389
2020-08-09,754959,18351,12785,390
2020-08-10,761322,18491,12983,390
2020-08-11,769776,18779,13222,391
2020-08-12,777534,19068,13407,391
2020-08-13,784727,19397,13574,391
2020-08-14,792520,19688,13731,394
2020-08-15,797462,19885,13763,395
2020-08-16,800334,20006,13799,397
2020-08-17,807526,20197,14622,399
2020-08-18,815125,20478,15146,401
2020-08-19,822671,20791,15615,404
2020-08-20,830889,21037,15886,406
2020-08-21,840571,21541,16040,411
2020-08-22,845684,21775,16087,411
2020-08-23,848081,21911,16125,412
2020-08-24,855477,22170,16376,415
2020-08-25,864234,22534,16662,416
2020-08-26,873088,22928,16954,418
2020-08-27,882281,23278,17190,418
2020-08-28,893071,23763,17497,419
2020-08-29,899639,24083,17541,421
2020-08-30,903583,24357,17547,423
2020-08-31,912936,24613,17807,424
2020-09-01,924061,25112,18116,425
2020-09-02,935859,25757,18326,425
2020-09-03,947393,26433,18663,426
2020-09-04,960986,27230,19027,429
2020-09-05,968452,27735,19039,431
2020-09-06,972987,28145,19053,436
2020-09-07,984563,28706,19855,437
2020-09-08,1000656,29867,20139,441
2020-09-09,1016130,31025,20374,444
2020-09-10,1032427,32407,20787,448
2020-09-11,1051615,33850,21140,450
2020-09-12,1064669,35387,21205,453
2020-09-13,1071759,36178,21294,456
2020-09-14,1089250,37206,22020,465
2020-09-15,1109550,38879,22613,476
2020-09-16,1130010,41012,22931,482
2020-09-17,1153438,44137,23377,489
2020-09-18,1175003,46246,23858,495
2020-09-19,1190053,48291,24228,499
2020-09-20,1200232,49276,24755,503
2020-09-21,1219633,50752,25425,522
2020-09-22,1242007,53140,26151,531
2020-09-23,1264375,55447,26709,555
2020-09-24,1287511,58354,27382,567
2020-09-25,1310621,61301,30740,581
2020-09-26,1326005,63283,30936,591
2020-09-27,1336465,64587,31268,606
2020-09-28,1348683,65871,31799,618
2020-09-29,1366967,67834,32759,636
2020-09-30,1388041,70760,33443,655
2020-10-01,1411920,74257,34186,678
2020-10-02,1435520,78051,35032,699
2020-10-03,1450711,80607,39073,711
2020-10-04,1458462,82447,44149,727
2020-10-05,1476013,85565,46636,758
2020-10-06,1476013,90022,48788,794
2020-10-07,1476013,90022,48788,794
