date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,1,0,0,0
2020-01-28,1,0,0,0
2020-01-29,2,0,0,0
2020-01-30,2,0,0,0
2020-01-31,2,0,0,0
2020-02-01,2,0,0,0
2020-02-02,3,0,0,0
2020-02-03,4,0,0,0
2020-02-04,4,0,0,0
2020-02-05,5,0,0,0
2020-02-06,6,0,0,0
2020-02-07,7,0,0,0
2020-02-08,7,0,0,0
2020-02-09,7,0,0,0
2020-02-10,7,0,0,0
2020-02-11,7,0,0,0
2020-02-12,9,0,0,0
2020-02-13,10,0,0,0
2020-02-14,11,0,0,0
2020-02-15,11,0,0,0
2020-02-16,11,0,0,0
2020-02-17,12,0,0,0
2020-02-18,14,0,0,0
2020-02-19,17,0,0,0
2020-02-20,19,0,0,0
2020-02-21,19,0,0,0
2020-02-22,20,0,0,0
2020-02-23,20,0,0,0
2020-02-24,21,0,0,0
2020-02-25,31,0,0,0
2020-02-26,62,0,0,0
2020-02-27,173,1,0,0
2020-02-28,234,1,0,0
2020-02-29,308,3,0,0
2020-03-01,357,4,0,0
2020-03-02,437,4,0,0
2020-03-03,500,6,0,0
2020-03-04,589,10,0,0
2020-03-05,698,10,0,0
2020-03-06,825,23,1,0
2020-03-07,933,23,1,0
2020-03-08,1162,35,1,0
2020-03-09,1740,90,1,0
2020-03-10,2546,262,1,0
2020-03-11,3429,442,1,0
2020-03-12,4105,615,1,0
2020-03-13,4815,801,1,0
2020-03-14,5398,827,1,1
2020-03-15,6121,864,1,2
2020-03-16,7137,914,1,3
2020-03-17,8085,977,1,4
2020-03-18,9311,1057,1,4
2020-03-19,11159,1151,1,6
2020-03-20,12338,1255,1,9
2020-03-21,12940,1326,1,13
2020-03-22,13473,1395,1,13
2020-03-23,14598,1450,1,24
2020-03-24,15721,1591,1,32
2020-03-25,17093,1724,1,34
2020-03-26,18704,1877,1,41
2020-03-27,20814,2046,1,52
2020-03-28,22197,2201,1,65
2020-03-29,23498,2395,1,72
2020-03-30,26716,2577,1,77
2020-03-31,29926,2860,1,90
2020-04-01,33483,3107,894,104
2020-04-02,39235,3386,1089,123
2020-04-03,45852,3757,1193,139
2020-04-04,49549,4077,1283,161
2020-04-05,51762,4369,1327,179
2020-04-06,58331,4681,1378,187
2020-04-07,64715,5071,1491,203
2020-04-08,70347,5402,1621,218
2020-04-09,72905,5635,1736,237
2020-04-10,75231,5819,1773,247
2020-04-11,77460,5996,1955,260
2020-04-12,79603,6174,2123,273
2020-04-13,81752,6318,2235,285
2020-04-14,87971,6511,2515,299
2020-04-15,93605,6681,2748,309
2020-04-16,98937,6879,3023,321
2020-04-17,103740,7073,3389,336
2020-04-18,106042,7242,3847,346
2020-04-19,107928,7384,4141,355
2020-04-20,114598,7515,4312,364
2020-04-21,124373,7695,4700,370
2020-04-22,135978,7912,5087,384
2020-04-23,148464,8073,5384,394
2020-04-24,163283,8210,5526,403
2020-04-25,175715,8445,5669,418
2020-04-26,186042,8575,5805,422
2020-04-27,203393,8698,5959,427
2020-04-28,219660,8851,6121,434
2020-04-29,235737,9008,6366,443
2020-04-30,251688,9158,6546,452
2020-05-01,266133,9311,6729,460
2020-05-02,277280,9407,6889,475
2020-05-03,286279,9523,6987,484
2020-05-04,304059,9670,7088,493
2020-05-05,319854,9821,7296,503
2020-05-06,334183,9938,7493,506
2020-05-07,348554,10083,7711,514
2020-05-08,356927,10218,7927,522
2020-05-09,365173,10319,8093,526
2020-05-10,371860,10429,8217,529
2020-05-11,388308,10513,8328,533
2020-05-12,403091,10591,8580,527
2020-05-13,417850,10667,8663,533
2020-05-14,430845,10713,8805,537
2020-05-15,443515,10791,8959,537
2020-05-16,451213,10858,9107,543
2020-05-17,458283,10927,9227,547
2020-05-18,473564,10968,9301,548
2020-05-19,488547,11044,9416,551
2020-05-20,503008,11117,9536,554
2020-05-21,511480,11182,9643,561
2020-05-22,523785,11230,9764,561
2020-05-23,532566,11289,9836,561
2020-05-24,541232,11360,9900,562
2020-05-25,559528,11387,9964,563
2020-05-26,575506,11428,10044,563
2020-05-27,590293,11480,10106,565
2020-05-28,603457,11512,10180,568
2020-05-29,615238,11593,10240,568
2020-05-30,622416,11633,10327,571
2020-05-31,630052,11669,10362,574
2020-06-01,638775,11699,10412,576
2020-06-02,654310,11734,10489,580
2020-06-03,667769,11771,10552,580
2020-06-04,679635,11811,10620,582
2020-06-05,689291,11875,10653,586
2020-06-06,697262,11924,10721,587
2020-06-07,705007,11948,10755,589
2020-06-08,721866,11962,10792,593
2020-06-09,737515,12001,10849,593
2020-06-10,752475,12016,10904,593
2020-06-11,767023,12035,10955,593
2020-06-12,781893,12099,10993,594
2020-06-13,791902,12139,11035,597
2020-06-14,800962,12193,11068,597
2020-06-15,818676,12217,11090,598
2020-06-16,836877,12250,11125,598
2020-06-17,856102,12294,11185,598
2020-06-18,873618,12344,11242,600
2020-06-19,890609,12391,11282,600
2020-06-20,902707,12391,11282,600
2020-06-21,914122,12391,11282,600
2020-06-22,935579,12527,11347,602
2020-06-23,956492,12561,11393,603
2020-06-24,976571,12615,11422,603
2020-06-25,993401,12636,11460,603
2020-06-26,1009239,12675,11508,604
2020-06-27,1018722,12675,11508,604
2020-06-28,1028183,12675,11508,604
2020-06-29,1046901,12751,11612,605
2020-06-30,1064785,12768,11649,605
2020-07-01,1082400,12794,11693,606
2020-07-02,1097761,12815,11769,606
2020-07-03,1112082,12832,11817,606
2020-07-04,1121706,12832,11817,606
2020-07-05,1131443,12832,11817,606
2020-07-06,1149284,12878,11935,607
2020-07-07,1165797,12888,11983,609
2020-07-08,1181700,12900,12001,609
2020-07-09,1196003,12916,12045,609
2020-07-10,1210189,12946,12077,609
2020-07-11,1219839,12946,12077,609
2020-07-12,1228972,12946,12077,609
2020-07-13,1247252,13037,12130,610
2020-07-14,1263969,13061,12160,610
2020-07-15,1280314,13092,12182,610
2020-07-16,1295496,13124,12195,610
2020-07-17,1309767,13173,12209,611
2020-07-18,1320436,13173,12209,611
2020-07-19,1331372,13173,12209,611
2020-07-20,1349583,13262,12251,611
2020-07-21,1366275,13302,12261,611
2020-07-22,1382912,13350,12274,611
2020-07-23,1398705,13390,12299,612
2020-07-24,1414813,13438,12340,613
2020-07-25,1426544,13438,12340,613
2020-07-26,1439357,13438,12340,613
2020-07-27,1460077,13547,12417,613
2020-07-28,1480453,13577,12451,613
2020-07-29,1500671,13634,12485,614
2020-07-30,1521218,13725,12526,615
2020-07-31,1541135,13789,12578,615
2020-08-01,1555440,13789,12578,615
2020-08-02,1571153,13789,12578,615
2020-08-03,1594997,13996,12682,616
2020-08-04,1619937,14073,12715,616
2020-08-05,1644815,14185,12753,616
2020-08-06,1671669,14306,12787,617
2020-08-07,1698743,14442,12840,617
2020-08-08,1719532,14442,12840,617
2020-08-09,1740466,14442,12840,617
2020-08-10,1771413,14815,12925,620
2020-08-11,1804937,14959,12988,621
2020-08-12,1839664,15070,13066,621
2020-08-13,1873439,15214,13131,621
2020-08-14,1906002,15379,13216,621
2020-08-15,1931242,15483,13275,621
2020-08-16,1956846,15617,13340,621
2020-08-17,1992437,15740,13417,621
2020-08-18,2030322,15855,13529,621
2020-08-19,2069385,15940,13651,621
2020-08-20,2107397,16056,13769,621
2020-08-21,2143101,16127,13944,621
2020-08-22,2171737,16239,13944,622
2020-08-23,2199298,16317,14180,622
2020-08-24,2238657,16397,14310,623
2020-08-25,2278407,16480,14465,623
2020-08-26,2318471,16537,14603,623
2020-08-27,2357148,16627,14763,624
2020-08-28,2392588,16700,14877,624
2020-08-29,2417775,16779,14989,624
2020-08-30,2443019,16891,15116,624
2020-08-31,2482646,16985,15205,624
2020-09-01,2521859,17084,15300,625
2020-09-02,2561879,17195,15413,626
2020-09-03,2600688,17374,15499,626
2020-09-04,2640826,17547,15586,627
2020-09-05,2669386,17736,15671,627
2020-09-06,2699166,17883,15760,627
2020-09-07,2746975,18113,15833,628
2020-09-08,2795300,18356,15907,628
2020-09-09,2844122,18607,15990,628
2020-09-10,2896274,18924,16069,629
2020-09-11,2946844,19216,16139,629
2020-09-12,2988182,19557,16247,630
2020-09-13,3030072,19890,16333,631
2020-09-14,3085804,20237,16437,633
2020-09-15,3141941,20571,16557,633
2020-09-16,3198618,20571,16557,633
2020-09-17,3250624,21393,16918,635
2020-09-18,3302111,21847,17110,635
2020-09-19,3342158,22436,17316,635
2020-09-20,3383122,22905,17514,638
2020-09-21,3437254,23323,17738,640
2020-09-22,3493866,23799,18035,641
2020-09-23,3549370,24357,18359,643
2020-09-24,3603260,24916,18646,645
2020-09-25,3654794,25594,19010,647
2020-09-26,3694376,26213,19350,648
2020-09-27,3733966,26637,19650,649
2020-09-28,3787891,27072,19942,649
2020-09-29,3838573,27464,20320,650
2020-09-30,3886253,27998,20754,650
2020-10-01,3930715,28396,21309,651
2020-10-02,3973795,28932,21824,652
