date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,1,0,0
2020-03-19,0,1,0,0
2020-03-20,0,1,0,0
2020-03-21,0,1,0,0
2020-03-22,0,1,0,0
2020-03-23,0,3,0,0
2020-03-24,0,3,0,0
2020-03-25,0,11,0,0
2020-03-26,0,11,0,0
2020-03-27,0,12,0,0
2020-03-28,0,14,0,0
2020-03-29,0,18,0,0
2020-03-30,0,18,0,0
2020-03-31,0,30,0,0
2020-04-01,0,33,0,0
2020-04-02,0,40,0,0
2020-04-03,0,49,8,0
2020-04-04,0,50,8,0
2020-04-05,0,59,9,0
2020-04-06,0,90,9,0
2020-04-07,0,90,9,0
2020-04-08,0,135,25,0
2020-04-09,0,135,25,0
2020-04-10,0,150,36,1
2020-04-11,0,187,36,2
2020-04-12,0,214,36,2
2020-04-13,0,298,41,2
2020-04-14,0,363,53,2
2020-04-15,0,435,71,2
2020-04-16,0,591,73,2
2020-04-17,0,732,76,2
2020-04-18,0,732,76,2
2020-04-19,0,846,102,2
2020-04-20,0,846,102,2
2020-04-21,0,945,112,2
2020-04-22,0,974,183,2
2020-04-23,0,986,252,2
2020-04-24,0,999,330,2
2020-04-25,0,1008,373,2
2020-04-26,0,1023,411,2
2020-04-27,0,1035,477,2
2020-04-28,0,1072,498,2
2020-04-29,0,1077,599,2
2020-04-30,0,1089,642,2
2020-05-01,0,1097,672,2
2020-05-02,0,1112,686,2
2020-05-03,0,1112,686,2
2020-05-04,0,1116,713,2
2020-05-05,0,1120,745,2
2020-05-06,0,1124,755,3
2020-05-07,0,1133,799,3
2020-05-08,0,1135,824,3
2020-05-09,0,1189,834,3
2020-05-10,0,1210,847,3
2020-05-11,0,1227,872,3
2020-05-12,0,1256,886,3
2020-05-13,0,1268,900,3
2020-05-14,0,1284,905,3
2020-05-15,0,1309,935,4
2020-05-16,0,1331,950,4
2020-05-17,0,1401,972,4
2020-05-18,0,1518,1018,7
2020-05-19,0,1618,1033,7
2020-05-20,0,1828,1052,9
2020-05-21,0,2047,1055,10
2020-05-22,0,2270,1064,10
2020-05-23,0,2270,1064,10
2020-05-24,0,2270,1064,10
2020-05-25,0,2468,1079,14
2020-05-26,0,2468,1079,14
2020-05-27,0,2697,1185,18
2020-05-28,0,2914,1241,20
2020-05-29,0,2914,1241,20
2020-05-30,0,3194,1286,22
2020-05-31,0,3354,1504,24
2020-06-01,0,3569,1521,24
2020-06-02,0,3779,1607,25
2020-06-03,0,3935,1636,26
2020-06-04,0,4054,1685,26
2020-06-05,0,4123,1707,26
2020-06-06,0,4169,1815,26
2020-06-07,0,4207,1877,28
2020-06-08,0,4278,2013,31
2020-06-09,0,4331,2139,34
2020-06-10,0,4373,2260,34
2020-06-11,0,4398,2519,37
2020-06-12,0,4441,2730,38
2020-06-13,0,4449,2823,41
2020-06-14,0,4465,2950,43
2020-06-15,0,4501,3183,43
2020-06-16,0,4539,3324,43
2020-06-17,0,4545,3411,43
2020-06-18,0,4557,3527,43
2020-06-19,0,4565,3565,45
2020-06-20,0,4565,3565,45
2020-06-21,0,4582,3859,45
2020-06-22,0,4599,3952,48
2020-06-23,0,4617,3989,49
2020-06-24,0,4630,4182,52
2020-06-25,0,4635,4269,52
2020-06-26,0,4643,4348,52
2020-06-27,0,4643,4348,52
2020-06-28,0,4643,4348,52
2020-06-29,0,4656,4433,53
2020-06-30,0,4682,4524,54
2020-07-01,0,4704,4550,55
2020-07-02,0,4715,4564,55
2020-07-03,0,4736,4580,55
2020-07-04,0,4736,4580,55
2020-07-05,0,4792,4593,55
2020-07-06,0,4822,4610,55
2020-07-07,0,4878,4621,55
2020-07-08,0,4889,4644,55
2020-07-09,0,4955,4671,56
2020-07-10,0,4968,4689,56
2020-07-11,0,4968,4689,56
2020-07-12,0,4972,4712,56
2020-07-13,0,4977,4729,56
2020-07-14,0,4979,4743,56
2020-07-15,0,4985,4765,56
2020-07-16,0,4993,4796,56
2020-07-17,0,5003,4809,56
2020-07-18,0,5003,4809,56
2020-07-19,0,5011,4838,56
2020-07-20,0,5020,4868,56
2020-07-21,0,5027,4884,56
2020-07-22,0,5030,4904,58
2020-07-23,0,5031,4927,58
2020-07-24,0,5039,4949,58
2020-07-25,0,5039,4949,58
2020-07-26,0,5050,4966,58
2020-07-27,0,5059,4977,58
2020-07-28,0,5068,4992,58
2020-07-29,0,5081,4999,58
2020-07-30,0,5081,4999,58
2020-07-31,0,5084,4999,58
2020-08-01,0,5084,4999,58
2020-08-02,0,5161,5019,59
2020-08-03,0,5240,5028,59
2020-08-04,0,5248,5044,59
2020-08-05,0,5330,5057,59
2020-08-06,0,5330,5057,59
2020-08-07,0,5338,5083,59
2020-08-08,0,5338,5083,59
2020-08-09,0,5344,5106,59
2020-08-10,0,5347,5120,59
2020-08-11,0,5348,5133,59
2020-08-12,0,5358,5150,59
2020-08-13,0,5358,5167,59
2020-08-14,0,5367,5181,59
2020-08-15,0,5367,5181,59
2020-08-16,0,5369,5202,59
2020-08-17,0,5372,5211,59
2020-08-18,0,5374,5216,59
2020-08-19,0,5374,5216,59
2020-08-20,0,5374,5216,59
2020-08-21,0,5382,5233,60
2020-08-22,0,5382,5233,60
2020-08-23,0,5382,5254,60
2020-08-24,0,5383,5273,60
2020-08-25,0,5383,5282,60
2020-08-26,0,5383,5297,60
2020-08-27,0,5383,5307,60
2020-08-28,0,5383,5307,60
2020-08-29,0,5385,5314,60
2020-08-30,0,5385,5319,60
2020-08-31,0,5387,5323,60
2020-09-01,0,5387,5327,60
2020-09-02,0,5387,5327,60
2020-09-03,0,5387,5327,60
2020-09-04,0,5387,5327,60
2020-09-05,0,5387,5327,60
2020-09-06,0,5388,5327,61
2020-09-07,0,5388,5327,61
2020-09-08,0,5388,5327,61
2020-09-09,0,5391,5327,61
2020-09-10,0,5394,5327,61
2020-09-11,0,5394,5327,61
2020-09-12,0,5394,5327,61
2020-09-13,0,5395,5330,61
2020-09-14,0,5396,5331,61
2020-09-15,0,5396,5331,61
2020-09-16,0,5399,5333,61
2020-09-17,0,5399,5333,61
2020-09-18,0,5403,5333,61
2020-09-19,0,5403,5333,61
2020-09-20,0,5403,5335,61
2020-09-21,0,5404,5336,61
2020-09-22,0,5407,5338,61
2020-09-23,0,5407,5338,61
2020-09-24,0,5407,5339,61
2020-09-25,0,5409,5340,61
2020-09-26,0,5409,5340,61
2020-09-27,0,5409,5340,61
2020-09-28,0,5410,5340,61
2020-09-29,0,5416,5344,61
2020-09-30,0,5416,5344,61
2020-10-01,0,5417,5346,61
2020-10-02,0,5417,5346,61
2020-10-03,0,5418,5347,61
2020-10-04,0,5419,5349,61
2020-10-05,0,5421,5352,61
2020-10-06,0,5423,5353,61
2020-10-07,0,5423,5353,61
2020-10-08,0,5423,5353,61
