date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,6,0,0
2020-03-02,0,6,0,0
2020-03-03,0,7,0,0
2020-03-04,0,10,0,0
2020-03-05,0,13,0,0
2020-03-06,0,13,0,0
2020-03-07,0,13,0,0
2020-03-08,0,14,0,0
2020-03-09,0,15,0,0
2020-03-10,0,15,0,0
2020-03-11,0,17,0,0
2020-03-12,0,17,0,0
2020-03-13,0,17,0,0
2020-03-14,0,28,0,2
2020-03-15,0,28,0,2
2020-03-16,0,37,0,2
2020-03-17,0,58,0,2
2020-03-18,480,111,0,2
2020-03-19,672,199,0,3
2020-03-20,959,367,0,5
2020-03-21,1181,506,3,7
2020-03-22,1661,789,3,14
2020-03-23,2072,981,3,18
2020-03-24,2307,1082,3,27
2020-03-25,2598,1173,3,28
2020-03-26,3125,1403,3,34
2020-03-27,3568,1595,3,36
2020-03-28,3935,1823,3,48
2020-03-29,4123,1924,3,58
2020-03-30,4219,1962,3,60
2020-03-31,4828,2240,54,75
2020-04-01,5591,2748,58,93
2020-04-02,6302,3163,65,120
2020-04-03,6656,3368,65,145
2020-04-04,6834,3465,100,172
2020-04-05,7249,3646,100,180
2020-04-06,7590,3747,100,191
2020-04-07,7951,3747,100,191
2020-04-08,8658,4450,140,242
2020-04-09,9639,4965,339,272
2020-04-10,13657,7161,368,297
2020-04-11,14201,7257,411,315
2020-04-12,14584,7466,501,333
2020-04-13,14826,7529,597,355
2020-04-14,15098,7603,696,369
2020-04-15,15614,7858,780,388
2020-04-16,16137,8225,838,403
2020-04-17,16525,8450,838,421
2020-04-18,17513,9022,1008,456
2020-04-19,18433,9468,1061,474
2020-04-20,19860,10128,1150,507
2020-04-21,20480,10398,1207,520
2020-04-22,21607,10850,1262,537
2020-04-23,23383,11183,1328,560
2020-04-24,23383,22719,1366,576
2020-04-25,23383,22719,1366,576
2020-04-26,23383,22719,1366,576
2020-04-27,31134,23240,1557,663
2020-04-28,32460,24258,1557,871
2020-04-29,33684,24675,1557,883
2020-04-30,34347,24934,1558,900
2020-05-01,37061,26336,1913,1063
2020-05-02,38924,27464,2132,1371
2020-05-03,43727,29538,3300,1564
2020-05-04,46260,31881,3433,1569
2020-05-05,46260,31881,3433,1569
2020-05-06,42870,31881,3433,1618
2020-05-07,44373,30298,3433,1654
2020-05-08,40630,28818,3433,1704
2020-05-09,41501,29071,3433,1717
2020-05-10,43315,29559,3433,2127
2020-05-11,41938,29509,3433,2145
2020-05-12,44188,30419,3433,2327
2020-05-13,44285,30486,3433,2334
2020-05-14,44349,30502,3433,2338
2020-05-15,47881,31467,3433,2594
2020-05-16,50020,32763,3433,2688
2020-05-17,51395,33182,3433,2736
2020-05-18,52712,33582,3433,2799
2020-05-19,53813,34151,3457,2839
2020-05-20,55384,34854,3557,2888
2020-05-21,57126,35306,3557,2939
2020-05-22,59535,35828,3557,3056
2020-05-23,60696,36258,3557,3096
2020-05-24,61927,36756,3560,3108
2020-05-25,64195,37355,18003,3203
2020-05-26,64777,37355,18003,3203
2020-05-27,66360,38103,18425,3275
2020-05-28,67139,38471,18425,3313
2020-05-29,67718,38571,19190,3334
2020-05-30,68231,38571,19190,3334
2020-05-31,68988,39098,19592,3358
2020-06-01,71422,39098,19592,3358
2020-06-02,72769,40414,20019,3438
2020-06-03,74728,40966,20019,3486
2020-06-04,76143,40966,20019,3486
2020-06-05,78279,41575,20568,3534
2020-06-06,79123,42728,21020,3608
2020-06-07,80376,43120,21020,3621
2020-06-08,80796,43378,21020,3642
2020-06-09,82279,43917,21020,3690
2020-06-10,83400,44440,21862,3720
2020-06-11,85592,44440,21862,3720
2020-06-12,87561,45778,22679,3828
2020-06-13,88946,46356,22865,3874
2020-06-14,89842,46751,23064,3896
2020-06-15,91101,47322,23349,3929
2020-06-16,92964,47943,23684,3970
2020-06-17,94226,48490,23881,4007
2020-06-18,95696,49097,24123,4087
2020-06-19,97575,49731,24446,4156
2020-06-20,99041,49731,24446,4156
2020-06-21,100268,50640,24991,4223
2020-06-22,100756,50640,24991,4223
2020-06-23,102855,51643,24991,4274
2020-06-24,104572,51643,24991,4274
2020-06-25,106476,53156,26097,4343
2020-06-26,108471,53856,26493,4406
2020-06-27,109939,54574,26920,4424
2020-06-28,111523,55255,27058,4429
2020-06-29,112845,55665,27430,4502
2020-06-30,114910,56432,27594,4527
2020-07-01,117603,58257,27887,4576
2020-07-02,120346,59468,28032,4639
2020-07-03,122631,60657,28391,4700
2020-07-04,124735,61535,28507,4769
2020-07-05,125734,61958,28722,4781
2020-07-06,126699,62380,28872,4821
2020-07-07,128825,63245,29071,4873
2020-07-08,131222,63245,29071,4873
2020-07-09,133207,64221,29184,4900
2020-07-10,134811,65018,29577,4939
2020-07-11,137419,67209,30107,5031
2020-07-12,139271,67870,30283,5047
2020-07-13,140602,68459,30369,5063
2020-07-14,142990,69570,30484,5130
2020-07-15,145207,70329,30641,5158
2020-07-16,147993,71365,31260,5207
2020-07-17,150361,72444,31404,5250
2020-07-18,152448,73382,31757,5282
2020-07-19,154150,74013,31901,5313
2020-07-20,155768,74620,31955,5318
2020-07-21,159152,76217,32725,5366
2020-07-22,161443,77257,33125,5418
2020-07-23,163598,78148,33455,5439
2020-07-24,165712,79049,34544,5468
2020-07-25,167782,80036,34544,5507
2020-07-26,169605,80694,34896,5515
2020-07-27,170731,81161,34896,5532
2020-07-28,174095,82279,35283,5584
2020-07-29,176208,83193,35572,5623
2020-07-30,179093,84370,35824,5657
2020-07-31,181594,85355,36044,5702
2020-08-01,184045,86232,36213,5736
2020-08-02,184923,86232,36213,5736
2020-08-03,186336,87041,59344,5767
2020-08-04,188431,87963,70985,5808
2020-08-05,190587,88866,71168,5847
2020-08-06,194349,90537,71318,5877
2020-08-07,197857,91969,71463,5897
2020-08-08,202394,93572,71605,5916
2020-08-09,204729,94459,78552,5922
2020-08-10,205364,94701,78608,5932
2020-08-11,207536,95563,78610,5951
2020-08-12,211192,97110,78887,5984
2020-08-13,214477,98343,78957,6010
2020-08-14,217474,99409,79176,6030
2020-08-15,221163,100688,79354,6065
2020-08-16,223842,101542,87022,6070
2020-08-17,224835,101751,87120,6083
2020-08-18,228038,102941,87183,6105
2020-08-19,231883,104475,87277,6146
2020-08-20,235401,105508,87660,6200
2020-08-21,238158,106481,87730,6248
2020-08-22,239766,107089,87889,6277
2020-08-23,242114,107769,94816,6310
2020-08-24,243437,108289,94878,6322
2020-08-25,245983,109030,95025,6368
2020-08-26,249452,110549,95097,6410
2020-08-27,251532,111219,95202,6471
2020-08-28,253976,112141,95311,6504
2020-08-29,256212,112906,95429,6537
2020-08-30,258266,113648,101620,6555
2020-08-31,258893,113767,101669,6556
2020-09-01,260413,114309,101723,6571
2020-09-02,263241,115457,101867,6619
2020-09-03,265640,116360,102051,6648
2020-09-04,267992,117175,102200,6674
2020-09-05,270618,118045,102304,6724
2020-09-06,272981,118045,102304,6724
2020-09-07,273730,110092,91242,10576
2020-09-08,275241,110757,91242,10627
2020-09-09,278939,112166,91242,10701
2020-09-10,281920,113206,91242,10749
2020-09-11,286756,114732,91242,10836
2020-09-12,290896,116451,91242,10864
2020-09-13,294328,118594,97063,10903
2020-09-14,295374,118911,97063,10922
2020-09-15,297387,119553,97063,10963
2020-09-16,302597,121525,97063,10996
2020-09-17,308927,122257,97063,11029
2020-09-18,313575,124129,97063,11044
2020-09-19,320239,125620,97063,11084
2020-09-20,323679,126419,102852,11090
2020-09-21,324408,126711,102852,11095
2020-09-22,326943,127643,102852,11126
2020-09-23,333088,129892,102852,11171
2020-09-24,337427,131146,102852,11213
2020-09-25,341824,132475,102852,11236
2020-09-26,347782,133981,102852,11273
2020-09-27,350498,134747,112296,11279
2020-09-28,351221,134965,112296,11280
2020-09-29,354601,135749,112296,11312
2020-09-30,359918,137047,112296,11355
2020-10-01,365003,138584,112296,11433
