date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,1,0,0
2020-02-15,0,1,0,0
2020-02-16,0,1,0,0
2020-02-17,0,1,0,0
2020-02-18,0,1,0,0
2020-02-19,0,1,0,0
2020-02-20,0,1,0,0
2020-02-21,0,1,0,0
2020-02-22,0,1,0,0
2020-02-23,0,1,0,0
2020-02-24,0,1,0,0
2020-02-25,0,1,0,0
2020-02-26,0,1,0,0
2020-02-27,0,1,0,0
2020-02-28,0,1,1,0
2020-02-29,0,1,1,0
2020-03-01,0,2,1,0
2020-03-02,0,2,1,0
2020-03-03,0,2,1,0
2020-03-04,0,2,1,0
2020-03-05,0,3,1,0
2020-03-06,0,15,1,0
2020-03-07,0,15,1,0
2020-03-08,0,49,1,1
2020-03-09,0,55,1,1
2020-03-10,0,59,1,1
2020-03-11,0,60,27,1
2020-03-12,0,67,27,1
2020-03-13,0,80,27,2
2020-03-14,0,109,27,2
2020-03-15,0,110,21,2
2020-03-16,0,150,27,2
2020-03-17,0,196,32,4
2020-03-18,0,196,32,6
2020-03-19,0,256,32,6
2020-03-20,0,285,39,8
2020-03-21,0,294,41,10
2020-03-22,0,327,56,14
2020-03-23,0,366,56,19
2020-03-24,0,402,80,20
2020-03-25,0,456,95,21
2020-03-26,0,495,102,24
2020-03-27,0,536,116,30
2020-03-28,0,576,121,36
2020-03-29,0,609,132,40
2020-03-30,0,656,150,41
2020-03-31,0,710,157,46
2020-04-01,0,779,179,52
2020-04-02,0,865,201,58
2020-04-03,0,985,216,66
2020-04-04,0,1070,241,71
2020-04-05,0,1173,247,78
2020-04-06,0,1322,259,85
2020-04-07,0,1450,276,94
2020-04-08,0,1560,305,103
2020-04-09,0,1699,348,118
2020-04-10,0,1794,384,135
2020-04-11,0,1939,426,146
2020-04-12,0,2065,589,159
2020-04-13,0,2190,589,164
2020-04-14,0,2350,589,178
2020-04-15,0,2505,589,183
2020-04-16,0,2673,596,196
2020-04-17,0,2844,646,205
2020-04-18,0,3032,701,224
2020-04-19,0,3144,732,239
2020-04-20,0,3333,821,250
2020-04-21,0,3490,870,264
2020-04-22,0,3659,935,276
2020-04-23,0,3891,1004,287
2020-04-24,0,4092,1075,294
2020-04-25,0,4319,1114,307
2020-04-26,0,4534,1176,317
2020-04-27,0,4782,1236,337
2020-04-28,0,5042,1304,359
2020-04-29,0,5268,1335,380
2020-04-30,0,5537,1381,392
2020-05-01,0,5895,1460,406
2020-05-02,0,6193,1522,415
2020-05-03,0,6465,1562,429
2020-05-04,0,6813,1632,436
2020-05-05,0,7201,1730,452
2020-05-06,0,7588,1815,469
2020-05-07,0,7981,1887,482
2020-05-08,0,8476,1945,503
2020-05-09,0,8964,2002,514
2020-05-10,0,9400,2075,525
2020-05-11,0,9746,2172,533
2020-05-12,0,10093,2326,544
2020-05-13,0,10431,2486,556
2020-05-14,0,10829,2626,571
2020-05-15,0,11228,2799,592
2020-05-16,0,11719,2950,612
2020-05-17,0,12229,3172,630
2020-05-18,0,12764,3440,645
2020-05-19,0,13484,3742,659
2020-05-20,0,14229,3994,680
2020-05-21,0,15003,4217,696
2020-05-22,0,15786,4374,707
2020-05-23,0,16513,4628,735
2020-05-24,0,17265,4807,764
2020-05-25,0,17967,4900,783
2020-05-26,0,18756,5027,797
2020-05-27,0,19666,5205,816
2020-05-28,0,20793,5359,845
2020-05-29,0,22082,5511,879
2020-05-30,0,23449,5693,913
2020-05-31,0,24985,6037,959
2020-06-01,0,26384,6447,1005
2020-06-02,0,27536,6827,1052
2020-06-03,0,28615,7350,1088
2020-06-04,0,29767,7756,1126
2020-06-05,0,31115,8158,1166
2020-06-06,0,32612,8538,1198
2020-06-07,0,34079,8961,1237
2020-06-08,0,35444,9375,1271
2020-06-09,0,36829,9786,1306
2020-06-10,0,38284,10289,1342
2020-06-11,0,39726,10691,1377
2020-06-12,0,41303,11108,1422
2020-06-13,0,42980,11529,1484
2020-06-14,0,44598,11931,1575
2020-06-15,0,46289,12329,1672
2020-06-16,0,47856,12730,1766
2020-06-17,0,49219,13141,1850
2020-06-18,0,50437,13528,1938
2020-06-19,0,52211,13928,2017
2020-06-20,0,53758,14327,2106
2020-06-21,0,55233,14736,2193
2020-06-22,0,56809,15133,2278
2020-06-23,0,58141,15535,2365
2020-06-24,0,59561,15935,2450
2020-06-25,0,61130,16338,2533
2020-06-26,0,62755,16737,2620
2020-06-27,0,63923,17140,2708
2020-06-28,0,65188,17539,2789
2020-06-29,0,66754,17951,2872
2020-06-30,0,68311,18460,2953
2020-07-01,0,69814,18881,3034
2020-07-02,0,71299,19288,3120
2020-07-03,0,72711,19690,3201
2020-07-04,0,74035,20103,3280
2020-07-05,0,75253,20726,3343
2020-07-06,0,76222,21238,3422
2020-07-07,0,77279,21718,3489
2020-07-08,0,78304,22241,3564
2020-07-09,0,79254,22753,3617
2020-07-10,0,80235,23274,3702
2020-07-11,0,81158,23876,3769
2020-07-12,0,82070,24419,3858
2020-07-13,0,83001,24975,3935
2020-07-14,0,83930,25544,4008
2020-07-15,0,84843,26135,4067
2020-07-16,0,85771,26691,4120
2020-07-17,0,86474,27302,4188
2020-07-18,0,87172,27868,4251
2020-07-19,0,87775,28380,4302
2020-07-20,0,88402,28924,4352
2020-07-21,0,89078,29473,4399
2020-07-22,0,89745,30075,4440
2020-07-23,0,90413,31066,4480
2020-07-24,0,91072,31970,4518
2020-07-25,0,91583,32903,4558
2020-07-26,0,92062,33831,4606
2020-07-27,0,92482,34838,4652
2020-07-28,0,92947,35959,4691
2020-07-29,0,93356,37025,4728
2020-07-30,0,93757,38236,4774
2020-07-31,0,94078,39638,4805
2020-08-01,0,94316,41137,4834
2020-08-02,0,94483,42455,4865
2020-08-03,0,94640,44066,4888
2020-08-04,0,94752,45569,4912
2020-08-05,0,94875,47182,4930
2020-08-06,0,95006,48898,4951
2020-08-07,0,95147,50553,4971
2020-08-08,0,95314,51672,4992
2020-08-09,0,95492,52678,5009
2020-08-10,0,95666,53779,5035
2020-08-11,0,95834,54888,5059
2020-08-12,0,95963,55901,5085
2020-08-13,0,96108,56890,5107
2020-08-14,0,96220,57858,5124
2020-08-15,0,96336,58835,5141
2020-08-16,0,96475,59743,5160
2020-08-17,0,96590,60651,5173
2020-08-18,0,96753,61562,5184
2020-08-19,0,96914,62553,5197
2020-08-20,0,97025,63462,5212
2020-08-21,0,97148,64318,5231
2020-08-22,0,97237,65118,5243
2020-08-23,0,97340,65927,5262
2020-08-24,0,97478,66817,5280
2020-08-25,0,97619,67717,5298
2020-08-26,0,97825,68713,5317
2020-08-27,0,98062,69612,5342
2020-08-28,0,98285,70419,5362
2020-08-29,0,98497,71302,5376
2020-08-30,0,98727,72120,5399
2020-08-31,0,98939,72929,5421
2020-09-01,0,99115,73828,5440
2020-09-02,0,99280,74626,5461
2020-09-03,0,99425,75415,5479
2020-09-04,0,99582,76305,5495
2020-09-05,0,99712,77208,5511
2020-09-06,0,99863,78108,5530
2020-09-07,0,100041,79008,5541
2020-09-08,0,100228,79886,5560
2020-09-09,0,100403,80689,5577
2020-09-10,0,100557,81597,5590
2020-09-11,0,100708,82473,5607
2020-09-12,0,100856,83261,5627
2020-09-13,0,101009,84161,5648
2020-09-14,0,101177,84969,5661
2020-09-15,0,101340,85745,5679
2020-09-16,0,101500,86549,5696
2020-09-17,0,101641,87158,5715
2020-09-18,0,101772,87958,5733
2020-09-19,0,101900,88666,5750
2020-09-20,0,102015,89532,5770
2020-09-21,0,102141,90332,5787
2020-09-22,0,102254,91143,5806
2020-09-23,0,102375,91843,5822
2020-09-24,0,102513,92644,5835
2020-09-25,0,102625,93531,5853
2020-09-26,0,102736,94374,5869
2020-09-27,0,102840,95080,5883
2020-09-28,0,102955,95586,5901
2020-09-29,0,103079,96094,5914
2020-09-30,0,103198,96494,5930
2020-10-01,0,103317,96855,5946
2020-10-02,0,103466,97143,5956
2020-10-03,0,103575,97274,5970
2020-10-04,0,103683,97355,5981
2020-10-05,0,103781,97398,5990
2020-10-06,0,103902,97449,6001
2020-10-07,0,103902,97449,6001
