date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,1,0,0
2020-03-20,0,1,0,0
2020-03-21,0,3,0,0
2020-03-22,0,3,0,0
2020-03-23,0,3,0,0
2020-03-24,0,5,0,0
2020-03-25,0,9,0,0
2020-03-26,0,13,0,0
2020-03-27,0,13,0,0
2020-03-28,0,19,0,0
2020-03-29,0,24,0,0
2020-03-30,0,30,0,0
2020-03-31,0,32,0,1
2020-04-01,0,32,0,1
2020-04-02,0,41,0,2
2020-04-03,0,46,0,2
2020-04-04,0,56,2,3
2020-04-05,0,62,2,3
2020-04-06,0,69,5,4
2020-04-07,0,78,5,4
2020-04-08,0,93,9,5
2020-04-09,0,103,14,6
2020-04-10,5760,117,15,6
2020-04-11,6272,118,19,6
2020-04-12,6729,125,21,6
2020-04-13,7230,137,22,6
2020-04-14,7785,149,25,6
2020-04-15,8333,159,30,6
2020-04-16,9267,164,33,6
2020-04-17,10191,177,38,7
2020-04-18,11160,190,43,7
2020-04-19,12210,201,44,7
2020-04-20,13352,218,46,7
2020-04-21,14375,225,48,7
2020-04-22,15385,237,63,7
2020-04-23,16418,250,67,8
2020-04-24,17423,274,75,8
2020-04-25,18686,274,75,8
2020-04-26,20109,298,83,8
2020-04-27,21364,323,89,8
2020-04-28,22593,345,97,8
2020-04-29,24057,377,106,9
2020-04-30,25492,395,119,10
2020-05-01,26961,424,124,10
2020-05-02,28596,446,141,11
2020-05-03,30387,490,154,11
2020-05-04,32030,555,180,13
2020-05-05,33628,587,205,14
2020-05-06,35411,633,219,15
2020-05-07,37306,695,252,15
2020-05-08,39079,742,257,16
2020-05-09,41090,784,276,17
2020-05-10,43043,889,293,17
2020-05-11,44926,958,325,18
2020-05-12,46831,998,349,20
2020-05-13,48913,1037,374,20
2020-05-14,51142,1112,405,23
2020-05-15,53412,1210,417,25
2020-05-16,55694,1265,441,26
2020-05-17,57883,1338,464,30
2020-05-18,60341,1413,474,30
2020-05-19,62838,1498,502,30
2020-05-20,65226,1571,537,31
2020-05-21,67663,1640,544,33
2020-05-22,70225,1725,570,33
2020-05-23,72616,1819,570,33
2020-05-24,75146,1915,633,35
2020-05-25,77482,1983,772,35
2020-05-26,79711,2042,787,36
2020-05-27,82243,2109,891,39
2020-05-28,84650,2194,1002,39
2020-05-29,86972,2278,1015,42
2020-05-30,89358,2395,1031,46
2020-05-31,91837,2517,1040,46
2020-06-01,94272,2582,1063,46
2020-06-02,96647,2653,1160,49
2020-06-03,99178,2705,1186,51
2020-06-04,101604,2781,1214,52
2020-06-05,104060,2849,1249,53
2020-06-06,106458,2934,1281,53
2020-06-07,108924,3015,1305,53
2020-06-08,111274,3104,1379,56
2020-06-09,113656,3191,1419,60
2020-06-10,116027,3274,1438,64
2020-06-11,118483,3373,1504,68
2020-06-12,120941,3481,1587,68
2020-06-13,123360,3603,1738,72
2020-06-14,125759,3720,1846,74
2020-06-15,128204,3826,1926,74
2020-06-16,130677,3941,2041,76
2020-06-17,133151,4066,2137,79
2020-06-18,135570,4200,2235,82
2020-06-19,137996,4329,2310,86
2020-06-20,140429,4475,2449,93
2020-06-21,142886,4626,2535,98
2020-06-22,145341,4808,2655,107
2020-06-23,147771,4973,2814,113
2020-06-24,150252,5150,2924,119
2020-06-25,152729,5336,3116,126
2020-06-26,155301,5517,3291,133
2020-06-27,157799,5727,3447,143
2020-06-28,160216,5934,3557,152
2020-06-29,162711,6173,3648,164
2020-06-30,165161,6438,3770,174
2020-07-01,167584,6736,3964,182
2020-07-02,170017,7000,4115,191
2020-07-03,172455,7267,4268,202
2020-07-04,174930,7507,4434,210
2020-07-05,177366,7777,4573,217
2020-07-06,179862,8027,4730,223
2020-07-07,182361,8307,4929,229
2020-07-08,184831,8566,5133,235
2020-07-09,187316,8844,5289,243
2020-07-10,189746,9142,5428,249
2020-07-11,192206,9391,5516,254
2020-07-12,194655,9674,5634,260
2020-07-13,197151,9978,5732,267
2020-07-14,199637,10303,5919,278
2020-07-15,202126,10645,6120,286
2020-07-16,204609,10957,6257,298
2020-07-17,207024,11207,6422,309
2020-07-18,209446,11508,6560,324
2020-07-19,211896,11846,6705,335
2020-07-20,214443,12207,6831,344
2020-07-21,216916,12582,6965,352
2020-07-22,219391,12975,7119,363
2020-07-23,221820,13377,7276,372
2020-07-24,224262,13792,7415,379
2020-07-25,226718,14221,7549,390
2020-07-26,229186,14630,7648,400
2020-07-27,231684,15035,7778,408
2020-07-28,234086,15446,7903,417
2020-07-29,236501,15841,8071,430
2020-07-30,238917,16230,8206,439
2020-07-31,241359,16632,8362,448
2020-08-01,243842,17050,8495,459
2020-08-02,246302,17448,8634,467
2020-08-03,248791,17843,8809,477
2020-08-04,251271,18262,8954,486
2020-08-05,253712,18701,9111,498
2020-08-06,256176,19126,9236,513
2020-08-07,258647,19544,9379,520
2020-08-08,261130,19978,9515,536
2020-08-09,263587,20423,9626,549
2020-08-10,266079,20872,9720,563
2020-08-11,268539,21269,9875,570
2020-08-12,271057,21644,10056,577
2020-08-13,273509,21993,10254,584
2020-08-14,275993,22314,10455,595
2020-08-15,278445,22619,10618,603
2020-08-16,280943,22912,10807,612
2020-08-17,283395,23193,10977,618
2020-08-18,285893,23462,11179,625
2020-08-19,288307,23717,11388,633
2020-08-20,290741,23964,11558,640
2020-08-21,293218,24200,11781,646
2020-08-22,295665,24420,12021,654
2020-08-23,298112,24622,12246,661
2020-08-24,300534,24811,12492,669
2020-08-25,303031,24986,12717,678
2020-08-26,305492,25140,13046,687
2020-08-27,307977,25284,13291,694
2020-08-28,310444,25415,13570,702
2020-08-29,312849,25537,13799,708
2020-08-30,315320,25635,14013,713
2020-08-31,317809,25729,14292,717
2020-09-01,320267,25820,14570,724
2020-09-02,322766,25904,14879,731
2020-09-03,325239,26000,15119,739
2020-09-04,327719,26099,15347,744
2020-09-05,330210,26206,15587,752
2020-09-06,332664,26308,15815,759
2020-09-07,335099,26413,16137,764
2020-09-08,337531,26511,16462,765
2020-09-09,339996,26602,16786,770
2020-09-10,342418,26688,17106,774
2020-09-11,344918,26773,17433,777
2020-09-12,347412,26851,17874,782
2020-09-13,349898,26928,18397,785
2020-09-14,352379,27009,18924,788
2020-09-15,354879,27088,19450,792
2020-09-16,357309,27163,19960,796
2020-09-17,359765,27249,20392,801
2020-09-18,362029,27346,20825,804
2020-09-19,364493,27428,21247,808
2020-09-20,367920,27553,21561,811
2020-09-21,371387,27798,21782,812
2020-09-22,374821,27954,22113,814
2020-09-23,378273,27954,22113,819
2020-09-24,383771,28201,22326,823
2020-09-25,386225,28415,22643,826
2020-09-26,388648,28415,22643,826
2020-09-27,391051,28630,22879,826
2020-09-28,393472,28809,23317,831
2020-09-29,395921,28981,23685,839
2020-09-30,398401,29077,23813,843
2020-10-01,400849,29175,23930,848
2020-10-02,403345,29175,23930,853
2020-10-03,405807,29358,24175,857
2020-10-04,408212,29450,24296,863
2020-10-05,410622,29539,24406,865
2020-10-06,413036,29634,24525,869
2020-10-07,413036,29737,24643,873
2020-10-08,413036,29737,24643,873
