date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,13,0,0,0
2020-02-27,23,1,0,0
2020-02-28,36,1,0,0
2020-02-29,44,1,0,0
2020-03-01,62,1,0,0
2020-03-02,84,1,0,0
2020-03-03,113,2,0,0
2020-03-04,149,2,0,0
2020-03-05,184,3,0,0
2020-03-06,255,10,0,0
2020-03-07,284,10,0,0
2020-03-08,304,10,0,0
2020-03-09,368,10,0,0
2020-03-10,425,12,0,0
2020-03-11,490,16,0,0
2020-03-12,621,16,0,0
2020-03-13,804,79,0,0
2020-03-14,967,115,0,0
2020-03-15,1462,171,1,0
2020-03-16,1766,205,1,0
2020-03-17,1957,225,1,0
2020-03-18,2495,258,1,0
2020-03-19,2846,267,1,0
2020-03-20,3238,283,1,0
2020-03-21,3875,306,1,0
2020-03-22,4035,326,2,0
2020-03-23,4530,352,2,0
2020-03-24,5933,369,7,0
2020-03-25,6980,404,8,1
2020-03-26,8119,538,8,1
2020-03-27,9372,575,11,1
2020-03-28,10407,645,20,1
2020-03-29,11258,679,20,3
2020-03-30,12407,715,20,3
2020-03-31,14383,745,26,4
2020-04-01,15758,779,33,5
2020-04-02,18264,858,45,11
2020-04-03,19797,961,48,12
2020-04-04,20983,1039,59,13
2020-04-05,21842,1097,62,15
2020-04-06,23521,1108,62,19
2020-04-07,24793,1149,69,21
2020-04-08,26398,1185,72,24
2020-04-09,27864,1207,83,24
2020-04-10,29434,1258,93,24
2020-04-11,30329,1304,93,24
2020-04-12,30738,1309,98,25
2020-04-13,32246,1332,102,28
2020-04-14,33952,1373,115,31
2020-04-15,36001,1400,117,35
2020-04-16,37573,1434,133,36
2020-04-17,39583,1459,145,38
2020-04-18,40305,1512,162,38
2020-04-19,40904,1528,164,40
2020-04-20,42193,1535,165,40
2020-04-21,43613,1552,169,43
2020-04-22,45158,1559,184,44
2020-04-23,46257,1592,192,45
2020-04-24,47307,1605,206,46
2020-04-25,47910,1635,228,46
2020-04-26,48379,1643,233,49
2020-04-27,49487,1647,233,50
2020-04-28,51157,1660,240,50
2020-04-29,52717,1666,236,50
2020-04-30,53744,1689,249,52
2020-05-01,54438,1694,253,52
2020-05-02,55172,1699,256,53
2020-05-03,55748,1700,259,55
2020-05-04,57396,1703,259,55
2020-05-05,58934,1711,261,55
2020-05-06,60472,1713,264,55
2020-05-07,61748,1720,273,56
2020-05-08,62698,1725,704,56
2020-05-09,63347,1733,747,60
2020-05-10,63937,1739,750,60
2020-05-11,64949,1741,751,61
2020-05-12,66075,1746,777,61
2020-05-13,67115,1751,777,61
2020-05-14,68080,1758,909,62
2020-05-15,68825,1766,923,63
2020-05-16,69502,1770,934,63
2020-05-17,70169,1774,938,63
2020-05-18,71425,1784,938,64
2020-05-19,72444,1791,938,64
2020-05-20,73716,1794,956,64
2020-05-21,74592,1800,1488,64
2020-05-22,75241,1807,1508,64
2020-05-23,75768,1821,1526,64
2020-05-24,76576,1823,1532,64
2020-05-25,78073,1824,1538,65
2020-05-26,79595,1834,1552,65
2020-05-27,80714,1840,1561,66
2020-05-28,81708,1851,1574,66
2020-05-29,82741,1859,1610,67
2020-05-30,83432,1865,1622,67
2020-05-31,84143,1869,1624,68
2020-06-01,85166,1870,1625,68
2020-06-02,86424,1870,1632,68
2020-06-03,87446,1880,1650,69
2020-06-04,88562,1890,1663,69
2020-06-05,89415,1910,1667,69
2020-06-06,90063,1931,1675,69
2020-06-07,90611,1939,1681,69
2020-06-08,91725,1940,1683,69
2020-06-09,92878,1947,1684,69
2020-06-10,93829,1958,1690,69
2020-06-11,94709,1965,1697,69
2020-06-12,95370,1970,1703,69
2020-06-13,95985,1973,1705,69
2020-06-14,96628,1973,1705,69
2020-06-15,97695,1974,1717,69
2020-06-16,99144,1975,1728,69
2020-06-17,100385,1977,1743,69
2020-06-18,101740,1977,1748,69
2020-06-19,102484,1979,1755,69
2020-06-20,102924,1981,1758,69
2020-06-21,103209,1981,1764,69
2020-06-22,103683,1981,1765,69
2020-06-23,103949,1982,1771,69
2020-06-24,104297,1983,1783,69
2020-06-25,104859,1984,1790,69
2020-06-26,105305,1986,1797,69
2020-06-27,105668,1986,1812,69
2020-06-28,106018,1987,1818,69
2020-06-29,106781,1987,1818,69
2020-06-30,107437,1989,1829,69
2020-07-01,108147,1989,1836,69
2020-07-02,108537,1990,1842,69
2020-07-03,108801,1991,1859,69
2020-07-04,109088,1993,1870,69
2020-07-05,109379,1993,1874,69
2020-07-06,109971,1994,1875,69
2020-07-07,110545,1995,1880,69
2020-07-08,111021,2003,1882,69
2020-07-09,111465,2011,1889,69
2020-07-10,111803,2013,1894,69
2020-07-11,111954,2014,1895,69
2020-07-12,112169,2014,1895,69
2020-07-13,112577,2014,1895,69
2020-07-14,113115,2015,1897,69
2020-07-15,113552,2016,1901,69
2020-07-16,113977,2016,1904,69
2020-07-17,114264,2020,1910,69
2020-07-18,114421,2021,1912,69
2020-07-19,114511,2021,1912,69
2020-07-20,114885,2021,1912,69
2020-07-21,115399,2022,1912,69
2020-07-22,115882,2025,1912,69
2020-07-23,116255,2027,1912,69
2020-07-24,116617,2028,1915,69
2020-07-25,116855,2033,1915,69
2020-07-26,116973,2034,1922,69
2020-07-27,117250,2034,1923,69
2020-07-28,117799,2038,1924,69
2020-07-29,118479,2042,1926,69
2020-07-30,119194,2051,1926,69
2020-07-31,119724,2064,1930,69
2020-08-01,120068,2072,1934,69
2020-08-02,120319,2079,1934,63
2020-08-03,120954,2080,1935,63
2020-08-04,121911,2091,1937,63
2020-08-05,122861,2113,1948,63
2020-08-06,123819,2124,1954,63
2020-08-07,125216,2133,1956,63
2020-08-08,125596,2147,1961,63
2020-08-09,126709,2152,1961,63
2020-08-10,128204,2158,1962,63
2020-08-11,129629,2167,1968,63
2020-08-12,130820,2174,1975,63
2020-08-13,132271,2174,1975,63
2020-08-14,133507,2177,1976,63
2020-08-15,134549,2184,1976,63
2020-08-16,134856,2190,1976,63
2020-08-17,136126,2192,1976,63
2020-08-18,137283,2200,1990,63
2020-08-19,138164,2207,2002,63
2020-08-20,139056,2227,2009,63
2020-08-21,140205,2244,2011,63
2020-08-22,140661,2265,2024,63
2020-08-23,140975,2272,2024,63
2020-08-24,142149,2275,2025,64
2020-08-25,143485,2294,2038,64
2020-08-26,144859,2311,2054,64
2020-08-27,146123,2325,2067,64
2020-08-28,147234,2343,2076,64
2020-08-29,147898,2363,2086,64
2020-08-30,148118,2373,2088,64
2020-08-31,150334,2375,2088,64
2020-09-01,151913,2395,2112,64
2020-09-02,154172,2415,2130,64
2020-09-03,156273,2441,2150,64
2020-09-04,158629,2456,2157,64
2020-09-05,159693,2491,2165,64
2020-09-06,160404,2516,2170,64
2020-09-07,162135,2532,2176,64
2020-09-08,163965,2564,2195,64
2020-09-09,165859,2585,2213,64
2020-09-10,167693,2600,2223,64
2020-09-11,169887,2632,2233,64
2020-09-12,171481,2655,2252,64
2020-09-13,172831,2676,2256,64
2020-09-14,175065,2698,2256,64
2020-09-15,177488,2722,2286,64
2020-09-16,180445,2756,2318,64
2020-09-17,182620,2778,2337,64
2020-09-18,185812,2814,2357,64
2020-09-19,187622,2875,2374,64
2020-09-20,189192,2924,2377,64
2020-09-21,192032,2941,2379,64
2020-09-22,194352,2976,2385,64
2020-09-23,197363,3033,2387,64
2020-09-24,199891,3076,2395,64
2020-09-25,202533,3118,2417,64
2020-09-26,204868,3165,2499,64
2020-09-27,207736,3200,2506,64
2020-09-28,210273,3267,2513,64
2020-09-29,212991,3315,2564,64
2020-09-30,215669,3371,2605,64
2020-10-01,217695,3450,2643,65
2020-10-02,220114,3507,2675,66
2020-10-03,221344,3577,2727,67
2020-10-04,221968,3607,2749,67
2020-10-05,224152,3617,2755,67
2020-10-06,226409,3659,2806,67
2020-10-07,227918,3715,2813,67
2020-10-08,227918,3715,2813,67
