date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,1,1,0,0
2020-03-14,1,1,0,0
2020-03-15,118,1,0,0
2020-03-16,118,5,0,0
2020-03-17,119,5,0,0
2020-03-18,119,6,0,0
2020-03-19,342,6,0,0
2020-03-20,342,9,0,0
2020-03-21,342,9,0,0
2020-03-22,392,11,4,0
2020-03-23,392,11,4,0
2020-03-24,392,12,4,0
2020-03-25,392,12,4,0
2020-03-26,392,12,4,0
2020-03-27,718,16,4,0
2020-03-28,718,16,1,0
2020-03-29,810,21,1,0
2020-03-30,871,23,4,0
2020-03-31,1013,26,2,0
2020-04-01,1081,29,2,0
2020-04-02,1146,29,3,0
2020-04-03,1220,35,3,0
2020-04-04,1311,38,4,0
2020-04-05,1843,43,4,2
2020-04-06,2007,44,4,2
2020-04-07,2271,52,4,2
2020-04-08,2496,55,4,2
2020-04-09,2790,56,4,2
2020-04-10,3232,65,4,3
2020-04-11,3577,69,10,3
2020-04-12,3863,71,10,3
2020-04-13,4110,74,14,3
2020-04-14,4557,82,14,3
2020-04-15,4988,85,15,3
2020-04-16,5389,92,15,3
2020-04-17,6231,96,15,3
2020-04-18,6890,105,16,3
2020-04-19,7557,108,16,3
2020-04-20,7953,111,16,3
2020-04-21,8698,114,16,3
2020-04-22,9771,116,21,3
2020-04-23,10736,116,21,3
2020-04-24,11669,117,25,3
2020-04-25,12688,122,29,3
2020-04-26,13645,123,41,3
2020-04-27,14588,124,50,3
2020-04-28,15668,126,50,3
2020-04-29,16434,130,58,3
2020-04-30,17842,131,59,3
2020-05-01,18754,133,66,3
2020-05-02,19857,133,69,3
2020-05-03,22330,135,75,3
2020-05-04,24088,140,75,3
2020-05-05,25135,145,91,4
2020-05-06,26517,162,93,4
2020-05-07,28445,191,93,4
2020-05-08,30306,194,95,4
2020-05-09,32689,210,97,5
2020-05-10,34860,239,99,5
2020-05-11,36624,250,105,5
2020-05-12,39048,261,106,5
2020-05-13,41698,263,108,5
2020-05-14,45278,272,108,5
2020-05-15,48985,287,112,5
2020-05-16,53029,306,113,5
2020-05-17,57254,317,113,5
2020-05-18,59029,352,116,5
2020-05-19,63300,365,120,5
2020-05-20,65760,389,122,5
2020-05-21,69507,399,123,5
2020-05-22,73164,433,128,5
2020-05-23,79962,494,151,5
2020-05-24,81010,582,152,5
2020-05-25,83854,655,159,5
2020-05-26,87264,701,167,6
2020-05-27,91616,731,181,6
2020-05-28,96566,831,191,7
2020-05-29,101581,968,197,8
2020-05-30,106615,1063,208,8
2020-05-31,109451,1172,209,11
2020-06-01,112377,1257,217,12
2020-06-02,116309,1344,231,14
2020-06-03,120429,1486,246,17
2020-06-04,125570,1636,250,18
2020-06-05,131368,1805,262,19
2020-06-06,136868,1934,281,20
2020-06-07,142960,2020,344,27
2020-06-08,147735,2156,361,27
2020-06-09,152334,2336,379,32
2020-06-10,158521,2506,401,35
2020-06-11,165151,2670,434,40
2020-06-12,170860,2915,451,47
2020-06-13,176504,3166,495,55
2020-06-14,181349,3345,545,57
2020-06-15,186985,3521,620,60
2020-06-16,192087,3630,738,61
2020-06-17,197361,3759,849,63
2020-06-18,202214,3954,934,65
2020-06-19,207023,4070,1029,72
2020-06-20,211871,4469,1122,72
2020-06-21,216328,4532,1213,74
2020-06-22,219566,4663,1297,75
2020-06-23,223341,4848,1412,75
2020-06-24,227375,5034,1486,78
2020-06-25,232050,5175,1544,81
2020-06-26,237464,5425,1688,89
2020-06-27,243016,5570,2015,94
2020-06-28,246911,5689,2132,98
2020-06-29,250604,5846,2430,103
2020-06-30,253904,5846,2430,103
2020-07-01,255302,5846,2430,103
2020-07-02,256648,5846,2430,103
2020-07-03,258390,5846,2430,103
2020-07-04,260582,5846,2430,103
2020-07-05,263897,5846,2430,103
2020-07-06,266323,5846,2430,103
2020-07-07,268292,5846,2430,103
2020-07-08,272454,6774,2430,120
2020-07-09,275930,6973,2430,120
2020-07-10,281069,7120,2430,124
2020-07-11,285628,7402,2430,124
2020-07-12,289550,7560,2430,127
2020-07-13,293935,7766,2430,128
2020-07-14,297542,7969,2430,139
2020-07-15,302728,8181,2430,146
2020-07-16,309639,8475,2430,148
2020-07-17,317046,8803,2430,150
2020-07-18,323932,9147,2430,163
2020-07-19,331266,9503,2430,167
2020-07-20,336322,10207,2430,170
2020-07-21,342866,11072,5448,180
2020-07-22,350160,11524,5506,188
2020-07-23,357058,11933,5645,197
2020-07-24,364322,12693,5785,200
2020-07-25,372812,13248,5966,209
2020-07-26,382339,13968,6216,223
2020-07-27,389348,14547,6386,228
2020-07-28,395851,15200,6526,239
2020-07-29,403611,15810,6685,253
2020-07-30,413397,16615,6763,263
2020-07-31,422354,17530,6950,274
2020-08-01,429712,17999,7195,284
2020-08-02,437319,18706,7601,310
2020-08-03,444226,19289,7931,336
2020-08-04,452427,19877,8240,343
2020-08-05,459746,20336,8598,356
2020-08-06,468814,20900,9027,365
2020-08-07,478017,21452,9415,380
2020-08-08,488936,22253,9707,390
2020-08-09,497971,22818,10206,407
2020-08-10,509010,23591,10411,420
2020-08-11,520891,24175,10696,440
2020-08-12,535431,25118,11034,463
2020-08-13,550119,26204,11428,479
2020-08-14,567442,27242,11660,492
2020-08-15,589694,28894,12037,509
2020-08-16,609463,29876,12359,528
2020-08-17,629210,31336,12524,544
2020-08-18,651311,32722,12938,572
2020-08-19,672637,34058,13308,600
2020-08-20,694093,35836,13536,620
2020-08-21,717128,37665,13913,637
2020-08-22,736904,39033,14480,662
2020-08-23,757057,40671,14995,678
2020-08-24,775908,42143,15262,692
2020-08-25,794686,43688,15796,709
2020-08-26,813410,45221,16311,725
2020-08-27,831470,46407,16829,745
2020-08-28,850236,48140,17415,758
2020-08-29,869430,49654,18116,770
2020-08-30,890929,51122,18382,793
2020-08-31,910293,52131,18994,809
2020-09-01,928453,53304,19487,828
2020-09-02,949813,54409,19903,846
2020-09-03,970591,55213,20283,856
2020-09-04,994303,56516,20612,880
2020-09-05,1018847,57466,20776,897
2020-09-06,1044005,58672,21307,918
2020-09-07,1063454,59648,21789,933
2020-09-08,1078269,60784,22677,949
2020-09-09,1093830,61700,23054,966
2020-09-10,1110495,62578,23640,974
2020-09-11,1122659,63367,24024,986
2020-09-12,1130850,63888,24493,996
2020-09-13,1138012,64301,24983,1013
2020-09-14,1147268,64786,25333,1022
2020-09-15,1157292,65486,25988,1035
2020-09-16,1165647,66224,26665,1045
2020-09-17,1176252,66913,27085,1060
2020-09-18,1184473,67515,27638,1072
2020-09-19,1194795,68131,27939,1089
2020-09-20,1202818,68820,28314,1096
2020-09-21,1210933,69709,28634,1108
2020-09-22,1217746,70422,28991,1127
2020-09-23,1226297,71083,29253,1141
2020-09-24,1234645,71687,29461,1148
2020-09-25,1241872,72173,29863,1155
2020-09-26,1249551,72700,30029,1165
2020-09-27,1256182,73332,30363,1170
2020-09-28,1260929,73944,30753,1177
2020-09-29,1266213,74584,30952,1191
2020-09-30,1272352,75368,31204,1198
2020-10-01,1278827,76098,31430,1205
2020-10-02,1285743,76988,31677,1208
2020-10-03,1293469,77860,32325,1214
2020-10-04,1301570,78819,33060,1222
2020-10-05,1307632,79437,34016,1230
2020-10-06,1312910,80003,34960,1238
2020-10-07,1321164,80895,35670,1255
2020-10-08,1321164,80895,35670,1255
