date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,3,0,0,0
2020-01-31,3,0,0,0
2020-02-01,3,0,0,0
2020-02-02,3,0,0,0
2020-02-03,3,0,0,0
2020-02-04,3,0,0,0
2020-02-05,3,0,0,0
2020-02-06,3,0,0,0
2020-02-07,5,0,0,0
2020-02-08,6,0,0,0
2020-02-09,6,0,0,0
2020-02-10,6,0,0,0
2020-02-11,6,0,0,0
2020-02-12,6,0,0,0
2020-02-13,8,0,0,0
2020-02-14,8,0,0,0
2020-02-15,8,0,0,0
2020-02-16,8,0,0,0
2020-02-17,8,0,0,0
2020-02-18,8,0,0,0
2020-02-19,8,0,0,0
2020-02-20,10,0,0,0
2020-02-21,10,0,0,0
2020-02-22,10,0,0,0
2020-02-23,10,0,0,0
2020-02-24,10,0,0,0
2020-02-25,10,0,0,0
2020-02-26,10,0,0,0
2020-02-27,10,0,0,0
2020-02-28,10,0,0,0
2020-02-29,10,0,0,0
2020-03-01,10,0,0,0
2020-03-02,10,0,0,0
2020-03-03,10,0,0,0
2020-03-04,11,0,0,0
2020-03-05,16,0,0,0
2020-03-06,16,0,0,0
2020-03-07,16,0,0,0
2020-03-08,16,0,0,0
2020-03-09,16,0,0,0
2020-03-10,16,0,0,0
2020-03-11,16,0,0,0
2020-03-12,27,0,0,0
2020-03-13,37,0,0,0
2020-03-14,46,0,0,0
2020-03-15,46,0,0,0
2020-03-16,54,0,0,0
2020-03-17,59,0,0,0
2020-03-18,71,0,0,0
2020-03-19,79,1,0,0
2020-03-20,102,1,0,0
2020-03-21,130,1,0,0
2020-03-22,130,2,0,0
2020-03-23,146,3,0,0
2020-03-24,179,4,0,0
2020-03-25,207,5,0,0
2020-03-26,246,5,0,0
2020-03-27,307,5,0,0
2020-03-28,330,5,0,0
2020-03-29,346,5,0,0
2020-03-30,356,5,0,0
2020-03-31,367,5,0,0
2020-04-01,384,5,0,0
2020-04-02,408,7,0,0
2020-04-03,408,7,0,0
2020-04-04,445,12,0,0
2020-04-05,489,12,0,0
2020-04-06,512,14,0,0
2020-04-07,537,15,0,0
2020-04-08,566,15,0,0
2020-04-09,591,15,0,0
2020-04-10,612,16,0,0
2020-04-11,621,16,0,0
2020-04-12,622,16,0,0
2020-04-13,649,16,0,0
2020-04-14,661,16,0,0
2020-04-15,661,16,0,0
2020-04-16,684,17,0,0
2020-04-17,705,17,0,0
2020-04-18,745,17,0,0
2020-04-19,783,17,0,0
2020-04-20,807,18,3,0
2020-04-21,829,18,3,0
2020-04-22,897,18,8,0
2020-04-23,951,18,8,0
2020-04-24,953,18,10,0
2020-04-25,1013,18,10,0
2020-04-26,1013,18,12,0
2020-04-27,1060,18,12,0
2020-04-28,1090,18,12,0
2020-04-29,1123,18,12,0
2020-04-30,1160,18,12,0
2020-05-01,1201,18,12,0
2020-05-02,1248,18,14,0
2020-05-03,1326,18,14,0
2020-05-04,1326,18,14,0
2020-05-05,1365,18,14,0
2020-05-06,1394,18,14,0
2020-05-07,1437,18,14,0
2020-05-08,1489,18,14,0
2020-05-09,1532,18,14,0
2020-05-10,1599,18,14,0
2020-05-11,1599,18,14,0
2020-05-12,1632,18,14,0
2020-05-13,1699,18,14,0
2020-05-14,1775,18,14,0
2020-05-15,1862,18,15,0
2020-05-16,1936,18,15,0
2020-05-17,1936,18,15,0
2020-05-18,1991,18,15,0
2020-05-19,2069,18,15,0
2020-05-20,2137,18,15,0
2020-05-21,2193,18,15,0
2020-05-22,2259,18,15,0
2020-05-23,2363,18,15,0
2020-05-24,2367,18,15,0
2020-05-25,2431,18,15,0
2020-05-26,2484,18,15,0
2020-05-27,2595,18,15,0
2020-05-28,2673,18,15,0
2020-05-29,2823,18,15,0
2020-05-30,2900,18,15,0
2020-05-31,2961,18,15,0
2020-06-01,2961,18,15,0
2020-06-02,3041,18,15,0
2020-06-03,3129,18,15,0
2020-06-04,3195,18,18,0
2020-06-05,3308,18,18,0
2020-06-06,3400,18,18,0
2020-06-07,3632,18,18,0
2020-06-08,3729,18,18,0
2020-06-09,3810,18,18,0
2020-06-10,3939,18,18,0
2020-06-11,3939,18,18,0
2020-06-12,4004,18,18,0
2020-06-13,4106,18,18,0
2020-06-14,4126,18,18,0
2020-06-15,4169,18,18,0
2020-06-16,4208,18,18,0
2020-06-17,4208,18,18,0
2020-06-18,4305,18,18,0
2020-06-19,4425,18,18,0
2020-06-20,4451,18,18,0
2020-06-21,4451,18,18,0
2020-06-22,4529,18,18,0
2020-06-23,4584,18,18,0
2020-06-24,4634,18,18,0
2020-06-25,4785,18,18,0
2020-06-26,4816,18,18,0
2020-06-27,4827,18,18,0
2020-06-28,4853,18,18,0
2020-06-29,5015,18,18,0
2020-06-30,5060,18,18,0
2020-07-01,5105,18,18,0
2020-07-02,5156,18,18,0
2020-07-03,5242,18,18,0
2020-07-04,5268,18,18,0
2020-07-05,5311,19,18,0
2020-07-06,5311,21,18,0
2020-07-07,5371,21,18,0
2020-07-08,5486,21,18,0
2020-07-09,5621,26,18,0
2020-07-10,5264,26,18,0
2020-07-11,5840,26,18,0
2020-07-12,5937,26,18,0
2020-07-13,5957,26,18,0
2020-07-14,6108,26,18,0
2020-07-15,6108,26,18,0
2020-07-16,6328,26,18,0
2020-07-17,6366,26,18,0
2020-07-18,6388,26,18,0
2020-07-19,6401,27,18,0
2020-07-20,6414,27,18,0
2020-07-21,6454,27,18,0
2020-07-22,6535,27,18,0
2020-07-23,6584,27,18,0
2020-07-24,6639,27,18,0
2020-07-25,6668,27,18,0
2020-07-26,6693,27,18,0
2020-07-27,6719,27,18,0
2020-07-28,6756,27,18,0
2020-07-29,6885,27,18,0
2020-07-30,6924,27,18,0
2020-07-31,6936,27,18,1
2020-08-01,6937,27,18,1
2020-08-02,6937,27,18,1
2020-08-03,7013,27,18,1
2020-08-04,7077,27,18,1
2020-08-05,7246,27,18,1
2020-08-06,7306,27,18,1
2020-08-07,7318,27,18,1
2020-08-08,7334,27,18,1
2020-08-09,7341,27,18,1
2020-08-10,7345,27,18,1
2020-08-11,7385,27,18,1
2020-08-12,7510,27,18,1
2020-08-13,7544,28,20,1
2020-08-14,7594,28,20,1
2020-08-15,7606,28,20,1
2020-08-16,7623,28,20,1
2020-08-17,7638,28,20,1
2020-08-18,7663,28,20,1
2020-08-19,7841,28,20,1
2020-08-20,7889,28,20,1
2020-08-21,7942,28,20,1
2020-08-22,7961,28,23,1
2020-08-23,7979,28,23,1
2020-08-24,7986,28,23,1
2020-08-25,8037,28,23,1
2020-08-26,8197,28,23,1
2020-08-27,8244,28,23,2
2020-08-28,8282,28,23,2
2020-08-29,8303,28,23,2
2020-08-30,8365,28,23,2
2020-08-31,8408,28,23,2
2020-09-01,8427,29,23,2
2020-09-02,8550,29,23,2
2020-09-03,8550,29,23,2
2020-09-04,8646,29,23,2
2020-09-05,8785,31,24,2
2020-09-06,8893,31,24,2
2020-09-07,8905,31,24,2
2020-09-08,9076,31,24,2
2020-09-09,9235,32,24,2
2020-09-10,9268,32,24,2
2020-09-11,9294,32,24,2
2020-09-12,9322,32,24,2
2020-09-13,9339,32,24,2
2020-09-14,9362,32,24,2
2020-09-15,9570,32,24,2
2020-09-16,9753,32,24,2
2020-09-17,9806,32,26,2
2020-09-18,9826,32,26,2
2020-09-19,9859,32,26,2
2020-09-20,9887,32,26,2
2020-09-21,9912,32,26,2
2020-09-22,10012,32,28,2
2020-09-23,10192,32,28,2
2020-09-24,10216,32,28,2
2020-09-25,10280,32,28,2
2020-09-26,10345,32,28,2
2020-09-27,10385,32,28,2
2020-09-28,10401,32,28,2
2020-09-29,10559,32,28,2
2020-09-30,10786,32,28,2
2020-10-01,10825,32,28,2
2020-10-02,10883,32,28,2
2020-10-03,10994,32,28,2
2020-10-04,10959,32,28,2
2020-10-05,10993,32,28,2
2020-10-06,11034,32,28,2
2020-10-07,11034,32,28,2
2020-10-08,11034,32,28,2
