date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,1,0,0
2020-01-30,73,1,0,0
2020-01-31,73,1,0,0
2020-02-01,73,1,0,0
2020-02-02,73,1,0,0
2020-02-03,73,1,0,0
2020-02-04,73,1,0,0
2020-02-05,73,1,0,0
2020-02-06,73,1,0,0
2020-02-07,73,1,0,0
2020-02-08,73,1,0,0
2020-02-09,73,1,0,0
2020-02-10,73,1,0,0
2020-02-11,73,1,0,0
2020-02-12,73,1,1,0
2020-02-13,73,1,1,0
2020-02-14,73,1,1,0
2020-02-15,73,1,1,0
2020-02-16,73,1,1,0
2020-02-17,73,1,1,0
2020-02-18,73,1,1,0
2020-02-19,73,1,1,0
2020-02-20,73,1,1,0
2020-02-21,73,1,1,0
2020-02-22,73,1,1,0
2020-02-23,73,1,1,0
2020-02-24,73,1,1,0
2020-02-25,73,1,1,0
2020-02-26,74,2,1,0
2020-02-27,83,2,1,0
2020-02-28,441,2,1,0
2020-02-29,456,3,1,0
2020-03-01,472,6,1,0
2020-03-02,498,6,1,0
2020-03-03,549,6,1,0
2020-03-04,634,6,1,0
2020-03-05,714,12,1,0
2020-03-06,819,15,1,0
2020-03-07,839,15,1,0
2020-03-08,853,23,1,0
2020-03-09,975,30,1,0
2020-03-10,1103,40,1,0
2020-03-11,1266,59,1,0
2020-03-12,1615,59,1,0
2020-03-13,2024,155,1,0
2020-03-14,2619,225,1,0
2020-03-15,3263,244,10,0
2020-03-16,4131,277,10,0
2020-03-17,5267,321,10,0
2020-03-18,6292,336,10,0
2020-03-19,7067,400,10,0
2020-03-20,8353,450,10,0
2020-03-21,9956,523,10,1
2020-03-22,11004,626,10,1
2020-03-23,12320,700,10,1
2020-03-24,13902,792,10,1
2020-03-25,15750,880,10,3
2020-03-26,17587,958,10,5
2020-03-27,19591,1041,10,7
2020-03-28,20796,1167,10,9
2020-03-29,21383,1240,10,11
2020-03-30,22467,1352,10,13
2020-03-31,23598,1418,10,17
2020-04-01,25209,1446,10,17
2020-04-02,27540,1518,300,19
2020-04-03,29231,1615,300,20
2020-04-04,32455,1882,300,25
2020-04-05,34102,1927,300,28
2020-04-06,36073,2176,300,27
2020-04-07,38240,2308,300,34
2020-04-08,41535,2487,300,40
2020-04-09,44084,2605,300,42
2020-04-10,47371,2769,300,48
2020-04-11,48689,2905,300,49
2020-04-12,50278,2974,300,56
2020-04-13,51198,3064,300,59
2020-04-14,52423,3161,300,64
2020-04-15,54781,3237,300,72
2020-04-16,58288,3369,1700,75
2020-04-17,60998,3489,1700,82
2020-04-18,64690,3681,1700,90
2020-04-19,67052,3783,1700,94
2020-04-20,68896,3868,2000,98
2020-04-21,72516,4014,2000,141
2020-04-22,76718,4129,2000,149
2020-04-23,80382,4284,2000,172
2020-04-24,84437,4395,2500,177
2020-04-25,87578,4475,2500,186
2020-04-26,90063,4576,2500,190
2020-04-27,92503,4695,2500,193
2020-04-28,96291,4740,2800,199
2020-04-29,100741,4906,2800,206
2020-04-30,104920,4995,3000,211
2020-05-01,108295,5051,3000,218
2020-05-02,109778,5176,3000,220
2020-05-03,111427,5254,3000,230
2020-05-04,113188,5327,3500,240
2020-05-05,116959,5412,3500,246
2020-05-06,120767,5573,3500,252
2020-05-07,124599,5673,3500,255
2020-05-08,127921,5738,4000,260
2020-05-09,130731,5880,4000,265
2020-05-10,132550,5962,4000,267
2020-05-11,134758,5984,4000,271
2020-05-12,138813,6003,4300,275
2020-05-13,142824,6054,4300,284
2020-05-14,146721,6145,4300,287
2020-05-15,151074,6228,5000,293
2020-05-16,154524,6286,5000,297
2020-05-17,156836,6347,5000,298
2020-05-18,159196,6380,5000,300
2020-05-19,164142,6399,5000,301
2020-05-20,167838,6443,4800,304
2020-05-21,170803,6493,4800,306
2020-05-22,173019,6537,4800,306
2020-05-23,175649,6568,4800,306
2020-05-24,177203,6579,4800,307
2020-05-25,178947,6599,5100,308
2020-05-26,182585,6628,5100,312
2020-05-27,185556,6692,5100,313
2020-05-28,188501,6743,5500,313
2020-05-29,191303,6776,5500,314
2020-05-30,193248,6826,5500,316
2020-05-31,194543,6859,5500,320
2020-06-01,196228,6885,5500,318
2020-06-02,200110,6887,5500,320
2020-06-03,202970,6911,5500,321
2020-06-04,205768,6911,5800,322
2020-06-05,208089,6941,5800,322
2020-06-06,210131,6964,5800,322
2020-06-07,211093,6981,5800,323
2020-06-08,212935,7001,5800,323
2020-06-09,215885,7025,5800,324
2020-06-10,218841,7040,5800,324
2020-06-11,221814,7064,6200,325
2020-06-12,224310,7073,6200,325
2020-06-13,225863,7087,6200,325
2020-06-14,226689,7104,6200,326
2020-06-15,228588,7108,6200,326
2020-06-16,231579,7112,6200,326
2020-06-17,234310,7117,6200,326
2020-06-18,236379,7119,6200,326
2020-06-19,237812,7133,6200,326
2020-06-20,238554,7142,6200,326
2020-06-21,239241,7143,6200,326
2020-06-22,240845,7144,6400,327
2020-06-23,243480,7155,6400,327
2020-06-24,245810,7167,6600,327
2020-06-25,248503,7172,6600,327
2020-06-26,250679,7191,6600,328
2020-06-27,252235,7198,6600,328
2020-06-28,253200,7198,6600,328
2020-06-29,254895,7209,6600,328
2020-06-30,257732,7214,6600,328
2020-07-01,260508,7236,6700,328
2020-07-02,264277,7241,6700,328
2020-07-03,267517,7242,6700,329
2020-07-04,270162,7248,6700,329
2020-07-05,271472,7253,6700,329
2020-07-06,273702,7257,6700,329
2020-07-07,278243,7262,6700,329
2020-07-08,282634,7265,6800,329
2020-07-09,287507,7273,6800,329
2020-07-10,291889,7279,6800,329
2020-07-11,295181,7291,6800,329
2020-07-12,297508,7294,6800,329
2020-07-13,300599,7295,6800,329
2020-07-14,305945,7301,6800,329
2020-07-15,311361,7296,6880,328
2020-07-16,316326,7293,6880,328
2020-07-17,321424,7301,6880,328
2020-07-18,325549,7318,6880,328
2020-07-19,327684,7335,6880,328
2020-07-20,330968,7340,6880,328
2020-07-21,336422,7351,6880,328
2020-07-22,341456,7362,6920,328
2020-07-23,346925,7372,6920,328
2020-07-24,351672,7380,6920,329
2020-07-25,355429,7388,6920,329
2020-07-26,357711,7393,6920,329
2020-07-27,361100,7398,6920,329
2020-07-28,366829,7404,6920,329
2020-07-29,372360,7414,6950,329
2020-07-30,377970,7423,6950,329
2020-07-31,383518,7432,6950,329
2020-08-01,387707,7443,6950,329
2020-08-02,392269,7453,6950,329
2020-08-03,397506,7466,6950,329
2020-08-04,404321,7483,6950,331
2020-08-05,412855,7512,6980,331
2020-08-06,419948,7532,6980,331
2020-08-07,428747,7554,6980,331
2020-08-08,435066,7568,6980,331
2020-08-09,440998,7584,6980,331
2020-08-10,448248,7601,6980,333
2020-08-11,458881,7623,6980,333
2020-08-12,470476,7642,7050,333
2020-08-13,482578,7683,7050,333
2020-08-14,492194,7700,7050,333
2020-08-15,502543,7720,7050,333
2020-08-16,513494,7731,7050,333
2020-08-17,524288,7752,7050,334
2020-08-18,536461,7776,7050,334
2020-08-19,550705,7805,7100,334
2020-08-20,564252,7842,7100,334
2020-08-21,578769,7871,7100,334
2020-08-22,589201,7906,7100,334
2020-08-23,599809,7920,7100,334
2020-08-24,613386,7938,7100,335
2020-08-25,628553,7981,7100,335
2020-08-26,643066,8002,7200,335
2020-08-27,657591,8019,7200,335
2020-08-28,670202,8042,7200,335
2020-08-29,683367,8049,7200,335
2020-08-30,695607,8077,7200,335
2020-08-31,708699,8086,7200,336
2020-09-01,723268,8142,7200,336
2020-09-02,739112,8161,7350,336
2020-09-03,755337,8200,7350,336
2020-09-04,769640,8225,7350,336
2020-09-05,781739,8261,7350,336
2020-09-06,790212,8291,7350,336
2020-09-07,796628,8327,7350,336
2020-09-08,807872,8337,7350,336
2020-09-09,819388,8430,7500,337
2020-09-10,832362,8469,7500,337
2020-09-11,845182,8512,7500,337
2020-09-12,853813,8557,7500,337
2020-09-13,861535,8580,7500,337
2020-09-14,869894,8627,7500,337
2020-09-15,882304,8725,7500,339
2020-09-16,896867,8750,7700,339
2020-09-17,912965,8799,7700,339
2020-09-18,928046,8858,7700,339
2020-09-19,938580,8922,7700,339
2020-09-20,948406,8980,7700,339
2020-09-21,956070,9046,7700,341
2020-09-22,968993,9195,7700,341
2020-09-23,980267,9288,7850,343
2020-09-24,994370,9379,7850,343
2020-09-25,1007473,9484,7850,343
2020-09-26,1020463,9577,7850,343
2020-09-27,1028792,9682,7850,343
2020-09-28,1039141,9743,7850,345
2020-09-29,1049896,9892,7850,345
2020-09-30,1063137,9992,8100,344
2020-10-01,1073997,10103,8100,344
2020-10-02,1085562,10244,8100,345
2020-10-03,1095988,10391,8100,345
2020-10-04,1105074,10538,8100,345
2020-10-05,1112761,10702,8100,346
2020-10-06,1121915,10929,8100,346
2020-10-07,1121915,11049,8500,346
2020-10-08,1121915,11049,8500,346
