date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,3,0,0
2020-01-25,0,3,0,0
2020-01-26,0,3,0,0
2020-01-27,0,3,0,0
2020-01-28,0,4,0,0
2020-01-29,0,5,0,0
2020-01-30,0,6,0,0
2020-01-31,0,6,0,0
2020-02-01,0,6,0,0
2020-02-02,0,6,0,0
2020-02-03,0,6,0,0
2020-02-04,0,6,0,0
2020-02-05,0,6,0,0
2020-02-06,0,6,0,0
2020-02-07,0,6,0,0
2020-02-08,0,11,0,0
2020-02-09,0,11,0,0
2020-02-10,0,11,0,0
2020-02-11,0,11,0,0
2020-02-12,0,11,2,0
2020-02-13,0,11,3,0
2020-02-14,0,11,3,0
2020-02-15,0,12,4,0
2020-02-16,0,12,4,0
2020-02-17,0,12,4,0
2020-02-18,0,12,4,0
2020-02-19,0,12,7,0
2020-02-20,0,12,7,0
2020-02-21,0,12,10,0
2020-02-22,0,12,10,0
2020-02-23,0,12,10,0
2020-02-24,0,12,11,0
2020-02-25,0,14,11,0
2020-02-26,0,18,12,0
2020-02-27,0,38,12,0
2020-02-28,0,57,12,0
2020-02-29,0,100,12,0
2020-03-01,0,130,12,0
2020-03-02,0,191,12,0
2020-03-03,0,212,12,0
2020-03-04,0,285,12,0
2020-03-05,0,423,12,0
2020-03-06,0,613,12,0
2020-03-07,0,949,12,0
2020-03-08,0,949,12,0
2020-03-09,0,1412,12,0
2020-03-10,0,1784,12,0
2020-03-11,0,2281,12,0
2020-03-12,0,2876,12,0
2020-03-13,0,2876,12,0
2020-03-14,0,4500,12,0
2020-03-15,0,5423,12,0
2020-03-16,0,5423,12,0
2020-03-17,0,7730,602,0
2020-03-18,0,9134,1000,0
2020-03-19,0,10995,1300,0
2020-03-20,0,12612,1587,0
2020-03-21,0,14459,1587,0
2020-03-22,0,16689,2200,0
2020-03-23,0,19856,2200,0
2020-03-24,0,22302,3281,0
2020-03-25,0,25233,3900,0
2020-03-26,0,29155,4948,0
2020-03-27,0,32964,4948,0
2020-03-28,0,37575,4948,0
2020-03-29,0,40174,4948,0
2020-03-30,0,44550,7924,0
2020-03-31,0,52128,9444,0
2020-04-01,0,56989,10935,4403
2020-04-02,0,59105,12428,5387
2020-04-03,0,64338,14008,6507
2020-04-04,0,68605,15438,7560
2020-04-05,0,70478,16183,8078
2020-04-06,0,74390,17250,8911
2020-04-07,0,78167,19337,10328
2020-04-08,0,82048,21254,10869
2020-04-09,0,86334,23206,12210
2020-04-10,0,90676,24932,13197
2020-04-11,0,93790,26391,13832
2020-04-12,0,95403,27186,14393
2020-04-13,0,98076,27718,14967
2020-04-14,0,103573,28805,15729
2020-04-15,0,106206,30995,17167
2020-04-16,0,108847,32812,17920
2020-04-17,0,109252,34420,18681
2020-04-18,0,111821,35983,19323
2020-04-19,0,112606,36578,19718
2020-04-20,0,114657,37409,20265
2020-04-21,0,117324,39181,20796
2020-04-22,0,119151,40657,21340
2020-04-23,0,120804,42088,21856
2020-04-24,0,122577,43493,22245
2020-04-25,0,124114,44594,22614
2020-04-26,0,124575,44903,22856
2020-04-27,0,128339,45513,23293
2020-04-28,0,129859,46886,23660
2020-04-29,0,128442,48228,24087
2020-04-30,0,129581,49476,24376
2020-05-01,0,130185,50212,24594
2020-05-02,0,130979,50562,24760
2020-05-03,0,131287,50784,24895
2020-05-04,0,131863,51371,25201
2020-05-05,0,132967,52736,25531
2020-05-06,0,137150,53972,25809
2020-05-07,0,137779,55027,25987
2020-05-08,0,138421,55782,26230
2020-05-09,0,138854,56038,26310
2020-05-10,0,139063,56217,26380
2020-05-11,0,139519,56724,26643
2020-05-12,0,140227,57785,26991
2020-05-13,0,140734,58673,27074
2020-05-14,0,141356,59605,27425
2020-05-15,0,141919,60448,27529
2020-05-16,0,142291,61066,27625
2020-05-17,0,142411,61213,28108
2020-05-18,0,142903,61728,28239
2020-05-19,0,143427,62563,28022
2020-05-20,0,143845,63354,28132
2020-05-21,0,144163,63858,28215
2020-05-22,0,144556,64209,28289
2020-05-23,0,144806,64547,28332
2020-05-24,0,144921,64617,28367
2020-05-25,0,145279,65199,28457
2020-05-26,0,145555,65879,28530
2020-05-27,0,145746,66584,28596
2020-05-28,0,149071,67191,28662
2020-05-29,0,149668,67803,28714
2020-05-30,0,151496,68268,28771
2020-05-31,0,151753,68355,28802
2020-06-01,0,152091,68440,28833
2020-06-02,0,151325,68812,28940
2020-06-03,0,151677,69455,29021
2020-06-04,0,152444,69976,29065
2020-06-05,0,153055,70504,29111
2020-06-06,0,153634,70806,29142
2020-06-07,0,153977,70842,29155
2020-06-08,0,154188,71062,29209
2020-06-09,0,154591,71506,29296
2020-06-10,0,155136,71832,29319
2020-06-11,0,155561,72149,29346
2020-06-12,0,156287,72572,29374
2020-06-13,0,156813,72808,29398
2020-06-14,0,157220,72859,29407
2020-06-15,0,157372,73044,29436
2020-06-16,0,157716,73335,29547
2020-06-17,0,158174,73667,29575
2020-06-18,0,158641,73887,29603
2020-06-19,0,159452,74117,29617
2020-06-20,0,160093,74312,29633
2020-06-21,0,160377,74372,29640
2020-06-22,0,160750,74612,29663
2020-06-23,0,161267,74871,29720
2020-06-24,0,161348,75127,29731
2020-06-25,0,161348,75351,29752
2020-06-26,0,162936,75649,29778
2020-06-27,0,163454,75649,29778
2020-06-28,0,163980,75649,29778
2020-06-29,0,164260,75999,29813
2020-06-30,0,164801,76274,29843
2020-07-01,0,165719,76549,29861
2020-07-02,0,166378,76802,29875
2020-07-03,0,166960,77060,29893
2020-07-04,0,167711,77060,29893
2020-07-05,0,168159,77060,29893
2020-07-06,0,168335,77319,29920
2020-07-07,0,168810,77655,29933
2020-07-08,0,169473,77996,29965
2020-07-09,0,170094,78170,29979
2020-07-10,0,170752,78388,30004
2020-07-11,0,171504,78388,30004
2020-07-12,0,172089,78388,30004
2020-07-13,0,172377,78597,30029
2020-07-14,0,172888,78597,30029
2020-07-15,0,173304,78820,30120
2020-07-16,0,173838,79036,30138
2020-07-17,0,174674,79244,30152
2020-07-18,0,175639,79244,30152
2020-07-19,0,176404,79244,30152
2020-07-20,0,176754,79541,30177
2020-07-21,0,177338,79734,30165
2020-07-22,0,178336,79957,30172
2020-07-23,0,179398,80472,30182
2020-07-24,0,180528,80815,30192
2020-07-25,0,180528,80815,30192
2020-07-26,0,180528,80815,30192
2020-07-27,0,183079,81082,30209
2020-07-28,0,183804,81311,30223
2020-07-29,0,185196,81500,30238
2020-07-30,0,186573,81667,30254
2020-07-31,0,187919,81881,30265
2020-08-01,0,189547,81881,30265
2020-08-02,0,190739,81881,30265
2020-08-03,0,191295,82166,30294
2020-08-04,0,192334,82318,30296
2020-08-05,0,194029,82460,30305
2020-08-06,0,195633,82670,30312
2020-08-07,0,197921,82836,30324
2020-08-08,0,200105,82836,30324
2020-08-09,0,201990,82836,30324
2020-08-10,0,202775,83047,30340
2020-08-11,0,204172,83237,30354
2020-08-12,0,206696,83472,30371
2020-08-13,0,209365,83663,30388
2020-08-14,0,212211,83848,30406
2020-08-15,0,215521,83848,30409
2020-08-16,0,218536,83921,30410
2020-08-17,0,219029,84065,30429
2020-08-18,0,221267,84309,30451
2020-08-19,0,225043,84467,30468
2020-08-20,0,229814,84642,30480
2020-08-21,0,234400,84829,30503
2020-08-22,0,238002,84950,30512
2020-08-23,0,242899,84973,30513
2020-08-24,0,244854,85199,30528
2020-08-25,0,248158,85524,30544
2020-08-26,0,253587,85524,30544
2020-08-27,0,259698,85984,30576
2020-08-28,0,267077,86177,30596
2020-08-29,0,272530,86298,30602
2020-08-30,0,277943,86310,30606
2020-08-31,0,281025,86469,30635
2020-09-01,0,286007,86712,30661
2020-09-02,0,293024,86963,30686
2020-09-03,0,300181,87206,30706
2020-09-04,0,309156,87447,30686
2020-09-05,0,317706,87579,30698
2020-09-06,0,324777,87608,30701
2020-09-07,0,328980,87836,30726
2020-09-08,0,335524,88226,30764
2020-09-09,0,344101,88524,30794
2020-09-10,0,353944,88742,30813
2020-09-11,0,363350,89059,30893
2020-09-12,0,373911,89231,30910
2020-09-13,0,381094,89270,30916
2020-09-14,0,387252,89507,30950
2020-09-15,0,395104,89891,30999
2020-09-16,0,404888,90335,31045
2020-09-17,0,415481,90840,31095
2020-09-18,0,428696,91574,31249
2020-09-19,0,442194,92319,31274
2020-09-20,0,452763,92582,31285
2020-09-21,0,458061,93008,31338
2020-09-22,0,468069,93538,31416
2020-09-23,0,481141,93982,31459
2020-09-24,0,497237,94413,31511
2020-09-25,0,513034,94891,31661
2020-09-26,0,527446,95303,31700
2020-09-27,0,538569,95426,31727
2020-09-28,0,542639,95774,31808
2020-09-29,0,550690,96327,31893
2020-09-30,0,563535,96797,31956
2020-10-01,0,577505,97271,32019
2020-10-02,0,589653,97778,32155
2020-10-03,0,606625,98230,32198
2020-10-04,0,619190,98374,32230
2020-10-05,0,624274,98680,32299
2020-10-06,0,634763,99295,32365
2020-10-07,0,653509,99793,32445
2020-10-08,0,671638,100306,32521
