date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,1,0,0
2020-03-14,0,1,0,0
2020-03-15,0,1,0,0
2020-03-16,0,1,0,0
2020-03-17,0,1,0,0
2020-03-18,0,1,0,0
2020-03-19,0,1,0,0
2020-03-20,0,3,0,1
2020-03-21,0,4,0,1
2020-03-22,0,5,0,1
2020-03-23,0,5,0,1
2020-03-24,0,6,0,1
2020-03-25,0,6,0,1
2020-03-26,0,7,0,1
2020-03-27,0,7,0,1
2020-03-28,0,7,0,1
2020-03-29,0,7,0,1
2020-03-30,0,7,0,1
2020-03-31,0,16,0,1
2020-04-01,0,18,0,1
2020-04-02,0,21,0,1
2020-04-03,0,21,1,1
2020-04-04,0,21,1,1
2020-04-05,0,21,1,1
2020-04-06,0,24,1,1
2020-04-07,0,30,1,1
2020-04-08,0,34,1,1
2020-04-09,0,44,1,1
2020-04-10,0,44,1,1
2020-04-11,0,46,1,1
2020-04-12,0,49,1,1
2020-04-13,0,57,1,1
2020-04-14,0,57,1,1
2020-04-15,0,80,4,1
2020-04-16,0,80,4,1
2020-04-17,0,108,7,1
2020-04-18,0,108,7,1
2020-04-19,0,109,7,1
2020-04-20,0,120,7,1
2020-04-21,0,156,16,1
2020-04-22,0,166,24,1
2020-04-23,0,167,24,2
2020-04-24,0,172,26,3
2020-04-25,0,176,30,3
2020-04-26,0,176,30,3
2020-04-27,0,211,43,3
2020-04-28,0,238,53,3
2020-04-29,0,276,67,3
2020-04-30,0,276,67,3
2020-05-01,0,276,67,3
2020-05-02,0,335,85,5
2020-05-03,0,335,85,5
2020-05-04,0,367,93,6
2020-05-05,0,397,93,6
2020-05-06,0,397,93,6
2020-05-07,0,504,110,8
2020-05-08,0,620,110,8
2020-05-09,0,661,110,8
2020-05-10,0,661,110,8
2020-05-11,0,802,127,9
2020-05-12,0,863,137,9
2020-05-13,0,1004,152,9
2020-05-14,0,1104,182,10
2020-05-15,0,1209,219,10
2020-05-16,0,1320,244,11
2020-05-17,0,1320,244,11
2020-05-18,0,1432,301,11
2020-05-19,0,1502,318,12
2020-05-20,0,1567,365,12
2020-05-21,0,1567,365,12
2020-05-22,0,1728,402,12
2020-05-23,0,1934,459,12
2020-05-24,0,1934,459,12
2020-05-25,0,2135,562,14
2020-05-26,0,2238,593,14
2020-05-27,0,2319,631,14
2020-05-28,0,2431,668,14
2020-05-29,0,2613,709,15
2020-05-30,0,2655,722,17
2020-05-31,0,2655,722,17
2020-06-01,0,2655,722,17
2020-06-02,0,2803,779,20
2020-06-03,0,2902,801,20
2020-06-04,0,2955,818,21
2020-06-05,0,3101,833,21
2020-06-06,0,3101,833,21
2020-06-07,0,3101,833,21
2020-06-08,0,3101,833,21
2020-06-09,0,3247,938,21
2020-06-10,0,3375,978,22
2020-06-11,0,3463,1024,23
2020-06-12,0,3463,1024,23
2020-06-13,0,3463,1024,23
2020-06-14,0,3463,1024,23
2020-06-15,0,4033,1334,27
2020-06-16,0,4114,1432,29
2020-06-17,0,4229,1505,30
2020-06-18,0,4340,1657,32
2020-06-19,0,4428,1750,34
2020-06-20,0,4428,1750,34
2020-06-21,0,4428,1750,34
2020-06-22,0,4739,2002,39
2020-06-23,0,4849,2107,39
2020-06-24,0,4956,2177,39
2020-06-25,0,5087,2270,40
2020-06-26,0,5209,2327,40
2020-06-27,0,5209,2327,40
2020-06-28,0,5209,2327,40
2020-06-29,0,5394,2420,42
2020-06-30,0,5394,2420,42
2020-07-01,0,5513,2508,42
2020-07-02,0,5513,2508,42
2020-07-03,0,5620,2555,44
2020-07-04,0,5620,2555,44
2020-07-05,0,5620,2555,44
2020-07-06,0,5743,2574,46
2020-07-07,0,5743,2574,46
2020-07-08,0,5871,2682,46
2020-07-09,0,5871,2682,46
2020-07-10,0,5942,3004,46
2020-07-11,0,5942,3004,46
2020-07-12,0,5942,3004,46
2020-07-13,0,6026,3475,46
2020-07-14,0,6026,3475,46
2020-07-15,0,6121,3664,46
2020-07-16,0,6121,3664,46
2020-07-17,0,6315,3865,46
2020-07-18,0,6315,3865,46
2020-07-19,0,6315,3865,46
2020-07-20,0,6433,4034,46
2020-07-21,0,6433,4034,46
2020-07-22,0,6588,4235,47
2020-07-23,0,6588,4235,47
2020-07-24,0,6984,4463,49
2020-07-25,0,6984,4463,49
2020-07-26,0,6984,4463,49
2020-07-27,0,7189,4682,49
2020-07-28,0,7189,4682,49
2020-07-29,0,7352,4943,49
2020-07-30,0,7352,4943,49
2020-07-31,0,7352,4943,49
2020-08-01,0,7531,5223,50
2020-08-02,0,7531,5223,50
2020-08-03,0,7646,5408,51
2020-08-04,0,7646,5408,51
2020-08-05,0,7787,5609,51
2020-08-06,0,7787,5609,51
2020-08-07,0,7923,5704,51
2020-08-08,0,7923,5704,51
2020-08-09,0,7923,5704,51
2020-08-10,0,8006,5823,51
2020-08-11,0,8006,5823,51
2020-08-12,0,8077,5920,51
2020-08-13,0,8077,5920,51
2020-08-14,0,8225,6277,51
2020-08-15,0,8225,6277,51
2020-08-16,0,8225,6277,51
2020-08-17,0,8270,6404,53
2020-08-18,0,8270,6404,53
2020-08-19,0,8319,6614,53
2020-08-20,0,8319,6614,53
2020-08-21,0,8388,6734,53
2020-08-22,0,8388,6734,53
2020-08-23,0,8388,6734,53
2020-08-24,0,8409,6959,53
2020-08-25,0,8409,6959,53
2020-08-26,0,8468,7066,53
2020-08-27,0,8468,7066,53
2020-08-28,0,8505,7187,53
2020-08-29,0,8505,7187,53
2020-08-30,0,8505,7187,53
2020-08-31,0,8533,7264,53
2020-09-01,0,8533,7264,53
2020-09-02,0,8538,7335,53
2020-09-03,0,8538,7335,53
2020-09-04,0,8601,7424,53
2020-09-05,0,8601,7424,53
2020-09-06,0,8601,7424,53
2020-09-07,0,8608,7533,53
2020-09-08,0,8608,7533,53
2020-09-09,0,8621,7618,53
2020-09-10,0,8621,7618,53
2020-09-11,0,8643,7706,53
2020-09-12,0,8643,7706,53
2020-09-13,0,8643,7706,53
2020-09-14,0,8654,7785,53
2020-09-15,0,8654,7785,53
2020-09-16,0,8678,7827,53
2020-09-17,0,8678,7827,53
2020-09-18,0,8696,7848,53
2020-09-19,0,8696,7848,53
2020-09-20,0,8696,7848,53
2020-09-21,0,8704,7875,54
2020-09-22,0,8704,7875,54
2020-09-23,0,8716,7906,54
2020-09-24,0,8716,7906,54
2020-09-25,0,8728,7934,54
2020-09-26,0,8728,7934,54
2020-09-27,0,8728,7934,54
2020-09-28,0,8728,7934,54
2020-09-29,0,8752,7955,54
2020-09-30,0,8766,8005,54
2020-10-01,0,8766,8005,54
2020-10-02,0,8797,8067,54
2020-10-03,0,8797,8067,54
2020-10-04,0,8797,8067,54
2020-10-05,0,8808,8135,54
2020-10-06,0,8808,8135,54
2020-10-07,0,8808,8135,54
