date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,1,0,0
2020-02-27,0,1,0,0
2020-02-28,0,1,0,0
2020-02-29,0,1,0,0
2020-03-01,0,3,0,0
2020-03-02,0,3,0,0
2020-03-03,0,3,0,0
2020-03-04,0,3,0,0
2020-03-05,0,4,0,0
2020-03-06,0,4,0,0
2020-03-07,0,4,0,0
2020-03-08,0,13,0,0
2020-03-09,0,15,0,0
2020-03-10,0,15,0,0
2020-03-11,0,24,0,0
2020-03-12,0,24,0,0
2020-03-13,0,25,0,0
2020-03-14,0,30,0,0
2020-03-15,0,33,0,0
2020-03-16,0,33,1,0
2020-03-17,0,34,1,0
2020-03-18,0,38,1,0
2020-03-19,0,40,1,0
2020-03-20,0,43,1,0
2020-03-21,0,49,1,0
2020-03-22,0,54,3,0
2020-03-23,0,61,3,0
2020-03-24,0,70,9,0
2020-03-25,0,75,10,0
2020-03-26,0,79,11,0
2020-03-27,0,83,14,0
2020-03-28,0,90,14,0
2020-03-29,0,91,18,0
2020-03-30,0,103,20,0
2020-03-31,0,110,21,0
2020-04-01,0,117,23,0
2020-04-02,0,134,26,0
2020-04-03,0,155,28,0
2020-04-04,0,162,36,1
2020-04-05,0,174,36,2
2020-04-06,0,188,39,2
2020-04-07,0,196,46,3
2020-04-08,0,211,50,3
2020-04-09,0,218,51,3
2020-04-10,0,234,54,3
2020-04-11,0,242,60,3
2020-04-12,0,257,67,3
2020-04-13,0,272,68,3
2020-04-14,0,300,69,3
2020-04-15,0,306,71,3
2020-04-16,0,348,76,3
2020-04-17,0,370,79,3
2020-04-18,0,388,86,4
2020-04-19,0,394,93,4
2020-04-20,0,402,95,4
2020-04-21,0,408,97,4
2020-04-22,0,416,107,5
2020-04-23,0,425,111,5
2020-04-24,0,444,132,5
2020-04-25,0,456,139,5
2020-04-26,0,486,149,6
2020-04-27,0,497,156,6
2020-04-28,0,511,168,6
2020-04-29,0,517,178,6
2020-04-30,0,539,184,6
2020-05-01,0,566,207,7
2020-05-02,0,582,207,8
2020-05-03,0,589,223,9
2020-05-04,0,593,223,9
2020-05-05,0,604,240,9
2020-05-06,0,610,269,9
2020-05-07,0,615,275,9
2020-05-08,0,623,288,10
2020-05-09,0,626,297,10
2020-05-10,0,635,309,10
2020-05-11,0,638,317,11
2020-05-12,0,642,349,11
2020-05-13,0,647,372,11
2020-05-14,0,667,383,12
2020-05-15,0,671,393,12
2020-05-16,0,683,419,12
2020-05-17,0,695,425,12
2020-05-18,0,701,432,12
2020-05-19,0,707,456,12
2020-05-20,0,713,475,12
2020-05-21,0,721,485,12
2020-05-22,0,723,495,12
2020-05-23,0,728,509,12
2020-05-24,0,730,522,12
2020-05-25,0,731,526,12
2020-05-26,0,732,537,12
2020-05-27,0,735,557,12
2020-05-28,0,738,573,12
2020-05-29,0,746,576,12
2020-05-30,0,757,600,12
2020-05-31,0,783,605,12
2020-06-01,0,794,624,12
2020-06-02,0,796,634,13
2020-06-03,0,800,640,13
2020-06-04,0,801,644,13
2020-06-05,0,805,650,13
2020-06-06,0,808,663,13
2020-06-07,0,809,674,13
2020-06-08,0,812,683,13
2020-06-09,0,818,686,13
2020-06-10,0,827,690,13
2020-06-11,0,831,694,13
2020-06-12,0,843,697,13
2020-06-13,0,851,702,14
2020-06-14,0,864,703,14
2020-06-15,0,879,704,14
2020-06-16,0,879,724,14
2020-06-17,0,888,731,14
2020-06-18,0,893,739,14
2020-06-19,0,896,741,14
2020-06-20,0,898,752,14
2020-06-21,0,906,755,14
2020-06-22,0,908,761,14
2020-06-23,0,911,768,14
2020-06-24,0,914,771,14
2020-06-25,0,917,776,14
2020-06-26,0,919,780,14
2020-06-27,0,921,781,14
2020-06-28,0,924,785,15
2020-06-29,0,926,791,15
2020-06-30,0,928,794,15
2020-07-01,0,931,794,15
2020-07-02,0,939,817,15
2020-07-03,0,943,821,15
2020-07-04,0,948,825,15
2020-07-05,0,951,828,15
2020-07-06,0,953,830,15
2020-07-07,0,958,838,15
2020-07-08,0,963,841,15
2020-07-09,0,968,844,15
2020-07-10,0,973,846,15
2020-07-11,0,981,851,15
2020-07-12,0,986,857,15
2020-07-13,0,995,857,15
2020-07-14,0,999,870,15
2020-07-15,0,1004,873,15
2020-07-16,0,1006,883,15
2020-07-17,0,1010,885,15
2020-07-18,0,1018,895,15
2020-07-19,0,1028,899,15
2020-07-20,0,1039,900,16
2020-07-21,0,1049,903,16
2020-07-22,0,1073,907,16
2020-07-23,0,1085,911,16
2020-07-24,0,1104,912,16
2020-07-25,0,1117,917,16
2020-07-26,0,1131,920,16
2020-07-27,0,1137,922,16
2020-07-28,0,1145,927,16
2020-07-29,0,1155,929,17
2020-07-30,0,1160,935,17
2020-07-31,0,1168,940,17
2020-08-01,0,1171,947,17
2020-08-02,0,1177,955,17
2020-08-03,0,1179,959,17
2020-08-04,0,1182,962,17
2020-08-05,0,1197,974,17
2020-08-06,0,1206,987,17
2020-08-07,0,1213,994,17
2020-08-08,0,1216,996,17
2020-08-09,0,1225,1000,17
2020-08-10,0,1250,1010,17
2020-08-11,0,1264,1054,17
2020-08-12,0,1278,1058,17
2020-08-13,0,1283,1068,17
2020-08-14,0,1306,1085,17
2020-08-15,0,1321,1088,17
2020-08-16,0,1336,1088,17
2020-08-17,0,1341,1092,17
2020-08-18,0,1351,1092,17
2020-08-19,0,1361,1098,17
2020-08-20,0,1370,1108,17
2020-08-21,0,1385,1128,17
2020-08-22,0,1394,1132,17
2020-08-23,0,1411,1132,17
2020-08-24,0,1421,1137,18
2020-08-25,0,1429,1150,19
2020-08-26,0,1436,1150,19
2020-08-27,0,1447,1190,19
2020-08-28,0,1455,1196,19
2020-08-29,0,1462,1196,19
2020-08-30,0,1469,1221,19
2020-08-31,0,1487,1240,19
2020-09-01,0,1510,1253,19
2020-09-02,0,1548,1270,19
2020-09-03,0,1568,1279,19
2020-09-04,0,1596,1294,19
2020-09-05,0,1621,1302,19
2020-09-06,0,1650,1310,19
2020-09-07,0,1684,1315,19
2020-09-08,0,1729,1321,19
2020-09-09,0,1773,1325,19
2020-09-10,0,1830,1334,19
2020-09-11,0,1917,1354,19
2020-09-12,0,2075,1363,19
2020-09-13,0,2227,1369,19
2020-09-14,0,2392,1369,19
2020-09-15,0,2562,1369,19
2020-09-16,0,2758,1412,19
2020-09-17,0,2937,1422,19
2020-09-18,0,3119,1435,19
2020-09-19,0,3306,1481,19
2020-09-20,0,3502,1494,19
2020-09-21,0,3695,1534,20
2020-09-22,0,3913,1574,23
2020-09-23,0,4140,1643,25
2020-09-24,0,4399,1705,26
2020-09-25,0,4664,1759,27
2020-09-26,0,4960,1819,28
2020-09-27,0,5254,1906,28
2020-09-28,0,5552,2054,32
2020-09-29,0,5866,2324,36
2020-09-30,0,6192,3120,39
2020-10-01,0,6640,3419,41
2020-10-02,0,7093,3714,46
2020-10-03,0,7564,3992,48
2020-10-04,0,8118,4244,50
2020-10-05,0,8696,4619,54
2020-10-06,0,9245,4887,58
2020-10-07,0,9245,4887,58
