date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,2,2,0
2020-01-29,0,4,4,0
2020-01-30,0,4,4,0
2020-01-31,0,7,7,0
2020-02-01,0,7,7,0
2020-02-02,0,7,7,0
2020-02-03,0,8,8,0
2020-02-04,0,12,12,0
2020-02-05,0,12,12,0
2020-02-06,0,13,13,0
2020-02-07,0,14,14,0
2020-02-08,0,14,14,0
2020-02-09,0,14,14,0
2020-02-10,0,14,14,0
2020-02-11,0,16,16,0
2020-02-12,0,17,17,0
2020-02-13,0,17,17,0
2020-02-14,0,17,17,0
2020-02-15,0,17,17,0
2020-02-16,0,17,17,0
2020-02-17,0,17,17,0
2020-02-18,0,17,17,0
2020-02-19,0,17,17,0
2020-02-20,0,18,18,0
2020-02-21,0,18,18,0
2020-02-22,0,18,18,0
2020-02-23,0,18,18,0
2020-02-24,0,19,19,0
2020-02-25,0,21,21,0
2020-02-26,0,28,28,0
2020-02-27,0,52,52,0
2020-02-28,0,99,99,0
2020-02-29,0,121,121,0
2020-03-01,0,157,157,0
2020-03-02,0,198,198,0
2020-03-03,0,283,283,0
2020-03-04,0,437,435,2
2020-03-05,0,621,618,3
2020-03-06,0,807,800,7
2020-03-07,0,948,937,11
2020-03-08,124716,1049,1037,12
2020-03-09,124716,1396,1377,19
2020-03-10,124716,1996,1973,23
2020-03-11,124716,2753,2720,33
2020-03-12,124716,3744,3698,46
2020-03-13,124716,5196,5134,62
2020-03-14,124716,6501,6419,82
2020-03-15,252173,7479,7382,97
2020-03-16,252173,9526,9393,133
2020-03-17,252173,12570,12393,177
2020-03-18,252173,16181,15940,241
2020-03-19,252173,20239,19933,306
2020-03-20,252173,24289,23887,402
2020-03-21,252173,27643,27146,497
2020-03-22,600792,29909,29334,575
2020-03-23,600792,33636,32928,707
2020-03-24,600792,38519,37645,873
2020-03-25,600792,44207,43118,1088
2020-03-26,600792,50119,48768,1350
2020-03-27,600792,56109,54495,1613
2020-03-28,600792,60840,58978,1861
2020-03-29,962307,63928,61903,2024
2020-03-30,962307,68048,65759,2288
2020-03-31,962307,74109,71447,2661
2020-04-01,962307,80371,77333,3037
2020-04-02,962307,86925,83472,3451
2020-04-03,962307,93108,89263,3843
2020-04-04,962307,97445,93355,4088
2020-04-05,1370655,99995,95724,4269
2020-04-06,1370655,103665,99102,4560
2020-04-07,1370655,108859,103961,4895
2020-04-08,1370655,114137,108903,5231
2020-04-09,1370655,119047,113489,5555
2020-04-10,1370655,122399,116634,5762
2020-04-11,1370655,125292,119325,5964
2020-04-12,1750852,127158,121022,6133
2020-04-13,1750852,128754,122455,6296
2020-04-14,1750852,131218,124702,6513
2020-04-15,1750852,134541,127798,6740
2020-04-16,1750852,137960,131027,6929
2020-04-17,1750852,141007,133901,7102
2020-04-18,1750852,143115,135887,7224
2020-04-19,2082754,144492,137146,7342
2020-04-20,2082754,146211,138721,7486
2020-04-21,2082754,148401,140774,7623
2020-04-22,2082754,150895,143140,7750
2020-04-23,2082754,152979,145107,7867
2020-04-24,2082754,154882,146927,7950
2020-04-25,2082754,156156,148122,8029
2020-04-26,2446644,156859,148796,8058
2020-04-27,2446644,157974,149837,8132
2020-04-28,2446644,159433,151217,8211
2020-04-29,2446644,160869,152595,8269
2020-04-30,2446644,162325,153983,8337
2020-05-01,2446644,163240,154852,8383
2020-05-02,2446644,163861,155439,8417
2020-05-03,2773432,164288,155851,8432
2020-05-04,2773432,165009,156532,8472
2020-05-05,2773432,166099,157579,8515
2020-05-06,2773432,167309,158750,8554
2020-05-07,2773432,168505,159897,8603
2020-05-08,2773432,169488,160838,8645
2020-05-09,2773432,170166,161493,8668
2020-05-10,3177307,170508,161821,8682
2020-05-11,3177307,171191,162481,8705
2020-05-12,3177307,172032,163292,8735
2020-05-13,3177307,172937,164171,8761
2020-05-14,3177307,173742,164956,8781
2020-05-15,3177307,174454,165637,8812
2020-05-16,3177307,174916,166080,8831
2020-05-17,3609973,175230,166386,8839
2020-05-18,3609973,175773,166907,8861
2020-05-19,3609973,176502,167609,8888
2020-05-20,3609973,177333,168418,8910
2020-05-21,3609973,177751,168829,8917
2020-05-22,3609973,178278,169341,8932
2020-05-23,3609973,178617,169669,8943
2020-05-24,3963440,178842,169889,8948
2020-05-25,3963440,179253,170287,8961
2020-05-26,3963440,179869,170888,8976
2020-05-27,3963440,180515,171523,8987
2020-05-28,3963440,181040,172040,8995
2020-05-29,3963440,181487,172480,9002
2020-05-30,3963440,181861,172850,9006
2020-05-31,4368709,182040,173026,9009
2020-06-01,4368709,182178,173159,9014
2020-06-02,4368709,182480,173454,9021
2020-06-03,4368709,182976,173939,9032
2020-06-04,4368709,183502,174458,9039
2020-06-05,4368709,183944,174894,9045
2020-06-06,4368709,184227,175173,9049
2020-06-07,4709695,184392,175334,9053
2020-06-08,4709695,184689,175628,9056
2020-06-09,4709695,185117,176055,9057
2020-06-10,4709695,185636,176565,9066
2020-06-11,4709695,185913,176841,9067
2020-06-12,4709695,186260,177178,9077
2020-06-13,4709695,186559,177476,9078
2020-06-14,5036891,186731,177642,9084
2020-06-15,5036891,186990,177897,9088
2020-06-16,5036891,187530,178427,9098
2020-06-17,5036891,188507,179398,9104
2020-06-18,5036891,189142,180030,9107
2020-06-19,5036891,190037,180919,9113
2020-06-20,5036891,190564,181443,9116
2020-06-21,5425078,190820,181696,9119
2020-06-22,5425078,191305,182180,9120
2020-06-23,5425078,191847,182715,9127
2020-06-24,5425078,192348,183214,9129
2020-06-25,5425078,192912,183773,9134
2020-06-26,5425078,193485,184340,9139
2020-06-27,5425078,193817,184670,9141
2020-06-28,5892491,194017,184870,9141
2020-06-29,5892491,194434,185283,9145
2020-06-30,5892491,194894,185742,9146
2020-07-01,5892491,195377,186220,9151
2020-07-02,5892491,195848,186687,9155
2020-07-03,5892491,196274,187107,9161
2020-07-04,5892491,196567,187398,9163
2020-07-05,6398981,196710,187537,9167
2020-07-06,6398981,197025,187848,9171
2020-07-07,6398981,197414,188233,9175
2020-07-08,6398981,197864,188677,9181
2020-07-09,6398981,198292,189100,9186
2020-07-10,6398981,198717,189522,9189
2020-07-11,6398981,198994,189799,9189
2020-07-12,6909532,199125,189930,9189
2020-07-13,6909532,199452,190252,9194
2020-07-14,6909532,199909,190707,9196
2020-07-15,6909532,200447,191239,9202
2020-07-16,6909532,201003,191789,9208
2020-07-17,6909532,201528,192307,9215
2020-07-18,6909532,201955,192734,9215
2020-07-19,7448233,202142,192917,9219
2020-07-20,7448233,202596,193367,9223
2020-07-21,7448233,203114,193881,9227
2020-07-22,7448233,203810,194568,9236
2020-07-23,7448233,204508,195262,9238
2020-07-24,7448233,205315,196058,9248
2020-07-25,7448233,205860,196601,9250
2020-07-26,8021200,206071,196812,9250
2020-07-27,8021200,206595,197329,9257
2020-07-28,8021200,207343,198073,9261
2020-07-29,8021200,208250,198977,9264
2020-07-30,8021200,209103,199825,9269
2020-07-31,8021200,210022,200734,9279
2020-08-01,8021200,210584,201295,9280
2020-08-02,8602237,210885,201595,9281
2020-08-03,8602237,211676,202378,9289
2020-08-04,8602237,212618,203315,9294
2020-08-05,8602237,213729,204424,9296
2020-08-06,8602237,214892,205581,9302
2020-08-07,8602237,215895,206579,9306
2020-08-08,8602237,216602,207284,9308
2020-08-09,9336227,216921,207601,9310
2020-08-10,9336227,218018,208695,9312
2020-08-11,9336227,219208,209883,9314
2020-08-12,9336227,220749,211414,9324
2020-08-13,9336227,222240,212903,9326
2020-08-14,9336227,223608,214268,9329
2020-08-15,9336227,224358,215014,9333
2020-08-16,10228215,224850,215502,9337
2020-08-17,10228215,226401,217048,9342
2020-08-18,10228215,227932,218569,9351
2020-08-19,10228215,229682,220318,9352
2020-08-20,10228215,231300,221931,9357
2020-08-21,10228215,232957,223585,9360
2020-08-22,10228215,233861,224487,9362
2020-08-23,11320565,234422,225048,9362
2020-08-24,11320565,235847,226470,9365
2020-08-25,11320565,237321,227943,9366
2020-08-26,11320565,238929,229548,9369
2020-08-27,11320565,240466,231084,9370
2020-08-28,11320565,241840,232456,9371
2020-08-29,11320565,242672,233283,9373
2020-08-30,12436203,243208,233815,9376
2020-08-31,12436203,244392,234993,9380
2020-09-01,12436203,245706,236300,9382
2020-09-02,12436203,247114,237703,9384
2020-09-03,12436203,248627,239203,9391
2020-09-04,12436203,250114,240679,9398
2020-09-05,12436203,251217,241773,9403
2020-09-06,13535763,251794,242343,9408
2020-09-07,13535763,253207,243752,9411
2020-09-08,13535763,254576,245106,9422
2020-09-09,13535763,256326,246843,9429
2020-09-10,13535763,257901,248120,9435
2020-09-11,13535763,259547,249442,9445
2020-09-12,13535763,260770,250410,9448
2020-09-13,14697896,261523,250970,9451
2020-09-14,14697896,262999,252123,9455
2020-09-15,14697896,264991,253540,9467
2020-09-16,14697896,267178,255139,9477
2020-09-17,14697896,269513,256836,9480
