date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,2,0,0
2020-03-14,0,3,0,0
2020-03-15,0,6,0,0
2020-03-16,0,6,0,0
2020-03-17,143,7,0,0
2020-03-18,143,7,0,0
2020-03-19,143,11,0,0
2020-03-20,143,16,0,0
2020-03-21,143,19,0,1
2020-03-22,315,23,0,1
2020-03-23,521,27,0,2
2020-03-24,521,53,0,2
2020-03-25,521,93,0,4
2020-03-26,521,132,1,4
2020-03-27,521,137,2,4
2020-03-28,2519,141,2,5
2020-03-29,2519,152,2,5
2020-03-30,2519,152,2,5
2020-03-31,2519,161,31,5
2020-04-01,2519,195,31,5
2020-04-02,2519,204,31,5
2020-04-03,2519,205,31,5
2020-04-04,2519,205,31,5
2020-04-05,2519,214,31,5
2020-04-06,2519,214,31,5
2020-04-07,2519,287,31,5
2020-04-08,2519,313,34,6
2020-04-09,14611,378,3,6
2020-04-10,27346,378,4,6
2020-04-11,37954,408,4,8
2020-04-12,37954,566,4,8
2020-04-13,37954,566,4,8
2020-04-14,50719,636,17,8
2020-04-15,57000,636,17,8
2020-04-16,57000,641,83,8
2020-04-17,57000,641,83,8
2020-04-18,60916,834,99,9
2020-04-19,68591,1042,99,9
2020-04-20,68591,1042,99,9
2020-04-21,68591,1042,99,9
2020-04-22,88188,1154,99,9
2020-04-23,88188,1154,99,9
2020-04-24,88188,1279,134,10
2020-04-25,100622,1279,134,10
2020-04-26,100622,1550,155,11
2020-04-27,106090,1550,155,11
2020-04-28,113497,1671,188,16
2020-04-29,113497,1671,188,16
2020-04-30,113497,2074,212,17
2020-05-01,117049,2074,212,17
2020-05-02,129461,2169,229,18
2020-05-03,129461,2169,229,18
2020-05-04,135902,2719,294,18
2020-05-05,135902,2719,294,18
2020-05-06,135902,3091,294,18
2020-05-07,149948,3091,303,18
2020-05-08,155201,4012,323,18
2020-05-09,155201,4263,378,22
2020-05-10,160501,4263,378,22
2020-05-11,162184,4700,494,22
2020-05-12,165433,5127,494,22
2020-05-13,168685,5408,514,24
2020-05-14,172623,5530,674,24
2020-05-15,174077,5638,1460,28
2020-05-16,174077,5735,1754,29
2020-05-17,180567,5735,1754,29
2020-05-18,184343,5735,1754,29
2020-05-19,187929,6096,1773,31
2020-05-20,192194,6269,1898,31
2020-05-21,193705,6269,1898,31
2020-05-22,194763,6486,1951,31
2020-05-23,198175,6617,1978,31
2020-05-24,202130,6683,1998,32
2020-05-25,203383,6808,2070,32
2020-05-26,205890,7117,2317,34
2020-05-27,208328,7303,2412,34
2020-05-28,211622,7303,2412,34
2020-05-29,214956,7616,2421,34
2020-05-30,218425,7768,2540,35
2020-05-31,219825,8070,2947,36
2020-06-01,220153,8070,2947,36
2020-06-02,223065,8297,2986,38
2020-06-03,226741,8548,3132,38
2020-06-04,229093,8885,3189,38
2020-06-05,233734,9168,3457,42
2020-06-06,235443,9462,3547,44
2020-06-07,239395,9638,3636,44
2020-06-08,240204,9910,3645,48
2020-06-09,242218,10201,3755,48
2020-06-10,245448,10201,3755,48
2020-06-11,247592,10358,3824,48
2020-06-12,250894,10856,3921,48
2020-06-13,254331,11118,3979,48
2020-06-14,255971,11964,4258,54
2020-06-15,258010,11964,4258,54
2020-06-16,261319,12193,4326,58
2020-06-17,263725,12590,4410,66
2020-06-18,267286,12929,4468,66
2020-06-19,267286,13203,4548,70
2020-06-20,270300,13717,10074,85
2020-06-21,277550,14154,10473,85
2020-06-22,280116,14154,10473,85
2020-06-23,283124,14568,10907,95
2020-06-24,286453,15013,11078,95
2020-06-25,288465,15473,11431,95
2020-06-26,290365,15834,11755,103
2020-06-27,294867,16431,12257,103
2020-06-28,297591,16742,12720,112
2020-06-29,300520,17351,12994,112
2020-06-30,300520,17741,13268,112
2020-07-01,307133,18134,13550,117
2020-07-02,310159,18134,13550,117
2020-07-03,313457,19388,14330,117
2020-07-04,316798,19388,14330,117
2020-07-05,320071,20085,14870,122
2020-07-06,322910,21077,16070,129
2020-07-07,325450,21968,17156,129
2020-07-08,327009,22822,17564,129
2020-07-09,328383,23463,18622,129
2020-07-10,331366,23834,19212,135
2020-07-11,334101,24248,19831,135
2020-07-12,336093,24518,20187,139
2020-07-13,339491,24988,21067,139
2020-07-14,341919,24988,21067,139
2020-07-15,344137,25430,21511,139
2020-07-16,346990,26125,22270,139
2020-07-17,349752,26572,22915,144
2020-07-18,353752,27060,23044,145
2020-07-19,357220,27667,23249,148
2020-07-20,361542,28430,24901,153
2020-07-21,365281,28989,25331,153
2020-07-22,369180,29672,26090,153
2020-07-23,372573,29672,26090,153
2020-07-24,374612,31057,27801,161
2020-07-25,378735,31851,28438,161
2020-07-26,382752,32969,29494,168
2020-07-27,387336,33624,29801,168
2020-07-28,391378,34406,30621,168
2020-07-29,391378,35142,31286,175
2020-07-30,396731,35142,31286,175
2020-07-31,399446,35501,32096,182
2020-08-01,402564,37014,33365,182
2020-08-02,405817,37014,33365,182
2020-08-03,407588,37812,34313,191
2020-08-04,409373,37812,34313,191
2020-08-05,411539,39075,35563,199
2020-08-06,413835,39642,36384,199
2020-08-07,415671,40097,36638,206
2020-08-08,416988,40533,37702,206
2020-08-09,418328,41003,38330,215
2020-08-10,419590,41212,38727,215
2020-08-11,421588,41404,39055,215
2020-08-12,423008,41572,39320,223
2020-08-13,424315,41725,39495,223
2020-08-14,425969,41847,39718,223
2020-08-15,427121,42210,40147,231
2020-08-16,428695,42532,40362,231
2020-08-17,429773,42653,40567,239
2020-08-18,431272,42993,40796,248
2020-08-19,432372,43094,40963,256
2020-08-20,433503,43260,41276,261
2020-08-21,435109,43325,41408,261
2020-08-22,436253,43325,41408,261
2020-08-23,437001,43505,41532,261
2020-08-24,437750,43622,41695,263
2020-08-25,439246,43717,41843,270
2020-08-26,440984,43769,42048,270
2020-08-27,442185,43841,42246,270
2020-08-28,442185,43949,42392,270
2020-08-29,444081,44118,42581,270
2020-08-30,444797,44205,42777,276
2020-08-31,445653,44298,42963,276
2020-09-01,446208,44460,43121,276
2020-09-02,446867,44658,43478,276
2020-09-03,447901,44713,43577,280
2020-09-04,448820,44777,43693,283
2020-09-05,449688,44777,43693,283
2020-09-06,450872,44777,43693,283
2020-09-07,451590,44869,43801,283
2020-09-08,452184,45012,43898,283
2020-09-09,453250,45313,44188,283
2020-09-10,454102,45313,44188,283
2020-09-11,454912,45388,44267,285
2020-09-12,456049,45434,44342,286
2020-09-13,457092,45434,44342,286
2020-09-14,464420,45601,44679,294
2020-09-15,466845,45655,44797,294
2020-09-16,467428,45655,44797,294
2020-09-17,469176,45714,44896,294
2020-09-18,470730,45760,44973,295
2020-09-19,472289,45877,45081,297
2020-09-20,474120,46004,45153,297
2020-09-21,475657,46062,45258,297
2020-09-22,476612,46062,45258,297
2020-09-23,477192,46153,45299,299
2020-09-24,479104,46222,45417,299
2020-09-25,479931,46222,45417,299
2020-09-26,480715,46222,45417,299
2020-09-27,483540,46387,45618,299
2020-09-28,484310,46444,45646,299
2020-09-29,486320,46482,45651,301
2020-09-30,487672,46626,45757,301
2020-10-01,488427,46656,45942,301
2020-10-02,488427,46694,45945,301
2020-10-03,488427,46803,46006,303
2020-10-04,488427,46829,46060,303
2020-10-05,488427,46829,46060,303
2020-10-06,488427,46829,46060,303
2020-10-07,488427,46829,46060,303
