date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,1,0,0
2020-02-27,0,3,0,0
2020-02-28,0,4,0,0
2020-02-29,0,4,0,0
2020-03-01,0,7,0,0
2020-03-02,0,7,0,0
2020-03-03,570,7,0,0
2020-03-04,570,9,0,0
2020-03-05,570,31,0,0
2020-03-06,570,45,0,0
2020-03-07,570,46,0,0
2020-03-08,570,73,0,0
2020-03-09,570,73,0,0
2020-03-10,570,89,0,0
2020-03-11,570,99,0,1
2020-03-12,2180,99,0,1
2020-03-13,2700,190,0,1
2020-03-14,3400,228,8,3
2020-03-15,4000,331,8,4
2020-03-16,4320,331,8,4
2020-03-17,4320,387,8,5
2020-03-18,6000,418,8,5
2020-03-19,6000,418,8,6
2020-03-20,7172,495,19,6
2020-03-21,7830,530,19,13
2020-03-22,8006,624,19,15
2020-03-23,8644,695,19,17
2020-03-24,9071,743,29,20
2020-03-25,10495,821,36,22
2020-03-26,10495,892,36,26
2020-03-27,13477,966,52,28
2020-03-28,14363,1061,52,32
2020-03-29,15151,1156,52,38
2020-03-30,15961,1212,52,43
2020-03-31,16732,1314,52,49
2020-04-01,17350,1415,52,50
2020-04-02,18844,1544,61,53
2020-04-03,22437,1613,78,63
2020-04-04,23333,1673,78,68
2020-04-05,25453,1735,78,73
2020-04-06,26193,1755,269,79
2020-04-07,28584,1832,269,81
2020-04-08,32528,1884,269,83
2020-04-09,33634,1955,269,87
2020-04-10,35432,2011,269,92
2020-04-11,37344,2081,269,93
2020-04-12,42261,2114,269,98
2020-04-13,43431,2145,269,99
2020-04-14,43431,2170,269,101
2020-04-15,47389,2192,269,102
2020-04-16,49390,2207,269,105
2020-04-17,51645,2224,269,108
2020-04-18,53290,2235,269,110
2020-04-19,53290,2235,269,113
2020-04-20,54344,2245,269,116
2020-04-21,55666,2401,577,121
2020-04-22,56992,2408,577,121
2020-04-23,59241,2463,577,125
2020-04-24,61407,2490,577,130
2020-04-25,63087,2506,577,130
2020-04-26,64608,2517,577,134
2020-04-27,66094,2534,577,136
2020-04-28,69833,2566,577,138
2020-04-29,72130,2576,577,139
2020-04-30,75170,2591,1374,140
2020-05-01,77251,2612,1374,140
2020-05-02,78207,2620,1374,143
2020-05-03,79332,2626,1374,144
2020-05-04,80951,2632,1374,146
2020-05-05,83750,2642,1374,146
2020-05-06,87052,2663,1374,147
2020-05-07,90043,2678,1374,148
2020-05-08,94291,2691,1374,150
2020-05-09,97384,2710,1374,151
2020-05-10,98877,2716,1374,151
2020-05-11,99363,2726,1374,151
2020-05-12,106054,2744,1374,152
2020-05-13,112042,2760,1374,155
2020-05-14,116233,2770,1374,156
2020-05-15,120015,2810,1374,160
2020-05-16,126283,2819,1374,162
2020-05-17,128525,2834,1374,163
2020-05-18,131684,2836,1374,165
2020-05-19,136001,2840,1374,165
2020-05-20,139445,2850,1374,166
2020-05-21,144078,2853,1374,168
2020-05-22,147958,2874,1374,169
2020-05-23,152998,2876,1374,171
2020-05-24,153963,2878,1374,171
2020-05-25,155037,2882,1374,172
2020-05-26,160991,2892,1374,173
2020-05-27,166245,2903,1374,173
2020-05-28,170467,2906,1374,175
2020-05-29,174844,2909,1374,175
2020-05-30,178316,2915,1374,175
2020-05-31,180518,2917,1374,175
2020-06-01,182423,2918,1374,179
2020-06-02,185590,2937,1374,179
2020-06-03,185590,2937,1374,179
2020-06-04,193929,2952,1374,180
2020-06-05,193929,2967,1374,180
2020-06-06,193929,2980,1374,180
2020-06-07,193929,2997,1374,180
2020-06-08,229519,3049,1374,182
2020-06-09,231759,3058,1374,183
2020-06-10,231759,3068,1374,183
2020-06-11,237276,3088,1374,183
2020-06-12,243867,3108,1374,183
2020-06-13,247452,3112,1374,183
2020-06-14,250923,3121,1374,183
2020-06-15,254854,3134,1374,184
2020-06-16,259736,3148,1374,185
2020-06-17,264930,3203,1374,187
2020-06-18,270338,3227,1374,188
2020-06-19,274711,3237,1374,189
2020-06-20,278895,3256,1374,190
2020-06-21,283146,3266,1374,190
2020-06-22,285989,3287,1374,190
2020-06-23,291187,3302,1374,190
2020-06-24,291187,3310,1374,190
2020-06-25,291840,3321,1374,191
2020-06-26,295851,3343,1374,191
2020-06-27,301144,3366,1374,191
2020-06-28,305137,3376,1374,191
2020-06-29,308392,3390,1374,191
2020-06-30,312775,3409,1374,192
2020-07-01,315982,3432,1374,192
2020-07-02,320427,3458,1374,192
2020-07-03,325451,3486,1374,192
2020-07-04,331703,3511,1374,192
2020-07-05,337154,3519,1374,192
2020-07-06,340328,3562,1374,192
2020-07-07,349084,3589,1374,193
2020-07-08,355190,3622,1374,193
2020-07-09,358725,3672,1374,193
2020-07-10,363412,3732,1374,193
2020-07-11,371167,3772,1374,193
2020-07-12,373932,3803,1374,193
2020-07-13,382452,3826,1374,193
2020-07-14,386307,3883,1374,193
2020-07-15,391773,3910,1374,193
2020-07-16,398347,3939,1374,193
2020-07-17,402672,3964,1374,194
2020-07-18,406040,3983,1374,194
2020-07-19,410766,4007,1374,194
2020-07-20,413760,4012,1374,195
2020-07-21,419906,4048,1374,197
2020-07-22,424675,4077,1374,200
2020-07-23,430864,4110,1374,201
2020-07-24,436510,4135,1374,201
2020-07-25,436510,4166,1374,201
2020-07-26,447685,4193,1374,202
2020-07-27,451317,4227,1374,202
2020-07-28,457540,4279,1374,203
2020-07-29,511429,4336,1374,203
2020-07-30,519887,4401,1374,203
2020-07-31,519887,4477,1374,206
2020-08-01,539493,4587,1374,206
2020-08-02,545439,4662,1374,208
2020-08-03,564856,4737,1374,209
2020-08-04,599709,4855,1374,209
2020-08-05,609583,4974,1374,210
2020-08-06,619393,5123,1374,210
2020-08-07,630983,5270,1374,210
2020-08-08,640297,5421,1374,211
2020-08-09,650998,5623,1347,212
2020-08-10,658178,5749,1347,213
2020-08-11,668739,5942,1347,214
2020-08-12,679785,6177,1347,216
2020-08-13,687338,6381,1347,221
2020-08-14,704921,6632,1347,223
2020-08-15,715503,6858,1347,226
2020-08-16,719311,7075,1347,228
2020-08-17,726961,7222,1347,230
2020-08-18,740871,7472,1347,232
2020-08-19,804282,7684,1347,235
2020-08-20,816450,7934,1347,235
2020-08-21,816450,8138,1347,238
2020-08-22,816450,8381,1347,240
2020-08-23,848380,8664,1347,242
2020-08-24,858138,8819,1347,242
2020-08-25,872550,8987,1347,243
2020-08-26,872550,9280,1347,248
2020-08-27,903432,9531,1347,254
2020-08-28,917265,9800,1347,259
2020-08-29,931002,9977,1347,260
2020-08-30,940882,10134,1347,262
2020-08-31,949367,10317,1347,266
2020-09-01,966346,10524,1347,271
2020-09-02,980500,10757,1347,273
2020-09-03,992566,10998,1347,278
2020-09-04,1003142,11200,1347,279
2020-09-05,1015064,11386,1347,280
2020-09-06,1015064,11524,1347,284
2020-09-07,1015064,11663,1347,289
2020-09-08,1015064,11832,1347,290
2020-09-09,1066305,12080,1347,293
2020-09-10,1066305,12452,1347,297
2020-09-11,1094354,12734,1347,300
2020-09-12,1094354,13036,1347,302
2020-09-13,1125882,13240,1347,305
2020-09-14,1133027,13420,1347,310
2020-09-15,1133027,13730,1347,313
2020-09-16,1157897,14041,1347,316
2020-09-17,1157897,14400,1347,325
2020-09-18,1181712,14738,1347,327
2020-09-19,1194013,14978,1347,331
2020-09-20,1202213,15142,1347,338
2020-09-21,1210118,15595,1347,344
2020-09-22,1221017,15928,1347,352
2020-09-23,1233229,16286,1347,357
2020-09-24,1246363,16627,1347,366
2020-09-25,1256436,16913,1347,369
2020-09-26,1269055,17228,1347,376
2020-09-27,1278587,17444,1347,379
2020-09-28,1284694,17707,1347,383
2020-09-29,1296795,18123,1347,388
2020-09-30,1307549,18475,1347,391
2020-10-01,1318336,18886,1347,393
2020-10-02,1328042,19346,1347,398
2020-10-03,1339664,19613,1347,405
2020-10-04,1349123,19842,1347,409
2020-10-05,1355126,20142,1347,417
2020-10-06,1367231,20541,1347,420
2020-10-07,1379036,20947,1347,424
2020-10-08,1379036,20947,1347,424
