date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,3,0,0
2020-03-17,0,3,0,0
2020-03-18,0,5,0,0
2020-03-19,0,12,0,0
2020-03-20,0,14,0,0
2020-03-21,0,15,0,0
2020-03-22,0,27,0,1
2020-03-23,0,29,0,1
2020-03-24,0,32,0,1
2020-03-25,0,37,0,1
2020-03-26,0,45,0,1
2020-03-27,0,51,0,1
2020-03-28,0,55,0,1
2020-03-29,0,56,0,1
2020-03-30,0,58,0,1
2020-03-31,0,69,0,2
2020-04-01,0,77,0,3
2020-04-02,0,82,0,3
2020-04-03,0,84,0,4
2020-04-04,0,93,0,4
2020-04-05,0,112,0,4
2020-04-06,0,113,0,4
2020-04-07,0,121,0,4
2020-04-08,0,121,0,4
2020-04-09,0,128,0,4
2020-04-10,0,130,0,4
2020-04-11,0,133,0,5
2020-04-12,0,133,0,5
2020-04-13,0,133,0,5
2020-04-14,0,133,0,5
2020-04-15,0,135,0,5
2020-04-16,0,135,0,5
2020-04-17,0,136,0,5
2020-04-18,0,136,0,5
2020-04-19,0,136,0,5
2020-04-20,0,136,0,5
2020-04-21,0,136,0,5
2020-04-22,0,136,0,5
2020-04-23,0,139,0,5
2020-04-24,0,141,0,5
2020-04-25,0,141,0,5
2020-04-26,0,141,0,5
2020-04-27,0,141,0,5
2020-04-28,0,141,0,5
2020-04-29,0,141,0,5
2020-04-30,0,145,0,5
2020-05-01,0,145,0,5
2020-05-02,0,145,0,5
2020-05-03,0,145,0,5
2020-05-04,0,145,0,5
2020-05-05,0,145,0,5
2020-05-06,0,149,0,5
2020-05-07,0,149,0,5
2020-05-08,0,151,0,5
2020-05-09,0,151,0,5
2020-05-10,0,151,0,5
2020-05-11,0,151,0,5
2020-05-12,0,152,0,5
2020-05-13,0,152,0,5
2020-05-14,0,152,0,5
2020-05-15,0,154,0,5
2020-05-16,0,154,0,5
2020-05-17,0,154,0,5
2020-05-18,0,154,0,5
2020-05-19,0,154,0,5
2020-05-20,0,154,0,5
2020-05-21,0,165,0,5
2020-05-22,0,165,0,5
2020-05-23,0,165,0,5
2020-05-24,0,166,0,5
2020-05-25,0,166,0,5
2020-05-26,0,167,0,5
2020-05-27,0,170,0,5
2020-05-28,0,171,0,5
2020-05-29,0,172,0,5
2020-05-30,0,172,0,5
2020-05-31,0,172,0,5
2020-06-01,0,175,0,5
2020-06-02,0,175,0,5
2020-06-03,0,177,0,5
2020-06-04,0,179,0,5
2020-06-05,0,179,0,5
2020-06-06,0,179,0,5
2020-06-07,0,179,0,5
2020-06-08,0,179,0,5
2020-06-09,0,180,0,5
2020-06-10,0,180,0,5
2020-06-11,0,183,0,5
2020-06-12,0,183,0,5
2020-06-13,0,183,0,5
2020-06-14,0,183,0,5
2020-06-15,0,185,0,5
2020-06-16,0,186,0,5
2020-06-17,0,188,0,5
2020-06-18,0,192,0,5
2020-06-19,0,200,0,5
2020-06-20,0,222,0,5
2020-06-21,0,222,0,5
2020-06-22,0,222,0,5
2020-06-23,0,225,0,5
2020-06-24,0,226,0,5
2020-06-25,0,231,0,5
2020-06-26,0,247,0,5
2020-06-27,0,247,0,5
2020-06-28,0,247,0,5
2020-06-29,0,253,0,5
2020-06-30,0,257,0,5
2020-07-01,0,267,0,5
2020-07-02,0,280,0,5
2020-07-03,0,280,0,5
2020-07-04,0,280,0,5
2020-07-05,0,280,0,5
2020-07-06,0,301,0,5
2020-07-07,0,303,0,5
2020-07-08,0,307,0,5
2020-07-09,0,309,0,5
2020-07-10,0,310,0,5
2020-07-11,0,310,0,5
2020-07-12,0,310,0,5
2020-07-13,0,312,0,5
2020-07-14,0,312,0,5
2020-07-15,0,313,0,5
2020-07-16,0,314,0,5
2020-07-17,0,314,0,5
2020-07-18,0,314,0,5
2020-07-19,0,314,0,5
2020-07-20,0,319,0,5
2020-07-21,0,319,0,5
2020-07-22,0,330,0,5
2020-07-23,0,337,0,5
2020-07-24,0,337,0,5
2020-07-25,0,337,0,5
2020-07-26,0,337,0,5
2020-07-27,0,349,0,5
2020-07-28,0,351,0,5
2020-07-29,0,354,0,5
2020-07-30,0,356,0,5
2020-07-31,0,356,0,5
2020-08-01,0,356,0,5
2020-08-02,0,368,0,5
2020-08-03,0,375,0,5
2020-08-04,0,389,0,5
2020-08-05,0,397,0,5
2020-08-06,0,411,0,5
2020-08-07,0,411,0,5
2020-08-08,0,411,0,5
2020-08-09,0,418,0,5
2020-08-10,0,418,0,5
2020-08-11,0,449,0,5
2020-08-12,0,449,0,5
2020-08-13,0,477,0,5
2020-08-14,0,502,0,5
2020-08-15,0,502,0,5
2020-08-16,0,502,0,5
2020-08-17,0,577,0,5
2020-08-18,0,599,0,5
2020-08-19,0,599,0,5
2020-08-20,0,704,0,6
2020-08-21,0,767,0,6
2020-08-22,0,767,0,6
2020-08-23,0,767,0,6
2020-08-24,0,907,0,7
2020-08-25,0,984,0,7
2020-08-26,0,1120,0,9
2020-08-27,0,1232,0,9
2020-08-28,0,1287,0,10
2020-08-29,0,1287,0,10
2020-08-30,0,1287,0,10
2020-08-31,0,1395,0,10
2020-09-01,0,1447,0,13
2020-09-02,0,1494,0,13
2020-09-03,0,1560,0,13
2020-09-04,0,1619,0,14
2020-09-05,0,1619,0,14
2020-09-06,0,1619,0,14
2020-09-07,0,1619,0,14
2020-09-08,0,1713,0,19
2020-09-09,0,1758,0,20
2020-09-10,0,1846,0,21
2020-09-11,0,1863,0,23
2020-09-12,0,1863,0,23
2020-09-13,0,1863,0,23
2020-09-14,0,1927,0,26
2020-09-15,0,1966,0,28
2020-09-16,0,2013,0,28
2020-09-17,0,2045,0,30
2020-09-18,0,2074,0,31
2020-09-19,0,2074,0,31
2020-09-20,0,2074,0,31
2020-09-21,0,2147,0,35
2020-09-22,0,2190,0,37
2020-09-23,0,2235,0,37
2020-09-24,0,2263,0,38
2020-09-25,0,2286,0,39
2020-09-26,0,2286,0,39
2020-09-27,0,2286,0,39
2020-09-28,0,2286,0,39
2020-09-29,0,2443,0,47
2020-09-30,0,2488,0,49
2020-10-01,0,2488,0,49
2020-10-02,0,2488,0,49
2020-10-03,0,2617,0,49
2020-10-04,0,2617,0,49
2020-10-05,0,2753,0,54
2020-10-06,0,2818,0,55
2020-10-07,0,2868,0,57
2020-10-08,0,2868,0,57
