date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,1,0,0
2020-03-15,0,1,0,0
2020-03-16,0,2,0,1
2020-03-17,0,6,0,1
2020-03-18,0,6,0,1
2020-03-19,0,9,0,1
2020-03-20,0,12,0,1
2020-03-21,0,17,0,1
2020-03-22,0,19,0,1
2020-03-23,0,20,0,1
2020-03-24,0,21,0,1
2020-03-25,0,24,4,1
2020-03-26,0,25,4,1
2020-03-27,0,28,4,1
2020-03-28,0,34,10,1
2020-03-29,0,34,10,1
2020-03-30,0,36,10,1
2020-03-31,0,38,12,1
2020-04-01,0,39,12,1
2020-04-02,0,47,12,1
2020-04-03,0,50,12,1
2020-04-04,0,61,15,2
2020-04-05,0,61,15,2
2020-04-06,0,70,15,3
2020-04-07,0,77,17,3
2020-04-08,0,87,17,3
2020-04-09,0,95,17,3
2020-04-10,0,126,17,3
2020-04-11,0,137,19,3
2020-04-12,0,155,19,5
2020-04-13,0,156,19,5
2020-04-14,0,167,19,5
2020-04-15,0,180,19,5
2020-04-16,0,196,19,5
2020-04-17,0,214,21,7
2020-04-18,0,235,21,7
2020-04-19,0,257,21,7
2020-04-20,0,289,21,7
2020-04-21,0,294,24,7
2020-04-22,0,316,24,8
2020-04-23,0,384,30,11
2020-04-24,0,430,30,11
2020-04-25,0,473,45,13
2020-04-26,0,500,49,15
2020-04-27,0,530,49,15
2020-04-28,0,530,49,15
2020-04-29,0,557,62,16
2020-04-30,0,599,66,16
2020-05-01,0,644,72,16
2020-05-02,0,688,72,17
2020-05-03,0,703,72,17
2020-05-04,0,730,79,19
2020-05-05,0,763,79,19
2020-05-06,0,798,86,21
2020-05-07,0,832,90,23
2020-05-08,0,900,101,24
2020-05-09,0,967,104,24
2020-05-10,0,1052,110,26
2020-05-11,0,1114,111,26
2020-05-12,0,1199,120,27
2020-05-13,0,1342,121,29
2020-05-14,0,1518,129,29
2020-05-15,0,1643,135,30
2020-05-16,0,1763,138,33
2020-05-17,0,1763,138,33
2020-05-18,0,1912,138,35
2020-05-19,0,2133,155,43
2020-05-20,0,2265,159,45
2020-05-21,0,2512,222,48
2020-05-22,0,2743,222,51
2020-05-23,0,3054,244,55
2020-05-24,0,3424,258,58
2020-05-25,0,3760,274,59
2020-05-26,0,3954,289,63
2020-05-27,0,4145,493,68
2020-05-28,0,4348,565,80
2020-05-29,0,4607,648,90
2020-05-30,0,4739,706,102
2020-05-31,0,5087,735,108
2020-06-01,0,5336,795,116
2020-06-02,0,5586,824,123
2020-06-03,0,5760,929,143
2020-06-04,0,6154,979,158
2020-06-05,0,6485,1053,216
2020-06-06,0,6792,1133,230
2020-06-07,0,7055,1261,252
2020-06-08,0,7502,1323,267
2020-06-09,0,7866,1413,289
2020-06-10,0,8221,1504,316
2020-06-11,0,8561,1567,334
2020-06-12,0,8982,1702,351
2020-06-13,0,9491,1804,367
2020-06-14,0,9845,1886,384
2020-06-15,0,10272,1966,399
2020-06-16,0,10706,2096,418
2020-06-17,0,11251,2200,432
2020-06-18,0,11868,2290,449
2020-06-19,0,12509,2419,483
2020-06-20,0,12755,2558,514
2020-06-21,0,13145,2711,531
2020-06-22,0,13769,2818,547
2020-06-23,0,14540,2897,582
2020-06-24,0,14819,2930,601
2020-06-25,0,15619,2949,623
2020-06-26,0,15828,3028,672
2020-06-27,0,16397,3123,706
2020-06-28,0,16930,3152,727
2020-06-29,0,17409,3170,746
2020-06-30,0,18096,3194,773
2020-07-01,0,19011,3231,817
2020-07-02,0,20072,3279,843
2020-07-03,0,21293,3315,880
2020-07-04,0,22501,3330,920
2020-07-05,0,23248,3382,947
2020-07-06,0,23972,3429,981
2020-07-07,0,24787,3575,1004
2020-07-08,0,25411,3718,1053
2020-07-09,0,26658,3797,1092
2020-07-10,0,27619,4024,1139
2020-07-11,0,28598,4073,1172
2020-07-12,0,29355,4214,1219
2020-07-13,0,29742,4321,1244
2020-07-14,0,30872,4453,1302
2020-07-15,0,32074,4624,1350
2020-07-16,0,32939,4807,1404
2020-07-17,0,33809,4989,1443
2020-07-18,0,38042,23365,1449
2020-07-19,0,38677,23365,1485
2020-07-20,0,39039,25539,1502
2020-07-21,0,40229,26685,1531
2020-07-22,0,41135,27756,1573
2020-07-23,0,42192,28856,1632
2020-07-24,0,43283,30150,1669
2020-07-25,0,44492,31045,1699
2020-07-26,0,45053,31612,1734
2020-07-27,0,45309,32455,1761
2020-07-28,0,46451,33494,1782
2020-07-29,0,47605,34488,1835
2020-07-30,0,48826,35629,1867
2020-07-31,0,49789,36816,1924
2020-08-01,0,50979,37873,1959
2020-08-02,0,51306,38416,1995
2020-08-03,0,51542,39346,2013
2020-08-04,0,52365,40285,2037
2020-08-05,0,53509,41199,2072
2020-08-06,0,54339,42070,2119
2020-08-07,0,55270,43135,2168
2020-08-08,0,56189,44072,2197
2020-08-09,0,56605,44598,2211
2020-08-10,0,56987,45589,2222
2020-08-11,0,57966,46442,2233
2020-08-12,0,59089,47394,2267
2020-08-13,0,60284,48305,2296
2020-08-14,0,61428,49355,2341
2020-08-15,0,62313,50183,2355
2020-08-16,0,62562,50692,2379
2020-08-17,0,62944,51530,2389
2020-08-18,0,63847,52370,2419
2020-08-19,0,64881,53362,2467
2020-08-20,0,65983,54351,2506
2020-08-21,0,66941,55314,2532
2020-08-22,0,67856,56277,2580
2020-08-23,0,68188,56778,2594
2020-08-24,0,68533,57735,2611
2020-08-25,0,69651,57891,2630
2020-08-26,0,70714,58783,2662
2020-08-27,0,71856,59641,2685
2020-08-28,0,72921,60534,2709
2020-08-29,0,73679,61163,2728
2020-08-30,0,73912,61681,2740
2020-08-31,0,74074,62068,2760
2020-09-01,0,74893,62935,2778
2020-09-02,0,75644,63688,2790
2020-09-03,0,76358,64399,2804
2020-09-04,0,77040,65029,2825
2020-09-05,0,77481,65595,2845
2020-09-06,0,77683,66131,2852
2020-09-07,0,77828,66584,2862
2020-09-08,0,78721,67462,2890
2020-09-09,0,79622,68308,2897
2020-09-10,0,80306,68927,2918
2020-09-11,0,81009,69703,2929
2020-09-12,0,81658,70403,2949
2020-09-13,0,81909,70927,2957
2020-09-14,0,82172,71352,2972
2020-09-15,0,82684,71983,2984
2020-09-16,0,82924,72562,3009
2020-09-17,0,83664,73260,3036
2020-09-18,0,84344,73748,3076
2020-09-19,0,85152,74497,3105
2020-09-20,0,85444,74859,3119
2020-09-21,0,85681,75172,3124
2020-09-22,0,86623,75869,3137
2020-09-23,0,87442,76459,3154
2020-09-24,0,87933,77125,3170
2020-09-25,0,88878,77750,3186
2020-09-26,0,89702,78284,3213
2020-09-27,0,90092,78698,3229
2020-09-28,0,90263,79067,3234
2020-09-29,0,90968,79654,3238
2020-09-30,0,91746,80256,3246
2020-10-01,0,92409,80800,3261
2020-10-02,0,93090,81466,3267
2020-10-03,0,93748,82040,3285
2020-10-04,0,93963,82454,3293
2020-10-05,0,94182,82828,3302
2020-10-06,0,94870,83480,3310
2020-10-07,0,95704,84036,3335
2020-10-08,0,95704,84036,3335
