date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,1,0,1
2020-03-13,0,1,0,1
2020-03-14,0,1,0,1
2020-03-15,0,4,0,1
2020-03-16,0,4,0,1
2020-03-17,0,7,0,1
2020-03-18,0,7,0,1
2020-03-19,0,7,0,1
2020-03-20,0,7,0,1
2020-03-21,0,7,0,1
2020-03-22,0,19,0,1
2020-03-23,0,20,0,1
2020-03-24,0,5,0,1
2020-03-25,0,5,0,1
2020-03-26,0,5,0,1
2020-03-27,0,5,0,1
2020-03-28,0,8,0,1
2020-03-29,0,8,0,1
2020-03-30,0,8,0,1
2020-03-31,0,12,0,2
2020-04-01,0,19,0,2
2020-04-02,0,19,0,4
2020-04-03,0,23,0,4
2020-04-04,0,23,0,4
2020-04-05,0,24,0,4
2020-04-06,0,31,8,4
2020-04-07,0,33,8,5
2020-04-08,0,37,8,6
2020-04-09,0,37,8,6
2020-04-10,0,37,8,6
2020-04-11,0,45,8,6
2020-04-12,0,45,8,6
2020-04-13,0,45,8,6
2020-04-14,0,47,8,6
2020-04-15,0,55,8,6
2020-04-16,0,55,8,6
2020-04-17,0,63,9,6
2020-04-18,0,63,9,6
2020-04-19,0,65,9,7
2020-04-20,0,65,9,7
2020-04-21,0,66,9,7
2020-04-22,0,67,9,7
2020-04-23,0,70,9,7
2020-04-24,0,73,12,7
2020-04-25,0,73,12,7
2020-04-26,0,74,12,8
2020-04-27,0,74,15,8
2020-04-28,0,74,15,8
2020-04-29,0,78,18,8
2020-04-30,0,82,22,9
2020-05-01,0,82,22,9
2020-05-02,0,82,22,9
2020-05-03,0,82,22,9
2020-05-04,0,92,27,9
2020-05-05,0,93,27,10
2020-05-06,0,93,27,10
2020-05-07,0,93,27,10
2020-05-08,0,94,35,10
2020-05-09,0,94,35,10
2020-05-10,0,104,35,10
2020-05-11,0,109,36,10
2020-05-12,0,113,36,10
2020-05-13,0,113,41,10
2020-05-14,0,113,42,10
2020-05-15,0,116,43,10
2020-05-16,0,117,43,10
2020-05-17,0,117,43,10
2020-05-18,0,124,44,10
2020-05-19,0,125,46,10
2020-05-20,0,125,47,10
2020-05-21,0,127,57,10
2020-05-22,0,127,57,10
2020-05-23,0,127,58,10
2020-05-24,0,135,62,10
2020-05-25,0,137,62,11
2020-05-26,0,139,62,11
2020-05-27,0,139,67,11
2020-05-28,0,150,67,11
2020-05-29,0,150,67,11
2020-05-30,0,152,67,12
2020-05-31,0,153,70,12
2020-06-01,0,153,70,12
2020-06-02,0,153,70,12
2020-06-03,0,153,70,12
2020-06-04,0,153,77,12
2020-06-05,0,153,77,12
2020-06-06,0,154,80,12
2020-06-07,0,154,80,12
2020-06-08,0,154,84,12
2020-06-09,0,156,86,12
2020-06-10,0,156,92,12
2020-06-11,0,158,92,12
2020-06-12,0,159,95,12
2020-06-13,0,159,95,12
2020-06-14,0,159,99,12
2020-06-15,0,159,99,12
2020-06-16,0,171,99,12
2020-06-17,0,171,102,12
2020-06-18,0,183,102,12
2020-06-19,0,183,102,12
2020-06-20,0,183,102,12
2020-06-21,0,184,103,12
2020-06-22,0,205,103,12
2020-06-23,0,206,107,12
2020-06-24,0,209,107,12
2020-06-25,0,215,108,12
2020-06-26,0,215,108,12
2020-06-27,0,230,109,12
2020-06-28,0,230,109,12
2020-06-29,0,235,114,12
2020-06-30,0,245,114,12
2020-07-01,0,248,116,13
2020-07-02,0,250,117,14
2020-07-03,0,256,117,14
2020-07-04,0,272,120,14
2020-07-05,0,273,120,15
2020-07-06,0,273,120,15
2020-07-07,0,284,125,16
2020-07-08,0,284,125,16
2020-07-09,0,286,125,16
2020-07-10,0,290,134,16
2020-07-11,0,291,148,17
2020-07-12,0,297,154,17
2020-07-13,0,300,155,17
2020-07-14,0,308,156,17
2020-07-15,0,313,156,18
2020-07-16,0,315,156,19
2020-07-17,0,320,156,19
2020-07-18,0,327,163,19
2020-07-19,0,336,163,19
2020-07-20,0,337,163,19
2020-07-21,0,339,163,19
2020-07-22,0,350,165,19
2020-07-23,0,351,176,19
2020-07-24,0,352,178,20
2020-07-25,0,360,180,20
2020-07-26,0,370,181,20
2020-07-27,0,389,181,20
2020-07-28,0,396,181,20
2020-07-29,0,398,185,20
2020-07-30,0,401,185,20
2020-07-31,0,413,185,20
2020-08-01,0,430,185,20
2020-08-02,0,474,185,21
2020-08-03,0,474,185,21
2020-08-04,0,497,186,22
2020-08-05,0,509,189,22
2020-08-06,0,538,189,22
2020-08-07,0,538,189,22
2020-08-08,0,554,189,22
2020-08-09,0,568,189,22
2020-08-10,0,568,189,22
2020-08-11,0,602,189,22
2020-08-12,0,623,191,22
2020-08-13,0,631,202,22
2020-08-14,0,649,306,22
2020-08-15,0,674,310,22
2020-08-16,0,709,349,23
2020-08-17,0,709,349,23
2020-08-18,0,737,365,25
2020-08-19,0,776,381,27
2020-08-20,0,846,399,29
2020-08-21,0,881,433,30
2020-08-22,0,925,433,31
2020-08-23,0,955,490,31
2020-08-24,0,1029,510,31
2020-08-25,0,1060,523,31
2020-08-26,0,1093,534,31
2020-08-27,0,1140,616,32
2020-08-28,0,1180,633,35
2020-08-29,0,1184,636,35
2020-08-30,0,1234,687,36
2020-08-31,0,1306,718,39
2020-09-01,0,1373,742,41
2020-09-02,0,1382,779,41
2020-09-03,0,1401,805,44
2020-09-04,0,1401,805,44
2020-09-05,0,1459,921,46
2020-09-06,0,1468,954,46
2020-09-07,0,1560,962,47
2020-09-08,0,1613,1030,48
2020-09-09,0,1703,1045,48
2020-09-10,0,1750,1088,49
2020-09-11,0,1763,1144,52
2020-09-12,0,1812,1191,54
2020-09-13,0,1853,1215,56
2020-09-14,0,1884,1265,56
2020-09-15,0,1958,1302,58
2020-09-16,0,1958,1302,58
2020-09-17,0,2027,1302,60
2020-09-18,0,2102,1314,62
2020-09-19,0,2168,1331,64
2020-09-20,0,2269,1339,64
2020-09-21,0,2402,1359,65
2020-09-22,0,2437,1361,67
2020-09-23,0,2535,1464,69
2020-09-24,0,2579,1483,71
2020-09-25,0,2709,1490,73
2020-09-26,0,2725,1535,74
2020-09-27,0,2772,1564,76
2020-09-28,0,2787,1608,78
2020-09-29,0,2846,1644,78
2020-09-30,0,2894,1680,80
2020-10-01,0,2929,1760,82
2020-10-02,0,2968,1776,85
2020-10-03,0,2968,1776,85
2020-10-04,0,3093,1920,87
2020-10-05,0,3188,1972,90
2020-10-06,0,3188,2017,92
2020-10-07,0,3292,2084,95
2020-10-08,0,3292,2084,95
