date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,230,2,0,0
2020-03-05,230,2,0,0
2020-03-06,269,2,0,0
2020-03-07,319,4,0,0
2020-03-08,362,7,0,0
2020-03-09,362,9,0,0
2020-03-10,531,9,0,0
2020-03-11,609,13,0,0
2020-03-12,730,13,0,0
2020-03-13,858,19,0,0
2020-03-14,1014,30,1,0
2020-03-15,1236,32,1,1
2020-03-16,1470,39,1,1
2020-03-17,1587,50,2,1
2020-03-18,1803,58,2,1
2020-03-19,2322,73,2,1
2020-03-20,3007,85,2,3
2020-03-21,3477,103,7,4
2020-03-22,4443,131,16,6
2020-03-23,5515,167,16,7
2020-03-24,6113,187,21,9
2020-03-25,6817,226,21,10
2020-03-26,8005,261,28,10
2020-03-27,9275,300,34,10
2020-03-28,10303,343,34,11
2020-03-29,12148,408,34,13
2020-03-30,13301,447,34,15
2020-03-31,14146,492,37,16
2020-04-01,15208,525,40,20
2020-04-02,16401,585,42,21
2020-04-03,17769,623,43,26
2020-04-04,19424,678,58,32
2020-04-05,21250,733,66,34
2020-04-06,22282,744,67,38
2020-04-07,23746,817,71,47
2020-04-08,25748,895,94,58
2020-04-09,27826,980,96,66
2020-04-10,29948,1190,112,77
2020-04-11,31961,1310,115,85
2020-04-12,33532,1410,118,99
2020-04-13,34819,1458,120,109
2020-04-14,35825,1512,122,122
2020-04-15,37326,1579,192,134
2020-04-16,38489,1652,199,142
2020-04-17,41590,1763,207,156
2020-04-18,43901,1834,231,172
2020-04-19,46353,1916,250,189
2020-04-20,48057,1984,267,199
2020-04-21,50052,2098,287,213
2020-04-22,52702,2168,295,225
2020-04-23,55390,2284,390,239
2020-04-24,58251,2443,458,262
2020-04-25,60801,2443,458,262
2020-04-26,63505,2500,485,272
2020-04-27,65625,2583,498,280
2020-04-28,67172,2649,516,291
2020-04-29,70300,2727,536,300
2020-04-30,72951,2775,581,312
2020-05-01,76331,2863,609,323
2020-05-02,79551,2942,625,335
2020-05-03,82010,2998,629,340
2020-05-04,83958,3035,630,351
2020-05-05,85557,3065,709,363
2020-05-06,88735,3111,759,373
2020-05-07,94036,3150,801,383
2020-05-08,99058,3178,865,392
2020-05-09,103258,3213,904,405
2020-05-10,108257,3263,933,413
2020-05-11,112165,3284,958,421
2020-05-12,114719,3313,1007,425
2020-05-13,118500,3341,1102,430
2020-05-14,123258,3380,1169,436
2020-05-15,127237,3417,1287,442
2020-05-16,131429,3473,1371,448
2020-05-17,135137,3509,1396,451
2020-05-18,137243,3535,1400,462
2020-05-19,138697,3556,1412,467
2020-05-20,142729,3598,1454,470
2020-05-21,147511,3641,1509,473
2020-05-22,155801,3678,1587,476
2020-05-23,159260,3713,1655,482
2020-05-24,162925,3741,1690,486
2020-05-25,164619,3756,1711,491
2020-05-26,166263,3771,1836,499
2020-05-27,169960,3793,1856,505
2020-05-28,174011,3816,1996,509
2020-05-29,180152,3841,2024,517
2020-05-30,183562,3867,2142,524
2020-05-31,185980,3876,2147,526
2020-06-01,187965,3892,2156,527
2020-06-02,189969,3921,2160,532
2020-06-03,191572,3931,2190,534
2020-06-04,195894,3954,2205,539
2020-06-05,202606,3970,2245,542
2020-06-06,206853,3990,2279,545
2020-06-07,210202,4008,2279,546
2020-06-08,210749,4014,2284,548
2020-06-09,214468,4017,2324,550
2020-06-10,217689,4027,2355,551
2020-06-11,222247,4039,2391,553
2020-06-12,226669,4053,2447,555
2020-06-13,230169,4064,2476,559
2020-06-14,233742,4069,2482,562
2020-06-15,235377,4076,2485,563
2020-06-16,236828,4077,2516,565
2020-06-17,242139,4078,2547,567
2020-06-18,245598,4079,2564,568
2020-06-19,249391,4081,2581,568
2020-06-20,253100,4086,2585,570
2020-06-21,256326,4094,2589,570
2020-06-22,258115,4102,2590,572
2020-06-23,258861,4107,2600,573
2020-06-24,261420,4114,2618,576
2020-06-25,265129,4123,2640,577
2020-06-26,267056,4127,2663,578
2020-06-27,270263,4138,2681,578
2020-06-28,271194,4142,2685,581
2020-06-29,273879,4145,2685,585
2020-06-30,274945,4155,2692,585
2020-07-01,277750,4157,2714,586
2020-07-02,279690,4166,2721,587
2020-07-03,281628,4172,2752,588
2020-07-04,283508,4174,2784,589
2020-07-05,285590,4183,2811,589
2020-07-06,286083,4189,2860,589
2020-07-07,286983,4205,2874,589
2020-07-08,288693,4210,2885,589
2020-07-09,289602,4220,2887,591
2020-07-10,292037,4223,2941,593
2020-07-11,293220,4229,2974,595
2020-07-12,294425,4234,3036,595
2020-07-13,295561,4247,3073,595
2020-07-14,296358,4258,3106,595
2020-07-15,299185,4263,3126,595
2020-07-16,300632,4279,3156,595
2020-07-17,302749,4293,3220,595
2020-07-18,305133,4315,3222,596
2020-07-19,307846,4333,3223,596
2020-07-20,310070,4339,3232,596
2020-07-21,310830,4347,3257,596
2020-07-22,312988,4366,3283,596
2020-07-23,316120,4380,3300,596
2020-07-24,319854,4398,3312,596
2020-07-25,323673,4424,3324,596
2020-07-26,326554,4435,3329,596
2020-07-27,328583,4448,3329,596
2020-07-28,330239,4456,3331,596
2020-07-29,333446,4465,3339,596
2020-07-30,336461,4484,3346,596
2020-07-31,339163,4505,3353,596
2020-08-01,342887,4526,3364,597
2020-08-02,344997,4535,3389,597
2020-08-03,346962,4544,3413,597
2020-08-04,348132,4553,3415,598
2020-08-05,350108,4564,3431,599
2020-08-06,352546,4597,3463,600
2020-08-07,355467,4621,3464,602
2020-08-08,358437,4653,3491,602
2020-08-09,360772,4696,3499,602
2020-08-10,362660,4731,3525,605
2020-08-11,363459,4746,3527,605
2020-08-12,366356,4768,3529,605
2020-08-13,369545,4813,3561,607
2020-08-14,372687,4853,3590,607
2020-08-15,375685,4877,3606,607
2020-08-16,378608,4916,3623,608
2020-08-17,380932,4946,3630,608
2020-08-18,383411,4970,3631,609
2020-08-19,387111,5002,3665,609
2020-08-20,390079,5046,3678,609
2020-08-21,393431,5098,3681,611
2020-08-22,394911,5133,3692,611
2020-08-23,397092,5155,3695,613
2020-08-24,398550,5191,3695,613
2020-08-25,400442,5215,3716,614
2020-08-26,405067,5288,3734,614
2020-08-27,408799,5379,3757,614
2020-08-28,414645,5511,3759,614
2020-08-29,417890,5669,3759,614
2020-08-30,424270,5961,3759,614
2020-08-31,428150,6139,3761,615
2020-09-01,429942,6257,3821,616
2020-09-02,437531,6622,3903,619
2020-09-03,445047,6923,3930,620
2020-09-04,452138,7382,3944,621
2020-09-05,460235,7892,3952,624
2020-09-06,470000,8387,3958,624
2020-09-07,481424,8963,3961,625
2020-09-08,487146,9304,3972,626
2020-09-09,495481,9715,3984,628
2020-09-10,505585,10191,3990,630
2020-09-11,517222,10909,4014,631
2020-09-12,529063,11825,4058,633
2020-09-13,537897,12309,4069,637
2020-09-14,549211,13153,4117,642
2020-09-15,557864,13879,4130,646
2020-09-16,567691,14460,4153,654
2020-09-17,580072,15170,4227,663
2020-09-18,591618,16111,4240,669
2020-09-19,604122,16920,4382,675
2020-09-20,615999,17990,4391,683
2020-09-21,626021,18866,4401,686
2020-09-22,632031,19499,4559,694
2020-09-23,645492,20450,4644,702
2020-09-24,657437,21200,4818,709
2020-09-25,668553,22127,4945,718
2020-09-26,680335,23077,5099,730
2020-09-27,690408,24014,5141,736
2020-09-28,697473,24716,5152,749
2020-09-29,704510,25567,5173,757
2020-09-30,715677,26461,5890,765
2020-10-01,727649,27309,6118,781
2020-10-02,740043,28631,6349,798
2020-10-03,751217,29717,6824,812
2020-10-04,759174,30575,7470,822
2020-10-05,765598,31480,8165,833
2020-10-06,771297,32298,8723,853
2020-10-07,771297,32298,8723,853
