date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,23,0,0,0
2020-02-28,36,1,0,0
2020-02-29,68,1,0,0
2020-03-01,90,3,0,0
2020-03-02,138,6,0,0
2020-03-03,183,11,0,0
2020-03-04,264,26,0,0
2020-03-05,326,34,0,0
2020-03-06,383,43,0,0
2020-03-07,441,50,0,0
2020-03-08,478,50,0,0
2020-03-09,576,58,0,0
2020-03-10,745,69,1,0
2020-03-11,894,85,1,0
2020-03-12,1147,103,1,0
2020-03-13,1504,134,1,0
2020-03-14,1827,156,1,0
2020-03-15,2902,171,8,5
2020-03-16,4609,180,8,0
2020-03-17,6009,220,8,1
2020-03-18,7837,250,5,1
2020-03-19,9148,330,5,1
2020-03-20,9727,409,5,1
2020-03-21,10077,473,22,1
2020-03-22,10260,568,36,1
2020-03-23,10719,588,36,1
2020-03-24,11686,648,51,2
2020-03-25,12574,737,56,2
2020-03-26,13572,802,82,2
2020-03-27,14594,890,97,2
2020-03-28,15443,963,114,2
2020-03-29,16443,1020,135,2
2020-03-30,17863,1086,157,2
2020-03-31,19475,1135,198,2
2020-04-01,20889,1220,225,2
2020-04-02,22154,1319,284,4
2020-04-03,23599,1364,309,4
2020-04-04,25353,1417,396,4
2020-04-05,27839,1486,428,4
2020-04-06,28951,1562,460,6
2020-04-07,30906,1586,559,6
2020-04-08,32582,1616,633,6
2020-04-09,34084,1648,688,6
2020-04-10,34594,1675,751,7
2020-04-11,35212,1689,841,8
2020-04-12,35447,1701,889,8
2020-04-13,36298,1711,933,8
2020-04-14,37345,1720,989,8
2020-04-15,38163,1727,1077,8
2020-04-16,39495,1739,1144,8
2020-04-17,41050,1754,1224,9
2020-04-18,42721,1760,1291,9
2020-04-19,43102,1771,1291,9
2020-04-20,43790,1773,1362,10
2020-04-21,44427,1778,1417,10
2020-04-22,45052,1785,1462,10
2020-04-23,45245,1789,1509,10
2020-04-24,45930,1789,1542,10
2020-04-25,46311,1790,1570,10
2020-04-26,46336,1792,1608,10
2020-04-27,47024,1792,1624,10
2020-04-28,47532,1795,1636,10
2020-04-29,48372,1797,1656,10
2020-04-30,49094,1797,1670,10
2020-05-01,49961,1798,1689,10
2020-05-02,50365,1798,1706,10
2020-05-03,50436,1799,1717,10
2020-05-04,51304,1799,1723,10
2020-05-05,51622,1799,1733,10
2020-05-06,52242,1799,1750,10
2020-05-07,52704,1801,1755,10
2020-05-08,53219,1801,1765,10
2020-05-09,54154,1801,1773,10
2020-05-10,54172,1801,1773,10
2020-05-11,54750,1801,1773,10
2020-05-12,55034,1801,1776,10
2020-05-13,55585,1802,1780,10
2020-05-14,56178,1802,1780,10
2020-05-15,56701,1802,1782,10
2020-05-16,56834,1802,1786,10
2020-05-17,56841,1802,1786,10
2020-05-18,57146,1802,1786,10
2020-05-19,57587,1802,1789,10
2020-05-20,58184,1803,1789,10
2020-05-21,58254,1803,1790,10
2020-05-22,58745,1803,1791,10
2020-05-23,58803,1804,1791,10
2020-05-24,58815,1804,1791,10
2020-05-25,59046,1804,1791,10
2020-05-26,59572,1804,1792,10
2020-05-27,60100,1805,1792,10
2020-05-28,60450,1805,1792,10
2020-05-29,60984,1805,1794,10
2020-05-30,61081,1806,1794,10
2020-05-31,61097,1806,1794,10
2020-06-01,61115,1806,1794,10
2020-06-02,61314,1806,1794,10
2020-06-03,61639,1806,1794,10
2020-06-04,62189,1806,1794,10
2020-06-05,62727,1806,1794,10
2020-06-06,62754,1806,1794,10
2020-06-07,62761,1807,1794,10
2020-06-08,62829,1807,1794,10
2020-06-09,62870,1807,1794,10
2020-06-10,62935,1807,1794,10
2020-06-11,63004,1807,1794,10
2020-06-12,63083,1807,1794,10
2020-06-13,63143,1808,1794,10
2020-06-14,63157,1810,1796,10
2020-06-15,63184,1811,1797,10
2020-06-16,63360,1812,1796,10
2020-06-17,63428,1812,1793,10
2020-06-18,63467,1814,1795,10
2020-06-19,63576,1815,1797,10
2020-06-20,63640,1815,1794,10
2020-06-21,63657,1815,1797,10
2020-06-22,63701,1815,1797,10
2020-06-23,63787,1815,1796,10
2020-06-24,63834,1817,1799,10
2020-06-25,63970,1818,1794,10
2020-06-26,64221,1820,1799,10
2020-06-27,64392,1820,1797,10
2020-06-28,64642,1821,1797,10
2020-06-29,65106,1822,1798,10
2020-06-30,65834,1824,1800,10
2020-07-01,66104,1825,1797,10
2020-07-02,66265,1830,1803,10
2020-07-03,66662,1830,1803,10
2020-07-04,66814,1830,1802,10
2020-07-05,66837,1830,1800,10
2020-07-06,67022,1832,1799,10
2020-07-07,67246,1833,1801,10
2020-07-08,67377,1833,1802,10
2020-07-09,67518,1833,1803,10
2020-07-10,67729,1833,1803,10
2020-07-11,67792,1833,1806,10
2020-07-12,67823,1833,1800,10
2020-07-13,67912,1833,1801,10
2020-07-14,68064,1835,1804,10
2020-07-15,68201,1835,1809,10
2020-07-16,68322,1836,1810,10
2020-07-17,68511,1836,1815,10
2020-07-18,68575,1838,1814,10
2020-07-19,68614,1839,1815,10
2020-07-20,68640,1839,1820,10
2020-07-21,68706,1839,1821,10
2020-07-22,68755,1840,1822,10
2020-07-23,68822,1841,1823,10
2020-07-24,68891,1843,1823,10
2020-07-25,68937,1843,1823,10
2020-07-26,68955,1847,1823,10
2020-07-27,68992,1854,1823,10
2020-07-28,69116,1857,1823,10
2020-07-29,69468,1861,1823,10
2020-07-30,70606,1872,1823,10
2020-07-31,71930,1885,1825,10
2020-08-01,72756,1893,1825,10
2020-08-02,73961,1907,1825,10
2020-08-03,74728,1915,1825,10
2020-08-04,75343,1918,1825,10
2020-08-05,76168,1926,1825,10
2020-08-06,77245,1932,1825,10
2020-08-07,77839,1952,1833,10
2020-08-08,78235,1955,1833,10
2020-08-09,78467,1958,1834,10
2020-08-10,78812,1962,1838,10
2020-08-11,80002,1968,1844,10
2020-08-12,80724,1972,1847,10
2020-08-13,81052,1976,1852,10
2020-08-14,81589,1983,1861,10
2020-08-15,81936,1999,1870,10
2020-08-16,82094,2011,1880,10
2020-08-17,82502,2014,1888,10
2020-08-18,83006,2027,1895,10
2020-08-19,83461,2035,1903,10
2020-08-20,84052,2040,1913,10
2020-08-21,84640,2050,1920,10
2020-08-22,84912,2058,1936,10
2020-08-23,85203,2064,1939,10
2020-08-24,85805,2073,1946,10
2020-08-25,86676,2077,1953,10
2020-08-26,87443,2082,1957,10
2020-08-27,88166,2087,1964,10
2020-08-28,88829,2092,1964,10
2020-08-29,89189,2100,1979,10
2020-08-30,89406,2105,1990,10
2020-08-31,90081,2107,1997,10
2020-09-01,90674,2116,2007,10
2020-09-02,91283,2121,2016,10
2020-09-03,91840,2128,2023,10
2020-09-04,92499,2135,2029,10
2020-09-05,92848,2136,2038,10
2020-09-06,92971,2141,2050,10
2020-09-07,93697,2143,2057,10
2020-09-08,94399,2150,2060,10
2020-09-09,94923,2153,2067,10
2020-09-10,95485,2157,2072,10
2020-09-11,96074,2161,2079,10
2020-09-12,96408,2162,2085,10
2020-09-13,96556,2165,2092,10
2020-09-14,97035,2168,2095,10
2020-09-15,97809,2174,2102,10
2020-09-16,99056,2189,2104,10
2020-09-17,102160,2206,2112,10
2020-09-18,105424,2230,2112,10
2020-09-19,106828,2307,2116,10
2020-09-20,108340,2307,2116,10
2020-09-21,112186,2377,2125,10
2020-09-22,116711,2419,2130,10
2020-09-23,118784,2476,2142,10
2020-09-24,121014,2512,2150,10
2020-09-25,123251,2561,2151,10
2020-09-26,124225,2601,2156,10
2020-09-27,124990,2623,2158,10
2020-09-28,126754,2663,2161,10
2020-09-29,128457,2695,2162,10
2020-09-30,129884,2728,2167,10
2020-10-01,131153,2769,2177,10
2020-10-02,132609,2809,2194,10
2020-10-03,133737,2872,2212,10
2020-10-04,134825,2921,2277,10
2020-10-05,137360,2980,2300,10
2020-10-06,139746,3081,2324,10
2020-10-07,142337,3172,2366,10
2020-10-08,142337,3172,2366,10
