date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,2,0,0
2020-03-03,0,2,0,0
2020-03-04,0,2,0,0
2020-03-05,0,2,0,0
2020-03-06,0,4,0,0
2020-03-07,0,4,0,0
2020-03-08,0,6,0,0
2020-03-09,0,19,0,0
2020-03-10,0,27,2,0
2020-03-11,0,34,2,1
2020-03-12,0,34,2,1
2020-03-13,0,69,2,4
2020-03-14,0,96,8,5
2020-03-15,0,117,8,5
2020-03-16,1230,134,8,5
2020-03-17,1255,172,8,5
2020-03-18,1255,227,11,19
2020-03-19,1651,311,11,25
2020-03-20,1898,369,15,32
2020-03-21,1898,450,15,38
2020-03-22,2409,514,29,48
2020-03-23,2483,579,29,49
2020-03-24,2863,686,30,55
2020-03-25,2863,790,31,58
2020-03-26,2863,893,35,78
2020-03-27,4489,1046,46,87
2020-03-28,5775,1155,59,102
2020-03-29,6266,1285,64,114
2020-03-30,6534,1414,75,122
2020-03-31,6663,1528,81,136
2020-04-01,6777,1677,103,157
2020-04-02,7193,1790,112,170
2020-04-03,7621,1986,134,181
2020-04-04,7986,2092,150,191
2020-04-05,7986,2273,164,198
2020-04-06,11460,2491,192,209
2020-04-07,13433,2738,204,221
2020-04-08,14571,2956,222,240
2020-04-09,16848,3293,252,280
2020-04-10,19452,3512,282,306
2020-04-11,19782,3842,286,327
2020-04-12,27075,4241,359,373
2020-04-13,27391,4557,380,399
2020-04-14,31628,4839,426,459
2020-04-15,33001,5136,446,469
2020-04-16,34975,5516,548,496
2020-04-17,37134,5923,607,520
2020-04-18,39422,6248,631,535
2020-04-19,42219,6575,686,582
2020-04-20,43749,6760,747,590
2020-04-21,46173,7135,842,616
2020-04-22,47361,7418,913,635
2020-04-23,48647,7775,960,647
2020-04-24,50563,8211,1002,689
2020-04-25,52541,8607,1042,720
2020-04-26,56974,8882,1107,743
2020-04-27,59409,9096,1151,765
2020-04-28,62544,9511,1254,773
2020-04-29,67784,9771,1391,784
2020-04-30,72351,10118,1522,792
2020-05-01,76538,10551,1591,800
2020-05-02,79868,10843,1665,831
2020-05-03,83012,11192,1876,845
2020-05-04,86061,11587,1954,864
2020-05-05,88924,12071,2197,872
2020-05-06,92976,12438,2317,895
2020-05-07,96717,12776,2381,930
2020-05-08,103361,13112,2494,943
2020-05-09,108699,13645,2607,959
2020-05-10,113452,14032,2698,973
2020-05-11,116358,14265,2881,991
2020-05-12,119728,14749,3063,1007
2020-05-13,123572,15438,3287,1028
2020-05-14,127813,16006,3518,1043
2020-05-15,132060,16496,3803,1076
2020-05-16,135726,17025,3911,1089
2020-05-17,140479,17514,4129,1148
2020-05-18,143035,18010,4324,1191
2020-05-19,147799,18496,4467,1221
2020-05-20,154139,19189,4575,1242
2020-05-21,154139,20162,4838,1278
2020-05-22,168969,20796,5057,1326
2020-05-23,176035,21745,5249,1351
2020-05-24,179864,22271,5402,1372
2020-05-25,183192,22750,5642,1391
2020-05-26,188302,23165,5877,1418
2020-05-27,195518,23851,6057,1473
2020-05-28,201311,24538,6240,1496
2020-05-29,205250,25216,6492,1520
2020-05-30,216769,25773,7015,1573
2020-05-31,223624,26473,7308,1613
2020-06-01,232113,26940,7637,1641
2020-06-02,237947,27549,7935,1663
2020-06-03,246433,28233,8406,1698
2020-06-04,251736,28818,8892,1721
2020-06-05,256810,29521,9443,1770
2020-06-06,264740,30514,9907,1801
2020-06-07,269146,31186,10498,1851
2020-06-08,274430,32033,10904,1883
2020-06-09,281653,33076,11414,1923
2020-06-10,287478,34316,12129,1959
2020-06-11,294671,35295,12636,2000
2020-06-12,302147,36406,13213,2048
2020-06-13,313275,37420,13776,2091
2020-06-14,313275,38277,14531,2134
2020-06-15,329190,39294,15123,2198
2020-06-16,339309,40400,15703,2231
2020-06-17,348278,41431,16243,2276
2020-06-18,358659,42762,16798,2339
2020-06-19,366581,43803,17349,2373
2020-06-20,376518,45029,17883,2429
2020-06-21,383105,45891,18404,2465
2020-06-22,393117,46845,18735,2500
2020-06-23,401681,47896,19241,2535
2020-06-24,413919,49009,19658,2573
2020-06-25,427158,50187,20449,2620
2020-06-26,427158,51427,21333,2683
2020-06-27,449569,52812,21909,2720
2020-06-28,456636,54010,22936,2754
2020-06-29,465683,55092,23800,2805
2020-06-30,477318,56385,24806,2876
2020-07-01,492318,57770,25595,2934
2020-07-02,492318,59394,26667,2987
2020-07-03,492318,60695,27568,3036
2020-07-04,529669,62142,28219,3089
2020-07-05,529669,63749,29105,3171
2020-07-06,552084,64958,29919,3241
2020-07-07,562759,66226,30785,3309
2020-07-08,562759,68079,31585,3359
2020-07-09,588080,70736,32651,3417
2020-07-10,597468,72347,33529,3469
2020-07-11,610093,74018,34719,3535
2020-07-12,621087,75699,35638,3606
2020-07-13,630149,76981,36689,3656
2020-07-14,630149,78572,37636,3710
2020-07-15,657655,80094,39050,3797
2020-07-16,669811,81668,40345,3873
2020-07-17,683805,83130,41834,3957
2020-07-18,697043,84882,43268,4016
2020-07-19,707238,86521,45401,4143
2020-07-20,720497,88214,46977,4239
2020-07-21,737844,89869,48466,4320
2020-07-22,749626,91751,50255,4459
2020-07-23,762957,93657,52164,4576
2020-07-24,777100,95418,53945,4665
2020-07-25,789258,97286,55354,4714
2020-07-26,796950,98778,56655,4781
2020-07-27,796950,100303,58173,4838
2020-07-28,807946,102051,60539,4901
2020-07-29,841027,104432,62138,4975
2020-07-30,856003,106336,64292,5058
2020-07-31,866539,108376,65907,5131
2020-08-01,875894,109936,67919,5193
2020-08-02,882352,111455,68975,5236
2020-08-03,894531,113134,70237,5302
2020-08-04,907987,115056,72050,5388
2020-08-05,922709,116871,73889,5452
2020-08-06,936311,118753,75645,5521
2020-08-07,951910,121226,77557,5593
2020-08-08,963602,123503,79306,5658
2020-08-09,972594,125396,80952,5723
2020-08-10,984893,127083,82236,5765
2020-08-11,998406,128776,83710,5824
2020-08-12,1012104,130718,85798,5903
2020-08-13,1026954,132816,87558,5968
2020-08-14,1039682,135123,89618,6021
2020-08-15,1052503,137468,91321,6071
2020-08-16,1061721,139549,93103,6150
2020-08-17,1068945,141370,94458,6207
2020-08-18,1081354,143043,96306,6277
2020-08-19,1096294,144945,98657,6346
2020-08-20,1096294,147211,100674,6418
2020-08-21,1096294,149408,102991,6500
2020-08-22,1096294,151498,105198,6594
2020-08-23,1096294,153535,107500,6680
2020-08-24,1096294,155412,111060,6759
2020-08-25,1191948,157859,112867,6858
2020-08-26,1191948,160165,115409,6944
2020-08-27,1212468,162884,118575,7064
2020-08-28,1233486,165887,120900,7169
2020-08-29,1250135,169195,122802,7261
2020-08-30,1271301,172053,124185,7343
2020-08-31,1282618,174796,125959,7417
2020-09-01,1297184,177571,128057,7505
2020-09-02,1312477,180646,129971,7616
2020-09-03,1353291,184268,132055,7750
2020-09-04,1371391,187537,134181,7832
2020-09-05,1371391,190665,136401,7940
2020-09-06,1401513,194109,138575,8025
2020-09-07,1417694,196989,140652,8130
2020-09-08,1417694,200035,142958,8230
2020-09-09,1434294,203342,145200,8336
2020-09-10,1449629,207203,147510,8456
2020-09-11,1469943,210940,150217,8544
2020-09-12,1498292,214746,152458,8650
2020-09-13,1523214,218382,155010,8723
2020-09-14,1549352,221523,158405,8841
2020-09-15,1592056,225030,161065,8965
2020-09-16,1592056,228993,164101,9100
2020-09-17,1622769,232628,166686,9222
2020-09-18,1652324,236519,170774,9336
2020-09-19,1676648,240687,174350,9448
2020-09-20,1698202,244676,177327,9553
2020-09-21,1718175,248852,180797,9677
2020-09-22,1743000,252923,184298,9837
2020-09-23,1799563,257388,187958,9977
2020-09-24,1834349,262022,191853,10105
2020-09-25,1860768,266845,196196,10218
2020-09-26,1886426,271339,199403,10308
2020-09-27,1907226,275213,203014,10386
2020-09-28,1934863,278722,206870,10473
2020-09-29,1962754,282724,210437,10601
