date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,2,0,2
2020-02-20,0,5,0,2
2020-02-21,0,18,0,4
2020-02-22,0,28,0,5
2020-02-23,0,43,0,8
2020-02-24,0,61,0,12
2020-02-25,0,95,0,16
2020-02-26,0,139,49,19
2020-02-27,0,245,49,26
2020-02-28,0,388,73,34
2020-02-29,0,593,123,43
2020-03-01,0,978,175,54
2020-03-02,0,1501,291,66
2020-03-03,0,2336,291,77
2020-03-04,0,2922,552,92
2020-03-05,0,3513,739,107
2020-03-06,0,4747,913,124
2020-03-07,0,5823,1669,145
2020-03-08,0,6566,2134,194
2020-03-09,0,7161,2394,237
2020-03-10,0,8042,2731,291
2020-03-11,0,9000,2959,354
2020-03-12,0,10075,2959,429
2020-03-13,0,11364,2959,514
2020-03-14,0,12729,2959,611
2020-03-15,0,13938,4590,724
2020-03-16,0,14991,4590,853
2020-03-17,0,16169,5389,988
2020-03-18,0,17361,5389,1135
2020-03-19,0,18407,5710,1284
2020-03-20,0,19644,6745,1433
2020-03-21,0,20610,7635,1556
2020-03-22,0,21638,7931,1685
2020-03-23,0,23049,7931,1812
2020-03-24,0,24811,8913,1934
2020-03-25,0,27017,9625,2077
2020-03-26,0,29406,10457,2234
2020-03-27,0,32332,11133,2378
2020-03-28,0,35408,11679,2517
2020-03-29,0,38309,12391,2640
2020-03-30,0,41495,13911,2757
2020-03-31,0,44605,14656,2898
2020-04-01,0,47593,15473,3036
2020-04-02,0,50468,16711,3160
2020-04-03,0,53183,17935,3294
2020-04-04,0,55743,19736,3452
2020-04-05,189790,58226,19736,3603
2020-04-06,189790,60500,24236,3739
2020-04-07,189790,62589,27039,3872
2020-04-08,220975,64586,29812,3993
2020-04-09,231393,66220,32309,4110
2020-04-10,242568,68192,35465,4232
2020-04-11,251703,70029,41947,4357
2020-04-12,263388,71686,43894,4474
2020-04-13,263388,73303,45983,4585
2020-04-14,287359,74877,48129,4683
2020-04-15,299204,76389,49933,4777
2020-04-16,310340,77995,52229,4869
2020-04-17,319879,79494,54064,4958
2020-04-18,330137,80868,55987,5031
2020-04-19,341662,82211,57023,5118
2020-04-20,353012,83505,59273,5209
2020-04-21,365723,84802,60965,5297
2020-04-22,365723,85996,63113,5391
2020-04-23,389507,87026,64843,5481
2020-04-24,399927,88194,66599,5574
2020-04-25,410075,89328,68193,5650
2020-04-26,421313,90481,69657,5710
2020-04-27,432329,91472,70933,5806
2020-04-28,432329,92584,72439,5877
2020-04-29,453386,93657,73791,5957
2020-04-30,463295,94640,75103,6028
2020-05-01,475023,95646,76318,6091
2020-05-02,484541,96448,77350,6156
2020-05-03,496273,97424,78422,6203
2020-05-04,508288,98647,79379,6277
2020-05-05,519543,99970,80475,6340
2020-05-06,531275,101650,81587,6418
2020-05-07,544792,103135,82744,6486
2020-05-08,558899,104691,83837,6541
2020-05-09,558899,106220,85064,6589
2020-05-10,586699,107603,86143,6640
2020-05-11,586699,109286,87422,6685
2020-05-12,615477,110767,88357,6733
2020-05-13,629534,112725,89428,6783
2020-05-14,643772,114533,90539,6854
2020-05-15,658604,116635,91836,6902
2020-05-16,672679,118392,93147,6937
2020-05-17,686935,120198,94464,6988
2020-05-18,701640,122492,95661,7057
2020-05-19,716176,124603,97173,7119
2020-05-20,731213,126949,98808,7183
2020-05-21,746045,129341,100564,7249
2020-05-22,763913,131652,102276,7300
2020-05-23,781286,133521,104072,7359
2020-05-24,800519,135701,105801,7417
2020-05-25,818917,137724,107713,7451
2020-05-26,837090,139511,109437,7508
2020-05-27,856546,141591,111176,7564
2020-05-28,856546,143849,112988,7627
2020-05-29,896571,146668,114931,7677
2020-05-30,915998,148950,116827,7734
2020-05-31,935894,151466,118848,7797
2020-06-01,955865,154445,121004,7878
2020-06-02,975936,157562,123077,7942
2020-06-03,997009,160696,125206,8012
2020-06-04,1019362,164270,127485,8071
2020-06-05,1040289,167156,129741,8134
2020-06-06,1060126,169425,132038,8209
2020-06-07,1084857,171789,134349,8281
2020-06-08,1084857,173832,136360,8351
2020-06-09,1128601,175927,138457,8425
2020-06-10,1151032,177938,140590,8506
2020-06-11,1151032,180156,142663,8584
2020-06-12,1196947,182525,144649,8659
2020-06-13,1219400,184955,146748,8730
2020-06-14,1244074,187427,148674,8837
2020-06-15,1269194,189876,150590,8950
2020-06-16,1293609,192439,152675,9065
2020-06-17,1319920,195051,154812,9185
2020-06-18,1344599,197647,156991,9272
2020-06-19,1370718,200262,159192,9392
2020-06-20,1395675,202584,161384,9507
2020-06-21,1422407,204952,163591,9623
2020-06-22,1449420,207525,166427,9742
2020-06-23,1475331,209970,169160,9863
2020-06-24,1502525,212501,172096,9996
2020-06-25,1530437,215096,175103,10130
2020-06-26,1557872,217724,177852,10239
2020-06-27,1583542,220180,180661,10364
2020-06-28,1610869,222669,183310,10508
2020-06-29,1639078,225205,186180,10670
2020-06-30,1639078,227662,188758,10817
2020-07-01,1693242,230211,191487,10958
2020-07-02,1693242,232863,194098,11106
2020-07-03,1744958,235429,196446,11260
2020-07-04,1769520,237878,198949,11408
2020-07-05,1794727,240438,201330,11571
2020-07-06,1820003,243051,204083,11731
2020-07-07,1846793,245688,207000,11931
2020-07-08,1872391,248379,209463,12084
2020-07-09,1897803,250458,212176,12305
2020-07-10,1922501,252720,215015,12447
2020-07-11,1947114,255117,217666,12635
2020-07-12,1972207,257303,219993,12829
2020-07-13,1997967,259652,222539,13032
2020-07-14,2023079,262173,225270,13211
2020-07-15,2048049,264561,227561,13410
2020-07-16,2073791,267061,230608,13608
2020-07-17,2098985,269440,232873,13791
2020-07-18,2123518,271606,235300,13979
2020-07-19,2148999,273788,237788,14188
2020-07-20,2175217,276202,240087,14405
2020-07-21,2201958,278827,242351,14634
2020-07-22,2228277,281413,244840,14853
2020-07-23,2254123,284034,247230,15074
2020-07-24,2278384,286523,249212,15289
2020-07-25,2278384,288839,251319,15484
2020-07-26,2278384,291172,253213,15700
2020-07-27,2278384,293606,255144,15912
2020-07-28,2380122,296273,257019,16147
2020-07-29,2405862,298909,259116,16343
2020-07-30,2405862,301530,261200,16569
2020-07-31,2456909,304204,263519,16766
2020-08-01,2482553,306752,265830,16982
2020-08-02,2508418,309437,268102,17190
2020-08-03,2534658,312035,270228,17405
2020-08-04,2560374,314786,272535,17617
2020-08-05,2587083,317483,274932,17802
2020-08-06,2587083,320117,277463,17976
2020-08-07,2637575,322567,279724,18132
2020-08-08,2661965,324692,282122,18264
2020-08-09,2686498,326712,284371,18427
2020-08-10,2711817,328844,286642,18616
2020-08-11,2736514,331189,288620,18800
2020-08-12,2763225,333699,290244,18988
2020-08-13,2763225,336324,292058,19162
2020-08-14,2812488,338825,293811,19331
2020-08-15,2836252,341070,295630,19492
2020-08-16,2861825,343203,297486,19639
2020-08-17,2887938,345450,299157,19804
2020-08-18,2914049,347835,300881,19972
2020-08-19,2939840,350279,302528,20125
2020-08-20,2963741,352558,304236,20264
2020-08-21,2963741,354764,305866,20376
2020-08-22,3011310,356792,307702,20502
2020-08-23,3036711,358905,309464,20643
2020-08-24,3062422,361150,311365,20776
2020-08-25,3088313,363363,313058,20901
2020-08-26,3113806,365606,314870,21020
2020-08-27,3138782,367796,316638,21137
2020-08-28,3161894,369911,318270,21249
2020-08-29,3161894,371816,319847,21359
2020-08-30,3207269,373570,321421,21462
2020-08-31,3231110,375212,323233,21571
2020-09-01,3256122,376894,325124,21672
2020-09-02,3281961,378752,326801,21797
2020-09-03,3307383,380746,328595,21926
2020-09-04,3307383,382772,330308,22044
2020-09-05,3355152,384666,332131,22154
2020-09-06,3355152,386658,333900,22293
2020-09-07,3406055,388810,335572,22410
2020-09-08,3431646,391112,337414,22542
2020-09-09,3457743,393425,339111,22669
2020-09-10,3457743,395488,340842,22798
2020-09-11,3507938,397801,342539,22913
2020-09-12,3532874,399940,344516,23029
2020-09-13,3559565,402029,346242,23157
2020-09-14,3586848,404648,348013,23313
2020-09-15,3586848,407353,349984,23453
2020-09-16,3641581,410334,352019,23632
2020-09-17,3641581,413149,353848,23808
2020-09-18,3641581,416198,355505,23952
2020-09-19,3719210,419043,357632,24118
2020-09-20,3719210,422140,359570,24301
