date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,1,0,0
2020-02-25,0,1,0,0
2020-02-26,0,5,0,0
2020-02-27,0,7,0,0
2020-02-28,0,7,0,0
2020-02-29,0,13,0,0
2020-03-01,0,19,0,0
2020-03-02,0,26,0,0
2020-03-03,0,32,0,0
2020-03-04,0,35,0,2
2020-03-05,0,35,0,2
2020-03-06,0,40,0,3
2020-03-07,0,54,0,4
2020-03-08,0,60,0,6
2020-03-09,0,60,3,6
2020-03-10,0,71,3,7
2020-03-11,0,71,15,7
2020-03-12,0,71,15,8
2020-03-13,0,101,24,9
2020-03-14,0,110,26,10
2020-03-15,0,116,26,10
2020-03-16,0,124,26,10
2020-03-17,0,154,32,11
2020-03-18,0,164,43,12
2020-03-19,0,192,43,13
2020-03-20,0,208,49,17
2020-03-21,0,214,51,17
2020-03-22,0,233,57,20
2020-03-23,0,266,57,23
2020-03-24,0,316,75,27
2020-03-25,0,346,103,29
2020-03-26,0,382,105,36
2020-03-27,0,458,122,40
2020-03-28,0,506,131,42
2020-03-29,0,547,143,42
2020-03-30,0,630,152,46
2020-03-31,0,694,170,50
2020-04-01,0,728,182,52
2020-04-02,0,772,202,54
2020-04-03,0,820,226,54
2020-04-04,0,878,259,56
2020-04-05,0,961,279,61
2020-04-06,0,1031,344,64
2020-04-07,26331,1122,373,65
2020-04-08,28414,1202,452,69
2020-04-09,30466,1232,496,69
2020-04-10,32158,1279,550,70
2020-04-11,33889,1318,601,72
2020-04-12,35415,1352,640,76
2020-04-13,37791,1378,717,78
2020-04-14,45437,1400,766,78
2020-04-15,46135,1415,812,79
2020-04-16,49260,1434,856,80
2020-04-17,51737,1482,906,81
2020-04-18,53955,1513,953,82
2020-04-19,56147,1539,1009,82
2020-04-20,59055,1574,1043,82
2020-04-21,60837,1602,1096,83
2020-04-22,62880,1631,1146,83
2020-04-23,64882,1677,1171,83
2020-04-24,67293,1708,1204,86
2020-04-25,68224,1763,1224,86
2020-04-26,71471,1820,1263,87
2020-04-27,73782,1847,1286,88
2020-04-28,78430,1928,1319,90
2020-04-29,86708,2003,1346,92
2020-04-30,92061,2085,1375,93
2020-05-01,95399,2153,1414,94
2020-05-02,98253,2219,1473,95
2020-05-03,98253,2296,1490,97
2020-05-04,107586,2346,1544,98
2020-05-05,113484,2431,1571,102
2020-05-06,117726,2480,1602,102
2020-05-07,120604,2543,1626,102
2020-05-08,122941,2603,1661,104
2020-05-09,124920,2679,1702,107
2020-05-10,127153,2767,1734,109
2020-05-11,129701,2818,1790,110
2020-05-12,132457,2913,1903,112
2020-05-13,136640,3032,1966,115
2020-05-14,140573,3143,2028,115
2020-05-15,143494,3193,2089,117
2020-05-16,146594,3260,2126,121
2020-05-17,149701,3404,2218,123
2020-05-18,153221,3554,2310,127
2020-05-19,157662,3611,2366,131
2020-05-20,163609,3724,2438,134
2020-05-21,163609,3877,2483,140
2020-05-22,163609,3964,2532,147
2020-05-23,163609,4272,2585,152
2020-05-24,163609,4469,2738,160
2020-05-25,163609,4632,2811,163
2020-05-26,163609,4848,2852,169
2020-05-27,163609,5135,2904,175
2020-05-28,163609,5457,2971,179
2020-05-29,163609,5873,3044,185
2020-05-30,163609,6179,3110,195
2020-05-31,227756,6439,3156,205
2020-06-01,238251,6868,3275,215
2020-06-02,251714,7387,3508,235
2020-06-03,260299,8168,4095,256
2020-06-04,272259,8840,4338,271
2020-06-05,281901,9846,4573,285
2020-06-06,294444,11098,4904,318
2020-06-07,303053,12366,5186,346
2020-06-08,311980,13481,5572,370
2020-06-09,322691,14268,5831,392
2020-06-10,330526,15414,6214,426
2020-06-11,339868,16675,6568,457
2020-06-12,349625,17770,6868,496
2020-06-13,359950,18950,7515,549
2020-06-14,369870,20209,8121,607
2020-06-15,380005,21315,9271,652
2020-06-16,390335,22700,9862,712
2020-06-17,403388,24254,10770,773
2020-06-18,413966,25717,11333,856
2020-06-19,425192,27352,12205,925
2020-06-20,435214,29222,13211,1013
2020-06-21,445241,30868,13935,1100
2020-06-22,455316,32676,14785,1167
2020-06-23,465988,34502,15753,1251
2020-06-24,477433,36702,16814,1330
2020-06-25,488803,39139,18051,1437
2020-06-26,500723,41193,18859,1559
2020-06-27,510353,43262,19938,1660
2020-06-28,520948,45402,21122,1756
2020-06-29,532120,47151,22974,1839
2020-06-30,544545,49109,24760,1943
2020-07-01,555923,51524,26267,2050
2020-07-02,567685,53708,27912,2160
2020-07-03,579861,56020,29600,2262
2020-07-04,589377,58354,31077,2368
2020-07-05,601088,60479,33017,2473
2020-07-06,612607,62275,34741,2567
2020-07-07,624420,64701,36252,2685
2020-07-08,637227,67442,37879,2779
2020-07-09,649036,69612,39502,2882
2020-07-10,661090,72460,41380,2960
2020-07-11,671478,75194,43079,3055
2020-07-12,682632,77506,44724,3150
2020-07-13,698012,79735,46998,3250
2020-07-14,698012,81757,50782,3345
2020-07-15,698012,83867,52621,3432
2020-07-16,698012,86148,54316,3522
2020-07-17,762058,88171,56495,3616
2020-07-18,777287,90220,58492,3691
2020-07-19,793024,92530,60528,3781
2020-07-20,809522,94693,62836,3869
2020-07-21,825802,97159,64950,3950
2020-07-22,844218,99865,67147,4042
2020-07-23,861165,102226,69405,4122
2020-07-24,861165,104711,71268,4212
2020-07-25,861165,107573,73317,4284
2020-07-26,912698,110032,75217,4362
2020-07-27,929839,112585,77144,4458
2020-07-28,946761,115332,81062,4535
2020-07-29,965317,118300,83461,4603
2020-07-30,983335,121263,85546,4671
2020-07-31,1000969,124609,87434,4741
2020-08-01,1014760,126704,89275,4805
2020-08-02,1029159,129151,91886,4868
2020-08-03,1042806,131886,94111,4934
2020-08-04,1059619,134722,96103,5017
2020-08-05,1076150,137556,98442,5094
2020-08-06,1092741,140603,101025,5161
2020-08-07,1110258,144064,103197,5236
2020-08-08,1127383,147389,105504,5310
2020-08-09,1145386,150115,107775,5392
2020-08-10,1165049,153599,109790,5464
2020-08-11,1183950,156995,112102,5531
2020-08-12,1203883,160436,114541,5588
2020-08-13,1224909,164277,117208,5641
2020-08-14,1245355,168290,120129,5709
2020-08-15,1263650,172583,122700,5785
2020-08-16,1282928,176931,125374,5860
2020-08-17,1304331,180133,128945,5954
2020-08-18,1325103,184709,131840,6036
2020-08-19,1345459,188802,134369,6121
2020-08-20,1345459,192797,137200,6208
2020-08-21,1345459,197085,140446,6283
2020-08-22,1413947,201050,143393,6353
2020-08-23,1433626,204341,146409,6428
2020-08-24,1433626,207985,150389,6519
2020-08-25,1482187,211947,153761,6596
2020-08-26,1502546,215784,157215,6668
2020-08-27,1502546,219435,161009,6740
2020-08-28,1502546,223612,164874,6814
2020-08-29,1502546,227446,169020,6891
2020-08-30,1587326,231177,172880,6959
2020-08-31,1605904,234934,176602,7042
2020-09-01,1624331,238338,180473,7123
2020-09-02,1647454,242284,184205,7201
2020-09-03,1670483,247039,187757,7275
2020-09-04,1670483,252075,191368,7359
2020-09-05,1718157,256719,195259,7422
2020-09-06,1740929,260370,198560,7512
2020-09-07,1765247,264684,202859,7589
2020-09-08,1765247,269578,206324,7657
2020-09-09,1765247,273821,209993,7732
2020-09-10,1840913,278418,213817,7814
2020-09-11,1864099,282672,217396,7881
2020-09-12,1883048,286778,221283,7941
2020-09-13,1902401,290309,224705,8014
2020-09-14,1926390,294478,229132,8086
2020-09-15,1948531,298702,233346,8166
2020-09-16,1973089,303059,237241,8248
2020-09-17,1998295,307385,241100,8332
2020-09-18,2021586,311690,245305,8408
2020-09-19,2039024,315597,249539,8491
2020-09-20,2057088,319035,253591,8555
2020-09-21,2076844,322856,258075,8625
2020-09-22,2098488,327580,261757,8682
2020-09-23,2121304,332635,264988,8754
2020-09-24,2141885,337106,268761,8799
2020-09-25,2162547,341699,273266,8867
2020-09-26,2180316,345969,276918,8935
2020-09-27,2198859,349450,280673,8990
2020-09-28,2220913,353566,284784,9052
2020-09-29,2244081,358290,288812,9122
2020-09-30,2266355,362981,292197,9181
2020-10-01,2289877,367474,295882,9231
2020-10-02,2311962,372259,299804,9298
