date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,1,0,0
2020-03-01,0,1,0,0
2020-03-02,0,1,0,0
2020-03-03,0,2,0,0
2020-03-04,0,6,0,0
2020-03-05,0,13,0,0
2020-03-06,0,18,0,0
2020-03-07,0,19,0,0
2020-03-08,0,21,0,0
2020-03-09,0,24,0,0
2020-03-10,0,34,0,0
2020-03-11,0,43,0,1
2020-03-12,0,70,0,1
2020-03-13,0,90,0,1
2020-03-14,0,129,0,2
2020-03-15,0,169,0,2
2020-03-16,0,223,0,2
2020-03-17,0,292,5,2
2020-03-18,6457,366,5,2
2020-03-19,7403,557,5,3
2020-03-20,8872,683,5,3
2020-03-21,10436,785,5,3
2020-03-22,11414,906,5,4
2020-03-23,13995,1125,5,6
2020-03-24,15561,1329,5,7
2020-03-25,17336,1564,5,9
2020-03-26,20712,1819,5,19
2020-03-27,23653,2121,5,22
2020-03-28,25859,2415,5,36
2020-03-29,27475,2615,5,46
2020-03-30,28872,2910,5,54
2020-03-31,30800,3235,5,71
2020-04-01,32809,3447,5,85
2020-04-02,34784,3849,5,98
2020-04-03,36641,4273,5,120
2020-04-04,38490,4604,25,137
2020-04-05,41321,4994,25,158
2020-04-06,47438,5364,25,174
2020-04-07,49291,5709,25,210
2020-04-08,53019,6074,25,235
2020-04-09,58506,6574,25,263
2020-04-10,65465,7054,25,287
2020-04-11,72455,8928,25,320
2020-04-12,78177,9655,25,334
2020-04-13,86604,10647,25,365
2020-04-14,90879,11479,25,406
2020-04-15,93915,12547,77,444
2020-04-16,97559,13271,77,486
2020-04-17,101914,13980,77,530
2020-04-18,104123,14758,77,571
2020-04-19,106436,15251,77,610
2020-04-20,108062,15652,77,687
2020-04-21,111819,16040,9233,730
2020-04-22,117182,16671,9233,769
2020-04-23,122053,17607,9233,794
2020-04-24,127633,18184,9233,1014
2020-04-25,133265,18561,9233,1063
2020-04-26,141863,19262,9233,1087
2020-04-27,146963,19648,9233,1102
2020-04-28,153269,19877,9233,1159
2020-04-29,161428,20253,13386,1190
2020-04-30,169646,20612,13386,1232
2020-05-01,177097,20833,13386,1265
2020-05-02,189173,21176,13386,1286
2020-05-03,198972,21506,13386,1303
2020-05-04,207589,21772,13386,1319
2020-05-05,215101,21983,13386,1339
2020-05-06,222916,22248,17110,1375
2020-05-07,228619,22385,17110,1403
2020-05-08,233592,22541,17110,1429
2020-05-09,241249,22760,17110,1446
2020-05-10,247756,22996,17110,1458
2020-05-11,253130,23135,17110,1467
2020-05-12,259268,23242,17110,1488
2020-05-13,263942,23401,19470,1497
2020-05-14,270152,23827,19470,1506
2020-05-15,275851,23956,19470,1518
2020-05-16,282185,24048,19470,1533
2020-05-17,288634,24112,19470,1543
2020-05-18,292598,24200,19470,1547
2020-05-19,295876,24251,19470,1561
2020-05-20,300640,24315,21060,1571
2020-05-21,305914,24391,21060,1583
2020-05-22,311287,24506,21060,1592
2020-05-23,315563,24582,21060,1604
2020-05-24,319072,24639,21060,1608
2020-05-25,322601,24698,21060,1606
2020-05-26,326116,24735,21060,1615
2020-05-27,329553,24803,22089,1631
2020-05-28,333364,24841,22089,1639
2020-05-29,337728,24876,22089,1645
2020-05-30,341151,24929,22089,1651
2020-05-31,344625,24990,22089,1652
2020-06-01,346910,25062,22089,1650
2020-06-02,348737,25066,22089,1658
2020-06-03,351223,25111,22698,1659
2020-06-04,354322,25142,22698,1664
2020-06-05,357556,25163,22698,1670
2020-06-06,360662,25183,22698,1678
2020-06-07,363490,25201,22698,1679
2020-06-08,365450,25207,22698,1683
2020-06-09,367805,25215,22698,1691
2020-06-10,370297,25231,22698,1695
2020-06-11,374537,25238,22698,1703
2020-06-12,377546,25250,22698,1705
2020-06-13,380258,25295,22698,1705
2020-06-14,382770,25303,22698,1706
2020-06-15,384484,25321,22698,1706
2020-06-16,386596,25334,22698,1709
2020-06-17,390016,25341,22698,1710
2020-06-18,393375,25355,22698,1714
2020-06-19,396536,25368,22698,1714
2020-06-20,399260,25374,22698,1715
2020-06-21,401419,25379,22698,1715
2020-06-22,402917,25383,22698,1717
2020-06-23,405033,25391,22698,1720
2020-06-24,408285,25396,23364,1726
2020-06-25,411268,25405,23364,1727
2020-06-26,414957,25414,23364,1730
2020-06-27,418964,25437,23364,1734
2020-06-28,421688,25438,23364,1735
2020-06-29,425028,25462,23364,1735
2020-06-30,429619,25473,23364,1736
2020-07-01,434170,25477,23364,1738
2020-07-02,437962,25489,23364,1738
2020-07-03,446011,25498,23364,1740
2020-07-04,454323,25509,23364,1741
2020-07-05,461323,25527,23364,1741
2020-07-06,467852,25531,23364,1741
2020-07-07,474013,25538,23364,1742
2020-07-08,478374,25542,23364,1738
2020-07-09,482319,25565,23364,1743
2020-07-10,491649,25589,23364,1744
2020-07-11,500578,25611,23364,1746
2020-07-12,509295,25628,23364,1746
2020-07-13,516959,25638,23364,1746
2020-07-14,523359,25670,23364,1746
2020-07-15,527746,25683,23364,1748
2020-07-16,532062,25698,23364,1749
2020-07-17,541574,25730,23364,1752
2020-07-18,550817,25750,23364,1753
2020-07-19,559447,25760,23364,1753
2020-07-20,567862,25766,23364,1753
2020-07-21,574536,25802,23364,1753
2020-07-22,579155,25819,23364,1754
2020-07-23,583222,25826,23364,1763
2020-07-24,592202,25845,23364,1763
2020-07-25,601090,25869,23364,1764
2020-07-26,609106,25881,23364,1764
2020-07-27,614910,25892,23364,1764
2020-07-28,619875,25929,23364,1764
2020-07-29,624615,25942,23364,1764
2020-07-30,628998,26027,23364,1763
2020-07-31,632854,26065,23364,1763
2020-08-01,636160,26109,23364,1763
2020-08-02,639291,26162,23364,1763
2020-08-03,642332,26208,23364,1763
2020-08-04,644323,26253,23364,1763
2020-08-05,648084,26303,23364,1763
2020-08-06,652917,26372,23364,1768
2020-08-07,657897,26470,23364,1772
2020-08-08,662777,26644,23364,1772
2020-08-09,666884,26712,23364,1772
2020-08-10,670758,26768,23364,1772
2020-08-11,674784,26801,23364,1773
2020-08-12,680627,26838,23364,1774
2020-08-13,687699,26929,23364,1774
2020-08-14,699036,26995,23364,1774
2020-08-15,709689,27191,23364,1774
2020-08-16,720041,27257,23364,1774
2020-08-17,725574,27313,23364,1774
2020-08-18,729913,27499,23364,1775
2020-08-19,736105,27547,23364,1775
2020-08-20,747521,27676,23364,1776
2020-08-21,760601,27755,23364,1776
2020-08-22,767359,27908,23364,1777
2020-08-23,772797,27969,23364,1777
2020-08-24,777635,28116,23364,1777
2020-08-25,782650,28201,23364,1777
2020-08-26,790298,28363,23364,1777
2020-08-27,802572,28453,23364,1777
2020-08-28,814875,28578,23364,1777
2020-08-29,824815,28720,23364,1777
2020-08-30,830474,28760,23364,1777
2020-08-31,839814,28811,23364,1777
2020-09-01,844706,29025,23364,1777
2020-09-02,852007,29114,23364,1777
2020-09-03,864508,29206,23364,1777
2020-09-04,878572,29303,23364,1777
2020-09-05,889894,29534,23364,1777
2020-09-06,900237,29672,23364,1777
2020-09-07,906490,29774,23364,1777
2020-09-08,913168,30080,23364,1778
2020-09-09,923917,30164,23364,1781
2020-09-10,936280,30360,23364,1781
2020-09-11,949353,30571,23364,1781
2020-09-12,961583,30730,23364,1783
2020-09-13,971398,30985,23364,1784
2020-09-14,981286,31192,23364,1784
2020-09-15,989406,31549,23364,1787
2020-09-16,1001647,31799,23364,1788
2020-09-17,1016310,32023,23364,1789
2020-09-18,1030816,32271,23364,1792
2020-09-19,1045196,32538,23364,1792
2020-09-20,1057334,32933,23364,1792
2020-09-21,1067365,33121,23364,1792
2020-09-22,1079948,33444,23364,1792
2020-09-23,1092619,33675,23364,1794
2020-09-24,1106975,33994,23364,1797
2020-09-25,1121513,34315,23364,1797
2020-09-26,1133321,34560,23364,1802
2020-09-27,1145199,34990,23364,1802
2020-09-28,1155065,35377,23364,1802
2020-09-29,1167738,35740,23364,1803
2020-09-30,1180985,36155,23364,1804
