date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,106,0,0,0
2020-01-27,107,0,0,0
2020-01-28,107,0,0,0
2020-01-29,110,0,0,0
2020-01-30,114,0,0,0
2020-01-31,114,0,0,0
2020-02-01,114,0,0,0
2020-02-02,121,0,0,0
2020-02-03,128,0,0,0
2020-02-04,134,0,0,0
2020-02-05,134,0,0,0
2020-02-06,134,0,0,0
2020-02-07,134,0,0,0
2020-02-08,134,0,0,0
2020-02-09,174,0,0,0
2020-02-10,202,0,0,0
2020-02-11,252,0,0,0
2020-02-12,287,0,0,0
2020-02-13,322,0,0,0
2020-02-14,352,0,0,0
2020-02-15,355,0,0,0
2020-02-16,378,0,0,0
2020-02-17,419,0,0,0
2020-02-18,465,0,0,0
2020-02-19,499,0,0,0
2020-02-20,528,0,0,0
2020-02-21,556,1,0,0
2020-02-22,569,1,0,0
2020-02-23,625,1,0,0
2020-02-24,700,1,0,0
2020-02-25,808,1,0,0
2020-02-26,916,2,0,0
2020-02-27,1087,3,1,0
2020-02-28,1205,4,1,0
2020-02-29,1363,7,1,0
2020-03-01,1550,10,1,0
2020-03-02,1721,10,1,0
2020-03-03,1956,12,1,0
2020-03-04,2085,15,1,0
2020-03-05,2258,20,1,0
2020-03-06,2532,37,2,0
2020-03-07,2868,43,2,0
2020-03-08,3289,61,2,0
2020-03-09,3807,61,2,0
2020-03-10,4327,75,4,0
2020-03-11,4728,79,4,0
2020-03-12,5335,100,4,0
2020-03-13,6029,126,4,0
2020-03-14,6643,155,4,0
2020-03-15,7826,213,4,0
2020-03-16,9171,218,4,0
2020-03-17,10818,250,11,0
2020-03-18,12924,304,11,0
2020-03-19,15000,427,11,0
2020-03-20,17317,529,14,0
2020-03-21,19425,712,36,1
2020-03-22,22775,883,37,1
2020-03-23,26401,1071,37,1
2020-03-24,31190,1238,53,3
2020-03-25,37126,2369,58,5
2020-03-26,43630,2693,68,8
2020-03-27,49380,3035,79,12
2020-03-28,55119,3619,89,12
2020-03-29,62694,4247,132,15
2020-03-30,69794,4695,161,16
2020-03-31,77783,5358,224,20
2020-04-01,86791,6092,241,26
2020-04-02,97016,6857,338,36
2020-04-03,107344,7428,403,40
2020-04-04,113698,7851,427,44
2020-04-05,123092,8430,477,49
2020-04-06,130590,8904,585,57
2020-04-07,137557,9248,770,65
2020-04-08,143435,9404,801,73
2020-04-09,149182,9968,1011,86
2020-04-10,156528,10408,1183,95
2020-04-11,163230,10743,1341,101
2020-04-12,173828,11145,1627,103
2020-04-13,184777,11586,1855,116
2020-04-14,197455,12046,2195,123
2020-04-15,206905,12501,2563,130
2020-04-16,219694,12758,2818,142
2020-04-17,231289,12982,3126,151
2020-04-18,241895,13265,3456,164
2020-04-19,253374,13491,3754,172
2020-04-20,268741,13713,4049,177
2020-04-21,282353,13942,4507,184
2020-04-22,295646,14498,5215,189
2020-04-23,309829,14803,5611,192
2020-04-24,322455,15058,6003,194
2020-04-25,331532,15298,6435,199
2020-04-26,339995,15443,6731,201
2020-04-27,351400,15555,7200,204
2020-04-28,362040,15728,7746,210
2020-04-29,371036,15834,8233,215
2020-04-30,380966,15946,8561,222
2020-05-01,392018,16101,9156,225
2020-05-02,397586,16185,9593,229
2020-05-03,405615,16208,9749,232
2020-05-04,414872,16246,10064,235
2020-05-05,423829,16289,10465,238
2020-05-06,433296,16310,10637,239
2020-05-07,443415,16381,10873,240
2020-05-08,451572,16436,11229,245
2020-05-09,455440,16454,11376,247
2020-05-10,460384,16477,11430,252
2020-05-11,469600,16506,11843,258
2020-05-12,477138,16529,12083,260
2020-05-13,485410,16548,12232,264
2020-05-14,493826,16579,12521,265
2020-05-15,499522,16589,12587,266
2020-05-16,501024,16608,12855,268
2020-05-17,505657,16617,12942,272
2020-05-18,513349,16643,13253,276
2020-05-19,520491,16659,13435,278
2020-05-20,526459,16667,13504,279
2020-05-21,532623,16683,13724,279
2020-05-22,537618,16690,13915,279
2020-05-23,538336,16712,14090,279
2020-05-24,542144,16717,14153,279
2020-05-25,547477,16734,14307,281
2020-05-26,554296,16757,14457,281
2020-05-27,561024,16793,14570,281
2020-05-28,566376,16872,14679,284
2020-05-29,568239,16987,14776,284
2020-05-30,569298,17012,14811,284
2020-05-31,574938,17071,14812,285
2020-06-01,583093,17169,14878,285
2020-06-02,594850,17285,14940,290
2020-06-03,608059,17377,14983,291
2020-06-04,622958,17495,15013,291
2020-06-05,639432,17562,15026,291
2020-06-06,650969,17752,15042,295
2020-06-07,666067,17863,15091,298
2020-06-08,680711,18032,15102,298
2020-06-09,695775,18180,15159,299
2020-06-10,714259,18355,15168,299
2020-06-11,730068,18569,15250,300
2020-06-12,743200,18795,15288,300
2020-06-13,750187,18972,15357,300
2020-06-14,759027,19055,15375,300
2020-06-15,773463,19237,15415,302
2020-06-16,789702,19495,15449,302
2020-06-17,805726,19783,15459,303
2020-06-18,823118,20036,15518,303
2020-06-19,835905,20339,15586,304
2020-06-20,841915,20633,15586,305
2020-06-21,851067,20778,15694,306
2020-06-22,865076,21082,15761,307
2020-06-23,884923,21512,15869,308
2020-06-24,903316,22044,15940,308
2020-06-25,921982,22400,16007,309
2020-06-26,938513,22800,16872,314
2020-06-27,949002,23421,17002,317
2020-06-28,959391,23755,17074,318
2020-06-29,980408,24441,17218,319
2020-06-30,1001248,25244,17341,320
2020-07-01,1022708,26257,17452,322
2020-07-02,1047749,27047,17547,324
2020-07-03,1068700,28055,17669,326
2020-07-04,1086008,29170,17816,330
2020-07-05,1107120,29958,17950,331
2020-07-06,1132721,30749,18056,334
2020-07-07,1161355,32222,18227,342
2020-07-08,1190775,33557,18338,344
2020-07-09,1220763,34825,18452,348
2020-07-10,1246592,36266,18613,351
2020-07-11,1267060,37464,18814,354
2020-07-12,1288822,38670,19008,362
2020-07-13,1318069,40632,19395,365
2020-07-14,1349819,42360,19665,371
2020-07-15,1380511,44188,19989,376
2020-07-16,1411589,46059,20370,384
2020-07-17,1437321,47459,20744,392
2020-07-18,1457778,49365,21348,401
2020-07-19,1477624,50289,21675,409
2020-07-20,1505232,52003,22154,415
2020-07-21,1535409,54042,22743,425
2020-07-22,1564216,56085,23310,430
2020-07-23,1596752,57982,24044,442
2020-07-24,1621152,59475,26797,448
2020-07-25,1636638,60678,26917,457
2020-07-26,1648842,61956,27025,470
2020-07-27,1677087,63985,27133,474
2020-07-28,1703726,66293,32182,486
2020-07-29,1729954,68299,32746,491
2020-07-30,1751916,70036,43489,500
2020-07-31,1774814,70970,43850,512
2020-08-01,1782604,72218,45102,526
2020-08-02,1792691,72815,45677,536
2020-08-03,1816160,74430,47571,546
2020-08-04,1842259,76198,49834,561
2020-08-05,1868051,77919,51395,565
2020-08-06,1896819,79559,53427,576
2020-08-07,1922129,80991,55313,581
2020-08-08,1930712,82324,57071,593
2020-08-09,1942875,83002,57533,600
2020-08-10,1967243,84722,58998,613
2020-08-11,1994910,86593,60080,622
2020-08-12,2021144,88151,62109,639
2020-08-13,2050035,89822,64746,651
2020-08-14,2070950,91080,66965,665
2020-08-15,2080346,92233,67950,674
2020-08-16,2092732,92680,68510,685
2020-08-17,2118793,94751,70291,692
2020-08-18,2146692,96409,71990,708
2020-08-19,2175093,97969,73092,781
2020-08-20,2203947,99599,74579,795
2020-08-21,2231164,100716,77785,809
2020-08-22,2242223,101933,78651,819
2020-08-23,2255520,102663,79514,834
2020-08-24,2285659,104472,81642,847
2020-08-25,2319711,106460,83822,859
2020-08-26,2353965,108403,86466,875
2020-08-27,2390393,110403,87726,884
2020-08-28,2413681,112000,91051,894
2020-08-29,2424389,113465,92104,906
2020-08-30,2437942,114020,92796,919
2020-08-31,2469911,116596,95009,939
2020-09-01,2498377,118538,96214,957
2020-09-02,2534358,121464,97234,969
2020-09-03,2569585,124455,98645,985
2020-09-04,2601133,126419,100357,993
2020-09-05,2617078,128936,101481,1007
2020-09-06,2636749,130644,102477,1019
2020-09-07,2678203,133975,105455,1026
2020-09-08,2723878,137565,107003,1040
2020-09-09,2770284,141097,108354,1054
2020-09-10,2819034,145526,109942,1077
2020-09-11,2862738,148564,111728,1090
2020-09-12,2893310,152722,113496,1103
2020-09-13,2928289,155604,114998,1119
2020-09-14,2975838,160368,118570,1136
2020-09-15,3033603,164402,120727,1147
2020-09-16,3087832,170465,123219,1165
2020-09-17,3146641,175256,126329,1169
2020-09-18,3201112,179071,130024,1196
2020-09-19,3243945,183602,132449,1226
2020-09-20,3268439,187902,134069,1256
2020-09-21,3303042,190929,136780,1273
2020-09-22,3366104,193374,140751,1285
2020-09-23,3425451,204690,144963,1325
2020-09-24,3493435,212115,148813,1378
2020-09-25,3556151,217899,153574,1412
2020-09-26,3602573,227100,157537,1441
2020-09-27,3627853,231026,159931,1466
2020-09-28,3636072,233265,165191,1507
2020-09-29,3670631,236926,167804,1528
2020-09-30,3740708,245494,174506,1569
2020-10-01,3806649,253490,179468,1622
