date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,4324,229,1,7
2020-02-25,8623,322,1,10
2020-02-26,9587,400,3,12
2020-02-27,12014,650,45,17
2020-02-28,15695,888,46,21
2020-02-29,18661,1128,50,29
2020-03-01,21127,1694,83,34
2020-03-02,23345,2036,149,52
2020-03-03,25856,2502,160,79
2020-03-04,29837,3089,276,107
2020-03-05,32362,3858,414,148
2020-03-06,36359,4636,523,197
2020-03-07,42062,5883,589,233
2020-03-08,49937,7375,622,366
2020-03-09,53826,9172,724,463
2020-03-10,60761,10149,1004,631
2020-03-11,73154,12462,1045,827
2020-03-12,86011,15113,1258,1016
2020-03-13,97488,17660,1439,1266
2020-03-14,109170,21157,1966,1441
2020-03-15,124899,24747,2335,1809
2020-03-16,137962,27980,2749,2158
2020-03-17,148657,31506,2941,2503
2020-03-18,165541,35713,4025,2978
2020-03-19,182777,41035,4440,3405
2020-03-20,206886,47021,5129,4032
2020-03-21,233222,53578,6072,4825
2020-03-22,258402,59138,7024,5476
2020-03-23,275468,63927,7432,6077
2020-03-24,296964,69176,8326,6820
2020-03-25,324445,74386,9362,7503
2020-03-26,361060,80539,10361,8165
2020-03-27,394079,86498,10950,9134
2020-03-28,429526,92472,12384,10023
2020-03-29,454030,97689,13030,10779
2020-03-30,477359,101739,14620,11591
2020-03-31,506968,105792,15729,12428
2020-04-01,541423,110574,16847,13155
2020-04-02,581232,115242,18278,13915
2020-04-03,619849,119827,19758,14681
2020-04-04,657224,124632,20996,15362
2020-04-05,691461,128948,21815,15887
2020-04-06,721732,132547,22837,16523
2020-04-07,755445,135586,24392,17127
2020-04-08,807125,139422,26491,17669
2020-04-09,853369,143626,28470,18279
2020-04-10,906864,147577,30455,18849
2020-04-11,963473,152271,32534,19468
2020-04-12,1010193,156363,34211,19899
2020-04-13,1046910,159516,35435,20465
2020-04-14,1073689,162488,37130,21067
2020-04-15,1117404,165155,38092,21645
2020-04-16,1178403,168941,40164,22170
2020-04-17,1244108,172434,42727,22745
2020-04-18,1305833,175925,44927,23227
2020-04-19,1356541,178972,47055,23660
2020-04-20,1398024,181228,48877,24114
2020-04-21,1450150,183957,51600,24648
2020-04-22,1513251,187327,54543,25085
2020-04-23,1579909,189973,57576,25549
2020-04-24,1642356,192994,60498,25969
2020-04-25,1707743,195351,63120,26384
2020-04-26,1757659,197675,64928,26644
2020-04-27,1789662,199414,66624,26977
2020-04-28,1846934,201505,68941,27359
2020-04-29,1910761,203591,71252,27682
2020-04-30,1979217,205463,75945,27967
2020-05-01,2053425,207428,78249,28236
2020-05-02,2108837,209328,79914,28710
2020-05-03,2153772,210717,81654,28884
2020-05-04,2191403,211938,82879,29079
2020-05-05,2246666,213013,85231,29315
2020-05-06,2310929,214457,93245,29684
2020-05-07,2381288,215858,96276,29958
2020-05-08,2445063,217185,99023,30201
2020-05-09,2514234,218268,103031,30395
2020-05-10,2565912,219070,105186,30560
2020-05-11,2606652,219814,106587,30739
2020-05-12,2673655,221216,109039,30911
2020-05-13,2735628,222104,112541,31106
2020-05-14,2807504,223096,115288,31368
2020-05-15,2875680,223885,120205,31610
2020-05-16,2944859,224760,122810,31763
2020-05-17,3004960,225435,125176,31908
2020-05-18,3041366,225886,127326,32007
2020-05-19,3104524,226699,129401,32169
2020-05-20,3171719,227364,132282,32330
2020-05-21,3243398,228006,134560,32486
2020-05-22,3318778,228658,136720,32616
2020-05-23,3391188,229327,138840,32735
2020-05-24,3447012,229858,140479,32785
2020-05-25,3482253,230158,141981,32877
2020-05-26,3539927,230555,144658,32955
2020-05-27,3607251,231139,147101,33072
2020-05-28,3683144,231732,150604,33142
2020-05-29,3755279,232248,152844,33229
2020-05-30,3824621,232664,155633,33340
2020-05-31,3878739,233019,157507,33415
2020-06-01,3910133,233197,158355,33475
2020-06-02,3962292,233515,160092,33530
2020-06-03,3999591,233836,160938,33601
2020-06-04,4049544,234013,161895,33689
2020-06-05,4114572,234531,163781,33774
2020-06-06,4187057,234801,165078,33846
2020-06-07,4236535,234998,165837,33899
2020-06-08,4263647,235278,166584,33964
2020-06-09,4318650,235561,168646,34043
2020-06-10,4381349,235763,169939,34114
2020-06-11,4443821,236142,171338,34167
2020-06-12,4514441,236305,173085,34223
2020-06-13,4564191,236651,174865,34301
2020-06-14,4620718,236989,176370,34345
2020-06-15,4648825,237290,177010,34371
2020-06-16,4695707,237500,178526,34405
2020-06-17,4773408,237828,179455,34448
2020-06-18,4831562,238159,180544,34514
2020-06-19,4889103,238011,181907,34561
2020-06-20,4943825,238275,182453,34610
2020-06-21,4984370,238499,182893,34634
2020-06-22,5013342,238720,183426,34657
2020-06-23,5053827,238833,184585,34675
2020-06-24,5107093,239410,186111,34644
2020-06-25,5163154,239706,186725,34678
2020-06-26,5215922,239961,187615,34708
2020-06-27,5277273,240136,188584,34716
2020-06-28,5314619,240310,188891,34738
2020-06-29,5341837,240436,189196,34744
2020-06-30,5390110,240578,190248,34767
2020-07-01,5445476,240760,190717,34788
2020-07-02,5498719,240961,191083,34818
2020-07-03,5548815,241184,191467,34833
2020-07-04,5600826,241419,191944,34854
2020-07-05,5638288,241611,192108,34861
2020-07-06,5660454,241819,192241,34869
2020-07-07,5703673,241956,192815,34899
2020-07-08,5754116,242149,193640,34914
2020-07-09,5806668,242363,193978,34926
2020-07-10,5854621,242639,194273,34938
2020-07-11,5900552,242827,194579,34945
2020-07-12,5938811,243061,194928,34954
2020-07-13,5962744,243230,195106,34967
2020-07-14,6004611,243344,195441,34984
2020-07-15,6053060,243506,196016,34997
2020-07-16,6103492,243736,196246,35017
2020-07-17,6154259,243967,196483,35028
2020-07-18,6202524,244216,196806,35042
2020-07-19,6238049,244434,196949,35045
2020-07-20,6262302,244624,197162,35058
2020-07-21,6305412,244752,197431,35073
2020-07-22,6354730,245032,197628,35082
2020-07-23,6415041,245338,197842,35092
2020-07-24,6468375,245590,198192,35097
2020-07-25,6520046,245864,198320,35102
2020-07-26,6560572,246118,198446,35107
2020-07-27,6586123,246286,198593,35112
2020-07-28,6634293,246488,198756,35123
2020-07-29,6690311,246776,199031,35129
2020-07-30,6752169,247158,199796,35132
2020-07-31,6813113,247537,199974,35141
2020-08-01,6873496,247832,200229,35146
2020-08-02,6916765,248070,200460,35154
2020-08-03,6940801,248229,200589,35166
2020-08-04,6984589,248419,200766,35171
2020-08-05,7041040,248803,200976,35181
2020-08-06,7099713,249204,201323,35187
2020-08-07,7158909,249756,201642,35190
2020-08-08,7212207,250103,201947,35203
2020-08-09,7249844,250566,202098,35205
2020-08-10,7276276,250825,202248,35209
2020-08-11,7316918,251237,202461,35215
2020-08-12,7369576,251713,202697,35225
2020-08-13,7420764,252235,202923,35231
2020-08-14,7467487,252809,203326,35234
2020-08-15,7520610,253438,203640,35392
2020-08-16,7557417,253915,203786,35396
2020-08-17,7588083,254235,203968,35400
2020-08-18,7642059,254636,204142,35405
2020-08-19,7713154,255278,204506,35412
2020-08-20,7790596,256118,204686,35418
2020-08-21,7862592,257065,204960,35427
2020-08-22,7940266,258136,205203,35430
2020-08-23,8007637,259345,205470,35437
2020-08-24,8053551,260298,205662,35441
2020-08-25,8125892,261174,206015,35445
2020-08-26,8219421,262540,206329,35458
2020-08-27,8313445,263949,206554,35463
2020-08-28,8410510,265409,206902,35472
2020-08-29,8509618,266853,207224,35473
2020-08-30,8586341,268218,207536,35477
2020-08-31,8644859,269214,207653,35483
2020-09-01,8725909,270189,207944,35491
2020-09-02,8828868,271515,208201,35497
2020-09-03,8921658,272912,208490,35507
2020-09-04,9034743,274644,209027,35518
2020-09-05,9142401,276337,209610,35533
2020-09-06,9219257,277634,210015,35541
2020-09-07,9271810,278784,210238,35553
2020-09-08,9364213,280153,210801,35563
2020-09-09,9460203,281583,211272,35577
2020-09-10,9554389,283180,211885,35587
2020-09-11,9653269,284796,212432,35597
2020-09-12,9745975,286297,213191,35603
2020-09-13,9818118,287753,213634,35610
2020-09-14,9863427,288761,213950,35624
2020-09-15,9943944,289990,214645,35633
