date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,1,0,0
2020-03-12,0,2,0,0
2020-03-13,0,8,0,0
2020-03-14,0,8,0,0
2020-03-15,0,10,0,0
2020-03-16,0,10,2,0
2020-03-17,0,12,2,0
2020-03-18,0,13,2,0
2020-03-19,0,15,2,1
2020-03-20,0,16,2,1
2020-03-21,0,16,2,1
2020-03-22,0,19,2,1
2020-03-23,0,19,2,1
2020-03-24,0,21,2,1
2020-03-25,0,26,2,1
2020-03-26,0,26,2,1
2020-03-27,0,26,2,1
2020-03-28,0,30,2,1
2020-03-29,0,32,2,1
2020-03-30,0,36,2,1
2020-03-31,0,36,2,1
2020-04-01,0,44,2,3
2020-04-02,0,47,2,3
2020-04-03,0,47,2,3
2020-04-04,0,53,7,3
2020-04-05,0,58,8,3
2020-04-06,0,58,8,3
2020-04-07,0,63,8,3
2020-04-08,0,63,10,4
2020-04-09,0,63,12,4
2020-04-10,0,63,13,4
2020-04-11,0,65,13,4
2020-04-12,0,69,13,4
2020-04-13,0,73,19,4
2020-04-14,0,73,19,4
2020-04-15,0,125,21,5
2020-04-16,0,143,21,5
2020-04-17,0,143,25,5
2020-04-18,0,163,25,5
2020-04-19,0,173,27,5
2020-04-20,0,223,27,5
2020-04-21,0,223,27,6
2020-04-22,0,233,27,6
2020-04-23,0,257,28,6
2020-04-24,0,288,28,7
2020-04-25,0,305,28,7
2020-04-26,0,350,28,7
2020-04-27,0,364,29,7
2020-04-28,0,364,29,7
2020-04-29,0,396,29,7
2020-04-30,0,422,29,8
2020-05-01,0,432,31,8
2020-05-02,0,463,33,8
2020-05-03,0,469,38,9
2020-05-04,0,471,38,9
2020-05-05,0,473,56,9
2020-05-06,0,478,57,9
2020-05-07,0,488,58,9
2020-05-08,0,490,62,9
2020-05-09,0,490,62,9
2020-05-10,0,502,90,9
2020-05-11,0,505,90,9
2020-05-12,0,507,100,9
2020-05-13,0,509,113,9
2020-05-14,0,509,118,9
2020-05-15,0,511,121,9
2020-05-16,0,517,121,9
2020-05-17,0,520,127,9
2020-05-18,0,520,131,9
2020-05-19,0,520,145,9
2020-05-20,0,529,171,9
2020-05-21,0,534,181,9
2020-05-22,0,544,191,9
2020-05-23,0,550,200,9
2020-05-24,0,552,211,9
2020-05-25,0,556,238,9
2020-05-26,0,564,267,9
2020-05-27,0,569,279,9
2020-05-28,0,569,284,9
2020-05-29,0,575,289,9
2020-05-30,0,581,290,9
2020-05-31,0,586,311,9
2020-06-01,0,588,322,9
2020-06-02,0,590,356,9
2020-06-03,0,591,361,10
2020-06-04,0,591,368,10
2020-06-05,0,595,385,10
2020-06-06,0,596,404,10
2020-06-07,0,598,405,10
2020-06-08,0,599,405,10
2020-06-09,0,605,405,10
2020-06-10,0,605,407,10
2020-06-11,0,611,408,10
2020-06-12,0,614,417,10
2020-06-13,0,615,420,10
2020-06-14,0,617,420,10
2020-06-15,0,621,430,10
2020-06-16,0,621,449,10
2020-06-17,0,626,451,10
2020-06-18,0,638,458,10
2020-06-19,0,652,458,10
2020-06-20,0,657,462,10
2020-06-21,0,659,516,10
2020-06-22,0,665,516,10
2020-06-23,0,670,518,10
2020-06-24,0,678,521,10
2020-06-25,0,684,526,10
2020-06-26,0,686,539,10
2020-06-27,0,690,552,10
2020-06-28,0,696,552,10
2020-06-29,0,698,553,10
2020-06-30,0,702,553,10
2020-07-01,0,707,555,10
2020-07-02,0,715,560,10
2020-07-03,0,721,565,10
2020-07-04,0,728,569,10
2020-07-05,0,732,584,10
2020-07-06,0,737,591,10
2020-07-07,0,745,599,10
2020-07-08,0,751,600,10
2020-07-09,0,753,603,10
2020-07-10,0,753,605,10
2020-07-11,0,758,615,10
2020-07-12,0,758,620,10
2020-07-13,0,759,628,10
2020-07-14,0,762,643,10
2020-07-15,0,763,647,10
2020-07-16,0,765,647,10
2020-07-17,0,768,678,10
2020-07-18,0,774,679,10
2020-07-19,0,790,693,10
2020-07-20,0,809,706,10
2020-07-21,0,810,709,10
2020-07-22,0,816,710,10
2020-07-23,0,821,711,10
2020-07-24,0,831,711,10
2020-07-25,0,837,711,10
2020-07-26,0,842,714,10
2020-07-27,0,853,714,10
2020-07-28,0,855,724,10
2020-07-29,0,856,724,10
2020-07-30,0,864,724,10
2020-07-31,0,878,726,10
2020-08-01,0,883,743,10
2020-08-02,0,894,743,12
2020-08-03,0,905,743,12
2020-08-04,0,920,745,12
2020-08-05,0,928,745,12
2020-08-06,0,958,745,12
2020-08-07,0,987,745,13
2020-08-08,0,1003,745,13
2020-08-09,0,1023,745,14
2020-08-10,0,1031,745,14
2020-08-11,0,1047,753,14
2020-08-12,0,1065,753,14
2020-08-13,0,1071,754,14
2020-08-14,0,1082,761,14
2020-08-15,0,1082,761,14
2020-08-16,0,1113,764,14
2020-08-17,0,1129,764,14
2020-08-18,0,1146,770,14
2020-08-19,0,1192,772,14
2020-08-20,0,1290,788,15
2020-08-21,0,1346,788,16
2020-08-22,0,1346,788,16
2020-08-23,0,1529,819,16
2020-08-24,0,1612,819,16
2020-08-25,0,1732,840,19
2020-08-26,0,1804,846,19
2020-08-27,0,1870,846,19
2020-08-28,0,2011,888,19
2020-08-29,0,2113,890,20
2020-08-30,0,2357,890,21
2020-08-31,0,2459,890,21
2020-09-01,0,2459,890,21
2020-09-02,0,2683,898,24
2020-09-03,0,2896,921,29
2020-09-04,0,2964,922,30
2020-09-05,0,3024,950,32
2020-09-06,0,3103,958,33
2020-09-07,0,3183,974,34
2020-09-08,0,3323,992,36
2020-09-09,0,3437,1019,38
2020-09-10,0,3511,1019,40
2020-09-11,0,3511,1019,40
2020-09-12,0,3623,1072,40
2020-09-13,0,3771,1149,42
2020-09-14,0,3933,1161,44
2020-09-15,0,4042,1163,46
2020-09-16,0,4164,1180,46
2020-09-17,0,4374,1225,51
2020-09-18,0,4571,1264,55
2020-09-19,0,4758,1327,60
2020-09-20,0,4988,1350,67
2020-09-21,0,5143,1407,70
2020-09-22,0,5270,1444,75
2020-09-23,0,5395,1444,76
2020-09-24,0,5588,1490,77
2020-09-25,0,5723,1496,80
2020-09-26,0,5854,1624,88
2020-09-27,0,6017,1706,89
2020-09-28,0,6170,1741,93
2020-09-29,0,6408,1770,101
2020-09-30,0,6482,1867,107
2020-10-01,0,6555,1991,111
2020-10-02,0,6704,2112,116
2020-10-03,0,6795,2345,119
2020-10-04,0,6895,2460,120
2020-10-05,0,7012,2635,120
2020-10-06,0,7109,2674,123
2020-10-07,0,7109,2674,123
