date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,698,25,4,0
2020-02-07,717,25,4,0
2020-02-08,717,25,0,0
2020-02-09,717,25,0,0
2020-02-10,938,26,9,0
2020-02-11,764,26,0,0
2020-02-12,954,28,10,0
2020-02-13,964,29,11,0
2020-02-14,978,33,12,1
2020-02-15,764,33,12,1
2020-02-16,764,33,12,1
2020-02-17,1251,59,18,1
2020-02-18,1287,66,18,1
2020-02-19,1296,73,20,1
2020-02-20,1432,84,22,1
2020-02-21,1522,93,23,1
2020-02-22,1607,105,24,1
2020-02-23,1703,129,24,1
2020-02-24,1742,141,26,1
2020-02-25,1846,155,27,1
2020-02-26,1890,164,32,1
2020-02-27,2058,186,40,3
2020-02-28,2209,210,41,4
2020-02-29,2339,230,42,5
2020-03-01,2517,239,42,5
2020-03-02,2613,254,43,6
2020-03-03,2684,268,46,6
2020-03-04,6519,284,48,6
2020-03-05,6777,317,49,6
2020-03-06,7476,348,69,6
2020-03-07,8029,407,76,6
2020-03-08,8176,454,80,6
2020-03-09,8286,487,101,7
2020-03-10,9600,513,102,9
2020-03-11,10024,567,118,12
2020-03-12,10205,619,123,15
2020-03-13,12060,674,135,19
2020-03-14,12919,714,144,21
2020-03-15,13026,777,157,22
2020-03-16,13068,809,164,24
2020-03-17,15151,824,171,28
2020-03-18,15354,868,191,29
2020-03-19,14901,907,215,31
2020-03-20,18844,943,227,33
2020-03-21,18963,996,232,35
2020-03-22,20228,1046,272,36
2020-03-23,20340,1089,285,41
2020-03-24,24430,1128,301,42
2020-03-25,23521,1193,310,43
2020-03-26,25171,1291,359,45
2020-03-27,27005,1387,372,46
2020-03-28,28464,1499,404,49
2020-03-29,28760,1693,424,52
2020-03-30,28966,1866,424,54
2020-03-31,32497,1953,424,56
2020-04-01,34508,2178,472,57
2020-04-02,34510,2381,505,60
2020-04-03,39446,2617,514,63
2020-04-04,42882,2935,575,69
2020-04-05,44639,3271,584,70
2020-04-06,46172,3654,592,73
2020-04-07,55311,3906,622,80
2020-04-08,61498,4257,632,81
2020-04-09,64387,4768,685,85
2020-04-10,68771,5347,714,88
2020-04-11,74891,6005,762,94
2020-04-12,77381,6748,784,98
2020-04-13,78702,7255,799,102
2020-04-14,89551,7645,853,109
2020-04-15,94236,8100,901,119
2020-04-16,100703,8582,935,136
2020-04-17,106372,9167,1012,148
2020-04-18,111325,9795,1069,154
2020-04-19,112816,10361,1159,161
2020-04-20,116725,10751,1239,171
2020-04-21,124550,11119,1356,186
2020-04-22,130587,11496,1424,203
2020-04-23,135983,11919,1494,213
2020-04-24,141600,12388,1556,232
2020-04-25,147454,12829,1650,247
2020-04-26,149074,13182,1751,251
2020-04-27,150692,13385,1821,253
2020-04-28,160546,13576,1920,267
2020-04-29,164255,13852,2008,277
2020-04-30,165609,14088,2073,288
2020-05-01,174150,14281,2407,306
2020-05-02,181527,14544,2528,314
2020-05-03,183251,14839,2643,327
2020-05-04,184586,15057,2734,355
2020-05-05,186343,15231,2784,369
2020-05-06,188927,15354,3094,384
2020-05-07,190030,15463,3289,390
2020-05-08,202013,15547,3710,403
2020-05-09,211997,15866,8127,624
2020-05-10,214256,15935,8293,633
2020-05-11,218204,15978,8531,657
2020-05-12,223649,16058,8920,678
2020-05-13,223667,16111,9868,696
2020-05-14,233144,16210,10338,713
2020-05-15,230882,16258,10809,729
2020-05-16,240368,16314,11153,748
2020-05-17,244452,16337,11415,756
2020-05-18,250151,16368,11564,768
2020-05-19,255675,16395,11883,773
2020-05-20,258277,16433,12285,784
2020-05-21,261572,16471,12670,799
2020-05-22,265502,16494,13003,814
2020-05-23,268477,16519,13242,825
2020-05-24,271201,16560,13411,840
2020-05-25,272688,16581,13609,852
2020-05-26,276170,16610,13807,863
2020-05-27,278642,16645,13969,870
2020-05-28,281293,16704,14143,884
2020-05-29,284763,16778,14250,890
2020-05-30,287754,16821,14402,895
2020-05-31,290436,16854,14455,898
2020-06-01,292569,16891,14498,900
2020-06-02,296383,16942,14646,903
2020-06-03,300277,16972,14766,907
2020-06-04,303633,17018,14862,913
2020-06-05,307462,17062,14967,917
2020-06-06,311447,17108,15074,919
2020-06-07,314483,17146,15132,919
2020-06-08,316848,17167,15141,922
2020-06-09,321053,17212,15208,923
2020-06-10,324675,17250,15294,925
2020-06-11,328730,17292,15379,925
2020-06-12,332207,17353,15489,929
2020-06-13,336161,17398,15576,931
2020-06-14,338758,17473,15639,931
2020-06-15,339735,17544,15682,933
2020-06-16,344526,17588,15697,938
2020-06-17,348051,17634,15846,939
2020-06-18,396433,17704,15926,941
2020-06-19,403380,17760,16004,958
2020-06-20,409022,17824,16073,958
2020-06-21,412669,17879,16104,959
2020-06-22,417951,17922,16129,960
2020-06-23,424767,17979,16208,964
2020-06-24,429481,18075,16259,968
2020-06-25,435495,18156,16316,970
2020-06-26,440739,18261,16388,970
2020-06-27,446589,18353,16448,971
2020-06-28,451772,18466,16501,971
2020-06-29,454609,18576,16553,971
2020-06-30,461446,18714,16627,973
2020-07-01,467444,18841,16726,975
2020-07-02,475308,19035,16767,976
2020-07-03,481877,19286,16862,976
2020-07-04,490287,19559,16955,976
2020-07-05,495164,19767,17025,976
2020-07-06,499898,19943,17100,977
2020-07-07,509993,20151,17190,979
2020-07-08,518210,20358,17325,981
2020-07-09,527546,20713,17461,981
2020-07-10,540411,21145,17647,981
2020-07-11,551664,21529,17840,982
2020-07-12,558622,21936,18000,982
2020-07-13,560460,22196,18100,983
2020-07-14,574432,22529,18276,983
2020-07-15,586706,22981,18538,984
2020-07-16,599239,23603,18809,984
2020-07-17,617049,24200,19091,984
2020-07-18,626149,24862,19361,985
2020-07-19,634997,25372,19565,985
2020-07-20,639821,25790,19751,987
2020-07-21,655780,26421,20149,988
2020-07-22,670619,27216,20645,989
2020-07-23,688036,28197,21029,991
2020-07-24,697512,28965,21321,994
2020-07-25,704400,29771,21560,997
2020-07-26,715283,30606,21757,997
2020-07-27,720501,31202,22111,998
2020-07-28,746229,32183,22806,1001
2020-07-29,765346,33447,23501,1005
2020-07-30,785224,34748,24174,1006
2020-07-31,806067,36328,24923,1012
2020-08-01,824748,37863,25497,1012
2020-08-02,836404,39192,25900,1012
2020-08-03,849115,40151,26482,1017
2020-08-04,877134,41389,27192,1022
2020-08-05,897340,42742,28020,1029
2020-08-06,938739,44226,28872,1035
2020-08-07,961915,45830,30146,1042
2020-08-08,986101,47398,31300,1043
2020-08-09,999777,48837,32307,1048
2020-08-10,1016197,49674,33046,1053
2020-08-11,1024235,50371,33956,1060
2020-08-12,1058164,51349,34875,1065
2020-08-13,1085322,52521,36114,1076
2020-08-14,1107537,53879,37471,1085
2020-08-15,1164029,55105,38932,1092
2020-08-16,1177313,56121,40075,1103
2020-08-17,1186468,56768,41184,1118
2020-08-18,1214145,57684,42274,1134
2020-08-19,1236180,58751,43820,1148
2020-08-20,1259422,59930,45251,1159
2020-08-21,1282693,60963,46450,1174
2020-08-22,1306128,61945,47609,1180
2020-08-23,1321079,62688,48531,1189
2020-08-24,1333884,63181,49308,1202
2020-08-25,1357628,63896,50413,1216
2020-08-26,1376783,64798,51673,1229
2020-08-27,1397400,65660,52806,1240
2020-08-28,1420589,66535,53976,1260
2020-08-29,1440826,67377,55321,1271
2020-08-30,1455610,67976,56144,1285
2020-08-31,1467132,68412,56787,1299
2020-09-01,1490975,69044,57816,1313
2020-09-02,1510462,69634,58419,1326
2020-09-03,1536221,70289,59517,1334
2020-09-04,1560505,70875,60400,1351
2020-09-05,1577444,71474,61442,1360
2020-09-06,1590895,71925,62063,1368
2020-09-07,1595070,72234,62523,1379
2020-09-08,1622149,72724,63263,1397
2020-09-09,1637723,73232,64083,1411
2020-09-10,1662091,73943,64820,1418
2020-09-11,1685711,74585,65576,1427
2020-09-12,1703734,75231,66269,1440
2020-09-13,1715960,75670,66839,1446
2020-09-14,1718055,75936,67206,1453
2020-09-15,1745311,76467,67795,1466
2020-09-16,1766478,77018,68503,1479
2020-09-17,1786342,77507,69223,1488
2020-09-18,1811516,78079,69865,1498
2020-09-19,1831246,78675,70436,1502
2020-09-20,1842506,79155,71005,1506
2020-09-21,1850661,79467,71378,1513
2020-09-22,1855240,79797,71614,1518
2020-09-23,1859693,80016,71953,1524
2020-09-24,1888156,80500,72522,1536
2020-09-25,1908707,81073,73464,1543
2020-09-26,1938827,81713,74132,1546
2020-09-27,1951249,82198,74588,1549
2020-09-28,1957973,82499,74970,1560
2020-09-29,1979929,83027,75438,1567
2020-09-30,2084894,83603,75998,1574
2020-10-01,2105963,84234,76567,1582
