date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,126,4,0,0
2020-03-14,445,6,0,0
2020-03-15,652,9,0,0
2020-03-16,1038,10,0,0
2020-03-17,1970,33,0,0
2020-03-18,2234,35,0,0
2020-03-19,3284,44,0,0
2020-03-20,4100,49,0,3
2020-03-21,5275,53,0,0
2020-03-22,6508,60,0,0
2020-03-23,8262,62,0,0
2020-03-24,9884,72,0,0
2020-03-25,11349,81,0,0
2020-03-26,13460,111,2,1
2020-03-27,15147,150,3,1
2020-03-28,16622,228,16,1
2020-03-29,19318,284,20,1
2020-03-30,21013,302,21,1
2020-03-31,30905,343,24,2
2020-04-01,32819,380,26,3
2020-04-02,35191,435,27,3
2020-04-03,43149,464,29,6
2020-04-04,45552,531,36,5
2020-04-05,50522,584,42,6
2020-04-06,52881,662,46,6
2020-04-07,54767,697,51,6
2020-04-08,56775,727,54,7
2020-04-09,59371,781,60,8
2020-04-10,61955,812,64,10
2020-04-11,65856,865,81,10
2020-04-12,69304,951,99,10
2020-04-13,73106,1091,138,12
2020-04-14,76904,1232,203,14
2020-04-15,81359,1295,240,16
2020-04-16,85735,1402,277,17
2020-04-17,92299,1546,347,17
2020-04-18,100878,1615,377,17
2020-04-19,108832,1676,400,17
2020-04-20,117949,1852,447,19
2020-04-21,126727,1995,489,19
2020-04-22,139207,2135,515,19
2020-04-23,153492,2289,560,20
2020-04-24,164505,2482,604,25
2020-04-25,180502,2601,646,25
2020-04-26,196298,2717,682,25
2020-04-27,205560,2835,720,25
2020-04-28,216276,3027,774,25
2020-04-29,232415,3138,819,25
2020-04-30,249527,3402,866,25
2020-05-01,268534,3597,922,25
2020-05-02,282862,3857,985,25
2020-05-03,296136,3920,1084,27
2020-05-04,306861,4049,1173,29
2020-05-05,320411,4205,1279,29
2020-05-06,336480,4422,1408,30
2020-05-07,353843,4578,1518,30
2020-05-08,371126,4834,1631,31
2020-05-09,385104,4975,1776,31
2020-05-10,398411,5090,1941,31
2020-05-11,408713,5207,2074,32
2020-05-12,422011,5279,2223,32
2020-05-13,439495,5417,2408,32
2020-05-14,459736,5571,2531,32
2020-05-15,483236,5689,2707,34
2020-05-16,505216,5850,2980,34
2020-05-17,527440,6157,3256,34
2020-05-18,540708,6751,3469,35
2020-05-19,553062,6751,3598,35
2020-05-20,571547,6969,3734,35
2020-05-21,591502,7234,3843,35
2020-05-22,612997,7919,4096,35
2020-05-23,635712,7919,4214,35
2020-05-24,657214,8531,4352,35
2020-05-25,671774,8969,4515,35
2020-05-26,687267,8969,4613,37
2020-05-27,710352,9304,4768,37
2020-05-28,735273,9576,4900,37
2020-05-29,761727,9932,5057,37
2020-05-30,788289,10382,5220,38
2020-05-31,812881,10858,5404,40
2020-06-01,828377,11308,5587,41
2020-06-02,843626,11571,5941,44
2020-06-03,867286,12067,6240,48
2020-06-04,892101,12067,6606,52
2020-06-05,915904,12312,6903,52
2020-06-06,942576,12511,7135,53
2020-06-07,965089,12694,7376,56
2020-06-08,981373,12859,7376,56
2020-06-09,998556,13074,8015,61
2020-06-10,1023417,13319,8345,67
2020-06-11,1050098,13872,8593,67
2020-06-12,1078539,13872,8829,70
2020-06-13,1108919,14238,8829,73
2020-06-14,1136194,14496,9188,77
2020-06-15,1160776,15192,9388,81
2020-06-16,1184416,15542,9647,88
2020-06-17,1211577,15877,9920,97
2020-06-18,1239138,15877,10065,100
2020-06-19,1269588,16779,10411,113
2020-06-20,1302094,17225,10671,118
2020-06-21,1330577,17732,10897,120
2020-06-22,1354456,18231,11158,127
2020-06-23,1376862,18765,11514,134
2020-06-24,1401692,19285,11882,136
2020-06-25,1424647,19750,12220,140
2020-06-26,1447166,20319,12548,150
2020-06-27,1467556,20319,12738,166
2020-06-28,1485188,21327,12933,178
2020-06-29,1501794,21819,13008,188
2020-06-30,1517098,22308,13558,188
2020-07-01,1536607,41065,14059,188
2020-07-02,1555858,42574,14777,188
2020-07-03,1590144,45719,15276,188
2020-07-04,1606422,47171,15556,188
2020-07-05,1606422,48574,15860,188
2020-07-06,1630669,49683,15860,264
2020-07-07,1643116,51059,16298,264
2020-07-08,1659543,51059,35137,264
2020-07-09,1676317,54747,35137,264
2020-07-10,1694586,56455,32500,264
2020-07-11,1694586,58253,33814,264
2020-07-12,1707337,58253,33814,375
2020-07-13,1719295,61755,35911,375
2020-07-14,1737546,63514,38008,375
2020-07-15,1756934,65188,39066,375
2020-07-16,1777280,66895,40256,375
2020-07-17,1777280,68703,40256,375
2020-07-18,1777280,68703,40256,375
2020-07-19,1791293,71838,43029,375
2020-07-20,1805973,73468,43401,585
2020-07-21,1823332,75153,46790,585
2020-07-22,1844457,75153,46790,585
2020-07-23,1867907,78486,49488,585
2020-07-24,1894815,80226,51260,585
2020-07-25,1963616,81720,51823,585
2020-07-26,1980799,83122,52571,585
2020-07-27,1991649,84648,54404,585
2020-07-28,2006429,86192,56638,793
2020-07-29,2025639,87664,57815,793
2020-07-30,2047955,89078,59517,793
2020-07-31,2073126,90367,60825,793
2020-08-01,2092622,90367,60825,793
2020-08-02,2105280,92662,62511,793
2020-08-03,2113795,93820,65132,793
2020-08-04,2126359,94882,67031,1058
2020-08-05,2144759,95942,68871,1058
2020-08-06,2163713,96922,70680,1058
2020-08-07,2183308,97829,71609,1058
2020-08-08,2202436,98701,72273,1058
2020-08-09,2217643,99442,72523,1058
2020-08-10,2226869,100164,73702,1058
2020-08-11,2236924,100855,74677,1269
2020-08-12,2252153,101372,76756,1269
2020-08-13,2271754,101848,76756,1269
2020-08-14,2291327,102287,80716,1269
2020-08-15,2310506,102696,81558,1269
2020-08-16,2324389,103033,82777,1269
2020-08-17,2334107,103300,84445,1269
2020-08-18,2342049,103571,86286,1415
2020-08-19,2357002,103815,86450,1415
2020-08-20,2374226,104071,87920,1415
2020-08-21,2389557,104313,89712,1415
2020-08-22,2405603,104543,91089,1415
2020-08-23,2417755,104718,92598,1415
2020-08-24,2427187,104902,93405,1415
2020-08-25,2434444,105075,93990,1523
2020-08-26,2449556,105243,94713,1523
2020-08-27,2464285,105408,95253,1523
2020-08-28,2481584,105558,95888,1523
2020-08-29,2499821,105684,96135,1523
2020-08-30,2513840,105795,96297,1523
2020-08-31,2523160,105872,96297,1523
2020-09-01,2528132,105944,97371,1588
2020-09-02,2537172,106032,97371,1588
2020-09-03,2553706,106121,98585,1588
2020-09-04,2571562,106225,98585,1588
2020-09-05,2589080,106301,99018,1588
2020-09-06,2603100,106361,99654,1588
2020-09-07,2612864,106425,99893,1588
2020-09-08,2622304,106498,99893,1634
2020-09-09,2640564,106584,100248,1634
2020-09-10,2658343,106661,100409,1634
2020-09-11,2676828,106729,100409,1634
2020-09-12,2696418,106803,100615,1634
2020-09-13,2712386,106855,100627,1634
2020-09-14,2723981,106920,100627,1634
2020-09-15,2733455,106984,101267,1671
2020-09-16,2750597,107056,101455,1671
2020-09-17,2768236,107134,101610,1671
2020-09-18,2787974,107199,101822,1671
2020-09-19,2806495,107262,101877,1671
2020-09-20,2820054,107307,101941,1671
2020-09-21,2831071,107374,102064,1671
2020-09-22,2840452,107450,102064,1699
2020-09-23,2858421,107529,102323,1699
2020-09-24,2879583,107590,102360,1699
2020-09-25,2895805,107659,102530,1699
2020-09-26,2914664,107723,102666,1699
2020-09-27,2931358,107775,102736,1699
2020-09-28,2940566,107833,102805,1699
2020-09-29,2946098,107908,102874,1725
2020-09-30,2964281,107979,102937,1725
2020-10-01,2973489,108044,103028,1725
