date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,31,0,0,0
2020-03-07,31,0,0,0
2020-03-08,31,0,0,0
2020-03-09,31,0,0,0
2020-03-10,31,0,0,0
2020-03-11,31,0,0,0
2020-03-12,31,0,0,0
2020-03-13,31,1,0,0
2020-03-14,31,1,0,0
2020-03-15,31,3,0,0
2020-03-16,31,3,0,0
2020-03-17,111,3,0,0
2020-03-18,132,3,0,0
2020-03-19,173,7,0,0
2020-03-20,173,7,0,0
2020-03-21,173,7,0,0
2020-03-22,173,15,0,0
2020-03-23,173,16,0,0
2020-03-24,173,25,0,0
2020-03-25,173,28,1,0
2020-03-26,600,31,1,1
2020-03-27,600,31,1,1
2020-03-28,833,38,1,1
2020-03-29,902,42,1,1
2020-03-30,1074,50,1,1
2020-03-31,1308,59,1,1
2020-04-01,1688,81,3,1
2020-04-02,2350,110,4,3
2020-04-03,2712,122,4,4
2020-04-04,3084,126,4,4
2020-04-05,3614,142,4,4
2020-04-06,4277,158,4,6
2020-04-07,4973,172,7,6
2020-04-08,5278,179,9,6
2020-04-09,5586,184,12,7
2020-04-10,6192,189,22,7
2020-04-11,6683,191,24,7
2020-04-12,7449,197,25,8
2020-04-13,8123,208,40,9
2020-04-14,8817,216,41,9
2020-04-15,9620,225,53,10
2020-04-16,10324,234,53,11
2020-04-17,10774,246,53,11
2020-04-18,11889,262,60,12
2020-04-19,13239,270,67,14
2020-04-20,13872,281,69,14
2020-04-21,14704,296,74,14
2020-04-22,15411,303,74,14
2020-04-23,16079,320,89,14
2020-04-24,16738,336,94,14
2020-04-25,16738,343,98,14
2020-04-26,16738,355,106,14
2020-04-27,16738,363,114,14
2020-04-28,16738,374,124,14
2020-04-29,16738,384,129,15
2020-04-30,20268,396,144,17
2020-05-01,21702,411,150,21
2020-05-02,22897,435,152,22
2020-05-03,23780,465,167,24
2020-05-04,24792,490,173,24
2020-05-05,25869,535,182,24
2020-05-06,25869,582,190,26
2020-05-07,25869,607,197,29
2020-05-08,29430,621,202,29
2020-05-09,31041,649,207,30
2020-05-10,32097,672,239,32
2020-05-11,32938,700,251,33
2020-05-12,33916,715,259,36
2020-05-13,35432,737,281,40
2020-05-14,36918,758,284,42
2020-05-15,39018,781,284,45
2020-05-16,39018,830,301,50
2020-05-17,43712,887,313,50
2020-05-18,44851,912,336,50
2020-05-19,46784,963,358,50
2020-05-20,49405,1029,366,50
2020-05-21,52507,1109,375,50
2020-05-22,55074,1161,380,50
2020-05-23,55074,1192,380,50
2020-05-24,59260,1214,383,51
2020-05-25,61971,1286,402,52
2020-05-26,64264,1348,405,52
2020-05-27,67341,1471,408,55
2020-05-28,70172,1618,421,58
2020-05-29,74003,1745,438,62
2020-05-30,74003,1888,464,63
2020-05-31,78536,1962,478,64
2020-06-01,80054,2021,482,69
2020-06-02,82946,2093,499,71
2020-06-03,85058,2216,553,74
2020-06-04,87698,2340,592,78
2020-06-05,90875,2474,643,79
2020-06-06,94507,2600,706,83
2020-06-07,97340,2767,752,84
2020-06-08,98439,2872,849,85
2020-06-09,100683,2989,873,88
2020-06-10,102956,3094,1048,89
2020-06-11,106247,3215,1092,92
2020-06-12,108666,3305,1164,96
2020-06-13,112171,3457,1221,100
2020-06-14,115336,3594,1253,103
2020-06-15,118701,3727,1286,104
2020-06-16,121956,3860,1328,105
2020-06-17,121956,4044,1353,107
2020-06-18,130498,4257,1459,117
2020-06-19,133541,4374,1550,119
2020-06-20,136361,4478,1586,121
2020-06-21,140012,4738,1607,123
2020-06-22,142366,4797,1680,125
2020-06-23,146537,4952,1782,128
2020-06-24,151396,5206,1823,130
2020-06-25,155314,5384,1857,132
2020-06-26,158404,5533,1905,137
2020-06-27,162478,5811,1936,141
2020-06-28,165196,6070,1971,143
2020-06-29,167417,6190,2013,144
2020-06-30,169836,6366,2039,148
2020-07-01,173355,6673,2089,149
2020-07-02,176059,6941,2109,152
2020-07-03,180206,7188,2148,154
2020-07-04,185035,7577,2236,159
2020-07-05,189263,7886,2287,160
2020-07-06,191394,8067,2414,164
2020-07-07,193455,8250,2504,167
2020-07-08,196508,8528,2593,169
2020-07-09,200311,8975,2657,173
2020-07-10,206584,9448,2733,181
2020-07-11,207987,9726,2832,184
2020-07-12,215037,10105,2881,185
2020-07-13,216242,10294,2946,197
2020-07-14,221234,10791,3017,202
2020-07-15,225495,11252,3068,209
2020-07-16,229390,11673,3638,217
2020-07-17,232935,12062,3983,222
2020-07-18,238163,12750,4440,225
2020-07-19,243887,13353,5122,234
2020-07-20,246361,13771,5616,238
2020-07-21,249998,14168,6258,250
2020-07-22,254273,14805,6757,260
2020-07-23,261027,15601,7135,263
2020-07-24,266102,16268,7446,274
2020-07-25,266102,16643,7574,278
2020-07-26,266102,17603,7743,280
2020-07-27,279612,17975,7833,285
2020-07-28,284500,18581,7908,299
2020-07-29,289759,19125,8021,311
2020-07-30,295280,19913,8121,325
2020-07-31,303959,20636,8165,341
2020-08-01,310330,21363,8419,364
2020-08-02,315723,22053,8477,369
2020-08-03,318376,22597,8740,382
2020-08-04,322923,23202,9327,388
2020-08-05,329123,23873,9930,391
2020-08-06,335318,24411,10444,399
2020-08-07,342132,25138,11118,413
2020-08-08,349307,25837,11899,418
2020-08-09,353727,26436,12961,420
2020-08-10,358330,26928,13495,423
2020-08-11,362501,27425,13867,438
2020-08-12,369091,28104,14610,456
2020-08-13,375859,28754,15100,460
2020-08-14,381317,29334,15298,465
2020-08-15,381317,29849,15970,472
2020-08-16,391416,30120,16656,474
2020-08-17,394566,30365,17160,482
2020-08-18,398585,30636,17368,487
2020-08-19,398585,31015,17612,506
2020-08-20,398585,31441,17869,516
2020-08-21,412080,31763,18157,532
2020-08-22,417804,32118,18453,542
2020-08-23,421983,32364,18670,548
2020-08-24,425364,32557,18895,554
2020-08-25,429513,32803,19055,559
2020-08-26,429513,33016,19296,564
2020-08-27,438193,33389,19368,567
2020-08-28,442713,33630,19434,567
2020-08-29,445722,33794,19590,572
2020-08-30,450146,34057,19688,574
2020-08-31,454406,34201,19893,577
2020-09-01,456088,34315,20211,577
2020-09-02,459562,34493,20211,581
2020-09-03,463499,34705,20644,585
2020-09-04,467677,34884,21059,589
2020-09-05,471384,35020,21158,594
2020-09-06,474477,35103,21230,597
2020-09-07,477145,35205,21310,599
2020-09-08,479697,35356,21483,599
2020-09-09,481982,35460,21557,607
2020-09-10,481982,35603,22047,612
2020-09-11,481982,35793,22442,616
2020-09-12,494560,35969,22771,619
2020-09-13,497652,36157,23067,622
2020-09-14,497652,36205,23243,624
2020-09-15,497652,36301,23364,634
2020-09-16,497652,36301,23364,634
2020-09-17,497652,36576,23611,642
2020-09-18,497652,36724,23709,646
2020-09-19,497652,36829,23777,646
2020-09-20,497652,36981,23887,648
2020-09-21,518350,37079,23949,650
2020-09-22,520124,37218,24147,659
2020-09-23,523998,37348,24253,664
2020-09-24,527305,37489,24334,669
2020-09-25,532729,37707,24504,682
2020-09-26,535601,37871,24581,689
2020-09-27,539308,38115,24621,691
2020-09-28,541415,38168,24681,700
2020-09-29,545019,38378,24740,707
2020-09-30,547946,38529,24908,711
2020-10-01,552646,38713,24908,711
2020-10-02,555711,38923,25114,725
2020-10-03,559098,39184,25426,728
2020-10-04,563483,39427,25659,731
2020-10-05,563483,39449,27035,735
2020-10-06,563483,39586,27331,743
2020-10-07,563483,39907,31659,748
2020-10-08,563483,39907,31659,748
