date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,16,1,0,0
2020-01-23,16,1,0,0
2020-01-24,25,2,0,0
2020-01-25,25,2,0,0
2020-01-26,48,3,0,0
2020-01-27,57,4,0,0
2020-01-28,187,4,0,0
2020-01-29,187,4,0,0
2020-01-30,244,4,0,0
2020-01-31,244,11,0,0
2020-02-01,371,12,0,0
2020-02-02,429,15,0,0
2020-02-03,429,15,0,0
2020-02-04,607,16,0,0
2020-02-05,714,19,0,0
2020-02-06,885,23,0,0
2020-02-07,1130,24,1,0
2020-02-08,1701,24,1,0
2020-02-09,2340,25,3,0
2020-02-10,2776,27,3,0
2020-02-11,3629,28,3,0
2020-02-12,5074,28,7,0
2020-02-13,5797,28,7,0
2020-02-14,6854,28,7,0
2020-02-15,7519,28,9,0
2020-02-16,7919,29,9,0
2020-02-17,8171,30,10,0
2020-02-18,9265,31,12,0
2020-02-19,10411,31,12,0
2020-02-20,12161,104,16,1
2020-02-21,14816,204,16,2
2020-02-22,19621,433,16,2
2020-02-23,22633,602,18,6
2020-02-24,28615,833,18,8
2020-02-25,36716,977,22,10
2020-02-26,46127,1261,22,12
2020-02-27,57990,1766,22,13
2020-02-28,70940,2337,22,13
2020-02-29,85693,3150,27,16
2020-03-01,96985,3736,30,17
2020-03-02,109591,4335,30,28
2020-03-03,125851,5186,30,28
2020-03-04,136707,5621,41,35
2020-03-05,146541,6088,41,35
2020-03-06,164740,6593,135,42
2020-03-07,178189,7041,135,44
2020-03-08,188518,7314,118,50
2020-03-09,196618,7478,118,53
2020-03-10,210144,7513,247,54
2020-03-11,222395,7755,288,60
2020-03-12,222395,7869,333,66
2020-03-13,230707,7979,510,66
2020-03-14,230707,8086,510,72
2020-03-15,230707,8162,510,75
2020-03-16,259533,8236,1137,75
2020-03-17,259533,8320,1407,81
2020-03-18,259533,8413,1540,84
2020-03-19,291120,8565,1540,91
2020-03-20,301139,8652,1540,94
2020-03-21,311805,8799,1540,102
2020-03-22,317240,8961,2909,111
2020-03-23,324408,8961,2909,111
2020-03-24,333142,9037,3507,120
2020-03-25,343618,9137,3730,126
2020-03-26,350573,9241,4144,131
2020-03-27,361742,9332,4528,139
2020-03-28,371361,9478,4811,144
2020-03-29,371361,9583,5033,152
2020-03-30,381663,9661,5228,158
2020-03-31,393672,9786,5408,162
2020-04-01,404962,9887,5567,165
2020-04-02,413858,9976,5828,169
2020-04-03,424365,10062,6021,174
2020-04-04,424365,10156,6325,177
2020-04-05,441662,10237,6463,183
2020-04-06,447509,10284,6598,186
2020-04-07,456654,10331,6694,192
2020-04-08,468145,10384,6776,200
2020-04-09,479202,10423,6973,204
2020-04-10,487753,10450,7117,208
2020-04-11,496409,10480,7243,211
2020-04-12,500833,10512,7368,214
2020-04-13,505352,10537,7447,217
2020-04-14,512787,10564,7534,222
2020-04-15,519526,10591,7616,225
2020-04-16,524507,10613,7757,229
2020-04-17,532277,10635,7829,230
2020-04-18,532277,10653,7937,232
2020-04-19,546866,10661,8042,234
2020-04-20,551054,10674,8114,236
2020-04-21,558293,10683,8213,237
2020-04-22,565838,10694,8277,238
2020-04-23,573832,10708,8501,240
2020-04-24,579920,10718,8635,240
2020-04-25,579920,10728,8717,242
2020-04-26,579920,10738,8764,243
2020-04-27,592765,10752,8854,244
2020-04-28,599311,10761,8922,246
2020-04-29,605890,10765,9059,247
2020-04-30,605890,10774,9072,248
2020-05-01,614384,10780,9123,250
2020-05-02,619066,10793,9183,250
2020-05-03,622385,10801,9217,252
2020-05-04,625745,10804,9283,254
2020-05-05,631379,10806,9333,255
2020-05-06,635086,10810,9419,256
2020-05-07,640959,10822,9484,256
2020-05-08,645996,10840,9568,256
2020-05-09,650877,10874,9610,256
2020-05-10,650877,10909,9632,256
2020-05-11,657570,10936,9670,258
2020-05-12,664560,10962,9695,259
2020-05-13,676341,10991,9762,260
2020-05-14,690762,11018,9821,260
2020-05-15,706872,11037,9851,262
2020-05-16,706872,11050,9888,262
2020-05-17,729993,11065,9904,263
2020-05-18,737118,11078,9938,263
2020-05-19,748649,11110,10066,263
2020-05-20,760082,11122,10135,264
2020-05-21,770595,11142,10162,264
2020-05-22,782132,11165,10194,266
2020-05-23,792851,11190,10213,266
2020-05-24,792851,11206,10226,267
2020-05-25,807348,11225,10275,269
2020-05-26,817431,11265,10295,269
2020-05-27,831815,11344,10340,269
2020-05-28,846296,11402,10363,269
2020-05-29,860563,11441,10398,269
2020-05-30,876603,11468,10405,270
2020-05-31,887528,11503,10422,271
2020-06-01,897333,11541,10446,272
2020-06-02,910929,11590,10467,273
2020-06-03,928987,11629,10499,273
2020-06-04,945659,11668,10506,273
2020-06-05,962194,11719,10531,273
2020-06-06,977351,11776,10552,273
2020-06-07,986288,11814,10563,273
2020-06-08,993840,11852,10589,274
2020-06-09,1008538,11902,10611,276
2020-06-10,1025749,11947,10654,276
2020-06-11,1041394,12003,10669,277
2020-06-12,1057243,12051,10691,277
2020-06-13,1071352,12085,10718,277
2020-06-14,1078972,12121,10730,277
2020-06-15,1084926,12155,10760,278
2020-06-16,1097135,12198,10774,279
2020-06-17,1111334,12257,10800,280
2020-06-18,1123998,12306,10835,280
2020-06-19,1136873,12373,10856,280
2020-06-20,1149431,12421,10868,280
2020-06-21,1156392,12438,10881,280
2020-06-22,1162663,12484,10908,281
2020-06-23,1173734,12535,10930,281
2020-06-24,1188352,12563,10974,282
2020-06-25,1201578,12602,11172,282
2020-06-26,1213487,12653,11317,282
2020-06-27,1223914,12715,11364,282
2020-06-28,1232690,12757,11429,282
2020-06-29,1241455,12800,11537,282
2020-06-30,1252957,12850,11613,282
2020-07-01,1265705,12904,11684,282
2020-07-02,1276180,12967,11759,282
2020-07-03,1286201,13030,11811,283
2020-07-04,1297202,13091,11832,283
2020-07-05,1297202,13137,11848,284
2020-07-06,1310504,13181,11914,285
2020-07-07,1322519,13244,11970,285
2020-07-08,1335723,13293,12019,287
2020-07-09,1347859,13338,12065,288
2020-07-10,1361363,13373,12144,288
2020-07-11,1361363,13417,12178,289
2020-07-12,1380314,13479,12204,289
2020-07-13,1386467,13512,12282,289
2020-07-14,1396327,13551,12348,289
2020-07-15,1408019,13612,12396,291
2020-07-16,1417944,13672,12460,293
2020-07-17,1427907,13711,12519,294
2020-07-18,1437281,13745,12556,295
2020-07-19,1443346,13771,12572,296
2020-07-20,1448891,13816,12643,296
2020-07-21,1458526,13879,12698,297
2020-07-22,1470320,13938,12758,297
2020-07-23,1479436,13979,12817,298
2020-07-24,1489768,14092,12866,298
2020-07-25,1498953,14150,12890,298
2020-07-26,1503712,14175,12905,299
2020-07-27,1508204,14203,13007,300
2020-07-28,1517260,14251,13069,300
2020-07-29,1527981,14269,13132,300
2020-07-30,1537197,14305,13183,301
2020-07-31,1545466,14336,13233,301
2020-08-01,1553552,14366,13259,301
2020-08-02,1558478,14389,13280,301
2020-08-03,1562356,14423,13352,301
2020-08-04,1571056,14456,13406,302
2020-08-05,1579697,14499,13501,302
2020-08-06,1588456,14519,13543,303
2020-08-07,1596584,14562,13629,304
2020-08-08,1604409,14598,13642,305
2020-08-09,1607847,14626,13658,305
2020-08-10,1611907,14660,13729,305
2020-08-11,1620355,14714,13786,305
2020-08-12,1629277,14770,13817,305
2020-08-13,1637100,14873,13863,305
2020-08-14,1644952,15039,13901,305
2020-08-15,1653678,15318,13910,305
2020-08-16,1659782,15515,13917,305
2020-08-17,1665506,15761,13934,306
2020-08-18,1671823,16058,14006,306
2020-08-19,1684042,16346,14063,307
2020-08-20,1699085,16670,14120,309
2020-08-21,1716078,17002,14169,309
2020-08-22,1733373,17399,14200,309
2020-08-23,1743622,17665,14219,309
2020-08-24,1756427,17945,14286,310
2020-08-25,1775475,18265,14368,312
2020-08-26,1796711,18706,14461,313
2020-08-27,1817538,19077,14551,316
2020-08-28,1837006,19400,14765,321
2020-08-29,1855283,19699,14903,323
2020-08-30,1866149,19947,14973,324
2020-08-31,1879813,20182,15198,324
2020-09-01,1902337,20449,15356,326
2020-09-02,1923547,20644,15529,329
2020-09-03,1945028,20842,15783,331
2020-09-04,1945028,21010,16009,333
2020-09-05,1984968,21177,16146,334
2020-09-06,1996314,21296,16297,336
2020-09-07,2004188,21432,16636,341
2020-09-08,2022708,21588,17023,344
2020-09-09,2045701,21743,17360,346
2020-09-10,2066573,21919,17616,350
2020-09-11,2089788,22055,18029,355
2020-09-12,2107631,22176,18226,358
2020-09-13,2115565,22285,18489,363
2020-09-14,2123526,22391,18878,367
2020-09-15,2137268,22504,19310,367
2020-09-16,2152990,22657,19543,372
2020-09-17,2166384,22783,19771,377
2020-09-18,2180962,22893,19970,378
2020-09-19,2194457,22975,20158,383
2020-09-20,2202427,23045,20248,385
2020-09-21,2209053,23106,20441,388
2020-09-22,2221890,23216,20650,388
2020-09-23,2236372,23341,20832,393
2020-09-24,2248217,23455,20978,395
2020-09-25,2260701,23516,21166,399
2020-09-26,2271837,23611,21248,401
2020-09-27,2277639,23661,21292,406
2020-09-28,2282716,23699,21470,407
