date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,2,0,0
2020-03-15,0,5,0,0
2020-03-16,0,13,0,0
2020-03-17,0,16,0,0
2020-03-18,0,19,0,0
2020-03-19,0,20,0,0
2020-03-20,0,21,0,0
2020-03-21,0,24,0,0
2020-03-22,0,31,0,0
2020-03-23,0,33,0,1
2020-03-24,0,61,0,1
2020-03-25,0,63,0,1
2020-03-26,0,71,0,1
2020-03-27,0,86,1,1
2020-03-28,0,88,1,1
2020-03-29,0,91,1,1
2020-03-30,0,94,1,1
2020-03-31,0,106,1,1
2020-04-01,0,112,6,1
2020-04-02,0,125,10,1
2020-04-03,0,126,10,1
2020-04-04,0,135,16,1
2020-04-05,0,140,23,1
2020-04-06,0,145,23,1
2020-04-07,0,165,24,3
2020-04-08,0,184,30,5
2020-04-09,0,224,37,6
2020-04-10,0,227,38,7
2020-04-11,0,250,52,7
2020-04-12,0,283,58,7
2020-04-13,0,362,59,7
2020-04-14,0,377,63,8
2020-04-15,0,387,66,8
2020-04-16,0,423,71,9
2020-04-17,0,449,79,11
2020-04-18,0,480,84,12
2020-04-19,0,510,93,12
2020-04-20,0,561,102,12
2020-04-21,0,598,123,15
2020-04-22,0,604,128,18
2020-04-23,0,630,138,18
2020-04-24,0,669,159,19
2020-04-25,0,703,162,19
2020-04-26,0,731,165,20
2020-04-27,0,763,166,21
2020-04-28,0,780,201,22
2020-04-29,0,790,232,22
2020-04-30,0,799,249,22
2020-05-01,0,806,271,22
2020-05-02,0,813,298,22
2020-05-03,0,823,336,22
2020-05-04,0,851,381,22
2020-05-05,0,855,403,26
2020-05-06,0,856,490,26
2020-05-07,0,860,533,26
2020-05-08,0,861,561,27
2020-05-09,0,862,622,28
2020-05-10,0,870,653,28
2020-05-11,0,884,655,28
2020-05-12,0,895,657,28
2020-05-13,0,919,671,29
2020-05-14,0,927,671,29
2020-05-15,0,945,690,29
2020-05-16,0,955,691,29
2020-05-17,0,978,713,29
2020-05-18,0,985,736,29
2020-05-19,0,988,754,29
2020-05-20,0,989,769,29
2020-05-21,0,1003,772,29
2020-05-22,0,1004,772,29
2020-05-23,0,1025,782,29
2020-05-24,0,1032,785,29
2020-05-25,0,1038,791,30
2020-05-26,0,1038,791,30
2020-05-27,0,1047,794,30
2020-05-28,0,1048,801,30
2020-05-29,0,1052,820,30
2020-05-30,0,1064,829,30
2020-05-31,0,1070,841,30
2020-06-01,0,1083,843,30
2020-06-02,0,1110,843,30
2020-06-03,0,1123,847,30
2020-06-04,0,1142,871,30
2020-06-05,0,1147,874,30
2020-06-06,0,1158,876,30
2020-06-07,0,1194,884,30
2020-06-08,0,1234,890,31
2020-06-09,0,1263,912,31
2020-06-10,0,1269,912,31
2020-06-11,0,1298,913,31
2020-06-12,0,1326,921,31
2020-06-13,0,1384,921,31
2020-06-14,0,1437,928,32
2020-06-15,0,1486,953,33
2020-06-16,0,1615,963,33
2020-06-17,0,1756,968,34
2020-06-18,0,1833,968,34
2020-06-19,0,1916,973,34
2020-06-20,0,1998,980,34
2020-06-21,0,2073,1018,35
2020-06-22,0,2169,1047,36
2020-06-23,0,2216,1069,37
2020-06-24,0,2268,1108,38
2020-06-25,0,2363,1171,40
2020-06-26,0,2432,1246,42
2020-06-27,0,2494,1307,44
2020-06-28,0,2590,1394,48
2020-06-29,0,2677,1425,49
2020-06-30,0,2799,1506,49
2020-07-01,0,2878,1577,51
2020-07-02,0,2991,1644,54
2020-07-03,0,3064,1707,55
2020-07-04,0,3178,1824,58
2020-07-05,0,3356,1874,66
2020-07-06,0,3508,1902,75
2020-07-07,0,3703,1946,79
2020-07-08,0,3886,2003,82
2020-07-09,0,4100,2063,86
2020-07-10,0,4307,2095,94
2020-07-11,0,4512,2156,97
2020-07-12,0,4715,2227,101
2020-07-13,0,4931,2267,102
2020-07-14,0,5118,2370,108
2020-07-15,0,5237,2462,112
2020-07-16,0,5369,2545,118
2020-07-17,0,5472,2640,124
2020-07-18,0,5617,2811,130
2020-07-19,0,5735,2968,135
2020-07-20,0,5877,3069,139
2020-07-21,0,6045,3226,144
2020-07-22,0,6286,3369,150
2020-07-23,0,6467,3505,158
2020-07-24,0,6680,3614,164
2020-07-25,0,6917,3753,169
2020-07-26,0,7137,3874,177
2020-07-27,0,7413,4027,185
2020-07-28,0,7652,4129,192
2020-07-29,0,7846,4267,196
2020-07-30,0,8104,4463,212
2020-07-31,0,8104,4463,212
2020-08-01,0,8104,4463,212
2020-08-02,0,8799,4863,249
2020-08-03,0,9049,4989,256
2020-08-04,0,9274,5190,296
2020-08-05,0,9274,5190,296
2020-08-06,0,9688,5480,300
2020-08-07,0,9869,5480,303
2020-08-08,0,9869,5480,303
2020-08-09,0,9869,5480,303
2020-08-10,0,10419,6058,341
2020-08-11,0,10419,6058,341
2020-08-12,0,10419,6058,341
2020-08-13,0,10795,6411,365
2020-08-14,0,11130,6817,381
2020-08-15,0,11275,6961,390
2020-08-16,0,11275,6961,390
2020-08-17,0,11275,6961,390
2020-08-18,0,11545,7343,390
2020-08-19,0,11545,7343,390
2020-08-20,0,11545,7343,390
2020-08-21,0,12168,8149,448
2020-08-22,0,12168,8149,448
2020-08-23,0,12448,8505,467
2020-08-24,0,12448,8505,467
2020-08-25,0,12683,8788,488
2020-08-26,0,12683,8788,488
2020-08-27,0,12683,8788,488
2020-08-28,0,12683,8788,488
2020-08-29,0,12683,8788,488
2020-08-30,0,12683,8788,488
2020-08-31,0,12683,8788,488
2020-09-01,0,12683,8788,488
2020-09-02,0,12683,8788,488
2020-09-03,0,12683,8788,488
2020-09-04,0,12683,8788,488
2020-09-05,0,12683,8788,488
2020-09-06,0,12683,8788,488
2020-09-07,0,12683,8788,488
2020-09-08,0,12683,8788,488
2020-09-09,0,12683,8788,488
2020-09-10,0,12683,8788,488
2020-09-11,0,12683,8788,488
2020-09-12,0,12683,8788,488
2020-09-13,0,12683,8788,488
2020-09-14,0,12683,8788,488
2020-09-15,0,12683,8788,488
2020-09-16,0,12683,8788,488
2020-09-17,0,12683,8788,488
2020-09-18,0,12683,8788,488
2020-09-19,0,12683,8788,488
2020-09-20,0,12683,8788,488
2020-09-21,0,12683,8788,488
2020-09-22,0,12683,8788,488
2020-09-23,0,12683,8788,488
2020-09-24,0,12683,8788,488
2020-09-25,0,12683,8788,488
2020-09-26,0,12683,8788,488
2020-09-27,0,12683,8788,488
2020-09-28,0,12683,8788,488
2020-09-29,0,12683,8788,488
2020-09-30,0,12683,8788,488
2020-10-01,0,12683,8788,488
2020-10-02,0,12683,8788,488
2020-10-03,0,12683,8788,488
2020-10-04,0,12683,8788,488
2020-10-05,0,12683,8788,488
2020-10-06,0,12683,8788,488
2020-10-07,0,12683,8788,488
