date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,1,0,0
2020-02-25,0,11,0,0
2020-02-26,0,26,0,0
2020-02-27,0,43,0,0
2020-02-28,0,45,0,0
2020-02-29,0,45,0,0
2020-03-01,0,45,0,0
2020-03-02,0,56,0,0
2020-03-03,0,56,0,0
2020-03-04,0,56,0,0
2020-03-05,0,58,0,0
2020-03-06,0,58,0,0
2020-03-07,0,61,0,0
2020-03-08,0,64,1,0
2020-03-09,0,64,1,0
2020-03-10,0,69,1,0
2020-03-11,0,72,2,0
2020-03-12,0,80,5,0
2020-03-13,0,80,5,0
2020-03-14,0,104,5,0
2020-03-15,0,112,5,0
2020-03-16,0,123,9,0
2020-03-17,0,130,9,0
2020-03-18,0,142,15,0
2020-03-19,0,148,18,0
2020-03-20,0,159,18,0
2020-03-21,0,176,27,0
2020-03-22,0,188,27,0
2020-03-23,0,189,27,0
2020-03-24,0,191,39,0
2020-03-25,0,195,43,0
2020-03-26,0,208,49,0
2020-03-27,0,225,57,0
2020-03-28,0,235,64,0
2020-03-29,0,255,67,0
2020-03-30,0,266,72,0
2020-03-31,0,289,73,0
2020-04-01,0,317,80,0
2020-04-02,0,342,81,0
2020-04-03,0,417,82,0
2020-04-04,0,479,93,1
2020-04-05,0,556,99,1
2020-04-06,0,665,103,1
2020-04-07,0,743,105,1
2020-04-08,0,855,111,1
2020-04-09,0,910,111,1
2020-04-10,0,993,123,1
2020-04-11,0,1154,133,1
2020-04-12,0,1234,142,1
2020-04-13,0,1300,150,2
2020-04-14,0,1355,176,3
2020-04-15,0,1405,206,3
2020-04-16,0,1524,225,3
2020-04-17,0,1658,258,5
2020-04-18,0,1751,280,6
2020-04-19,0,1915,305,7
2020-04-20,0,1995,367,9
2020-04-21,0,2080,412,11
2020-04-22,0,2248,443,13
2020-04-23,0,2399,498,14
2020-04-24,0,2614,613,15
2020-04-25,0,2892,656,19
2020-04-26,0,3075,806,20
2020-04-27,0,3288,1012,22
2020-04-28,0,3440,1176,23
2020-04-29,0,3740,1389,24
2020-04-30,0,4024,1539,26
2020-05-01,0,4377,1602,30
2020-05-02,0,4619,1703,33
2020-05-03,0,4983,1776,38
2020-05-04,0,5278,1947,40
2020-05-05,0,5804,2032,40
2020-05-06,0,6289,2219,42
2020-05-07,0,6567,2381,44
2020-05-08,0,7208,2466,47
2020-05-09,0,7623,2622,49
2020-05-10,0,8688,2729,58
2020-05-11,0,9286,2907,65
2020-05-12,0,10277,3101,75
2020-05-13,227000,11028,3263,82
2020-05-14,231930,11975,3451,88
2020-05-15,236004,12860,3640,96
2020-05-16,240716,13802,3843,107
2020-05-17,244476,14850,4093,112
2020-05-18,248314,15691,4339,118
2020-05-19,252696,16764,4681,121
2020-05-20,256314,17568,4885,124
2020-05-21,261071,18609,5205,129
2020-05-22,264959,19564,5515,138
2020-05-23,268154,20464,5747,148
2020-05-24,271089,21302,6117,156
2020-05-25,273812,21967,6621,165
2020-05-26,276207,22575,7306,172
2020-05-27,278945,23267,7946,175
2020-05-28,282341,24112,8698,185
2020-05-29,286352,25184,9273,194
2020-05-30,290013,26192,10156,205
2020-05-31,293362,27043,11386,212
2020-06-01,297026,27762,12899,220
2020-06-02,300351,28649,14281,226
2020-06-03,303285,29359,15750,230
2020-06-04,306006,29921,17223,236
2020-06-05,308900,30644,18277,244
2020-06-06,311624,31131,19282,254
2020-06-07,315285,31848,20205,264
2020-06-08,318284,32510,21242,269
2020-06-09,321502,33140,22162,273
2020-06-10,324373,33823,23288,275
2020-06-11,327144,34432,24137,279
2020-06-12,330129,34952,25048,285
2020-06-13,332288,35466,25882,289
2020-06-14,334612,35920,26759,296
2020-06-15,337387,36431,27531,298
2020-06-16,340142,36958,28206,303
2020-06-17,343027,37533,28896,306
2020-06-18,346325,38074,29512,308
2020-06-19,349412,38678,30190,313
2020-06-20,351636,39145,30726,319
2020-06-21,354378,39650,31240,326
2020-06-22,357594,40291,31770,330
2020-06-23,361239,41033,32304,334
2020-06-24,365224,41879,32809,337
2020-06-25,368510,42788,33367,339
2020-06-26,372284,43703,33969,341
2020-06-27,375524,44391,34586,344
2020-06-28,379338,44942,35494,348
2020-06-29,382842,45524,36313,350
2020-06-30,386887,46195,37030,354
2020-07-01,391037,46940,37715,358
2020-07-02,395349,47859,38390,359
2020-07-03,399498,48672,39276,360
2020-07-04,402941,49303,39943,365
2020-07-05,405984,49941,40463,368
2020-07-06,409335,50644,41001,373
2020-07-07,413530,51245,41515,377
2020-07-08,417874,52007,42108,379
2020-07-09,422885,52840,42686,382
2020-07-10,427006,53580,43214,383
2020-07-11,429501,54058,43961,386
2020-07-12,433336,54894,44610,390
2020-07-13,437422,55508,45356,393
2020-07-14,441143,56174,46161,396
2020-07-15,445184,56877,46897,399
2020-07-16,449525,57668,47545,402
2020-07-17,452970,58221,48381,404
2020-07-18,457340,58904,49020,407
2020-07-19,459349,59204,49687,408
2020-07-20,462704,59763,50339,408
2020-07-21,466861,60434,50919,412
2020-07-22,471000,61185,51520,417
2020-07-23,474808,61872,52247,421
2020-07-24,479411,62625,52915,425
2020-07-25,483320,63309,53607,429
2020-07-26,485738,63773,54373,433
2020-07-27,489566,64379,55057,438
2020-07-28,494298,65149,55681,442
2020-07-29,498357,65903,56467,444
2020-07-30,502168,66529,57330,445
2020-07-31,505088,66957,57932,447
2020-08-01,507520,67448,58525,453
2020-08-02,509561,67911,59213,457
2020-08-03,511599,68299,59739,461
2020-08-04,514051,68774,60326,465
2020-08-05,518601,69425,60906,468
2020-08-06,522200,70045,61610,469
2020-08-07,526286,70727,62330,471
2020-08-08,529130,71199,62806,474
2020-08-09,532353,71713,63519,478
2020-08-10,535803,72400,64028,482
2020-08-11,539461,73068,64759,486
2020-08-12,543858,73785,65451,489
2020-08-13,548005,74486,66099,489
2020-08-14,552581,75185,66740,494
2020-08-15,555937,75697,67519,498
2020-08-16,558800,76205,68135,501
2020-08-17,563134,76827,68633,502
2020-08-18,568440,77470,69243,505
2020-08-19,573251,78145,69771,507
2020-08-20,577588,78767,70642,509
2020-08-21,581118,79269,71264,511
2020-08-22,585124,79957,71770,513
2020-08-23,587567,80528,72307,515
2020-08-24,590623,80960,72925,518
2020-08-25,595049,81573,73402,519
2020-08-26,599413,82271,73906,521
2020-08-27,603604,82945,74522,522
2020-08-28,607921,83578,75320,525
2020-08-29,611639,84224,75993,528
2020-08-30,614129,84636,76650,530
2020-08-31,617619,85109,77224,531
2020-09-01,621616,85811,77657,534
2020-09-02,626041,86478,78209,535
2020-09-03,631482,87378,78791,536
2020-09-04,636220,88243,79417,537
2020-09-05,640634,88963,79903,540
2020-09-06,643727,89582,80521,544
2020-09-07,648051,90387,81037,546
2020-09-08,653099,91244,81654,548
2020-09-09,657751,92082,82222,552
2020-09-10,663135,92822,83040,556
2020-09-11,668005,93475,83660,557
2020-09-12,673003,94211,84404,558
2020-09-13,675742,94764,84995,560
2020-09-14,679670,95472,85501,563
2020-09-15,684204,96301,86219,568
2020-09-16,689588,96999,87187,571
2020-09-17,695556,97824,87911,575
2020-09-18,701484,98528,88776,580
2020-09-19,705029,99049,89498,581
2020-09-20,707292,99434,90168,584
2020-09-21,711236,99964,90930,585
2020-09-22,715887,100683,91612,588
2020-09-23,720509,101299,92341,590
2020-09-24,725025,101851,92961,592
2020-09-25,729755,102441,93562,595
2020-09-26,733893,103199,94211,597
2020-09-27,735918,103544,94929,601
2020-09-28,738783,103981,95511,605
2020-09-29,742797,104568,96049,607
2020-09-30,747233,105182,96688,610
2020-10-01,751163,105676,97197,612
2020-10-02,753775,106087,97898,615
2020-10-03,755765,106458,98435,620
2020-10-04,757815,107025,99040,624
2020-10-05,761025,107592,99549,628
2020-10-06,764608,108268,100179,632
2020-10-07,768691,108743,100776,639
2020-10-08,768691,108743,100776,639
