date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,116,0,0,0
2020-03-01,126,0,0,0
2020-03-02,163,0,0,0
2020-03-03,204,1,0,0
2020-03-04,240,1,0,0
2020-03-05,275,1,0,0
2020-03-06,307,1,0,0
2020-03-07,321,1,0,0
2020-03-08,343,3,0,0
2020-03-09,391,6,0,0
2020-03-10,450,8,1,0
2020-03-11,497,10,1,0
2020-03-12,576,16,1,0
2020-03-13,703,17,1,0
2020-03-14,1019,26,1,0
2020-03-15,1353,30,1,0
2020-03-16,1704,34,1,0
2020-03-17,2199,60,1,0
2020-03-18,2954,71,1,0
2020-03-19,3674,86,1,0
2020-03-20,4373,109,1,0
2020-03-21,5762,121,1,0
2020-03-22,6573,136,1,0
2020-03-23,7758,180,1,0
2020-03-24,8645,197,1,0
2020-03-25,9796,221,1,0
2020-03-26,10613,244,1,0
2020-03-27,11702,280,1,0
2020-03-28,12748,305,1,0
2020-03-29,13805,347,1,0
2020-03-30,14307,376,1,0
2020-03-31,14807,398,1,0
2020-04-01,15810,446,1,0
2020-04-02,16834,458,31,0
2020-04-03,18198,493,1,1
2020-04-04,19380,509,1,2
2020-04-05,20680,533,1,2
2020-04-06,21453,542,16,3
2020-04-07,22575,548,16,3
2020-04-08,24036,577,16,3
2020-04-09,25458,589,16,4
2020-04-10,26656,612,16,4
2020-04-11,27796,630,16,6
2020-04-12,28214,651,16,7
2020-04-13,28776,653,16,7
2020-04-14,29018,657,16,7
2020-04-15,29896,666,44,7
2020-04-16,31302,675,57,7
2020-04-17,32837,682,88,8
2020-04-18,34697,712,88,8
2020-04-19,35881,727,88,8
2020-04-20,36668,739,88,8
2020-04-21,37972,748,133,11
2020-04-22,39336,761,133,11
2020-04-23,41041,778,133,11
2020-04-24,43080,784,267,12
2020-04-25,45743,804,267,12
2020-04-26,47617,812,267,13
2020-04-27,49181,818,267,13
2020-04-28,51561,836,267,15
2020-04-29,54811,849,348,15
2020-04-30,57886,858,348,16
2020-05-01,61120,870,348,16
2020-05-02,63102,871,348,17
2020-05-03,64245,879,348,17
2020-05-04,65464,896,348,18
2020-05-05,66150,896,348,18
2020-05-06,68627,900,464,18
2020-05-07,71069,909,464,18
2020-05-08,73016,928,464,18
2020-05-09,75571,930,464,18
2020-05-10,76592,939,464,18
2020-05-11,77147,946,464,18
2020-05-12,79047,950,627,19
2020-05-13,81246,951,627,19
2020-05-14,83275,962,627,19
2020-05-15,85431,970,662,19
2020-05-16,87377,997,662,19
2020-05-17,88405,1008,662,20
2020-05-18,89123,1009,662,21
2020-05-19,90968,1012,694,21
2020-05-20,92751,1016,694,21
2020-05-21,94621,1025,694,22
2020-05-22,96366,1030,712,22
2020-05-23,97846,1046,712,22
2020-05-24,99049,1047,712,23
2020-05-25,99770,1049,712,23
2020-05-26,101598,1053,741,23
2020-05-27,103553,1057,741,24
2020-05-28,105504,1061,741,24
2020-05-29,106931,1064,745,24
2020-05-30,108174,1065,745,24
2020-05-31,109071,1066,745,25
2020-06-01,109723,1066,745,25
2020-06-02,111404,1071,760,25
2020-06-03,112965,1079,760,25
2020-06-04,114451,1082,760,25
2020-06-05,115461,1085,781,25
2020-06-06,116535,1086,781,25
2020-06-07,117660,1088,781,25
2020-06-08,118322,1088,781,26
2020-06-09,120052,1089,794,26
2020-06-10,121783,1092,794,26
2020-06-11,123364,1094,818,26
2020-06-12,124662,1096,818,28
2020-06-13,126054,1097,845,28
2020-06-14,127450,1097,845,28
2020-06-15,128145,1097,845,28
2020-06-16,129836,1098,875,30
2020-06-17,131646,1104,875,30
2020-06-18,133557,1108,903,30
2020-06-19,134881,1110,903,30
2020-06-20,136567,1111,903,30
2020-06-21,137861,1111,903,30
2020-06-22,139024,1111,903,30
2020-06-23,140437,1111,903,30
2020-06-24,141713,1111,903,30
2020-06-25,142794,1111,903,30
2020-06-26,145086,1112,932,30
2020-06-27,146874,1115,932,30
2020-06-28,147916,1116,932,30
2020-06-29,148777,1117,932,30
2020-06-30,150837,1118,974,30
2020-07-01,152778,1121,974,30
2020-07-02,154494,1122,988,30
2020-07-03,155599,1122,997,30
2020-07-04,156784,1123,1000,30
2020-07-05,157826,1124,1000,30
2020-07-06,158518,1127,1000,30
2020-07-07,160281,1134,1008,30
2020-07-08,162054,1141,1008,30
2020-07-09,163769,1154,1019,30
2020-07-10,165610,1165,1019,30
2020-07-11,167480,1173,1019,30
2020-07-12,168947,1173,1019,30
2020-07-13,169943,1174,1019,31
2020-07-14,172078,1174,1022,31
2020-07-15,174057,1178,1022,31
2020-07-16,175696,1179,1022,31
2020-07-17,177885,1185,1022,31
2020-07-18,179636,1189,1022,31
2020-07-19,180928,1192,1022,31
2020-07-20,182225,1192,1022,31
2020-07-21,183610,1193,1045,31
2020-07-22,185223,1197,1045,31
2020-07-23,186975,1203,1045,31
2020-07-24,188485,1205,1045,31
2020-07-25,189725,1206,1045,31
2020-07-26,191070,1219,1045,31
2020-07-27,191871,1219,1045,31
2020-07-28,193445,1220,1052,31
2020-07-29,195331,1224,1052,32
2020-07-30,197035,1228,1052,32
2020-07-31,198508,1231,1052,32
2020-08-01,199956,1238,1052,32
2020-08-02,201310,1243,1052,32
2020-08-03,201997,1246,1052,32
2020-08-04,203868,1249,1070,32
2020-08-05,206080,1257,1070,32
2020-08-06,207909,1275,1070,32
2020-08-07,210046,1281,1070,32
2020-08-08,211937,1288,1070,32
2020-08-09,213534,1290,1070,32
2020-08-10,214202,1290,1070,32
2020-08-11,216530,1293,1078,32
2020-08-12,218756,1303,1078,32
2020-08-13,220827,1307,1078,32
2020-08-14,222531,1308,1078,32
2020-08-15,224412,1315,1078,32
2020-08-16,225636,1322,1078,32
2020-08-17,226524,1323,1078,33
2020-08-18,228758,1323,1093,33
2020-08-19,230921,1326,1093,33
2020-08-20,232918,1327,1093,33
2020-08-21,234520,1330,1093,33
2020-08-22,236297,1333,1093,33
2020-08-23,237477,1337,1093,33
2020-08-24,238403,1337,1093,33
2020-08-25,240533,1342,1135,33
2020-08-26,242823,1360,1135,34
2020-08-27,244827,1366,1163,34
2020-08-28,246867,1375,1163,34
2020-08-29,248932,1381,1163,34
2020-08-30,250709,1393,1163,34
2020-08-31,251717,1396,1163,34
2020-09-01,253818,1404,1173,34
2020-09-02,256350,1406,1173,34
2020-09-03,258795,1410,1187,35
2020-09-04,260698,1416,1187,35
2020-09-05,262662,1425,1187,35
2020-09-06,264258,1428,1187,35
2020-09-07,265305,1429,1187,35
2020-09-08,267700,1432,1187,35
2020-09-09,270097,1443,1234,35
2020-09-10,272381,1448,1248,35
2020-09-11,274826,1459,1248,35
2020-09-12,277084,1464,1248,35
2020-09-13,278667,1474,1248,35
2020-09-14,280118,1477,1248,35
2020-09-15,282835,1482,1248,35
2020-09-16,285876,1486,1248,35
2020-09-17,288643,1494,1248,36
2020-09-18,290907,1498,1248,36
2020-09-19,293309,1515,1248,36
2020-09-20,295242,1525,1248,36
2020-09-21,296395,1526,1248,36
2020-09-22,299085,1560,1248,36
2020-09-23,301818,1572,1248,36
2020-09-24,304221,1594,1248,36
2020-09-25,306652,1625,1282,36
2020-09-26,309172,1654,1304,36
2020-09-27,310832,1676,1304,36
2020-09-28,312230,1697,1304,36
2020-09-29,315747,1729,1307,37
2020-09-30,320018,1824,1307,37
2020-10-01,324717,1868,1307,37
2020-10-02,328631,1945,1307,38
2020-10-03,332285,2019,1307,38
2020-10-04,334829,2086,1307,38
2020-10-05,336577,2126,1307,39
2020-10-06,340395,2194,1322,40
2020-10-07,344821,2261,1322,40
2020-10-08,349237,2370,1322,40
