date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,1,0,0
2020-03-17,0,1,0,0
2020-03-18,0,2,0,0
2020-03-19,0,2,0,0
2020-03-20,0,2,0,0
2020-03-21,0,3,0,0
2020-03-22,0,3,0,0
2020-03-23,0,3,0,0
2020-03-24,0,3,0,0
2020-03-25,0,3,0,0
2020-03-26,0,3,0,0
2020-03-27,0,3,0,0
2020-03-28,0,3,0,0
2020-03-29,0,3,0,0
2020-03-30,0,3,0,0
2020-03-31,0,3,0,0
2020-04-01,0,6,0,0
2020-04-02,0,6,0,0
2020-04-03,0,7,0,0
2020-04-04,0,10,3,1
2020-04-05,0,13,3,3
2020-04-06,0,14,3,3
2020-04-07,0,14,3,3
2020-04-08,0,31,3,4
2020-04-09,0,31,3,4
2020-04-10,0,37,3,5
2020-04-11,0,48,3,5
2020-04-12,0,50,3,5
2020-04-13,0,59,4,6
2020-04-14,0,59,4,6
2020-04-15,0,59,4,6
2020-04-16,0,59,4,6
2020-04-17,0,76,7,7
2020-04-18,0,76,7,7
2020-04-19,0,91,7,8
2020-04-20,0,99,7,8
2020-04-21,0,101,7,8
2020-04-22,0,101,20,8
2020-04-23,0,101,20,8
2020-04-24,0,117,25,8
2020-04-25,0,120,25,11
2020-04-26,0,124,25,12
2020-04-27,0,124,25,12
2020-04-28,0,141,45,16
2020-04-29,0,141,45,16
2020-04-30,0,141,45,16
2020-05-01,0,152,45,18
2020-05-02,0,154,48,18
2020-05-03,0,158,58,18
2020-05-04,0,166,58,18
2020-05-05,0,170,58,20
2020-05-06,0,178,75,20
2020-05-07,0,189,79,20
2020-05-08,0,199,79,20
2020-05-09,0,199,79,20
2020-05-10,0,199,79,20
2020-05-11,0,211,85,20
2020-05-12,0,211,85,20
2020-05-13,0,213,101,20
2020-05-14,0,215,105,20
2020-05-15,0,219,108,20
2020-05-16,0,223,116,20
2020-05-17,0,226,120,21
2020-05-18,0,229,123,22
2020-05-19,0,233,125,23
2020-05-20,0,238,128,23
2020-05-21,0,240,131,23
2020-05-22,0,249,136,24
2020-05-23,0,255,136,26
2020-05-24,0,265,139,26
2020-05-25,0,265,141,26
2020-05-26,0,266,144,26
2020-05-27,0,266,144,27
2020-05-28,0,269,144,27
2020-05-29,0,273,146,27
2020-05-30,0,280,148,27
2020-05-31,0,288,157,27
2020-06-01,0,296,159,27
2020-06-02,0,311,167,28
2020-06-03,0,316,169,28
2020-06-04,0,321,175,28
2020-06-05,0,334,176,30
2020-06-06,0,345,185,30
2020-06-07,0,359,194,30
2020-06-08,0,370,195,30
2020-06-09,0,383,199,31
2020-06-10,0,397,200,31
2020-06-11,0,410,206,31
2020-06-12,0,421,210,32
2020-06-13,0,446,214,32
2020-06-14,0,458,219,32
2020-06-15,0,498,221,33
2020-06-16,0,509,222,33
2020-06-17,0,516,240,33
2020-06-18,0,542,250,33
2020-06-19,0,581,250,33
2020-06-20,0,601,254,33
2020-06-21,0,626,254,34
2020-06-22,0,650,260,34
2020-06-23,0,652,270,34
2020-06-24,0,662,270,34
2020-06-25,0,681,278,34
2020-06-26,0,684,285,34
2020-06-27,0,729,291,34
2020-06-28,0,768,298,34
2020-06-29,0,770,312,36
2020-06-30,0,780,324,36
2020-07-01,0,804,335,37
2020-07-02,0,819,338,37
2020-07-03,0,833,346,37
2020-07-04,0,869,369,37
2020-07-05,0,874,377,37
2020-07-06,0,891,377,39
2020-07-07,0,917,394,41
2020-07-08,0,926,395,41
2020-07-09,0,957,398,42
2020-07-10,0,963,400,47
2020-07-11,0,998,420,47
2020-07-12,0,1010,423,51
2020-07-13,0,1024,439,51
2020-07-14,0,1024,439,51
2020-07-15,0,1056,447,51
2020-07-16,0,1070,486,68
2020-07-17,0,1085,496,69
2020-07-18,0,1088,519,70
2020-07-19,0,1091,534,70
2020-07-20,0,1107,547,70
2020-07-21,0,1108,575,70
2020-07-22,0,1114,592,70
2020-07-23,0,1117,613,71
2020-07-24,0,1135,621,71
2020-07-25,0,1155,631,71
2020-07-26,0,1162,641,72
2020-07-27,0,1167,646,72
2020-07-28,0,1177,646,72
2020-07-29,0,1179,664,72
2020-07-30,0,1181,667,73
2020-07-31,0,1186,670,75
2020-08-01,0,1189,673,75
2020-08-02,0,1207,673,77
2020-08-03,0,1214,696,78
2020-08-04,0,1216,698,78
2020-08-05,0,1221,699,78
2020-08-06,0,1224,705,78
2020-08-07,0,1230,705,78
2020-08-08,0,1234,714,79
2020-08-09,0,1237,723,79
2020-08-10,0,1240,725,79
2020-08-11,0,1250,736,81
2020-08-12,0,1252,738,82
2020-08-13,0,1252,738,82
2020-08-14,0,1252,738,82
2020-08-15,0,1257,788,82
2020-08-16,0,1257,788,82
2020-08-17,0,1277,803,82
2020-08-18,0,1282,803,82
2020-08-19,0,1282,803,82
2020-08-20,0,1284,803,82
2020-08-21,0,1285,803,82
2020-08-22,0,1286,816,82
2020-08-23,0,1286,816,82
2020-08-24,0,1290,819,82
2020-08-25,0,1295,821,82
2020-08-26,0,1298,832,82
2020-08-27,0,1298,832,82
2020-08-28,0,1298,832,82
2020-08-29,0,1304,872,82
2020-08-30,0,1304,872,82
2020-08-31,0,1304,872,82
2020-09-01,0,1305,1158,82
2020-09-02,0,1305,1162,82
2020-09-03,0,1306,1163,82
2020-09-04,0,1306,1163,82
2020-09-05,0,1306,1163,82
2020-09-06,0,1307,1182,82
2020-09-07,0,1311,1190,82
2020-09-08,0,1311,1194,82
2020-09-09,0,1313,1194,82
2020-09-10,0,1315,1194,82
2020-09-11,0,1315,1199,82
2020-09-12,0,1316,1210,82
2020-09-13,0,1319,1210,82
2020-09-14,0,1321,1213,82
2020-09-15,0,1327,1214,82
2020-09-16,0,1332,1214,82
2020-09-17,0,1333,1214,82
2020-09-18,0,1334,1214,82
2020-09-19,0,1335,1216,82
2020-09-20,0,1335,1216,82
2020-09-21,0,1336,1218,82
2020-09-22,0,1336,1218,82
2020-09-23,0,1337,1219,82
2020-09-24,0,1338,1221,82
2020-09-25,0,1338,1221,82
2020-09-26,0,1338,1221,82
2020-09-27,0,1339,1221,82
2020-09-28,0,1342,1221,82
2020-09-29,0,1343,1221,82
2020-09-30,0,1343,1221,82
2020-10-01,0,1343,1221,82
2020-10-02,0,1346,1221,82
2020-10-03,0,1347,1221,82
2020-10-04,0,1348,1236,82
2020-10-05,0,1354,1236,82
2020-10-06,0,1354,1240,82
2020-10-07,0,1355,1245,82
2020-10-08,0,1355,1245,82
